awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K06199,東京電機大学,根本 航,GPCR間相互作用変化で説明可能な疾患関連変異の予測,"我々は以前にGPCR間相互作用ペアを予測する手法GPCR-GPCR interaction pair predictor (GGIP)を開発した。本研究では、GGIPを応用し、GPCRへの疾患関連変異のうち、GPCR間相互作用に影響を及ぼし疾患を誘発するものを予測した。ロドプシンの二量体形成を阻害することで網膜色素変性症を引き起こすとされる、ヒトロドプシン変異体（F45L, V209M, F220C）は、いずれも相互作用阻害変異と予測された。同様に、レット症候群との関連が示唆され、GB2とのヘテロダイマー形成を阻害するGB1のA707T変異も、相互作用阻害変異と予測された。",基盤研究(C),小区分43060:システムゲノム科学関連,GPCRs,タンパク質間相互作用,相互作用ペア予測,疾患関連変異,機械学習,膜タンパク質,Autoencoder,インターフェイス,GPCR,変異,疾患,相互作用,予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06198,順天堂大学,茂櫛 薫,臨床検体の遺伝子発現情報を用いた仮想ダイセクション手法の開発とデータベース構築,本課題では、ヒト臨床検体(正常・炎症・癌組織)の遺伝子発現情報から、組織内に含まれる細胞群の混合率を推定するアルゴリズムを開発する。そこで、細胞種が混在した正常・炎症・癌などの組織の発現パターンを公共データベースから入手し、機械学習の一つである「教師なし学習」を用いて、各細胞群のリファレンスとなる発現パターン(リファレンス発現パターン)とそれらの混合比を検体ごとに推定する。さらにリファレンス発現パターンを用いて、新規に得られた検体の発現プロファイルに対して細胞群の混合比を算出し、研究者に提示するようなシステムの構築を目的とした。,基盤研究(C),小区分43060:システムゲノム科学関連,バイオインフォマティクス,仮想ダイセクション法,教師なし学習,遺伝子発現解析,仮想ダイセクション,臨床検体,遺伝子発現情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06197,愛媛大学,岩崎 隆宏,アポトーシス特異的ホスファターゼシグナルの解明とそれを標的とした創薬開発,コムギ無細胞系でを用いて作製したPTPの脱リン酸化能をp-NPPの加水分解を指標としてをin vitroにおいて測定した。その結果、28種のPTPについて脱リン酸化活性を確認することができた。,基盤研究(C),小区分43060:システムゲノム科学関連,カスパーゼ,チロシンホスファターゼ,脱リン酸化,アポトーシス,タンパク質アレイスクリーニング,ホスファターゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06196,東京工業大学,金子 真也,ゲノム合成の基盤技術を自然界でのDNA水平伝播現象をもとに構築する,物理的なダメージを受けやすいサイズの大きなDNAを効率良く細胞中で合成する方法として、枯草菌を用いたプロトプラスト法による形質転換で、一度に複数のコンティグDNA断片を細胞中で連結する手法を考案した。また供与菌宿主として枯草菌を溶菌させ、溶菌液を用いて抽出・精製操作を経ずに大腸菌、出芽酵母へ導入する方法も開発できた。さらに接合伝達法についても大腸菌から真核細胞の酵母へ簡便に長鎖DNAを導入できることが実証され、自然界におけるDNAの水平伝播の原理を応用したゲノム合成法の基盤技術を開発することができた。しかし動物培養細胞への導入については未だ成功しておらず、さらなる条件検討が必要である。,基盤研究(C),小区分43060:システムゲノム科学関連,ゲノム合成,コンティグDNA,枯草菌,応用微生物,形質転換,核酸,ゲノム,バイオテクノロジー,溶菌,長鎖DNA,培養細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06195,国立研究開発法人理化学研究所,小口 祐伴,1細胞非増幅シーケンスを可能にするライブラリ調製法の開発,本研究は本研究遂行者が独自に開発を進めている非増幅シーケンサーにおいて，シーケンスライブラリ(サンプル)のシーケンスフローセルへの新規捕捉手法を開発した．従来の方法では捕捉ブローブ(サンプルを捕捉するためのもの)をシーケンスフローセルに共有結合を介し固定していた．本研究では非共有結合であるビオチン-アビジン相互作用を介して捕捉プローブを固定し，かつ，共有結合によるそれと同程度のシーケンス性能を得ることに成功した．これによりフローセル外にてあらかじめ捕捉プローブとサンプルを結合することが可能となり，1細胞から抽出される微量なサンプルを高効率に捕捉することにも寄与するものと期待される．,基盤研究(C),小区分43060:システムゲノム科学関連,シーケンス技術開発,1細胞トランスクリプトーム解析,１細胞トランスクリプトーム解析,トランスクリプトーム,機能性RNA,遺伝子発現調節,ゲノム解析技術,遺伝子ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06194,東北大学,城田 松之,蛋白質立体構造を用いたゲノム塩基配列変化の機能解析のための情報科学的基盤の構築,本研究ではProtein Data Bankのタンパク質立体構造を用いて、タンパク質の疎水性相互作用や立体障害、タンパク質間相互作用、ジスルフィド結合や水素結合、DNAやRNA、イオン、低分子リガンドとの相互作用などの多様な評価指標を用いて、ヒトゲノムの多数の非同義バリアントの中からタンパク質機能に影響を与えるものをゲノムワイドに評価するための情報科学的基盤を構築した。これを用いて既知のバリアントについて評価を行い、またユーザが持つバリアントについてアノテーションを行うウェブシステムを構築した。,基盤研究(C),小区分43060:システムゲノム科学関連,タンパク質立体構造,ゲノムバリアント,データベース,機能欠失変異,蛋白質構造,ゲノム配列変化,蛋白質機能,非同義置換,機能解析,蛋白質立体構造,ゲノム,塩基配列変化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06193,帯広畜産大学,茅野 光範,汎用的な認知症バイオマーカーを探索するマルチソース解析,"本研究の目標は、認知症の早期発見・早期介入のために汎用的なバイオマーカーを開発することであった。本研究では、特に、認知症の過半数を占めるアルツハイマー病（AD）の血中マイクロRNA（miRNA）について、複数のmiRNAを同時に評価し、世界中のアルツハイマー病患者の膨大な血中miRNA発現解析結果（マルチソース＝延べ30,000件）を統合解析（メタ解析）するための理論を構築した。研究期間中にいくつもの新しい結果が報告されたためそれらを取り入れて、現在、解析結果をまとめている。",基盤研究(C),小区分43060:システムゲノム科学関連,アルツハイマー病,末梢血,マイクロRNA,メタ解析,共発現解析,相関解析,Fold change,システマティックレビュー,血液,末梢血RNA,メタアナリシス,RNA,脳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K06631,公益財団法人東京都医学総合研究所,加藤 朋子,CRISPR/Cas9システムを用いた新規組換え修復亢進因子の探索,世界に蔓延する多くの遺伝性疾患が点変異を起因とするものである。近年のゲノム編集技術の台頭により、これまで以上に自在にゲノムの改変が行えるようになり、さらにオフターゲットがなく、安全性が担保されれば、ゲノム編集による治療の実用化が可能な段階となってきた。代表者の研究室では、より高効率に正確なゲノム編集を誘導できるシステムを開発している。本研究では、医療応用に向けたゲノム編集による治療の実現を目指し、これまでの知見に囚われずにHDRを亢進すると同時にNHEJを阻害する因子を、cDNAライブラリを利用して新たに開拓することを目的とする。,基盤研究(C),小区分43060:システムゲノム科学関連,相同組換え修復,HDR,CRISPR-Cas9,スクリーニング,DNA修復,HDR亢進因子,NHEJ抑制因子,CRISPR/Cas9,HDR亢進,NHEJ抑制,相同組み換え,HDR因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K06630,国立研究開発法人理化学研究所,堀之内 貴明,ゲノム構造変化が適応進化過程に与える影響の解析,本研究では大腸菌の実験室進化を用いて、ゲノム構造が生物進化の方向性に及ぼす影響を解析する。DNA結合タンパク質の欠損によるゲノム構造の変化が、適応進化過程において重要な役割を担っていることが示唆されている。そこで本研究では、ゲノム構造に摂動を与えた場合に、適応進化過程にどのような影響が生じるのかを、全ゲノム変異解析・トランスクリプトーム解析・エピゲノム解析といった網羅的手法により詳細に解析する。,基盤研究(C),小区分43060:システムゲノム科学関連,実験室進化,オミクス解析,ゲノム構造,進化の方向性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K06629,大阪大学,中谷 明弘,複雑な形質の遺伝的背景の解明に向けた多因子的なゲノム情報処理技術の開発,複雑な形質の遺伝的背景の解明に向けた多因子的なゲノム情報処理技術を開発する。ゲノムDNA配列変異間の連鎖不平衡を抽出して構造化する手法、および、空間的な形状や分布に関する形質を抽出して定量化する手法を開発する。構造化されたゲノム情報と定量化された形質情報の間の多因子的な関係を定式化する数理モデルを構築する手法を開発する。ミトコンドリア電子顕微鏡画像等に適用して疾患との関連性の評価を行う。実データに適用した結果を蓄積したデータベースを構築し、画像データもクエリーとして指定できるビジュアルな検索手法を開発する。検索結果を公共データと連係させてデータの解釈や注釈を支援する情報処理技術を開発する。,基盤研究(C),小区分43060:システムゲノム科学関連,ゲノム配列,配列変異,連鎖不平衡,解析パイプライン,ミトコンドリア,電子顕微鏡,全ゲノムシーケンシング,情報解析パイプライン,画像処理,ゲノム情報,数理モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
