awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K06679,国立医薬品食品衛生研究所,中村 公亮,ゲノム編集が遺伝情報へ及ぼす影響の動的モニタリングを可能とするための基盤研究,本研究では、タンパク質と結合していないDNAを分解する非特異的エンドヌクレアーゼと、ゲノムDNA結合タンパク質に特異的なIgG抗体と結合するプロテインAとを架橋したユニバーサルプローブを創製し、このプローブを用いて、遺伝子の欠失、置換、及び、挿入変異がゲノムDNA結合タンパク質の有する遺伝情報へ及ぼす影響を単一細胞レベルで追跡するscChIC-Seq法を開発した。活性型H3K4me3と抑制型H3K27me3ヒストン修飾を検出するプローブを創製し、方法の特異性と感度の高さを実証した。本法を用いて、ゲノム編集細胞のゲノムDNA結合タンパク質の位置と量の変化を経時的・網羅的に解析を行った。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,バイオテクノロジー,ゲノム編集,単一細胞,DNA結合タンパク質,ヒストンメチル化,ゲノム情報,エピゲノム,動的モニタリング,組換え,セーフハーバー,遺伝情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06678,国立研究開発法人理化学研究所,松本 健,遺伝学的スクリーニングによるがん細胞の脆弱性の同定,がん細胞の脆弱性の同定を目指し、がん抑制遺伝子ノックアウト株と野生株でのCRISPR/Cas9 sgRNAライブラリースクリーニングを行った。遺伝子破壊によって、野生株と比較してノックアウト株において顕著に細胞増殖が抑制される候補遺伝子群が得られた。このうち遺伝子産物に阻害剤が利用できるものについて調べたところ、ノックアウト株で感受性が亢進した阻害剤が見出された。こうした遺伝子が、このがん抑制遺伝子の発現抑制が見られるがん細胞での薬剤標的となりうると考えられる。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,がん抑制遺伝子,がん細胞,合成致死遺伝子,shRNAスクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06677,国立研究開発法人理化学研究所,阿部 充宏,細胞膜内層のスフィンゴミエリンの解析-フリッパーゼの同定と生理的意義の解明-,遺伝学的なスクリーニングにより，スフィンゴミエリン (SM) のflipに関わる候補遺伝子として，PMP2を同定した。PMP2遺伝子のノックアウト細胞では，蛍光ラベルしたNBD-SMのflipがcontrolに比べて起こりにくくなっていた。PMP2を過剰に発現させた細胞では，SMはcontrolに比べて細胞膜外層で減少し，内層で増加していた。NBD-SMを添加した人工膜に，リコンビナントのPMP2タンパク質を反応させたところ，NBD-SMが人工膜の片方の層からもう一方の層へflipされていた。以上の結果から，PMP2はSMを細胞膜外層から内層へflipさせる活性を持つことが示唆された。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,スフィンゴ脂質,脂質ラフト,スフィンゴミエリン,フリップ,フリッパーゼ,細胞膜,PMP2,"PI(4,5)P2",フリップフロップ,シャルコー・マリー・トゥース病,PMP2/FABP8,超解像顕微鏡,CRISPR/Cas9,ノックダウン,脂質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06676,武庫川女子大学,中瀬 朋夏,乳がん悪性化をもたらす亜鉛トランスポーターの分子機能解明と亜鉛シグナルの解析,乳がん幹細胞様細胞は、乳がん組織の中にごくわずかに潜み、長い年月を経て、転移や再発、薬剤耐性を頻繁に引き起こす乳がんの脅威の根源である。本研究では、乳がん幹細胞様細胞の維持には亜鉛を必要とし、その機序として、亜鉛トランスポーターZIP6とZIP7の発現バランスによる亜鉛輸送活性を起点とした亜鉛依存的なPR domain zinc finger protein 14 (PRDM14)の機能制御が関与することを明らかにした。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,乳がん,亜鉛,亜鉛トランスポーター,がん幹細胞様細胞,PRDM14,低酸素,HIF-1,MTA-1,乳がん幹細胞,低酸素環境,悪性化進展,ストレス応答性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06675,武庫川女子大学,内山 良介,細菌感染におけるFasシグナル依存的な新規ヘルパーT細胞の誘導とその役割の解析,細菌感染に対する宿主炎症応答における、Fas依存的な炎症性サイトカインIL-1β/IL-18産生の詳細なメカニズムとその生体における役割について検討を行っている。我々の生体に対して侵入した病原体等を排除するためには、その侵入した病原体等に応じた適切な炎症応答を惹起することが必要である。我々はこれまでの研究で、従来、細胞のアポトーシス誘導に重要な役割を果たすことが知られるFasシグナル経路が、マクロファージや樹状細胞において病原体等の感染に対する炎症応答に関与することを明らかにしている。このFas依存的な炎症応答によって産生されるIL-1βは、宿主感染防御において病原体等の排除に作用することが予想されるTh17/Th1細胞（IFN-γ/IL-17A両産生性T細胞）が誘導される。このため、Fas依存的な炎症応答によるTh17/Th1細胞の誘導、調節メカニズムを解明することは、実際の感染制御における効果的な免疫機構の解明に重要であると考えられる。当該年度はコロナ禍の影響により研究の遂行が困難であった。次年度改めて研究を遂行していきたいと考えている。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,細菌感染,炎症応答,Tリンパ球,Fasシグナル経路,ヘルパーT細胞,炎症性サイトカインIL-1β,IL-1β,IL-17,Fasシグナル,炎症性サイトカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06674,神戸学院大学,山下 琢矢,覚醒剤・麻薬中毒状態における脳内Exosomeの統合オミクス解析,4-メトキシアンフェタミン(4-MeO AP)を曝露させたヒト神経細胞由来Exosome(HN-EXO)のプロテオーム解析を実施した結果、AP暴露群と比較して4-MeO AP暴露群において、抗炎症に関与する蛋白質(Thioredoxin-like protein 1、Latexin)の発現上昇が認められた。さらに、両群間におけるHN-EXOのリピドームを解析した結果、4-MeO AP暴露群において、抗炎症に関わる脂肪酸であるドコサヘキサエン酸を含むホスファチジルコリンの発現減少が認められた。以上、乱用薬物の種類によって神経細胞由来Exosomeが惹起する炎症応答は異なる可能性を示した。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,Exosome,危険ドラッグ,統合オミクス,覚醒剤,麻薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06673,摂南大学,西田 健太朗,味細胞における亜鉛の生理的役割の解明,本研究では、ラット有郭乳頭の味細胞における亜鉛の局在および亜鉛トランスポータ ZnT3の発現局在を明らかにした。さらに、亜鉛バイオセンサーによる高感度亜鉛検出系を確立し、単離味細胞からの亜鉛放出性を検討した。その結果、味刺激によって味細胞から亜鉛が放出されることが示され、味蕾における生体内亜鉛が新たな生理的役割を担う可能性が示唆された。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,微量元素,必須微量元素,味覚,味細胞,亜鉛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06672,京都薬科大学,齊藤 洋平,熱ストレスによるStat3活性化と癌悪性化の可能性,ストレス応答は、熱ショックタンパク質（Hsp）の発現を介して細胞の恒常性維持に寄与する。一方、癌細胞において、Hspは温熱や薬剤に対して抵抗性を引き起こすことから治療の妨げとなる。本研究では、熱ストレスによるStat3のリン酸化を介した活性化とその意義として癌細胞における温熱耐性獲得へのStat3のリン酸化やHsp105の関与を明らかにした。さらにStat3活性化は、癌細胞の生存や転移浸潤に寄与することから、熱ストレスが転移浸潤の亢進や上皮間葉転換を誘導する可能性について検討した結果、熱ストレスにより転移細胞数の増加が観察され、この熱による転移能亢進へのStat3の活性化の関与が示唆された。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,熱ストレス,Hsp,Stat,低酸素,HIF,VEGF,Stat3,Hsp105,転移浸潤,温熱耐性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06671,京都産業大学,板野 直樹,ヘキソサミンシグナル伝達経路を標的とした薬剤耐性スペクトルの狭小化とがん創薬,がん幹細胞は、化学療法や放射線治療に抵抗性を示し、治療後も残存してがん細胞を生み続けて再発を引き起こすとされ、根治的治療のための標的として重視されている。なかでも、多剤耐性を示すがん幹細胞集団の出現は、化学療法が奏功しない最大の要因になっている。本研究で代表者らは、糖代謝の中心プログラムであるヘキソサミン合成経路の加速が、下流シグナルであるヒアルロン酸糖鎖シグナルとタンパク質のO-GlcNAc修飾を活性化して、がん幹細胞の薬剤耐性の制御において相互補完的に機能していることを明らかにした。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,がん幹細胞,薬剤耐性,ヒアルロン酸,O-GlcNAc修飾,ヘキソサミンシグナル,ニッチ,ストレス耐性,ヘキソサミン合成経路,シグナル伝達,ヘキソサミン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06670,名城大学,山田 修平,ヘパラン硫酸の生合成に関与するEXTL3の脳およびT細胞における新規機能の解明,ヘパラン硫酸生合成酵素の１つであるEXTL3の生物学的機能を明らかにしようとしている。脳のグルタミン酸作動性神経特異的なExtl3ノックアウトマウスの作製に成功した。外見上、行動上の特徴として、これまでのところ、目立った異常は検出されていない。より高次な機能への影響があるか、他の酵素による補填があるのかもしれない。T細胞特異的なExtl3ノックアウトマウスの作製にも成功した。脾臓を用いてT細胞の分化の度合いを調べたところ、未分化の傾向があることを見出した。EXTL3変異患者由来の各グリコサミノグリカン鎖の含有量、二糖組成を調べた。患者のヘパラン硫酸は、健常人のものと比較して減少していた。,基盤研究(C),小区分47030:薬系衛生および生物化学関連,ヘパラン硫酸,EXTL3,ノックアウトマウス,脳,T細胞,へパラン硫酸,グリコサミノグリカン,糖転移酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
