awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K07134,国立研究開発法人国立国際医療研究センター,松村 和典,結核菌タンパク質PE_PGRS30のPHB2を介したアポトーシス誘導機構の解析,結核菌タンパク質PE_PGRS30が結核菌から分泌され、免疫細胞マクロファージのアポトーシスを誘導することを見出した。PE_PGRS30の細胞内標的因子PHB2を同定した。PHB2は、ミトコンドリア構造タンパク質OPA1を切断から守ることでミトコンドリアの構造を維持しアポトーシスを防ぐ。本研究の結果、PE_PGRS30は、PGRSドメインを介して細胞質内のPHB2ミトコンドリア標的配列に結合し、PHB2をリソソームに移動させて分解し、ミトコンドリア内PHB2量を減少させ、OPA1を切断し、アポトーシスを誘導する機序が示唆された。,基盤研究(C),小区分49050:細菌学関連,結核菌,PE_PGRS30,マクロファージ,アポトーシス,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07133,金沢大学,小倉 康平,高病原性レンサ球菌SDSE固有の病原性獲得メカニズム,高齢者への重篤な感染症例が近年になり急増している溶血性レンサ球菌Streptococcus dysgalactiae subsp. equisimilis (SDSE) について、その病原性発揮機構を解析した。SDSEは2型糖尿病モデルマウスに対して高い致死誘導性を示し、その際には血清中での顕著なサイトカイン放出が観察された。また、SDSEは皮膚ヒアルロン酸を分解する酵素を大量に放出することで栄養素として取り込み増殖することで病原性を発揮していた。さらに、流行型のSDSEは、細胞外構造や増殖機構などでそれぞれ固有の性状を有していた。以上より、SDSE固有の病原性発揮メカニズムが明らかになった。,基盤研究(C),小区分49050:細菌学関連,レンサ球菌,病原性,糖尿病,ヒアルロン酸,細菌感染,SDSE,ゲノム解析,病原因子,G群レンサ球菌,C群レンサ球菌,高齢者感染,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07132,国立感染症研究所,川端 寛樹,新興回帰熱病原体Borrelia miyamotoiの血清耐性因子の機能解析,新興回帰熱病原体Borrelia miyamotoiの血清耐性メカニズム解析をおこなった。本研究では、B. miyamotoiプラスミド上にコードされるbom1093ならびにbom1515遺伝子がB. miyamotoiの血清耐性メカニズムに深く関与していること、ならびにこれらの機能は血清中のビトロネクチンに結合することで、補体系ターミナルパスウェイを負に制御し、これによる殺菌機構を回避することを明らかにした。,基盤研究(C),小区分49050:細菌学関連,新興回帰熱,血清耐性,血清感受性,ボレリア,ビトロネクチン,Borrelia miyamotoi,ボレリアミヤモトイ病,ダニ媒介性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07131,松山大学,玉井 栄治,ウエルシュ菌溶菌酵素の種特異性機構の解明と応用研究,溶菌酵素（エンドライシンやオートライシン）は、ペプチドグリカンを分解し細菌を死滅させる酵素である。また、その分解部位によりムラミダーゼ、グルコサミニダーゼ、アミダーゼ、エンドペプチダーゼの4種類に分類される。さらに、構造学的には、触媒ドメインと細胞壁結合ドメインから構成されている。本研究では、ウエルシュ菌のエンドライシンであるPsaとディフィシル菌のオートライシンであるAcd24020の生化学的性質および構造解析を行った。その結果、これらの溶菌酵素は、共にそれぞれの菌に特異的に作用すること、さらには、Acd24020の特異性は基質結合溝の構造に依存していることを明らかにした。,基盤研究(C),小区分49050:細菌学関連,溶菌酵素,エンドライシン,オートライシン,ペプチドグリカン,ウエルシュ菌,ディフィシル菌,X線結晶構造解析,酵素触媒反応機構,種特異性,アミダーゼ,グルコサミニダーゼ,デフィシル菌,細胞壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07130,松山大学,田邊 知孝,鉄制限と炭素源制限に対するストレス応答の連携による腸炎ビブリオの病原因子発現制御,病原細菌は宿主内において複数の環境ストレスを受けているため、病原細菌の病原性発現を理解するためには複数のストレスに対する応答機構を理解した上で病原因子発現制御機構を解明する必要がある。本研究では、腸炎ビブリオの鉄制限及び炭素源制限ストレスに対する応答因子とそれによる病原因子の発現制御について解析を進めた。本研究の結果、腸炎ビブリオでは炭素源代謝調節因子であるCRPやDksA及び鉄代謝調節因子であるFurが鉄獲得系の発現調節をするとともに2組の3型分泌装置を連携的に発現調節している可能性が見出された。これらの結果は、本菌病原性発現における調節機構のさらなる理解への貢献につながることが考えられる。,基盤研究(C),小区分49050:細菌学関連,腸炎ビブリオ,鉄,シデロフォア,鉄制限ストレス,炭素源制限ストレス,転写因子,鉄獲得系,3型分泌装置,炭素源制御,炭素源,CRP,小分子RNA,栄養制限ストレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07129,徳島文理大学,竹原 正也,ウエルシュ菌α毒素による好中球分化抑制機構の解明,ウエルシュ菌はα毒素を産生し、好中球の分化を抑制して宿主免疫を障害するが、その機構は不明であった。本研究では、α毒素が好中球の分化に関与する顆粒球コロニー刺激因子（G-CSF）の産生には影響せず、G-CSF受容体の発現を好中球で低下させ、G-CSFを介した細胞分化シグナルを阻害することを見出した。また、α毒素によるG-CSF受容体の発現低下は、本毒素によるセラミド産生の増加が原因であることが判明した。さらに、α毒素は宿主の免疫反応を過剰に活性化して、宿主の細胞や臓器を広く障害することが分かった。このように、α毒素は様々な機構で宿主の免疫を撹乱し、ウエルシュ菌の感染拡大に関与すると考えられる。,基盤研究(C),小区分49050:細菌学関連,ウエルシュ菌,毒素,宿主免疫,好中球,細胞免疫,細菌毒素,ガス壊疽,自然免疫,Toll様受容体,細菌感染,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07128,同志社大学,高橋 美帆,強毒性志賀毒素2含有エキソソーム産生抑制による新規腸管出血性大腸菌感染症治療戦略,"志賀毒素2（Stx2)は標的細胞内に取り込まれた後、積極的に細胞外へ放出されており、一部のStx2はexosome結合型となっている。このStx2の細胞外放出に関与する細胞内小胞輸送関連因子を明らかにするために各種siRNAを用いて解析したところ、Stx2はRab11b特異的な経路を介して細胞外へ放出されていること、Rab11a, Rab27a, Rab27b, Rab35は関与しないことが明らかとなった。またキナーゼ基質ペプチドアレイを用いた検討より、Stxが細胞内に取り込まれた後、Stx1とStx2とでは、細胞内で活性化されるキナーゼに違いがあることが明らかとなった。",基盤研究(C),小区分49050:細菌学関連,志賀毒素,エキソソーム（エクソソーム）,小胞輸送,プロテインキナーゼ,エキソソーム,ペプチドアレイ,エクソソーム,キナーゼ,基質ペプチドアレイ,Shia toxin (Stx),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07127,麻布大学,内山 淳平,ファージ内在化によるピロリ菌の持続感染機構の検証,ピロリ菌は、慢性胃炎、胃潰瘍、胃癌などに関与する病原細菌である。ファージは有用な遺伝子を有している場合が多く、環境中での細菌の生存戦略のための形質や毒素産生能の形質など内在化により菌へ付与する場合が知られている。近年、ピロリ菌で内在性ファージが発見され、ピロリ菌ゲノムにファージの残骸遺伝子が多数あることが明らかとなった。そのため、ファージの感染によりピロリ菌へ何らかの影響を与えていると予想される。しかしながら、ピロリ菌ファージ感染によるピロリ菌形質の変化やファージ遺伝学的な影響は明らかとなっていない。本研究では、ピロリ菌のファージ感染は、ピロリ菌の運動性が向上させることを明らかにした。,基盤研究(C),小区分49050:細菌学関連,ファージ,ピロリ菌,溶原化,慢性感染,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07126,法政大学,今村 大輔,コレラ流行株の大規模ゲノム領域重複メカニズムの解明,コレラはコレラ菌によって引き起こされる急性の下痢症であり、現在は発展途上国を中心として第７次パンデミックが猛威を奮っている。本研究ではパンデミックを起こしているコレラ菌の一部では、ゲノムの中に著しく増加している領域があることを発見し、そのメカニズムを解析した。その結果、近年のコレラ流行株は、コレラ毒素をコードしている遺伝領域（CTXファージ）の複製能を失っていることや、CTXファージによってゲノム領域の増加が起こっている可能性が示された。,基盤研究(C),小区分49050:細菌学関連,コレラ,パンデミック,ゲノム,Vibrio cholerae,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07125,日本歯科大学,堀江 哲郎,C. albicansの宿主内生存戦略におけるオートファジーの生理的役割の解析,C. albicansの病原性とオートファジーの関連について解析するために、オートファジー関連遺伝子の破壊株を作製し解析を行った。その結果、培地中のグルコースが枯渇すると、オートファジーが顕著に誘導されることを見出した。この時、野生型とatg株では代謝物の著しい相違が見られた。またatg株と野生株を培養中に、経時的にサンプリングを行い、RNA-Seq解析に供した。maSigProソフトウェアで時系列比較を行い、atg株に特徴的な発現パターンを示す6つの遺伝子群に分類し、GO解析を行った。その結果、atg株では代謝関連遺伝子の他に、病原真菌特異的な転写因子群が顕著に変動していることが分かった。,基盤研究(C),小区分49050:細菌学関連,C. albicans,カンジダ症,オートファジー,代謝,メタボローム,遺伝子発現プロファイル,出芽酵母,病原真菌,代謝物,Candida albicans,分子生物学,転写因子,遺伝子組換え,タンパク質,遺伝子操作,タンパク質科学,真菌,感染,生理機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
