awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K07405,国立研究開発法人国立長寿医療研究センター,林 永美,新規モデル系を用いたアルツハイマー病の神経変性制御機構の解析,アルツハイマー病に対する治療薬の開発のためには、神経変性誘導の理解が必要である。,基盤研究(C),小区分51030:病態神経科学関連,アルツハイマー病,神経変性,アミロイドβ,ショウジョウバエ,シグナル伝達,ピログルタミル化,リン酸化イノシトール,神経変性疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07404,国立研究開発法人国立がん研究センター,上園 保仁,オピオイド製剤の耐性、副作用発現を克服する新規μ/δ二量体特異的アゴニストの創製,近年オピオイドμおよびδ受容体で形成されるμ/δ二量体化受容体アゴニストが耐性、および副作用を引き起こしにくいことが報告された。研究代表者は、μ/δ二量体選択的アゴニストを新規に合成しスクリーニングを行った。その結果、μおよびδ受容体への親和性が低く、μ/δ二量体化受容体に対しては高親和性の選択的アゴニスト4種類を同定することができた。さらに本化合物をリードとして新たな化合物を10種類作製し、同化合物の特性をさらに詳しく解析している。今後は動物実験等を行い、最適化された化合物の企業への導出活動を行っていく。,基盤研究(C),小区分51030:病態神経科学関連,オピオイド受容体,GPCR,二量体,オピオイド耐性,μ/δヘテロマー,μδヘテロマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07403,防衛医科大学校(医学教育部医学科進学課程及び専門課程、動物実験施設、共同利用研究施設、病院並びに防衛,小牟田 縁,ギラン・バレー症候群を中心とした免疫性神経疾患の新規タンパク抗原と病的意義の解明,自己免疫性神経疾患は、患者のQOLを大きく損ない、慢性化すると一生の負担となる。発症した場合の治療は対処療法が殆どで、根本的な治療には自己抗原の解明が必要である。本研究は代表的な自己免疫性神経疾患であるギランバレー症候群やCIDPの患者を対象として、自己抗原の同定を行い、新しい治療法確立を目指す事が目的である。対象となる患者500名以上の血清を解析し、抗原が特徴的な局在を示した血清から抗体を精製した。この抗体による免疫沈降で抗原を取得し、質量分析法によりに解析した。,基盤研究(C),小区分51030:病態神経科学関連,自己免疫性神経疾患,自己抗原,ギランバレー症候群,CIDP,末梢神経障害,自己免疫疾患,自己抗原の同定,ギラン・バレー症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07402,国立研究開発法人理化学研究所,笹栗 弘貴,ゲノム編集技術を利用した変異プレセニリンによるアルツハイマー病機序の系統的解析,高齢化社会の到来により増加するアルツハイマー病（AD）の原因解明と治療法の確立は喫緊の課題である。プレセニリン１（PSEN1）遺伝子変異は家族性ADの原因となることが知られている。最新のゲノム編集技術により複数の変異Psen1マウス系統を作製し解析した結果、アミロイドβの生体内での産生パターンは既報の培養細胞系におけるパターンとは異なることが判明した。また、変異Psen1マウスと当研究室で過去に作製した次世代型ADマウスを交配することにより、早期からヒトAD患者によく類似した病理を呈する優れたADモデルマウスを作製することに成功した。,基盤研究(C),小区分51030:病態神経科学関連,アルツハイマー病,プレセニリン1遺伝子,アミロイドβ（Aβ）,γセクレターゼ,ゲノム編集技術,塩基編集技術,マウスモデル,プレセニリン,アミロイドβ,認知症,モデルマウス,ゲノム編集,塩基編集,ノックイン法,家族性アルツハイマー病,Base editor,βアミロイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07401,久留米大学,大西 克典,依存症はうつ状態の有無で病態メカニズムが異なる！その治療法の開発と分子機構の解明,コカインは腹側被蓋野から側坐核に投射するドーパミン神経が放出したドーパミン濃度を上昇させます。一方、うつ状態ではそのドーパミン神経の発火頻度が上がります。また、ストレスを感じると依存性の高いものに手を出しやすくなり、依存性薬物はうつ状態を悪化させる負のスパイラルを形成します。我々はストレスとコカインで依存性が悪化する分子メカニズムを同定し、それを防ぐための食品と薬物を見出しました。さらにコカインによるドーパミン放出上昇には側坐核のアセチルコリン介在神経細胞のp11の存在が必須であり、また、ストレスに対して抗ストレス状態になるには腹側海馬におけるDFosBの蓄積が重要であることを見出しました。,基盤研究(C),小区分51030:病態神経科学関連,転写因子,FosB,AP-1,コカイン,依存症,うつ病,ストレス,行動実験,酸化ストレス反応,マウス,AAV,食事療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07400,藤田医科大学,服部 聡子,大規模な行動解析データの二次利用による行動表現型と遺伝子群の関連解析,申請者は、本研究の実施期間中、新規の遺伝子改変マウスの網羅的行動解析データを30件以上取得し、本研究で使用する大規模データの拡充を行った。また、大規模な行動解析データの管理や蓄積のため、データベースやサーバーなど、生データの保存体制を改良した。,基盤研究(C),小区分51030:病態神経科学関連,網羅的行動解析,大規模データ,データベース,遺伝子改変マウス,行動解析,二次利用,オープンデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07399,金城学院大学,小崎 康子,痛覚系において脂肪酸はシグナル分子としての役割を持つか,"SHRSP5/Dmcrラットに高脂肪・高コレステロール食(HFC)を摂取させると、摂取開始2～3日後から痛覚過敏が観察される。HFC10,14,24日摂取群の血清中脂肪酸含量を通常食群と比べると、16:0と18：1の有意な増加、20:4n-6と22:6n-3（DHA）の有意な低下が検出された（p<0.05 by t-test）。中でもDHAは疼痛抑制作用を持つことが報告されており、DHAに対する親和性が高い長鎖脂肪酸受容体Ffar1が、血液脳関門を欠く視床下部・延髄にも発現していることから、血中の脂肪酸が痛覚修飾機構においてシグナル分子としての役割を果たす可能性が高いと考えられる。",基盤研究(C),小区分51030:病態神経科学関連,痛覚過敏,高脂肪食摂取,脂肪酸,ドコサヘキサエン酸（DHA),Ffar1,高脂肪食,ドコサヘキサエン酸,脂肪酸受容体,痛み関連遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07398,東邦大学,狩野 修,酸化ストレス性細胞死抑制因子を指標とした神経変性疾患のバイオマーカーの同定,酸化ストレスに起因する細胞死を選択的に抑制する末梢血中neuronal apoptosis inhibitory protein（NAIP）に着目し、筋萎縮性側索硬化症（ALS）の診断や進行及び治療薬効果の分子指標となるバイオマーカーになりうる可能性があることを示してきた。次のステップとして、神経変性疾患（ALS、パーキンソン病、アルツハイマー型認知症）患者ならびに健常者を対象に、末梢血中NAIPをタンパク質解析し、さらにNAIP-RNAの定量を行い、より簡便な方法を提示した。,基盤研究(C),小区分51030:病態神経科学関連,筋萎縮性側索硬化症,バイオマーカー,神経変性疾患,酸化ストレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07397,東京医科大学,宍戸 由紀子,進行性多巣性白質脳症： ＪＣウイルス感染が誘導する組織反応と、宿主免疫応答の解明,進行性多巣性白質脳症(PML)は、JCウイルス感染による脱髄脳症である。本研究で我々は、経時的MRI画像所見と解剖症例の比較から、PML病変の伸展パターンが、A)中心前回・前頭回を含む大脳病変、B)深部灰白質・脳幹を含む縦走病変、C)小脳・脳幹病変（テント下病変）、D)深部白質の粟粒状病変に分類され、神経線維に沿った病巣伸展が特徴的であることを明らかにした。病変部では乏突起膠細胞だけでなく、神経細胞の変性・脱落も認められる。また、脳生検検体の解析から、初期病変では、約70%の症例で炎症細胞浸潤を伴うことも明らかにした。新知見は、PMLの早期診断と病態解明に大いに貢献すると考える。,基盤研究(C),小区分51030:病態神経科学関連,進行性多巣性白質脳症,JCウイルス,免疫再構築症候群,宿主免疫応答,早期画像診断,多発性硬化症,PML,予後,MRI,punctate pattern,milky way appearance,進行性多巣性白質脳症状,PML-NBs,細胞周期,腫瘍抑制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07396,順天堂大学,冨永 光俊,アロネーシス（痒覚過敏）の発症メカニズムの解明と治療法の開発,本研究では、行動薬理学的手法、遺伝子改変動物、組織学的解析等を駆使して、アトピー性皮膚炎にて問題となる「かゆみと掻破の悪循環」の病態形成に関与するアロネーシス（痒覚過敏）の発症メカニズムの解明と治療法の開発を目指し、研究を行った。その結果、脊髄コレシストキニン8S(CCK8S)/CCK2受容体（CCK2R）システムがアロネーシス の発症に強く関与していること、CCK2R拮抗薬の投与はCCK8S誘発性アロネーシス及びドライスキン誘発性アロネーシスを抑制することを明らかにした。,基盤研究(C),小区分51030:病態神経科学関連,アロネーシス,脊髄,コレシストキニン,かゆみ過敏,機械刺激,遺伝子改変,von Frey フィラメント,CCK2受容体,CCK8S,ドライスキン,ノックアウト,GRPR,痒覚過敏,アトピー性皮膚炎,後根神経節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
