awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K07544,国立研究開発法人国立精神・神経医療研究センター,青木 吉嗣,ジストロフィン欠損と加齢による骨格筋萎縮発症の分子機序解明,筋ジストロフィーは、遺伝子変異により、慢性の経過で筋萎縮が進行する難病である。一方、超高齢化社会を迎えたわが国では，加齢等に伴う筋萎縮（サルコペニア）はADL低下の主因である。筋ジストロフィーおよび高齢者の骨格筋では、共通してタイプII筋線維優位の萎縮を認めることから、ジストロフィー筋と加齢性筋萎縮に共通する分子病態が存在すると考えられた。この仮説を実証するため、DMDモデルマウスのジストロフィー筋を対象に、超高感度定量質量分析を実施し、タンパク質間相互作用のインタラクトミクス成果を報告し、DMDおよび加齢に伴う筋萎縮に共通する代謝、炎症、筋肉成長経路間のクロストークを明らかにした。,基盤研究(C),小区分52020:神経内科学関連,デュシェンヌ型筋ジストロフィー,サルコペニア,筋萎縮,速筋型タイプII筋線維,超高感度定量質量分析,加齢,骨格筋,定量質量分析,インタラクトミクス,マウス,プロテオミクス解析,筋ジストロフィー,プロテオミクス,老化,神経内科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07543,国立研究開発法人量子科学技術研究開発機構,島田 斉,PETを用いた認知症脳病態の多様性評価に基づく新規診断・治療戦略確立に関する研究,高齢の認知症患者さんの脳内には、複数の病気に関連する異常が認められることが多く、その症状、治療薬の効果、進行の速さなどは患者さんにより多様です。しかしこれまでは、脳内に複数の病的変化がある場合の診断、治療法に関する検討はあまり行われていませんでした。,基盤研究(C),小区分52020:神経内科学関連,認知症,PET,混合病理,タウ,アミロイド,多様性,病態基盤,予後予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07542,(財)冲中記念成人病研究所,前田 明子,抗ミトコンドリア抗体陽性筋炎の臓器合併症の臨床調査および病態機序解析,①抗ミトコンドリア（anti-mitochodrial antibody; AMA）抗体陽性筋炎（以下AMA筋炎と略す）における心臓合併症および拘束性換気障害に関する質問紙を用いた全国調査を施行し、脳神経内科が把握しうる範囲での日本における過去10年間でのAMA筋炎の有病率、合併症頻度、危険因子を報告した。②自施設解析症例のAMA筋炎の臨床情報、病理所見のデータベース更新・解析を行い、観察期間中の再発率、臓器合併症率を報告した。③AMA筋炎の剖検症例の病理検索での心筋骨格筋の病理所見を報告した。④過去のAMA筋炎のケースレビューを行った。⑤3例のAMA筋炎での血清心筋自己抗体検索を行った。,基盤研究(C),小区分52020:神経内科学関連,抗ミトコンドリア抗体,筋炎,心臓合併症,拘束性換気障害,質問紙,抗ミトコンドリア抗体陽性筋炎,アンケート,不整脈,呼吸筋障害,心伝導障害,心筋症,臓器合併症,心筋障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07541,川崎医科大学,齊藤 峰輝,モデル動物と患者検体の比較解析によるHAMの病因・病態解明と新規治療法の開発,HTLV-1関連脊髄症（HAM）では、末梢血中に多種の自己抗体が高頻度に検出され、自己免疫疾患を含む他の炎症性疾患の合併例も多い。本研究では、先行研究で作製したHAM類似の下肢対麻痺を自然発症する、ミエリンオリゴデンドロサイト糖タンパク質（MOG）特異的CD4陽性T細胞にHTLV-1の転写制御因子TaxまたはHBZを発現するトランスジェニックマウス（HAMマウス）とHAM患者検体を材料に、病態を反映する宿主細胞因子の探索を行った。その結果、TaxまたはHBZの標的遺伝子を含む複数の宿主細胞因子を同定した。これらの因子は、HAMの病態を反映する新規バイオマーカー・治療標的候補となりうる。,基盤研究(C),小区分52020:神経内科学関連,HTLV-1,HAM/TSP,動物モデル,T細胞受容体,自己抗原特異的T細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07540,兵庫医科大学,松山 知弘,脳梗塞後の骨髄由来血管血球系幹細胞の単離と前臨床試験,脳梗塞後遺症の治療法としての血管再生療法を確立するため、マウスおよびヒト脳梗塞後の骨髄から血管血球系幹細胞であるHemangioblast-like cell (HLC) を同定した。HLCはCD31陽性の血管内皮細胞とPlatelet-derived growth factor receptor (PDGFR) beta陽性の血管周皮細胞に分化し、梗塞脳で血管新生に関与することが示唆された。また、前臨床試験として、HLCを脳梗塞2日目のマウスに静脈内投与し、1か月目に行動テストを施行したところ、神経障害が改善されたことから、HLCが脳梗塞の細胞治療製剤として有用であることが強く示唆された。,基盤研究(C),小区分52020:神経内科学関連,ヘマンジオブラスト,ペリサイト,骨髄,脳梗塞,血管新生,Hemangioblast-like cell,骨髄細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07539,愛知医科大学,丹羽 淳一,疾患特異的iPS細胞を用いたポリグルタミン病創薬スクリーニングシステムの開発,ポリグルタミン病は、ポリグルタミン鎖（CAGリピート）が異常伸長した変異タンパク質の凝集体により神経変性が誘導される疾患である。より正確な病態解析、創薬研究には、よりヒト患者に近い病態モデルが必要であり、疾患特異的iPS細胞による疾患モデル、および疾患表現型の明確、簡便、かつ定量的な評価システムの開発が求められてきた。本研究ではポリグルタミン病の一つである球脊髄性筋萎縮症（SBMA）の疾患特異的iPS細胞から分化誘導した運動ニューロンや骨格筋を用いて疾患モデル細胞を作製し、観察し得た表現型を明確に、かつ簡便に検出し得るスクリーニングシステムを作製した。病態解析や創薬研究への応用が期待される。,基盤研究(C),小区分52020:神経内科学関連,疾患iPS細胞,ポリグルタミン病,球脊髄性筋萎縮症,スクリーニング,iPS細胞,運動ニューロン,疾患特異的iPS細胞,創薬スクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07538,藤田医科大学,伊藤 信二,脳梗塞における中性糖脂質と炎症関連分子とのクロストーク,近年動脈硬化の進展における炎症性機序の関与が注目されているが、本研究では中性糖脂質の多面性に着目し、アテローム血栓性脳梗塞の病態における炎症促進因子としての作用の解明を試みた。発症機序が動脈硬化と全く異なる心原性脳塞栓症との間で、急性期における炎症関連分子および中性糖脂質の発現、糖脂質代謝にかかわるライソゾーム水解酵素活性を比較したが、今回の研究ではこれらの因子のアテローム血栓性脳梗塞発症機序への関与は証明できなかった。炎症関連分子や糖脂質代謝は発症からの時間、基礎疾患、感染症や悪性腫瘍合併の有無など、症例毎の臨床的背景にも大きく左右されるため、症例を蓄積して多変量解析を進める必要がある。,基盤研究(C),小区分52020:神経内科学関連,脳梗塞,脳血管障害,炎症,糖脂質,炎症関連分子,血管内皮,ライソゾーム水解酵素,Trousseau症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07537,東京医科大学,相澤 仁志,筋萎縮性側索硬化症の分子病態研究,孤発性筋萎縮性側索症(ALS)ではRNA編集酵素であるadenosine deaminase acting on RNA2(ADAR2)の酵素活性が疾患特異的、運動ニューロン特異的に低下する。本研究ではNuclear isomerase Pin1は核内ADAR2活性を維持するためには重要な酵素であるが、細胞質内にTDP-43陽性封入体を有するALSの病的運動ニューロンでPin1の発現が亢進している事を組織学的に明らかにした。Pin1はADAR2活性の維持に必要であり、Pin1発現の亢進はADAR2活性の低下を補完する方向で作用し細胞保護的に働くものと考えられた。,基盤研究(C),小区分52020:神経内科学関連,筋萎縮性側索硬化症,ADAR2,Pin 1,TDP-43,孤発性筋萎縮性側索硬化症,Pin1,nucleoporin,nuclear isomerase Pin1,importin-α4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07536,順天堂大学,吉野 浩代,新規パーキンソン病原因遺伝子VPS13Cの病態評価と病的意義の探索,VPS13Cのパーキンソン病（PD）における危険因子としての意義の検討を目的に、遺伝子パネルを用いたスクリーニングにて検出されたレアバリアントの保有率を患者群と健常者群で比較した。その結果、保有率は患者群で有意に高く、更にVPS13Cのパラログ遺伝子であるVPS13B/Dも同様の結果が得られ、VPS13遺伝子はPDの疾患感受性遺伝子の可能性が示唆された。,基盤研究(C),小区分52020:神経内科学関連,VPS13C,ＶPS13遺伝子,パーキンソン病,レアバリアント,発症危険因子,疾患感受性遺伝子,VPS13A/B/D,iPS細胞由来神経細胞,ミトコンドリア機能,risk variant,感受性遺伝子,VPS13C遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07535,順天堂大学,平澤 恵理,老化脳室下帯の解析による神経新生ベストマトリクス環境の探索,本研究の目的は、老化による神経新生シグナルの減弱をレスキューする糖鎖修飾/細胞外環境を示し、現存治療を補完する新規治療方法を探ることである。HS鎖の6位硫酸化を細胞外で脱硫酸化する修飾するSulf1/2は、ヘパリン親和性因子のHSPGへの結合を細胞外において調節し，因子のシグナル伝達を巧妙に制御するとされるが、個々の生命事象における詳細はまだまだわかっていない。本研究ではSulf1 / 2 DKOを使用し、Sulfと神経新生の直接の関与と関連分子機構を明らかにすることにした。Sulf1 / 2 DKOマウスの老化個体を解析し、脳室下帯の部位により硫酸化に特異的パターンがある可能性を示した。,基盤研究(C),小区分52020:神経内科学関連,成体神経新生,脱硫酸化酵素,ヘパラン硫酸プロテオグリカン,糖鎖修飾,細胞外マトリックス,成体神経新,ノックアウトマウス,老化脳室下帯,ヘパラン硫酸鎖,老化,細胞外環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
