awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K07895,地方独立行政法人大阪市民病院機構大阪市立総合医療センター(臨床研究センター),依藤 亨,若年発症遺伝性糖尿病におけるミトコンドリア遺伝子異常の役割,日本人若年発症糖尿病の遺伝背景、特にミトコンドリア遺伝子の関与を検討する研究である。（1）臨床的に単一遺伝子性糖尿病が疑われる患者の家系発端者368例について、既知の原因25遺伝子のパネル検査、MLPA法、ミトコンドリア遺伝子m.3243A>G変異のRFLP法、染色体6q24領域のメチル化特異的PCR法を行った。病原性バリアントを156名に、また病原性の可能性のあるバリアントを44名に同定した。（2）上記の検討で病的バリアントを認めない症例とMODY遺伝子の病的バリアントを持つ対象群各8例についてミトコンドリア遺伝子を検討したが、有意に頻度の高いヘテロプラスミー部位は認められなかった。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,MODY,遺伝子,ミトコンドリア,若年発症糖尿病,糖尿病,小児内分泌学,遺伝性糖尿病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07894,国立感染症研究所,西條 政幸,日本における小児免疫不全患者における難治性単純ヘルペスウイルス感染症対策,難治性ヘルペスウイルス感染症患者を診た医師からの原因ウイルスの薬剤感受性試験の相談を受け付け，検体を受領しウイルス学的に薬剤感受性試験を実施した．アシクロビル（ACV）耐性HSV-1感染症，ACV耐性VZV感染症，ガンシクロビル耐性CMV感染症患者をウイルス学的に証明した．ACV耐性を誘導する新規機序（UL29遺伝子内の変異）が明らかにされた．また，第1翻訳コドンから44番目のコドンの位置にストップコドンを有するHSV-1 44UAGはACV耐性を示し，チミジンリン酸化酵素発現量が温度依存性に低下することによる．,基盤研究(C),小区分52050:胎児医学および小児成育学関連,単純ヘルペスウイルス1型,水痘帯状疱疹ウイルス,抗ウイルス薬,アシクロビル,耐性,薬剤感受性,Bウイルス,中枢神経感染症,単純ヘルペスウイルス１型,Bウイルス感染症,脳炎,遺伝子検査法,単純ヘルペスウイルス,薬剤耐性,免疫不全,薬剤感受性試験,免疫不全患者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07893,久留米大学,松石 豊次郎,Rett症候群の病態解明とバイオマーカー確立の基礎的・臨床的研究,レット症候群（RTT）は未だ病態は不明で有効な治療法はない。モデル動物、ES細胞、iPS細胞、RTT患者のiPS細胞を確立し、病態解明、バイオマーカー確立、新規治療法開発研究を行った。グレリンを用い、RTTの難治のジストニアに対する有効性を報告した。ジストニアの評価方法、唾液を用いた神経伝達物質、修飾因子の測定法、ホルター心電図を用いた自律神経指標の有用性を確立した。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,レット症候群,MECP2遺伝子,全エキソーム解析,バイオマーカー,ジストニア,自律神経症状,モデル動物,ghrelin,自律神経,神経伝達物質,睡眠,ホルター心電計,グレリン,iPS細胞,振戦,突然死,不整脈,肺炎,Rett症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07892,久留米大学,古賀 靖敏,GDF15を用いたミトコンドリア病・メタボリック症候群に対する創薬の基盤研究,ミトコンドリア病の診断バイオマーカーとしてGDF15を発見、国内特許（P6711966）を取得し、株式会社医学生物学研究所（MBL）と共同で、世界で使用されている自動汎用検査機器に搭載可能な新たな診断デバイス（LTIAデバイス）を開発し、その臨床的有用性を検証した（J Inherit Metab Dis. 2021;44(2):358-366）。この新しいデバイスを用いると、GDF15の測定を10分という測定時間（迅速）でしかも全自動で大量の検体が一度に処理可能となる。その診断性能は、感度94.0％、特異度91.0％であり、診断薬として有用であることを証明した。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,GDF15,診断薬,感度,特異度,サイトカイン,ミトコンドリア病,バイオマーカー,電子伝達系酵素欠損,臨床性能試験,サロゲートマーカー,ミトコンドリア機能不全,高乳酸血症,糖尿病,インフルエンザ脳症,自己免疫性肝炎,原発性肝硬変,診断バイオマーカー,病勢のバイオマーカー,治療効果判定のバイオマーカー,メタボリック症候群,メタボローム解析,治療薬開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07891,関西学院大学,安達 直樹,周産期ストレスによる神経幹細胞分化への影響とそのメカニズム,本研究ではグルココルチコイドが神経幹細胞の分化に与える影響を詳細に解析した。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,グルココルチコイド,神経幹細胞,分化,ストレス,神経幹細胞の分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07890,愛知医科大学,奥村 彰久,MERS－異常言動スペクトラムの分子生物学的基盤の解明,可逆性脳梁膨大部病変を有する軽症脳炎・脳症(MERS)を反復する家族例において、MYRF遺伝子に共通するミスセンス変異を同定した。他のMERSの症例に対し全エクソーム解析を行い、反復する白質脳症を認めた症例で新規のMYRF遺伝子のミスセンス変異を同定した。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,MYRF,MERS,異常言動,遺伝子解析,可逆性脳梁病変,MERS－異常言動スペクトラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07889,東京女子医科大学,羽山 恵美子,動脈管開存症の原因となる転写因子群のシグナル伝達パスウェイの研究,動脈管においては、中膜平滑筋細胞の増殖・内腔側への遊走、筋収縮制御タンパク質の発達、細胞外基質の増加、内膜肥厚、酸素感受性の獲得等により「酸素感受-収縮-機能的閉鎖」機能が成熟する。本研究では、酸素刺激により、cAMPやMAPKパスウェイが活性化、血管新生や細胞増殖、筋収縮、エピジェネティック変化が促進、形質転換、細胞外マトリックスと細胞の相互作用が変化、酸化的リン酸化が活性化、アポトーシスが促進などのシグナルを検出した。動脈管におけるHspA1Bとc-FOSの発現も、これらシグナル伝達の一端と考えられる。動脈管には炎症反応に対する独自の免疫応答能が存在する可能性がある。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,動脈管,酸素感受性,転写因子,シグナル伝達,胎児発達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07888,東京慈恵会医科大学,小林 博司,人工知能・次世代シークエンサーを用いたファブリー病の統合データベース構築,ファブリー病男性患者群を心疾患の有無で分類。この2群（計28名）に健常成人コントロール群（5名）を加えて、全員から採血しRNAを採取。CAGE解析を行い、3群間で発現量に有意差の見られた遺伝子を抽出した。発現に有意差のある候補遺伝子10個選出し発現量に関して正常群を除いたFabry病23名の心MRIをAIで解析（Segmentation）、Fabry病で心臓合併所見の有・無の2群間で差が出る遺伝子CHN1とCOX6CP1の２つを検出した。散布図からは逆相関の傾向であり、この2遺伝子発現の組み合わせ、もしくは単独の発現でFDの心合併症の予後予測が可能かどうかを検証し、論文投稿を準備している。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,Fabry病,AI,次世代シークエンサー,循環器系合併症,CAGE,予後予測因子,ファブリー病,遺伝子治療,ＡＩ,データベース,二次的ゲノム変化,倫理委員会,人工知能,遺伝子解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07887,帝京大学,高橋 和浩,小児特発性ネフローゼ症候群の病態解明：発症機序における自己抗体の役割,特発性ネフローゼ症候群(NS)は高度蛋白尿をきたす慢性疾患で、発症原因は未だ不明である。本研究は小児特発性NS患者を対象とし、患者血中の自己抗体に着目して発症原因を解明することを目的とした。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,小児,特発性ネフローゼ症候群,自己抗体,ネフローゼ症候群,小児腎臓病,オルガノイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K07886,埼玉医科大学,徳山 研一,食物アレルギー児のアナフィラキシー症状発現に果たす神経原性炎症の役割,食物によるアナフィラキシーに対する神経原性炎症の役割を解明するため、カルシトニン遺伝子関連ペプチドの血漿中濃度を食物経口負荷試験時のアナフィラキシー症状出現前後で測定したが、有意な変動は認めず、その関与は明らかでなかった。一方、花粉症-食物アレルギー症候群（PFAS）罹患児の全身症状の出現頻度を、児童生徒を対象とした大規模調査を用いて解析した。その結果、PFAS疑い例のうち約30％に全身症状を認め、臓器別症状出現頻度は、即時型食物アレルギーの出現比率と類似しており、疫学的には両病型の全身症状出現機序には共通の病態が存在する可能性が示唆された。,基盤研究(C),小区分52050:胎児医学および小児成育学関連,anaphylaxis,food allergy,花粉症食物アレルギー症候群,CGRP,アナフィラキシー,神経原性炎症,花粉症ー食物アレルギー症候群,食物アレルギー,全身症状,カルシトニン遺伝子関連ペプチド,神経ペプチド,カルシトニン遺伝子関連ペプチド（CGRP）,サブスタンスP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
