awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K08379,国立研究開発法人国立国際医療研究センター,森川 隆之,生体イメージングによる造血幹細胞ニッチの加齢変化の解明,本研究は加齢に伴う造血幹細胞ニッチの変容を明らかにすることを目的とした。まずマウス骨髄のメタボローム解析やレポーターマウスの解析から、加齢に伴いマウスの骨髄で減弱しているシグナル経路を同定した。また組織染色やマウス骨髄の生体イメージングにより、骨髄の一部の血管内皮細胞が産生する代謝産物が骨髄の血流を維持し、造血幹前駆細胞の骨髄での血管外遊走に重要な役割を担っていることを示す証拠が得られた。これらの知見及び造血幹細胞移植、パラバイオシスの結果から骨髄での特定の代謝産物の減少が加齢に伴う造血幹前駆細胞の抹消から骨髄への移行効率の低下の一因となっている可能性が示唆された。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,造血幹細胞,骨髄,生体イメージング,ニッチ,微小循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08378,国立感染症研究所,浜口 功,HTLV-1キャリアのATL発症予防対策に向けた潜伏感染のメカニズム解明,これまでにヒト血液細胞を保持するHTLV-1キャリアマウスモデルを確立した。 また次世代のin situ hybridization法により、感染マウスのリンパ系組織においてウイルスRNAのシグナルが検出した。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,HTLV-1,STLV-1,水平感染,胎盤感染,マウスモデル,in situ hybridization法,PVL,ヒト化マウス,In situ hybridization,in situ hybridization,潜伏感染,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08377,国立研究開発法人理化学研究所,清田 純,絶対的遺伝子発現解析による造血幹細胞・ニッチ間分子コミュニケーションの全貌の解明,本研究は網羅的遺伝子発現解析を用いて、造血幹細胞とそれを取り囲む微小環境を構成する細胞間の分子コミュニケーションを解明することを目指すものであるが、申請直後に遺伝子発現解析の標準手法自体が大きく変化したため、まずは1細胞RNA-seq技術の確立を行った。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,遺伝子発現,網羅的解析,造血幹細胞,ニッチ,分子コミュニケーション,1細胞解析,RNA-seq,微小環境,システムバイオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08376,兵庫医科大学,池亀 和博,複数回の造血幹細胞移植後にもかかわらず再発した白血病細胞の免疫回避機構の解明,本研究ではHLA不適合移植後の再発白血病において、両方のHLAを消失することがあるか、またそうでなければ両HLA不適合移植の優位性が示せるのではないか、との命題からin vitro実験と臨床試験遂行を計画した。折しもコロナ禍で前者の円滑な解析が困難となり、後者に集中した。両HLA不適合移植は両方のHLAを同時に標的とした移植であり、その再発白血病のHLA発現をみれば前者の解答にもなるからである。両HLA不適合移植の概要では、30症例中、早期死亡の1例を除いて全例で生着し、重度の急性GVHD発症率は16.7%、移植1年後の生存率は30.1%、再発率は38.9%、非再発死亡率は44.3%であった。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,HLA不適合造血幹細胞移植,白血病,再発,GVHD,HLA,不適合移植,HLA不適合移植,HLA-LOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08375,近畿大学,松村 到,治癒を目指した慢性骨髄性白血病幹細胞の分子遺伝学的、免疫学的特性解析,本研究では、チロシンキナーゼ阻害薬(TKI)投与中に残存する慢性骨髄性白血病幹細胞(CML-LSC)の抗腫瘍免疫回避機構を解析した。申請者らが同定した表面形質上CD34+38-120a+225+ で定義されるCML-LSCでは、CD120aからのNF-κB経路の活性化により、免疫チェックポイント分子PDL1、および免疫抑制性に作用する酵素IDO1の発現が誘導されていることを見出した。さらに、骨髄組織において細胞障害性T細胞を抑制し、制御性T細胞や骨髄由来抑制細胞などの免疫抑制細胞を集簇させることで、TKI投与下の免疫回避環境を形成していることを見出した。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,慢性骨髄性白血病,分子標的,腫瘍免疫,アミノ酸代謝,CML,CML幹細胞,チロシンキナーゼ阻害薬,免疫チェックポイント分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08374,日本医科大学,田村 秀人,骨髄腫におけるKL-6およびMUC1-galectin-3による増悪化機構の解析,MUC1上に存在するシアル化糖鎖抗原KL-6の多発性骨髄腫(MM)病態への関与を明らかにすることを本研究の目的とした。初発MM患者での検討では、血清KL-6高値群(n=22)では正常群(n=173)と比べ、LDH高値、Hb低値、有意に無増悪生存期間不良であった。次に急性増悪患者よりKL-6産生MM細胞株MOSTI-40を樹立し検討した。1q21+を含む複雑核型、CD28+CD229+、高い細胞増殖能を有したが、抗MM薬への感受性は他の細胞株と差がなかった。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,多発性骨髄腫,KL-6,予後不良因子,MUC1,galectin-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08373,東海大学,鈴木 利貴央,多発性骨髄腫におけるセマフォリン3Aシグナルを介した薬剤耐性機序の解明とその克服,本研究では、多発性骨髄腫（MM）と骨髄間質細胞間のセマフォリン3A（SEMA3A）とニューロピリン1(NRP1)の相互作用の薬剤耐性における意義を明らかにすることを目的とした。骨髄微小環境中のSEMA3Aは少なくとも一部は骨髄間質細胞から分泌され、オートクライン的に他のサイトカインとも連携しつつ、SEMA3A-NRP1経路を介して骨髄間質細胞の増殖を促進することを明らかにした。また、SEMA3AはAKT経路を介して骨髄間質細胞の骨芽細胞への分化を誘導・促進することでMMと骨髄間質細胞間の接着により誘導される薬剤耐性メカニズムを克服しうることを見出した。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,多発性骨髄腫,セマフォリン3A,薬剤耐性機序,骨髄間質細胞,骨芽細胞,骨髄微小環境,骨細胞,PI3K-AKT,転換,furin,CDK5,ボルテゾミブ耐性,ニューロピリン1,FPPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08372,順天堂大学,楊 インジェ,CALR遺伝子変異により発症する骨髄増殖性腫瘍に対する新規治療戦略の開発,本研究では、フィラデルフィア染色体陰性の骨髄増殖性腫瘍（MPN）患者の一部に見出されるcalreticulin(CALR)遺伝子変異依存性に増殖する細胞株を用いた化合物ライブラリースクリーニングにより得られた、腫瘍細胞選択性の高い低分子化合物（化合物X)について、MPNのモデル細胞およびモデル動物を用いて解析を行った。その結果、化合物Xが医薬候補分子としての有望であることが明らかとなった。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,骨髄増殖性腫瘍,mutant CALR,低分子化合物,変異型CALR,calreticulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08371,北里大学,鈴木 隆浩,TGFbシグナル抑制分子CD109の造血における機能解析,CD109はTGFb制御を介して、造血器腫瘍・骨髄造血に関わることが想定される。本研究ではノックアウトマウスを用いてCD109の機能について解析を行った。その結果、マウスではヒトと異なり骨髄細胞にCD109の発現は認められず、形質芽細胞に発現が認められることが明らかとなり、CD109欠損下ではこれらの細胞が減少していることが示唆された。また、健常人および各種造血器疾患における血清可溶性CD109濃度を測定したところ、免疫性血小板減少症でCD109が高値傾向となることが示唆された。,基盤研究(C),小区分54010:血液および腫瘍内科学関連,CD109,造血分化,骨髄造血,TGFb,TGFbシグナル,トランスフォーミング成長因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08370,自治医科大学,大森 司,血液凝固第VIII因子産生細胞の起源解明による新たな血友病治療への展開,"本研究ではFVIII産生細胞がEGFP発現細胞として観察できるノックインマウスを用いてFVIII産生細胞の同定を試みた。FVIII産生細胞は肝類洞のみに認めた。FVIII産生細胞はCD146, CD31、Lyve1というリンパ管内皮細胞の特徴をもつが、一方で血小板マーカーであるClec-2を発現した。胎仔肝では胎生12.5日よりFVIII産生細胞を認め、発生とともに発現が増加し、出生時には成マウスと同程度となった。FVIIIコンディショナル欠損マウスはLyve1-Creマウスとの交配によりFVIIIが低下した。さらにAAVベクターで効率よくFVIII産生細胞にレポーター遺伝子を発現できた。",基盤研究(C),小区分54010:血液および腫瘍内科学関連,血液凝固第VIII因子,血友病A,再生医療,遺伝子治療,肝臓類洞内皮細胞,血友病,第VIII因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
