awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K08461,独立行政法人国立病院機構東京病院(臨床研究部),永井 英明,QFT-Plusによる結核診断能評価および新規結核バイオマーカーの探索,新世代の結核診断法QuantiFERON(QFT)-Plusは、QFT-GITと異なる結核抗原を含み、免疫低下状態や高齢結核の診断能に優れる可能性がある。本研究ではQFT-GIT、QFT-Plus、T-SPOT.TBの精度を比較検討し、残血漿中バイオマーカーを測定した。感度、特異度に関し、QFT-Plus、QFT-GIT、T-SPOT.TBは同等であった。また、QFT残血漿中のサイトカイン値に関して、QFT-plus抗原のサイトカイン産生能はQFT-3G抗原と比較して同等か、やや劣る可能性が示唆された。活動性結核の診断目的のROCにおいては、IP-10値を用いた場合に最もAUCが高かった。,基盤研究(C),小区分54030:感染症内科学関連,QFT-Plus,cytokines,QFT-GIT,IFN-γ,IP-10,結核,サイトカイン,QFT,T-SPOT,活動性結核,潜在性結核感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08460,国立研究開発法人国立国際医療研究センター,鍬田 伸好,HBV感染に伴う細胞老化の評価と抗HBV核酸アナログがもたらす効果,核酸アナログ製剤はHBV感染症の治療に有効であるが、治療では長期の服薬期間が必須である為、安全性の高い薬剤開発が望まれている。我々はこれ迄に新規核酸アナログを複数デザイン・合成・同定している。しかしながらこれら核酸アナログの長期投与及びHBV感染そのものが細胞の老化現象に及ぼす影響について詳細な評価はされていない。,基盤研究(C),小区分54030:感染症内科学関連,HBV感染,HBV感染と細胞老化,抗HBV核酸アナログと細胞老化,抗HBV核酸アナログと細胞老化細胞老化,老化関連βガラクトシダーゼ,p21,細胞老化,抗HBV核酸アナログ,老化関連β-ガラクトシダーゼ,p16,テロメア長,SASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08459,獨協医科大学,瀬尾 幸子,ヘルペスウィルス再活性化による抗腫瘍効果の機序とその最適化点の解明,造血幹細胞移植後患者の血液を用いて様々なサイトカインの測定を行い、ヒトヘルペスウィルスの１つであるヒトヘルペスウィルス6の再活性化直前にST2（Stimulation 2）とLYVE-1（Lymphocyte vessel endothelial receptor 1）が有意に上昇することを明らかにした。,基盤研究(C),小区分54030:感染症内科学関連,ヘルペスウィルス,再活性化,造血幹細胞移植,ウィルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08458,国立感染症研究所,原田 恵嘉,HIV感染経過におけるADCC作用に関する包括的症例検証およびその発展研究,本研究は、HIV潜伏感染細胞の浄化すなわち治癒を目指した新規治療法戦略に対する基盤研究として、HIV感染者検体を用いて、ADCC活性を包括的に解析することを主目的とする。,基盤研究(C),小区分54030:感染症内科学関連,HIV,AIDS,抗体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08457,国立感染症研究所,吉河 智城,迅速な組換え生ワクチン作製を可能とするプラットフォームの開発と検証,高度に弱毒化されたワクシニアウイルス株LC16m8に外来遺伝子を簡単かつ速やかに組込み可能なシステムを確立する。そのシステムを用いてラッサウイルスの遺伝子を導入した組換えm8を作製し、その免疫誘導能をマウスを用いて評価することでラッサワクチンとしての可能性を検討する。本研究では3種類のプラスミドを作製し、これを用いることで1週間あれば外来遺伝子をBACプラスミドに100％の確率で組込める系を確立した。そして、このシステムを用いてラッサウイルスのNPまたはGP発現する組換えm8の作製に成功した。更にこのウイルスをマウスに免疫するとラッサウイルスに対する特異抗体が誘導されることを確認した。,基盤研究(C),小区分54030:感染症内科学関連,ワクチン,ラッサ熱,ワクシニアウイルス,ラッサウイルス,組換えウイルス,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08456,国立研究開発法人理化学研究所,吉澤 彰宏,効率的な抗インフルエンザメモリーCD8 T細胞の誘導法の開発,獲得免疫反応において、CD8 T細胞は、T細胞受容体（TCR）と、ペプチドを結合したMHC class I分子との会合により抗原を認識し活性化される。インフルエンザ感染後マウス肺実質内に残留する2種類のインフルエンザ抗原特異的CD8 T細胞は、それぞれ会合する抗原が異なれば、T細胞内の分子的制御も大きく異なることがすでに明らかとなっている。そこで我々は①インフルエンザ抗原特異的な2種のCD8 T細胞の局在を組織学的に解析②他の種類の免疫細胞との相互反応を与える微小環境を解明③CD8 T細胞の局所残留を可能にする接着分子の探索、をすることで、免疫記憶を成立させる微小環境の解明を目指している。,基盤研究(C),小区分54030:感染症内科学関連,インフルエンザ,CD8 T細胞,免疫記憶,T細胞,メモリー,抑制性分子,CD8T細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08455,川崎医科大学,川野 光興,薬剤耐性プラスミドの接合伝達系を標的とした新規抗菌法の開発,本研究では、アンチセンスRNA (asRNA) を発現するファージを用いて、薬剤耐性の性質を付与する接合伝達プラスミドを保有する細菌のみを標的とする新規抗菌法の開発を行った。まず、細菌の生存に必須な遺伝子を標的とするasRNAの発現により細菌の生育を阻害できる遺伝子発現系の構築を行った。次に、それらasRNAによる遺伝子サイレンシングシステムをM13ファージミドに組込み、感染作用を用いて宿主細菌に導入して生育阻害効果を調べた。その結果、99.99%以上の殺菌効果のある抗菌RNA配列を複数取得できた。ファージ療法研究において世界で初めてのasRNAを用いた抗菌作用を得ることができた。,基盤研究(C),小区分54030:感染症内科学関連,薬剤耐性菌,バクテリオファージ,ファージセラピー,アンチセンスRNA,遺伝子発現制御法,抗菌法,感染制御法,性線毛,薬剤耐性遺伝子,殺菌法,必須遺伝子,多剤耐性菌,ファージ療法,抗菌薬,カルバペネム耐性腸内細菌科細菌,生育阻害法,薬剤耐性細菌,カルバペネム腸内細菌科細菌,薬剤耐性プラスミド,接合伝達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08454,鈴鹿医療科学大学,伊奈田 宏康,粘膜免疫誘導型新規感染性ウイルス腸炎ワクチンの開発,感染症には、予防および有効な治療薬が重要であり、特にワクチンは予防の要である。感染症は、グローバル化した世界やワクチン供給などの観点からも、より有効な予防法・ワクチンの開発が望まれている。多くの感染性腸炎は粘膜を介して感染する。ノロウイルスは感染性胃腸炎を引き起こす主なウイルスである。粘膜免疫を誘導する新たなノロウイルスワクチンの開発を行った。また、感染性腸炎に対する粘膜誘導型ワクチンの効果について検討を行った。,基盤研究(C),小区分54030:感染症内科学関連,感染性胃腸炎,ワクチン,粘膜免疫,ヒトパラインフルエンザ２型ウイルス,ノロウイルス,ウイルスベクター,感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08453,相模女子大学,奥村 裕司,宿主酵素を標的分子とした新規治療薬の開発：高病原性ウイルス感染症の新たな制御法,インフルエンザウイルスの感染性獲得には、宿主プロテアーゼによるウイルス外膜糖タンパク質（ヘマグルチニン：HA）の限定分解が必須である。高病原性鳥インフルエンザウイルスに特異的なHA切断部位配列を認識するウイルス活性化酵素(MSPL)の発見と構造解析の成功を機に、本研究ではまず、MSPLの構造を基盤に合成した阻害剤についてその性状を明らかにした。次に、MSPL安定発現細胞株を用いた感染実験より、酵素阻害剤がウイルスの感染・増殖を抑制することを証明した。さらに、類縁酵素TMPRSS2のホモロジーモデルの構築に成功した。これらにより、COVID-19にも有効な予防・治療薬の開発が進むと期待できる。,基盤研究(C),小区分54030:感染症内科学関連,高病原性鳥インフルエンザウイルス,ウイルス活性化酵素,膜結合型プロテアーゼ,プロテアーゼ阻害剤,高病原性感染症,膜結合型酵素,酵素特異的阻害剤,治療薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08452,東邦大学,石井 良和,抗菌薬の臨床的ブレイクポイント設定及び検証のためのモデル構築,ブレイクポイントの境界でメロペネムに感性を示すIMP-6型カルバペネマーゼ産生もしくはCTX-M-2型基質特異性拡張型β-ラクタマーゼ産生の腸内細菌科細菌に対するメロペネム治療（1回1g、1日3回）の有効性をHollow-fiber infection modelを用いて評価した。いずれの菌株も治療中にメロペネム耐性株が出現した。全ゲノムシーケンスおよびPCR解析の結果、前者ではblaIMP-6搭載プラスミドコピー数の増加に伴うIMP-6産生量増加、後者ではblaCTX-M-2の三重複によるCTX-M-2産生量増加と外膜遺伝子ompCの欠失が、メロペネム耐性化に寄与したことが示唆された。,基盤研究(C),小区分54030:感染症内科学関連,ブレイクポイント,中空糸膜感染モデル,メロペネム,カルバペネマーゼ産生腸内細菌科細菌,プラスミド,全ゲノムシーケンス,抗菌薬適正使用,HFIM,シミュレーション,AMR対策,カルバペネマーゼ産生腸内細菌目細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08451,東邦大学,小松 陽樹,感染症診断の新しいアプローチ‐B型肝炎ウイルス感染における爪と毛髪の有用性の検討,本研究の目的は、B型肝炎ウイルス（HBV）感染症における爪と毛髪の有用性を明らかにすることである。慢性B型肝炎患者71名が本研究に参加した。爪と毛髪からDNAを抽出し、real-time PCRにてHBV DNAの定量を実施した。爪検体の93％、毛髪検体の82％がHBV DNA陽性であった。毛髪と爪のHBV DNA量は有意な相関関係を示した。爪検体の59％からHBs抗原が検出された。爪と毛髪から抽出したHBV DNAを用いて系統樹解析を実施し、塩基配列は血液検体と高い相同性を示した。【結論】爪と毛髪は血液と同様に診断や感染源の同定に有用であると考えられた。,基盤研究(C),小区分54030:感染症内科学関連,B型肝炎ウイルス,HBV DNA,爪,毛髪,HBs抗原,系統樹解析,DNA,遺伝子解析,感染,免疫組織染色,HBe抗原,B型肝炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08450,東京女子医科大学,越野 一朗,赤血球ATP受容体シグナリングを標的にマラリア感染を防ぐ：耐性のない治療法の確立,マラリアは年間40万人が死亡する世界最大の感染症の一つである。宿主赤血球で起こる、ATP刺激で起こる細胞内情報伝達の活性化がマラリア原虫の赤血球侵入に必須であることを実証し、それを遮断することによって新規のマラリア治療法を確立することを目的とした。,基盤研究(C),小区分54030:感染症内科学関連,マラリア,赤血球,cAMP,マラリア原虫,PKAリン酸化,情報伝達,感染防御,ATP受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08449,帝京大学,上田 たかね,劇症型感染における起因菌および外毒素の新規迅速分析法の確立,皮膚・筋肉壊死の進行が速い急性感染性電撃紫斑病(Acute Infectious Purpura Fulminans; AIPF)は、致死率が高く救命できても患者のQOLは極めて低下する。起因菌の１つであり２例のAIPF患者より分離した肺炎球菌株２株と6例の敗血症患者の６株、肺炎患者の３株について全ゲノム解析を行なった。１１株のゲノム解析の結果いずれの株も全長約２Mbであった。これらをD D B Jへ登録した。莢膜型はP F株で６(6A/6B/6C/6D)と35Bであり、Core geneの全ゲノム系統樹で最も離れていた。PF株は他株に見られない配列部位がNan Aにあることを明らかにした。,基盤研究(C),小区分54030:感染症内科学関連,細菌感染,炎症,ゲノム解析,細菌毒素,感染症,全ゲノム解析,検出抗体,迅速分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08448,順天堂大学,片山 由紀,難治性感染症の再燃と蔓延を阻止する治療戦略の開発とビッグデータ解析,本研究は、全ての疾病に関わる人類の脅威“難治性感染症”の克服を目的とする。菌血症や院内感染の起因菌第一位の「難治性MRSA（メチシリン耐性黄色ブドウ球菌）感染症」は人類の脅威である。近年、第一選択薬のバンコマイシン（VCM）化学療法も奏功しない感,基盤研究(C),小区分54030:感染症内科学関連,MRSA,TOF-MS,Vancomycin,VISA,slow-VISA,hetero-VISA,黄色ブドウ球菌,薬剤耐性,病原性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08447,北里大学,高橋 孝,人獣共通病原菌・犬レンサ球菌が保有する定着性・病原性・薬剤耐性機構の解明,近年、屋内にて犬/猫を飼育する人が多く、人⇔伴侶動物との距離が短縮しており、つねに人獣共通感染症の脅威にさらされている。,基盤研究(C),小区分54030:感染症内科学関連,細菌,人獣共通感染症,定着性,病原性,薬剤耐性,定着因子,病原因子,薬剤耐性因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08446,埼玉医科大学,樽本 憲人,PNAを用いたLAMP法によるマクロライド耐性梅毒トレポネーマの検出系の開発,Treponema pallidumの23S rRNA の2058/2059番目の変異を検出するようloop-mediated isothermal amplification (LAMP) primerおよびpeptide nucleic acid (PNA)プローブを設計し、T. pallidumのPCR陽性の臨床検体（n=66）において検討した。結果、LAMP法による検出感度は93.9 %であり、PNAプローブ存在下で、野生型検体に対しては完全にLAMP反応は阻害された。以上より、PNAを用いたLAMP法により、梅毒トレポネーマの迅速同定に加えマクロライド耐性を確認することができた。,基盤研究(C),小区分54030:感染症内科学関連,梅毒トレポネーマ,マクロライド,23S rRNA,LAMP,peptide nucleic acid,マクロライド耐性,PNAプローブ,梅毒,PNA-LAMP法,マクロライド系薬耐性,PNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08445,岩手医科大学,吉野 直人,サフラン色素クロシンを粘膜アジュバントとした経鼻インフルエンザワクチンの開発,本研究では食品添加物として用いられているサフラン色素の成分であるクロシンの粘膜アジュバント作用を検討した。全粒子不活化インフルエンザウイルスとクロシンを経鼻免疫すると気管洗浄液中のIgA抗体価の上昇、ウイルス感染後の体重減少の抑制および気管洗浄液中のウイルス量減少が観察された。インフルエンザ流行期間で免疫が維持されているかを確認するため最終免疫から30週の間隔を開けてウイルスを接種しても効果が認められた。クロシンはインフルエンザウイルス感染に対して有効な粘膜免疫を誘導できる粘膜アジュバントであった。クロシン添加経鼻インフルエンザワクチンは安全かつ有効な新規ワクチンになり得る可能性が示された。,基盤研究(C),小区分54030:感染症内科学関連,アジュバント,粘膜免疫,ワクチン,糖型界面活性剤,インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08444,京都府立医科大学,新屋 政春,新規抗ウイルス自然免疫機構を標的にした抗ウイルス薬スクリーニングシステムの開発,Fbw7βの発現を特異性高く、高感度に検出できるハイスプールプットなスクリーニング系を構築し、Fbw7βの発現を誘導できる化合物を選び出した。スクリーニングした薬物は複数種のウイルスに対して抗ウイルス活性を有してした。,基盤研究(C),小区分54030:感染症内科学関連,抗ウイルス,抗ウイルス自然免疫,抗ウイルス自然免疫機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08443,名古屋市立大学,井坂 雅徳,A群連鎖球菌spy1588遺伝子の酸感受性機構と病原性発症機構の解明,本研究では、劇症型を発症するA群連鎖球菌の二成分制御因子SPY1588の酸感受性とその機能と病原性発症機構の解析を実施した。その結果SPY1588は、１）酸性環境下でバイオフィルム産生に関与、２）酸環境下でSPY1588組換えタンパク質が自己リン酸化、３）組換えタンパク質のアミノ酸置換で酸感受性部位とキナーゼドメインが明らかとなった。,基盤研究(C),小区分54030:感染症内科学関連,A群連鎖球菌,二成分制御因子,ヒスチジンキナーゼ,バイオフィルム,二成分制御系,センサータンパク質,組換えタンパク質,二成分制御,立体構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08442,福島県立医科大学,金光 敬二,原発避難区域を含む福島県内全域のダニ媒介性感染症の調査と新たな診断手法の開発,東京電力福島第一原子力発電所事故が与えた浜通り地域を中心とした福島県のダニ媒介性感染症への影響を検討するため、捕獲した野生動物の血清及び内臓並びにその体表に付着していたマダニを検体として病原体の検索を試みた。その結果、つつが虫病病原体、紅斑熱群リケッチア及び野兎病菌に対する抗体並びに各病原体の遺伝子が検出されたことから、野生動物の生息域の拡大がダニ媒介性感染症のリスク増加につながる可能性に加え、野生動物がダニ媒介性感染症のリザーバーとして機能していることが示唆された。このため、旧避難区域に帰還する住民及び医療機関等への周知が重要であることが示された。,基盤研究(C),小区分54030:感染症内科学関連,マダニ,ダニ媒介感染症,節足動物,福島県,原発事故,ダニ媒介性感染症,つつが虫病,野兎病,紅斑熱群リケッチア症,ダニ媒介性疾患,日本紅斑熱,東日本大震災,野生生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08441,福島県立医科大学,石岡 賢,サイトメガロウイルスの感染細胞指向性をエピジェネティックに型判別する方法の開発,先天性サイトメガロウイルス感染児の尿から分離された細胞指向性（トロピズム）の異なる2組4株のトロピズムの異なる臨床分離株についてbi-sulfate法を用いた次世代シークエンサーによる全ゲノムメチル化解析を試みた。トロピズムの異なる株間には塩基配列に違いが見られないにも関わらず、21の遺伝子に有意にメチル化に差が見られた。また、４株間のメチル化の系統樹解析でトロピズムの同じ株同士が近縁の位置にあることが明らかとなった。メチル化に差が見られた遺伝子産物がトロピズムに関与するかどうか検証中である,基盤研究(C),小区分54030:感染症内科学関連,サイトメガロウイルス,細胞指向性,トロピズム,メチル化,エピジェネティクス,bi-sulfate,エピジェネティック,ヒトサイトメガロウイルス,臨床分離株,病原性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
