awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K08772,大阪医科大学,大門 雅広,マルファン症候群患者由来iPS細胞から作製した血管細胞モデルでの治療薬の探索,若年期に致命的な大動脈解離や大動脈瘤破裂を発症するマルファン症候群と類縁疾患において、確実に生命予後を改善するのは解離発症前の人工血管置換手術のみである。患者ごとに発症様式が異なり、治療介入の時期と方法に関して苦慮する場合が多い。原因遺伝子の変異の多様さが、患者ごとに発症様式が異なる原因であると考えられる。そこで本研究では、FBN1遺伝子変異を有するマルファン症候群患者の末梢血からiPS細胞を経由して誘導した血管平滑筋細胞培養系を用い、大動脈でみられる病態を再現(血管細胞モデル)することを試みた。,基盤研究(C),小区分55030:心臓血管外科学関連,iPS細胞,Marfan症候群,平滑筋細胞,大動脈解離,マルファン症候群,稀少難病,ドラッグ・リポジショニング,血管細胞モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08771,東京慈恵会医科大学,篠原 玄,位相差X線CT解析から視えた非破壊ヒト刺激伝導系構造の社会還元システムの構築,先天性大動脈二尖弁、右側相同症、心室中隔欠損症、Ebstein病、三尖弁閉鎖症のホルマリン固定心標本に対してSPring8において位相差Ｘ線CT計測を行い（測定時間192時間、標本数37）、疾患ごとに特有の刺激伝導系走行パターンを完全かつ詳細に3次元画像解析を行った。右側相同、三尖弁閉鎖症においては特に新知見や新しい可視化画像を国内外学会で発表した。,基盤研究(C),小区分55030:心臓血管外科学関連,刺激伝導系,先天性心疾患,小児心臓外科,小児循環器病,心臓刺激伝導系,位相差Ｘ線CT,三尖弁閉鎖症,デジタルコンテンツ,先天性大動脈二尖弁,右側相同症（無脾症候群）,位相差イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08770,自治医科大学,木村 直行,数値流体力学計算に基づく慢性大動脈解離における大動脈拡大機序の解明,"急性A型解離術後偽腔開存例のうち、大動脈非拡大群（<3mm/y, n=5）と拡大群（>10mm/y, n=6）を選定し、術後早期CTデータを元にCFD解析を行い、平均剪断応力（WSS）と壁圧力を比較した。両群とも収縮中期でWSSと壁圧上昇を認めたが、群間差はなかった。ヒト大動脈血管内皮細胞（EC）と平滑筋細胞（SMC）を使用した共培養モデルとSMC単培養モデルで低（2Pa）/ 高（20Pa）WSSを24時間負荷しSMCのMMP-2/-9産生を比較すると、SMC単培養ではWSS依存性にMMP-2産生の増加を認めた。大動脈ステント前後のCFD解析も行い、治療による血行動態の変化を定量的に評価した。",基盤研究(C),小区分55030:心臓血管外科学関連,大動脈解離,剪断応力,数値流体力学計算,共培養モデル,単培養モデル,大動脈拡大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08769,京都府立医科大学,井上 知也,自家・他家由来生体材料を心臓血管補填組織として用いるために最適な処理方法の開発,２０２０年度に完成した物理特性計測システムを用いて、生体由来材料について種々の力学的パラメータ計測を行った。まず、業者より購入したブタ心膜に 短時間のエタノール処理・グルタールアルデヒド処理などの化学処理を加え、処理を行わない生の心膜との物理特性の比較を行った。具体的には心膜の 1) 破裂圧・2) 血管縫合糸を用いた糸引っかけ強度・ストリップ状に裁断した膜の引っ張り試験による 3) 破断強度・4) 弾性率・5) 破断時の最大長などの、ISO 規格に準拠したパラメーターについて計測をおこなえるシステムを完成した。今後は様々な生体材料の特性評価を行うことで、物理面での最適化に応用する予定である。,基盤研究(C),小区分55030:心臓血管外科学関連,代用血管,自家移植,化学処理,脱細胞化処理,物理特性,自己心膜,物理特性最適化,臨床応用の拡大,物理特性評価,同種移植,異種移植,心臓血管外科組織再生,脱細胞処理,心臓血管組織再生,自家組織,他家組織,化学修飾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08768,横浜市立大学,益田 宗孝,自家心膜のグルタルアルデヒド処理と抗石灰化処理に関する研究,心臓血管外科領域において、臓器の壁欠損部や弁尖などへの補填材料として、患者自身の心膜は最も使用頻度の高いものの一つである。強度が必要な部位では、術野において短時間グルタルアルデヒド処理した自己心膜を使用されることが多いが、それにより長期的には組織の石灰化を引き起こす。現在広く使用されている生体弁は、構造的劣化の対策としてグルタルアルデヒド処理を行った後に、各生体弁メーカーが独自の抗石灰化処理法を用いているが、自己心膜のグルタルアルデヒド処理においては現在のところ手術室で可能な確立した短時間抗石灰化処理法はない。本研究の目的は、術中に施行可能な抗石灰化処理法を確立しその最適化を図るものである。,基盤研究(C),小区分55030:心臓血管外科学関連,自家心膜,弁形成,心臓手術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08767,横浜市立大学,内藤 祐次,胸腺組織を活用する圧力印加組織工学による小児心臓弁の開発,先天性心疾患根治術において抗凝固療法不要、成長能を有する理想の小児心臓弁の開発は長年の課題である。新しい手法である圧力印加組織工学、および術中廃棄される胸腺から間葉系幹細胞を分離し、心臓弁パッチの作成を試みた。細胞源を胸腺由来間葉系幹細胞から、ヒト臍帯動脈平滑筋細胞へ変更し、細胞の積層，および圧力印加による心臓弁パッチの作成に成功した。作製したパッチをヌードラットの腹部大動脈に移植し、3週、3ヶ月、5ヶ月後に形態評価、組織学的評価を行った。移植術を行った17例中、16例は全例生存し、移植部の大動脈は開存し狭窄、瘤形成を認めなかった。組織学的に内腔側は内皮で覆われ、弾性線維の新生を認めていた。,基盤研究(C),小区分55030:心臓血管外科学関連,圧力印加,先天性心疾患,ヒト臍帯動脈平滑筋細胞,平滑筋細胞,間葉系幹細胞,組織工学,小児心臓手術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08766,札幌医科大学,安田 尚美,術後虚血性脊髄障害に対する間葉系幹細胞を用いた治療法の開発,虚血性脊髄障害モデルラットに対する骨髄間葉系幹細胞（Mesenchymal Stem Cells : MSCs）の経静脈的投与が治療効果を検討した。モデルラットに運動障害発症１日後にMSCを投与し２８日間観察して非投与群と運動機能を比較した。結果、MSC投与群では非投与群と比較し有意な運動機能の改善が認められた。また、MRIを用いた経時的観察においても脊髄体積の保持を認めた。組織学的検討においては、MSC投与群において、脊髄の断面積の保持、神経細胞数の保持、神経線維数の保持、微小血管系の保持を認めた。これらにより、治療メカニズムとして神経保護と血液脊髄関門の安定化が示唆された。,基盤研究(C),小区分55030:心臓血管外科学関連,虚血性精髄障害,神経再生,神経保護,胸腹部大動脈瘤,虚血性脊髄障害,骨髄間葉系幹細胞,大動脈瘤,間葉系幹細胞,再生医療,虚血再灌流障害,脊髄障害,ラット,虚血再灌流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08765,熊本大学,野口 亮,ヒト幹細胞から自己心臓と同期する立体心筋移植片を作る技術開発,本研究はヒトiPS細胞由来心筋細胞、血管内皮細胞、壁細胞などとヒト皮下由来線維芽細胞を組み合わせ、自己凝集能で心筋組織型スフェロイドを作成し、さらにスフェロイドを融合させ任意の大きさの心筋グラフトを作成し、重症心不全の治療に有効な新規再生医療技術を考案することを目的としている。本研究期間では、ラットの心臓、ラット胎児心筋由来構造体の固定標本や、ヒト由来心筋組織の機能解析としてメタボローム解析を行った。3次元構築した、組織と、生体由来の組織で、タンパク、代謝産物の相違を網羅的に解析することを目指した。以前からの、研究で固定保存していた、ラット胎児左室心筋細胞、ヒトiPS細胞由来血管内皮細胞、正常ヒト皮膚線維芽細胞を7：1.5：1.5で混合させた。立体心臓組織型構造体：総細胞数1.5Ｘ10＾7程度のうち、0.3ｍｍ四方のブロック状にした組織体をホルマリン固定した標本と、ラットの心筋細胞、臨床で採取し、同意を得て保存した心房細胞をメタボローム解析した。Ｐｒｉｎｃｉｐａｌ　Ｃｏｍｐｏｎｅｎｔ，クラスター解析などをおこない、系統的に差が出るものと、出ないものの解析を行った。複数の代謝産物で有意に差がでるものを認めた。興味深いことに、人工的に作成した組織でも、メタネフィリン、ノルアドレナリンなどの代謝産物が存在していることが確認された。その他一部のアミノ酸も構造体では産生できてないものがあり、Ｎａｔｉｖｅの組織で産生できる条件を検討し、培養条件に追加してより機能的な心筋構造体作成に結びつけれると考えた。,基盤研究(C),小区分55030:心臓血管外科学関連,組織工学,心不全治療,ヒト幹細胞,再生医療,心筋再生,幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08764,佐賀大学,柚木 純二,多施設DPCデータ解析を用いた低侵襲手術の費用対効果の検証と至適治療戦略への展開,様々な低侵襲治療が発展しているがその費用対効果も重要である。重症大動脈弁狭窄症の低侵襲手術である経皮的大動脈弁留置術(TAVI)をモデルとし、従来の開胸手術(SAVR)との比較を多施設DPCデータで行った。我々のプロトコールで厚労省のDPCデータを利用し、3年間のSAVR12534例とTAVI14744例を検証した。治療成績は在院死亡SAVR1.0%、TAVI0.6％と良好で在院日数はTAVIが有意に短かった。手術材料費以外の入院費はTAVIが低いが、高い材料費のため総入院費はTAVIの方が約100万円高かった。TAVIの材料費が抑えられれば、その費用対効果はさらに期待できると考える。,基盤研究(C),小区分55030:心臓血管外科学関連,DPCデータ,低侵襲治療,費用対効果,TAVI,SAVR,低侵襲手術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K08763,佐賀大学,荒井 健一,バイオ3Dプリンタを用いたスキャフォールドフリー心筋組織体の薬理試験方法の確立,新薬開発に於いて心毒性や薬理応答性を評価する為に、ヒトiPS細胞由来心筋細胞を用いた3次元心筋組織体の開発は有用である。我々は、以前にバイオ3Dプリンタを用いて足場材料を使用せずに心筋組織体を作製する技術について報告してきた。本研究では、作製した心筋組織体の薬理応答性を評価する為に収縮力を測定する方法を開発した。我々は、剣山上に積層された心筋組織体が収縮する際の針の移動量を測定した。イソプロテレノール、プロプラノロール、ブレビスタチン、E-4031を添加した際の収縮力と拍動回数を測定した。その結果、開発した方法を用いることで心筋組織体の収縮力、薬理応答性を評価することが出来た。,基盤研究(C),小区分55030:心臓血管外科学関連,バイオ3Dプリンタ,ヒトiPS細胞由来心筋細胞,組織工学,スキャフォールドフリー,薬理学,動物実験代替法,心筋組織工学,ヒトiPS由来心筋細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
