awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K09567,福岡歯科大学,大野 純,免疫調節型間葉系幹細胞による口腔粘膜病変の抑制法,Th1免疫応答型口腔粘膜疾患の難治性は、潰瘍形成に関与するエフェクター細胞の上皮指向性を誘導するM1マクロファージの浸潤であることを示した。具体的には、病変部に浸潤するM1マクロファージが抗延焼効果を有するM2マクロファージを不活性化して、上皮破壊に導くことが明らかとなった。病変部M1マクロファージに対して、人為的に作製した免疫調節型MSC(M2-MSC)がM1マクロファージをM2マクロファージに形質転換する可能性を示唆した。,基盤研究(C),小区分57020:病態系口腔科学関連,口腔粘膜病変,Th1型免疫応答,M1マクロファージ,M2マクロファージ,間葉系幹細胞,上皮親和性,口腔粘膜疾患,免疫調節機能,エフェクター細胞,抗炎症作用,iNOS,IL-6,マクロファージ,Lupus型免疫応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09566,福岡歯科大学,内田 邦敏,歯周病発症におけるTRPチャネルを介した口腔上皮バリア機能破綻の関与,本研究はTRPチャネルと上皮バリア機能形成との関係に焦点を当て、歯周病感染に伴うバリア機能破綻メカニズムを明らかにすることを目的とした。ヒト口腔上皮細胞株を用いた３次元培養モデルを構築し、歯周病原菌の死菌と共培養することで新たなin vitro歯周病モデルを作製した。このモデルの上皮細胞において、上皮層の厚みの増大、細胞増殖の亢進、及びバリア機能の低下が観察された。また、TRPV3及びTRPV4の発現が認められ、非選択的TRPチャネル阻害剤の処置は本モデルで観察される上皮層の厚みの増大を抑制した。本歯周病モデルは歯周病発症機構の理解及び治療法開発に繋がることが期待される。,基盤研究(C),小区分57020:病態系口腔科学関連,口腔上皮,細胞増殖,バリア機能,歯周病菌,歯周病,上皮バリア機能,TRPチャネル,LPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09565,福岡大学,竹田津 英稔,口腔内歯周病菌が腸管免疫・腸内細菌へ与える影響と炎症性腸疾患への関連性の解明,炎症性腸疾患（IBD）は腸管に慢性の炎症をきたす自己免疫疾患であり、細菌が関与していることが示唆されている。私たちは、歯周病菌の菌種や菌量がIBDに与える影響について検討を行った。健常人、クローン病患者、潰瘍性大腸炎患者で検討を行ったところ細菌量について健常人と比較しクローン病に多いことが認められ、歯周病関連菌であるFusobacterium nucleatumは潰瘍性大腸炎に多く認められた。,基盤研究(C),小区分57020:病態系口腔科学関連,炎症性腸疾患,歯周病菌,歯周病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09564,兵庫医科大学,山根木 康嗣,口腔扁平上皮癌における新規リンパ管新生抑制因子によるリンパ行性転移の抑制,ヒト口腔扁平上皮癌細胞株およびリンパ管内皮細胞株における内因性血管新生抑制因子とその受容体の発現をヒストン脱アセチル化阻害剤、DNAメチル化阻害剤、mTOR阻害剤を作用させ網羅的に解析し発現が増加する因子の中で、Semaphorin関連因子に絞った。epigenetic modulatorの作用によりこれら因子の発現が増加しリンパ管新生が有意に抑制されたことから、リンパ管形成の制御にも血管抑制因子が関わっている可能性が示唆された。また内因性血管抑制因子はepigeneticな要因によって拘束されており、これらを解除する事で腫瘍新生リンパ管形成を抑制できる事が示唆された。,基盤研究(C),小区分57020:病態系口腔科学関連,扁平上皮癌,新生リンパ管抑制,転移抑制,エピジェネティック阻害剤,口腔扁平上皮癌,リンパ管新生,エピジェネティック試薬,口腔扁平上皮f癌,リンパ管新生抑制,腫瘍リンパ管新生,腫瘍血管新生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09563,大阪歯科大学,堂前 英資,ヒトγδ T細胞による口腔癌抑制作用をニュートリゲノミクスにより制御する,口腔癌に対する養子免疫療法の開発を目的に、ヒトVγ9Vδ2T細胞に着目してその可能性を検討した。8種類のヒト口腔癌細胞を用いて細胞障害アッセイを行ったところ、Vγ9Vδ2T細胞によって殺傷されることを確認した。,基盤研究(C),小区分57020:病態系口腔科学関連,ヒトVγ9Vδ2 T細胞,Vγ9Vδ2T細胞,γδT細胞,ニュートリゲノミクス,SREBP-2,ビスホスホネート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09562,朝日大学,江原 道子,質量分析イメージング解析による口腔粘膜前癌病変の糖鎖構造プロファイル,口腔粘膜において前癌病変と位置づけされている上皮性異形成および悪性の上皮内癌および扁平上皮癌と診断された病理組織標本を用いて，病理標本上で存在する物質の質量を可視化するとともに定量的に解析可能な方法であるマトリックス支援レーザー脱離イオン化法による質量顕微鏡解析（MALDI-IMS）を行い，口腔前癌病変と正常部における糖鎖構造改変現象を網羅的に定量化した．その結果，正常から上皮性異形成、上皮内癌および扁平上皮癌へと病変が移行するのに伴って変化する糖鎖構造が明らかとなった．,基盤研究(C),小区分57020:病態系口腔科学関連,口腔がん,口腔上皮性異形成,糖鎖,口腔扁平上皮癌,口腔前癌病変,口腔病理学,前癌病変,質量分析イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09561,朝日大学,引頭 毅,自己免疫性唾液腺炎の司令塔：MyD88依存的シグナルによる三次リンパ組織形成機構,シェーグレン症候群（SS）等でみられる自己免疫性唾液腺炎（AS）では、リンパ球浸潤を伴う慢性炎症に起因する腺組織破壊により唾液分泌が障害され、摂食能や口腔感染防御能が低下する。我々はSSモデルマウスを用い、自然免疫を制御する受容体群のアダプター分子として知られるMyD88遺伝子を欠失させたところ、リンパ球浸潤の発生頻度が減少し、唾液腺障害が抑制されることを見出した。ASにおけるMyD88の役割について詳細な解析を行い、三次リンパ組織形成に関わる機構ならびに病因的遺伝子群の同定において重要な成果を得ることができた。,基盤研究(C),小区分57020:病態系口腔科学関連,自己免疫性唾液腺炎,自然免疫,シェーグレン症候群,リンパ球浸潤,MyD88,三次リンパ組織,細胞内シグナル伝達,TLR9,樹状細胞,疾患モデルマウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09560,日本歯科大学,高橋 幸裕,口腔レンサ球菌の感染に関わる新規病原因子の分子生物学的解析とその多様性の解明,我々は、う蝕と歯周病、さらには感染性心内膜炎など歯性感染症の原因となる口腔バイオフィルム（デンタルプラーク）形成の初期に歯に付着する口腔レンサ球菌のHsaアドヘジン(付着因子)を同定した。この研究の目的は、Hsaを含むこれらアドヘジンの多様性を解明することである。ヒト口腔サンプルから190株の口腔レンサ球菌を分離し解析した結果、Hsaの非繰り返し領域（NR2）は、赤血球凝集活性に何らかの関連があること、Streptococcus gorodonii と同定された株でHsaと類似のタンパク質が存在する可能性が高いこと、NR2領域の推定アミノ酸配列は他の領域に比べて多様であることを明らかにした。,基盤研究(C),小区分57020:病態系口腔科学関連,口腔レンサ球菌,アドヘジン,多様性,バイオフィルム,病原因子,デンタルプラーク,感染性心内膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09559,東京歯科大学,石原 和幸,歯周病原性菌による宿主細胞のエピジェネティクスな変化の解析による歯周病の病態解明,歯肉縁下細菌叢の遺伝子には、健常部と歯周炎局所で、炭水化物の代謝、グリカンの生合成と代謝、アミノ酸代謝、DNAの複製と修復に関わる遺伝子に差が認められていた。このうち、フェニルアラニンの生合成に関わる遺伝子変化は、過去の報告と類似していた。歯肉上皮細胞へのT. denticolaを感染により遊走に関わるタンパクの分解が認められた。ATAC-seqによる解析では、T. denticolaの感染した細胞では、オープンクロマチン領域と考えられる領域が少なくなっていた。この結果から、T. denticolaによる上皮細胞機能の遺伝子発現抑制が示唆され、混合感染の系によりさらに詳細な解析を継続している。,基盤研究(C),小区分57020:病態系口腔科学関連,Treponema denticola,gene expression,epigenetic regulation,periodontitis,periodontal microbiome,エピジェネティクス,歯周炎,Porphyromonas gingivalis,歯周病原菌,エピジェネティック制御,歯肉上皮細胞,感染,慢性歯周炎,歯周病原性菌,dysbiosis,タンパク分解酵素,歯周疾患,マトリクスメタロプロテアーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09558,昭和大学,桑田 啓貴,炎症性腸疾患により引き起こされる口腔ディスバイオーシス誘導機構の解明,食物アレルギーは生命を脅かしうる疾患である。腸内で細菌叢ディスバイオーシスが起こると、アレルギー症状が悪化する。この仕組みを検証するため、アレルギーモデルマウスを作製し、口腔と腸管で細菌叢が変化させ、免疫系の変化を検証した。OVAアレルギーモデルでは、糞の生菌をMALDI-TOF MSで同定したところ、Citrobacter sp.が増加し、in-vitroでもCitrobacterがil-33を誘導した。in-vivo実験でにCitrobacter koseri経口投与がアレルギー症状を悪化させ、Th17細胞が減少した。アレルギーマウスでは唾液sIgAとIgA結合の口腔細菌が増加した。,基盤研究(C),小区分57020:病態系口腔科学関連,細菌叢,粘膜免疫,ディスバイオーシス,自然免疫,好中球,citrobacter,レンサ球菌,口腔細菌,炎症性腸疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
