awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K09825,兵庫医科大学,高岡 一樹,骨微小環境における老化の解明,"老化した細胞は、単に細胞増殖を停止しているのではなく、SASP(senescence-associated secretory phenotype)と呼ばれる炎症性サイトカインなどのタンパク分泌現象を生じていることが明らかにされている。本研究の結果、破骨前駆細胞は老化により徐々に自己複製能が低下し、破骨細胞への分化が抑制され、骨微小環境内に老化破骨前駆細胞が蓄積されていく可能性が考えられた。さらに、老化破骨前駆細胞はSASP因子(IL-6, TNF-α, NO) の産生およびエクソソームの放出数が増加しており、またエクソソームとして炎症性因子であるiNOSを放出していた。",基盤研究(C),小区分57060:外科系歯学関連,骨微小環境,破骨細胞,老化,エクソソーム,TGF-β,歯学,口腔外科学,骨代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09824,日本歯科大学,那須 優則,ラジカル捕捉剤edaravoneと脂肪幹細胞分泌物によるX線誘発唾液腺障害の軽減,我々はエダラボンのフリーラジカル除去能に着目し、放射線療法の際に正常細胞への放射線障害の影響に対する軽減効果について研究を行った。そこで本研究では、X照射を行った血管内皮細胞に対するエダラボンの放射線防護作用について調べた。その結果、エダラボン自体が細胞毒性を有していたものの、放射線防護作用を示す濃度域を明らかとした。また、活性酸素種を検出する試薬であるCellROXを用いてX線を照射した細胞から発生する活性酸素を測定した結果、エダラボンの添加により有意に発生が抑えられていることを明らかとした。エダラボンの放射線防護作用の有用性について示唆することができた。,基盤研究(C),小区分57060:外科系歯学関連,エダラボン,培養細胞,放射線,X線防御効果,edaravone,HUVEC,X線,唾液腺,放射線障害,防護作用,secretome,放射線傷害,脂肪幹細胞分泌物,唾液腺細胞,X線照射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09823,昭和大学,代田 達夫,オートファジーを基軸とした下歯槽神経障害に対する新規薬物療法の開発,下顎枝矢状分割術は術後合併症として高い頻度で口唇の周囲に麻痺などの神経障害が発症するが、有効な治療法は未だ確立されておらず、既存の薬物治療(ビタミンB複合体など)に代わる新たな作用機序を有した治療薬の導入が望まれている。,基盤研究(C),小区分57060:外科系歯学関連,オートファジー,ラパマイシン,オトガイ神経知覚異常,シュワン細胞,末梢神経再生,末梢神経損傷,下歯槽神経損傷,知覚回復,Rapamycin,mTOR阻害剤,グリア・ニューロン間相互作用,下歯槽神経障害,オトガイ神経損傷,知覚異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09822,明海大学,福田 正勝,脂肪酸合成を標的とした口腔癌の増殖・進展メカニズムの解析,ヒト口腔扁平上皮癌由来株化細胞Ca9-22細胞において強いFAS，SREBP1の発現を示した．Ca9-22細胞におけるSREBP1発現をノックダウンした時，FASおよびE-FABP発現は抑制され，その結果Ca9-22細胞の増殖活性は抑制され細胞数は減少した．口腔扁平上皮癌組織においてp53陽性（変異）症例に一致してFAS，SREBP1の陽性所見が認められた．以上の結果から，p53遺伝子変異を認めた口腔癌細胞において，SREBP1の過剰発現を引き起こし，その結果，脂肪酸合成が亢進することで口腔癌の増殖・進展が起こっている事が示唆された．,基盤研究(C),小区分57060:外科系歯学関連,口腔癌,脂肪酸合成酵素（FAS）,p53,SREBP,細胞死,Resveratrol,E-FABP,オートファジー細胞死,脂肪酸合成酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09821,北海道医療大学,照光 真,三叉神経神経障害性疼痛の中枢性感作-infra-slowオシレーションの変調-,口腔顔面の慢性疼痛を増悪させる要因の一つに、中枢神経系で痛みを増幅してしまう中枢性感作がある。本研究では三叉神経が脳への神経伝達を行う視床と、痛みの不快な情動に関する前帯状回での代謝物質と神経活動を計測した。患者群は、正常群よりも前帯状回で興奮性と抑制性の神経伝達物質が増加し、中枢性感作の質問紙の結果とこれらの神経伝達物質の量は相関していた。慢性疼痛患者では2つの脳部位での周期的な神経活動の同期に変調を認めた。中枢性感作に関する脳機能の一端を示すことができた。,基盤研究(C),小区分57060:外科系歯学関連,三叉神経,慢性疼痛,中枢性感作,代謝産物,MR spectroscopy,安静時fMRI,神経障害性疼痛,MRスペクトロスコピー,安静時機能的MRI,Infra-slow oscillation,オシレーション,fMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09820,横浜市立大学,光永 幸代,進行口腔癌に対する動注養子免疫療法と免疫チェックポイント阻害剤併用療法の開発,進行口腔癌において超選択的動注化学放射線療法を用いることで根治性の向上、機能温存による患者のQOL維持が期待されるが、殺細胞性抗癌剤による口内炎や疼痛などが問題となる。最近免疫チェックポイント阻害剤(ICI)が臨床応用され、生存期間の延長など目覚しい効果が見られているが、奏効率の低さが問題となっており、その要因としてがん組織中のT細胞数の低さが考えられる。本研究ではがん組織内に特異的に還流できる超選択的動注法を応用し、活性化T細胞の組織内濃度を高め、さらにICIを投与することで、より副作用が少なく高い抗腫瘍効果が期待できる養子免疫療法とICI療法を複合させた新しい治療法の確立を目的とした。,基盤研究(C),小区分57060:外科系歯学関連,動注治療,免疫チェックポイント阻害薬,動注化学療法,口腔がん,がん免疫療法,免疫療法,口腔癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09819,横浜市立大学,岩井 俊憲,磁性造影剤と磁気プローブを用いた新しい口腔癌センチネルリンパ節同定法の確立,通常，RIトレーサーはセンチネルリンパ節の術前マッピングとガンマプローブを用いた術中の同定に使用されるが，RIはいくつかの制限があるため，RIを用いない方法がセンチネルリンパ節生検の普及には必要である．本研究では口腔癌N0症例に対してMRLを用いたセンチネルリンパ節の術前マッピングと磁気プローブを用いた生検の実行可能性を評価した．２７例の患者にセンチネルリンパ節生検を実施し，MRLによる同定は全例で可能であった．マッピングされたリンパ節は全例において磁気プローブで同定可能であった．磁気法によるセンチネルリンパ節生検は有用な方法であることが示された．,基盤研究(C),小区分57060:外科系歯学関連,口腔癌,頸部リンパ節転移,センチネルリンパ節,センチネルリンパ節生検,低侵襲,磁性造影剤,MR lymphography,磁気プローブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09818,長崎大学,梅田 正博,多施設共同前向き研究による舌癌予防郭清の適応決定と転移関連バイオマーカー検索,早期舌癌の治療戦略において潜在性頸部転移に対する予防的頸部郭清術の適応は有効な治療法であるが、その適応基準は不明確である。本研究は日本口腔腫瘍学会共同研究委員会の協力を得て行う多施設共同研究で、症例登録後に予防郭清をランダム化せずに根治治療を施行し、その後統一した経過観察を行うという実臨床に最も即した形の前向き観察研究である。さらに症例登録時に癌組織のサンプリングを行い、潜在性頸部転移のバイオマーカー探索を行うことも目的としている。,基盤研究(C),小区分57060:外科系歯学関連,舌癌,予防的頸部郭清,経過観察,バイオマーカー,潜在性頸部転移,頸部後発転移,予後,リンパ節転移,前向き観察研究,深達度,quality of life,多施設共同研究,口腔癌,バイオマーカー検索,頸部郭清,非ランダム化比較試験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09817,九州大学,今井 裕子,口腔マイクロバイオームを指標とした心臓移植患者の口腔管理方法の確立,補助人工心臓（VAD）装着前後の患者における観血的処置と血液データ、合併症の関連について解析を行い、デバイスの種類、APTT-Tの延長、平均動脈圧の上昇・脈圧の低下、抗血栓療法が抜歯後出血の因子として考えられた。そこでVAD患者、心移植後患者で特有の口腔細菌動態を評価するために、同意が得られたVAD患者14人、心移植後患者10人から唾液を採取した。前者は全員抗血栓療法中、３人は抗菌薬長期投与中であった。後者は全員免疫抑制剤服用中、９人は抗血栓薬療法中、７人は抗菌薬・ステロイド・ＢＰ製剤投与中であった。VAD装着期間が長い患者と心移植後日数が短い患者の細菌叢構成が類似している傾向があった。,基盤研究(C),小区分57060:外科系歯学関連,補助人工心臓,心臓移植,出血傾向,マイクロバイオーム,抗凝固療法,抜歯,抗血栓療法,心臓移植待機患者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09816,愛媛大学,徳善 紀彦,口腔扁平上皮癌における転移関連 microRNA の探索,本研究では口腔扁平上皮癌の頸部リンパ節転移予測に有用となるmicroRNA(miRNA)を探索した。口腔扁平上皮癌組織を用いて miRNA マイクロアレイによる網羅的発現解析を行い、腫瘍部において5倍以上の有意な発現変動を示す15種類のmiRNAを同定した。そのうち頸部リンパ節転移と相関し有意な発現変動を示すmiRNAとして唯一miRNA-375(miR-375)を同定した。同定したmiR-375の発現からリンパ節転移予測マーカー検討したところ、有用なマーカーとなる事が示唆された。,基盤研究(C),小区分57060:外科系歯学関連,口腔扁平上皮癌,microRNA,リンパ節転移,口腔癌,転移関連遺伝子,転移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
