awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K09933,九州保健福祉大学,原 修一,中山間地域在住高齢者の口腔・運動機能を効率的に維持する複合的プログラムの開発,中山間地在住の高齢者を対象に，2研究を行った．研究1：サルコペニア・ダイナペニア高齢者の身体組成，口腔機能の特徴の検討を行い，口腔・運動機能維持向上プログラムの検討を行った．研究2：新型コロナウィルス感染症（COVID-19)流行下における在宅高齢者のストレス状況下での生活習慣のあり方について，質問紙調査を実施した．研究1ではサルコペニアやダイナペニア者に対しては，筋肉量の増加，骨量の維持，体脂肪の減少を図り，口腔機能向上も含めた複合的プログラムが必要であること，研究2では，健康な食習慣の確立は高齢者の身体的健康，不安やストレスに対処するための身近な対処行動になる可能性を示唆していた．,基盤研究(C),小区分57080:社会系歯学関連,中山間地域,在宅高齢者,サルコペニア,ダイナペニア,運動・口腔機能,COVID-19,心理的状態,ストレス,質問紙調査,生活習慣,心理的不安,口腔機能,運動機能,高齢者,身体組成,フレイル,コロナウィルス感染症,体重支持指数,運動・口腔機能向上,体組成,口腔機能向上,運動機能向上,介護予防プログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09932,福岡歯科大学,埴岡 隆,歯科患者と専門家の新型加熱式タバコへの意識および口腔への健康影響の解明,タバコ産業は無煙タバコによるハームリダクションを推奨してきた一方、水パイプ・電子タバコからのエアロゾル曝露の健康影響が明らかになってきた。新型タバコの歯学教育実態は低かったが、医学および新型タバコ対応への教育意識は高く、新型タバコを含む禁煙介入トレーニング受講者の介入診療への自信度は高かった。口気中アルデヒド検査に課題があったが、口腔微小循環機能および歯周病由来口臭成分検査を含む歯周病影響による介入は、加熱式タバコ使用を含む禁煙意思の獲得に効果的だった。口腔微小循環機能、舌苔ディスバイオシス、唾液コチニン検査を用いた歯科簡易介入によるタバコ対策加速資源としての歯科領域の可能性が示された。,基盤研究(C),小区分57080:社会系歯学関連,たばこ対策,加熱式たばこ,歯科医師,歯科衛生士,歯科患者,ハームリダクション,口腔細菌,微小循環,加熱式タバコ,口腔組織,健康意識,新型タバコ,微小循環機能,歯肉,意識,口腔保健医療従事者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09931,九州女子大学,濱嵜 朋子,高齢者の歯科医療コミュニケーションに関する研究,評価した歯科医師の説明項目のなかで、他の治療との比較、治療期間および治療の予後において3割程度の患者が十分でないと感じていた。これらの項目では、歯科医師が女性、複数である場合、患者が説明が十分であると評価した割合が有意に高かった。また、多くのコミュニケーション因子において、歯科医師の性別、年齢および診療内容と有意な関連がみられた。多変量解析の結果、患者の通院と歯科医師の説明に対する患者評価には有意な関連がみられた。,基盤研究(C),小区分57080:社会系歯学関連,歯科,医療コミュニケーション,説明,高齢者,定期的歯科受診,歯科医師・患者コミュニケーション,歯科医療コミュニケーション,コミュニケーション,歯科医療説明,患者,歯科医師,歯科医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09930,大阪大谷大学,楠本 豊,舌下粘膜組織に存在する免疫細胞クラスターの口腔免疫応答における役割の解明,口腔粘膜の免疫応答機序の解明を目的とし、舌下粘膜に存在する免疫細胞の集積（クラスター）の性状、構成細胞、その役割について解析を行った。定常状態のクラスターでは樹状細胞とT細胞が存在し、他の組織と異なり制御性T細胞(Treg)を多く含む特徴的な構造体であることが示された。一方、抗原刺激を行うとT細胞サブセットの存在比率が定常状態に比べ変化した。クラスターは免疫反応の状態により構成細胞のサブセットが変化することから、局所におけるT細胞の調節・維持機構を持つことが考えられた。これらの結果は、舌下粘膜の免疫応答機序、さらには、舌下投与ワクチンや舌下免疫療法の機能の解明につながると考える。,基盤研究(C),小区分57080:社会系歯学関連,口腔粘膜免疫,樹状細胞,クラスター,舌下免疫,口腔免疫応答,免疫細胞クラスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09929,大阪歯科大学,王 宝禮,慢性歯周炎によるがん化シグナルメカニズムの解明から漢方薬物由来創薬開発,口腔扁平上皮癌細胞株 (CAL27) において、黄連湯は歯周病原因菌である P.gingivalis LPS　およびPAMP刺激によるIL-6 の産生を有意に阻害した。黄連湯 が TLR シグナル伝達に関与する因子の機能と活性化を抑制し、それによって様々な遺伝子の NF-kB 依存性発現を抑制する。黄連湯はPAMP 刺激を受けた CAL27 における IRAK4、IRAK1、および JNKのリン酸化を抑制した。 黄連湯が PAMP による TLR シグナル伝達の開始に関与し、MAPKや NF-kB カスケードなどの MyD88 の下流シグナル伝達経路を抑制している可能性を示している。,基盤研究(C),小区分57080:社会系歯学関連,漢方薬,歯周病,慢性炎症,抗炎症作用,発ガン抑制,がん,細胞内シグナル伝達,歯周医学,創薬,抗ガン薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09928,大阪歯科大学,池尾 隆,ヒドロキサム酸系阻害剤による破骨細胞分化促進とその分子機構の解明,"本研究ではヒドロキサム酸系阻害として分類される低分子化合物（GM6001, Actinonin, Bestatin, Amastatin, MMPi3）の破骨細胞分化に及ぼす影響を検討した。本研究結果は、ヒドロキサム酸系阻害剤が破骨細胞分化、特に細胞同士が融合する期間に破骨細胞前駆細胞の相互作用に促進的な影響を及ぼしていることを示唆している。骨量維持を目指した破骨細胞分化制御の新たな標的としてヒドロキサム酸系阻害剤のターゲット分子の応用が期待できる。",基盤研究(C),小区分57080:社会系歯学関連,破骨細胞,ヒドロキサム酸系阻害剤,歯周病,GM6001,MMP阻害剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09927,広島大学,岡田 芳幸,動脈硬化患者におけるプロポフォール使用時の中心血圧低下の機序と予測因子,基礎疾患を有する患者では治療時の有害事象が発生しやすい。これを回避するため、プロポフォールによる鎮静や全身麻酔が応用される場合が増えた。一方、プロポフォールが血圧を低下させる作用はよく知られており、中心動脈で過度の低下が起こると脳虚血、心筋虚血のリスクが上昇する。ところが、プロポフォールが中心動脈圧に与える影響は不明である。そこで、プロポフォール使用時の中枢性血圧調節能と中心動脈の脈波構成要素を評価した。その結果、血圧低下は末梢より中心動脈で大きい、中枢性圧反射は減弱する、圧反射感受性が低いと血圧低下が大きい、血圧決定要素の脈波増大圧は低下する、反射脈波の到達時間が遅れることを明らかにした。,基盤研究(C),小区分57080:社会系歯学関連,中心動脈圧,圧受容器反射感受性,脈波増大圧,脈波伝播速度,プロポフォール,静脈内鎮静法,脈波実効反射距離,動脈硬化,動脈硬化度,反射波到達時間,実効脈波反射距離,交感神経,頸動脈硬化度,圧受容器反射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09926,鶴見大学,花田 信弘,酸化脂質を用いた新しい根面齲蝕の予防方法の開発とフッ化物併用療法への応用,歯肉炎により歯肉溝の LDLが酸化 LDL (oxLDL) に変化することに着目し、oxLDLの石灰化能を検証した。本研究では糖質、脂質、タンパク質についてカルシウム沈着能力の変化をモニタリングした。その結果、各種糖質、タンパク質について、濃度と分子量を変えてもカルシウム沈着の促進は見られなかった。しかし、酸化LDL(oxLDL)を加えた実験系では、添加したoxLDLの濃度依存的にカルシウム沈着の促進が認められた。電子顕微鏡によるカルシウム沈着の所見でもoxLDLのカルシウム沈着能力が証明できた。このことから、oxLDLがフッ化物とは異なる機序の抗齲蝕製剤として機能する可能性が示唆された。,基盤研究(C),小区分57080:社会系歯学関連,酸化脂質,LDL,HDL,齲蝕,根面齲蝕,酸化LDL,石灰化,歯石,カルシウム沈着,象牙細管,根面う蝕,コレステロール,カルシウム,リン酸カルシウム,再石灰化,LDLコレステロール,フッ化カルシウム,oxLDL,フッ化物,生活習慣病,歯周病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09925,神奈川歯科大学,玉置 勝司,生活習慣病およびフレイル予防改善のための口腔内指標の確定に関する臨床研究,神奈川歯科大学附属病院を受診した外来患者277名（男性95名、平均68歳、女性182名、平均67歳）を対象とし、口腔内検査及び全身状態検査を実施した．その結果、全身状態と相関するものとして、生活習慣病関連の検査指標から、歯周炎症マーカーの“PISA”と“唾液タンパク”が、オーラルフレイル関連の検査指標から、“舌圧”が示唆された。さらに、対象者は疾患型パターン”44名（男性22名、平均67歳、女性22名、平均68歳）、“虚弱型パターン”66名（男性12名、平均74歳、女性54名、平均70歳）、“併存型パターン”21名（男性9名、平均71歳、女性12名、平均70歳）に分類し分析を進めている。,基盤研究(C),小区分57080:社会系歯学関連,生活習慣病,フレイル,オーラルフレイル,口腔機能低下症,検査指標,PISA,唾液タンパク,舌圧,疾患型パターン,虚弱型パターン,併存型パターン,口腔内指標,全身的指標,内科的指標,栄養学的指標,未病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K09924,日本歯科大学,高野 りや,歯髄由来膵臓β細胞による糖尿病治療のための前臨床研究,糖尿病は様々な要因により膵臓の内分泌組織であるランゲルハンス島の中のインスリン産生細胞であるβ細胞が障害を受けることによって生じる。β細胞の多くの障害は不可逆的であることから、糖尿病の完治は難しく、インスリンの補充等の対処療法に頼るしかない。近年、幹細胞研究の飛躍的な進歩により、in vivoあるいはin vitroで幹細胞から分化誘導させ再生膵臓を作成する再生医療が注目されている。このような背景から我々は、歯科領域では廃棄物となる抜歯直後の乳歯および第3大臼歯の歯髄より得た間葉系幹細胞に対し、in vitroで分化誘導した膵臓β細胞の特徴をもつヒト膵臓β細胞様細胞を得ることにより、これまでにない糖尿病の細胞治療効果を証明することを目的とした。,基盤研究(C),小区分57080:社会系歯学関連,再生医療,糖尿病,歯髄幹細胞,膵臓β細胞,硫化水素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
