awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K10116,国立研究開発法人国立がん研究センター,澤田 典絵,地理情報システムGISによる大気汚染・地表熱の複合曝露の健康影響：コホート研究,本研究では、地理情報システムを用いて、多目的コホート研究対象者に、対象者個人レベルでのより正確な大気汚染、地表熱曝露を割り当て、その複合曝露と健康影響を明らかにすることが目的である。大気汚染についてはPM2.5と循環器疾患死亡に正の関連がある傾向にあったが、その情報に加える黄砂・地表熱曝露評価は個人レベルでの評価にさらなる検討が必要であった。本研究では、環境データの対象者レベルへの割り当てが計画よりも難航し、大気汚染・黄砂・地表熱との複合的な評価にあたっては、観測期間と分解能をあわせた上での検討が引き続き必要であるが、複合曝露と疾病との関連を明らかにできるコホート基盤の構築は完成した。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,大気汚染,地表熱,コホート研究,黄砂,地理情報システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10115,兵庫医科大学,久保田 芳美,飲酒パターンと動脈硬化リスク要因としての血液凝固能との関連における性差の解明,血液凝固・線溶機能は、循環器疾患の要因となる血栓リスクに関連し、飲酒状況が影響するとされる。さらに慢性腎臓病（CKD）における血液凝固・線溶機能の異常が報告されている。本課題の地域一般住民集団を対象とした研究調査により、女性における機会飲酒の聴取の重要性が示唆された。男女とも腎障害指標である尿中アルブミンは血液線溶指標であるD-ダイマーと正の相関がみられ、男性では糸球体濾過能低値およびアルブミン尿陽性が血液凝固指標の高値と関連し、腎障害のみとめられない女性において糖尿病と現在喫煙が細小動脈硬化指標の軽度高値と関連したことなどを報告した。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,血液凝固,線溶,飲酒,動脈硬化,腎機能,腎障害,動脈硬化リスク,疫学調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10114,名古屋市立大学,柿崎 真沙子,社会状況の変化と個人状況の変化が健康と生活習慣に及ぼす影響,2005年以降の社会状況の変化（2008年の世界的不況、2011年の東日本大震災等）の影響および調査期間中の個人属性（雇用状況、教育歴、婚姻状況等）が健康や生活習慣にどのように影響しているのかを検討した。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,中高年,災害,不況,メンタルヘルス,生活習慣,疫学,社会状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10113,日本医科大学,大塚 俊昭,糖尿病における循環器疾患リスクマーカーとしての微小心筋障害に関する臨床疫学研究,2型糖尿病における循環器疾患リスクマーカーとしての血清高感度トロポニンT（hs-cTnT）の有用性について、大規模バイオバンクに登録された2型糖尿病患者の保存血清および予後情報を含む各種臨床情報を用いて検討を行った。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,糖尿病,バイオマーカー,トロポニン,微小心筋障害,臨床疫学研究,予後,リスク,臨床疫学,心筋トロポニン,予後予測因子,心血管疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10112,東京女子医科大学,小島原 典子,医療被曝と脳腫瘍　MOBI-Kids Studyにおける国際比較,米国についで小児科のCT検査数が多い日本において、頭部CTと脳腫瘍の危険について懸念されている。Mobi-Kids 国際研究として携帯電話と脳腫瘍の関連を検討した症例対照研究のうち10-30歳の日本の対象者、120人の脳腫瘍患者と360人の虫垂炎患者を用いてサブ解析を行った。頭部への平均ばく露量は32±13mGyで、脳腫瘍群は平均してと2.2回、対照群は1.8回の頭部CTを受けていた。条件つきのロジスティック回帰によると、頭部CT回数の脳腫瘍に対するオッズ比は、0.93（95%の信頼区間：0.38-1.82）であった。母親の教育歴、精神神経疾患の既往で調整してもオッズ比に変化はなかった。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,脳腫瘍,医療被曝,小児,神経膠腫,低線量CT検査,症例対照研究,brain tumor,ionizing radiation,diagnostic X-ray,head CT,adolescence,CTスキャン,MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10111,東京慈恵会医科大学,西村 理明,新潟県の中学生における脂肪肝指数とインスリン抵抗性に関する地域研究,成人では、肥満(obesity: OB)とインスリン抵抗性(insulin resistance: IR)、脂肪肝(fatty liver: FL) が深く関連するが、中学生における検討は少ない。新潟県津南町の中学3年生134名（男69/女65）における、HOMA-IR[中央値]は2.6、脂肪肝指数（FLI） 2.8、BMI 19.6kg/m2であった。OBとFLは全体の10.4%、2.2%で認めた。FLは男児と比較して女児で多い傾向を認め (p=0.071)、全例ともOB、IRを有していた。HOMA-IRはFLIと有意な相関関係を認めた(r=0.252、p=0.004)。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,脂肪肝指数,インスリン抵抗性,小児,肥満,インスリン抵抗性指数,疫学調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10110,順天堂大学,湯浅 資之,ミャンマーにおける2型糖尿病の地域特異的リスク要因の解明,本研究はミャンマーにおける2型糖尿病（T2DM）の疫学的特性を、ミャンマー（ヤンゴン市）と社会文化的背景が類似のタイ（チェンマイ市）におけるT2DM患者150名（ケース群）と非患者150名（対照群）とを比較することによって明らかにするために実施した。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,ミャンマー,タイ,2型糖尿病,食習慣,身体活動習慣,社会的支援,運動習慣,疾病管理,ヤンゴン,家族支援,type2 diabetes mellitus,physical activity,METs,eating habit,Myanmar,生活習慣病,非感染性疾患,糖尿病,疫学調査,疫学研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10109,獨協医科大学,西連地 利己,食塩摂取および循環器疾患危険因子と介護予防に関する研究,介護予防の重点課題の設定に関する根拠を得ること、特に若年期から将来の介護予防を目指す保健指導の具体的な項目を提案することを目的としてエコロジカルスタディーを実施した。2016年の国民健康・栄養調査結果および2019年の介護保険事業状況報告から都道府県別のデータを収集した。収集した項目は、食塩摂取量、喫煙率、野菜類摂取量および歩数、要介護２以上の認定率であった。Pearsonの相関係数を算出した結果、食塩摂取量、喫煙率、野菜類摂取量および歩数のいずれの項目も、要介護２以上の認定率と有意な関連を認めなかった。ロジスティック回帰の結果についても、有意な関連は認められなかった。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,健康寿命,食塩摂取,生活習慣,エコロジカルスタディー,コホート調査,食塩摂取量,介護予防,循環器疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10108,岩手医科大学,坪田 恵,被災の回復期における虚弱の増悪・緩衝要因の解明と、地域特性に応じた虚弱予防の実践,本研究は，東日本大震災被災高齢者の被災による中長期的健康影響について，被災直後より実施されている追跡研究を用い縦断的に検討する。さらに被災地における地域活動の情報を収集，既存の研究データとリンクを行い，被災後の地域活動状況と健康影響への評価を行うことを目的としている。成果Ⅰ）東日本大震災後の被災者を対象とした健診における5年目調査の受診未受診と心理的苦痛の関連を明らかにした；成果Ⅱ）被災後の住居形態と「物理環境」「社会環境」の関連について検討を行い，災害公営住宅，新所新築群で独居や低ソーシャルキャピタルリスクとなることを明らかにした．新所では震災前からの知っている「誰か」の存在がキーとなった．,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,東日本大震災,高齢者,虚弱予防,中長期的被害,地域活動参加,変化,被災,健康支援,虚弱,健康支援環境,健康行動,地域特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10107,埼玉県立大学,延原 弘章,市町村別標準化死亡比の長期推移に関する研究,市区町村別に様々な死因の死亡率を算出することは、特定の死因の地域的な偏在の確認や、他の市区町村特性と組み合わせた死因の要因分析に役立つが、単純な死亡率は集団の年齢構成の影響を受けるため、死亡率の比較に際して、対象集団の年齢構成を考慮した標準化死亡比（Standardized Mortality Ratio: SMR）が用いられる。基本的にSMRは一時点における地域間比較に供されるものであり、長期的な推移をみたものは少ない。そこで本研究では、全死亡および41の死因について、1983年から2017年までを5年間ごとの7期間に分け、性別に市区町村別SMRと市区町村別SMR分布地図の作成を行った。,基盤研究(C),小区分58030:衛生学および公衆衛生学分野関連:実験系を含まない,標準化死亡比,長期推移,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
