awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K10138,科学警察研究所,阿久津 智子,マルチプレックスRT-PCR法による包括的な体液の識別検査法の開発,本研究では、法科学的に重要な体液種の特異的、包括的かつ客観的な識別のため、血液、唾液、鼻汁、精液および膣液に対する計15種のターゲット遺伝子にリファレンス遺伝子を加えたマルチプレックスRT-PCR系を構築した。それぞれのターゲット遺伝子に対して、陽性判定のためのカットオフ値を設定することで、標的とする体液を特異的に識別可能であった。今回開発した検査法は、試料の状態やマーカーの検出感度に依存するとはいえ、様々な法科学的試料における体液種の識別にも適用可能であったことから、鑑定実務において有用な手法となりうると考えられる。,基盤研究(C),小区分58040:法医学関連,体液,mRNA,包括的検査法,マルチプレックスRT-PCR法,カットオフ値,統計解析モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10137,久留米大学,副島 美貴子,ABO抗原はいかにして血液型抗原になったか,ABO式血液型が赤血球膜表面に発現している動物は我々ヒトと類人猿だけであり、その他の哺乳類では発現していない。進化的に獲得したものと想像されるこの動物種に特徴的な発現メカニズムを解明する目的で、血球系でのABO式血液型抗原の発現に関わるFUT1遺伝子の転写制御に着目し、赤白血病細胞株を対象に、ヒトと類人猿に特徴的な配列の1つである3つあるプロモーターのうちの1つにあるAlu配列をターゲットとし遺伝子改変ツールCRISPR-Cas9によるノックアウトを試みたが、現在までにFUT1プロモーター内Alu配列ノックアウト細胞株は得られていない。,基盤研究(C),小区分58040:法医学関連,ABO式血液型,転写調節,FUT1,ゲノム編集,種間変異,CRISPR/Cas9,Alu配列,分子進化,転写制御,比較生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10136,東京女子医科大学,町田 光世,損傷微量DNAにおけるSTR解析に最適な前処理方法の開発,法医学で扱う試料は様々な環境要因によりDNAが変性して採取量も少ないため、STR解析による個人識別が困難になることが多い。従って、変性した微量DNA試料を用いた時のSTR解析の成功率を高める方法について検討することは大変重要な課題である。全ゲノム増幅法の1つであるmIPEP法が変性DNAを用いた STR解析に対して有効かを検討した結果、DNAが5ngあれば変性度0.2未満で、また、濾紙から抽出されたDNAが0.05ng場合は変性度0.7以上で、スライドガラス上の唾液痕から抽出されたDNAの場合は変性度0.4以上で、mIPEP処理を行うことでSTR解析が改善されることが示唆された。,基盤研究(C),小区分58040:法医学関連,全ゲノム増幅法,DNA損傷,STR解析,全ゲノ増幅法,STR,degraded DNA,WGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10135,和歌山県立医科大学,木村 章彦,炎症による体内時計の変調とその分子機構,炎症が体内時計の変調を来すとの想定の元に腸管穿孔敗血症(CLP)マウスモデルを作製し、心臓と腎臓における時計遺伝子の発現を解析して、CLPによる強い炎症が時計遺伝子の発現に強い摂動を与えることを明らかにした。時計遺伝子産物Bmal1やPeriodの活性にacetyl化が関与することが知られていたので、炎症で活性化する脱acetyl化酵素Sirtuin1とBmal1やPeriodのCLPモデルにおける相互作用およびBmal1やPeriodのacetyl化レベルを解析し、強い全身性の炎症が、Sirtuin1による脱acetyl化を介して体内時計を変調させることを明らかにした。,基盤研究(C),小区分58040:法医学関連,体内時計,死亡時刻推定法,時計遺伝子,sirtuin1,Bmal1,Period,炎症,Period 2,Sirtuin 1,Sirt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10134,和歌山県立医科大学,野坂 みずほ,アクアポリン動態解析による深部静脈血栓陳旧度判定の新規指標の確立,実験用マウスの下大静脈を結紮し，深部静脈血栓症モデルを作成し，急性期・亜急性期・慢性期のそれぞれの深部静脈血栓を得た．これらの血栓について①アクアポリン１，アクアポリン３の動態解明とそれによる新たな血栓陳旧度判定指標の確立，②アクアポリン1陽性領域の分布とその血栓器質化進行程度の評価への適用，等に重点を置いて研究を推進した．その結果，アクアポリン1及び３陽性細胞数の変化や，血栓断面におけるアクアポリン1陽性領域の分布と血栓断面積に占める割合は，血栓陳旧度判定のための新たな指標としての有用性が示唆された．,基盤研究(C),小区分58040:法医学関連,深部静脈血栓症,アクアポリン１,アクアポリン３,免疫組織化学的染色,マクロファージ,深部静脈血栓塞栓症,アクアポリン3,マッソントリクローム染色,免疫組織化学染色,アクアポリン,血栓陳旧度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10133,鹿児島大学,林 敬人,入浴死の病態解明と死因診断法の開発：各病態モデルによる検討から実務応用に向けて,入浴死の病態解明及び鑑別診断法の開発を目指して温水を吸引して溺死する過程で変動する遺伝子をDNAマイクロアレイを用いて網羅的に解析し，変動がみられた遺伝子について定量的RT-PCR法にて確認するとともに，法医解剖例の肺試料をおいても検討した。温水溺死マウスを作製して検討したところ，38℃温水溺死では793遺伝子，41℃温水溺死では743遺伝子に変動がみられた。そのうち，水チャネルaqp5及び熱ショック蛋白hsp90aa/abについてはqRT-PCRにおいても同様の結果が得られた。さらに，法医解剖試料を用いた検討でも同様の結果となり，浴槽内溺死例の法医学的診断マーカーとなる可能性が示唆された。,基盤研究(C),小区分58040:法医学関連,入浴死,鑑別診断,死因究明,水チャネル,熱ショック蛋白,浴室内突然死,温水溺死モデル,DNAマイクロアレイ,アクアポリン,疫学的解析,環境気温,入浴死警報,網羅的解析,法医分子生物学,温水溺死の診断,法医学的診断法,予防医学,死因診断,法医学的鑑別診断法,熱ショックタンパク質,心不全モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10132,宮崎大学,柿崎 英二,簡便かつ安価で安全に行えるPapainを用いた新しいプランクトン検査法,日本で発見される変死体は水に係わるものが多い。これらの中には犯罪に関係しているものも含まれ，見逃し事案もあるため，溺死の診断は法医学の分野において重要と考えられている。現在，溺死の診断は珪藻を指標とした壊機法が最も信頼されているが，この方法は操作が煩雑な上に安全面や設備面で多くの問題を抱えている。そこで，我々はこの研究で危険な試薬を用いずに安全かつ簡便・迅速に行える新しい検査方法の開発を試みた。その結果，植物由来蛋白質分解酵素Papainと界面活性剤SDSを用いて安全かつ簡便・迅速な新しい珪藻検査法を確立し実際に法医実務で役立つことを証明した。,基盤研究(C),小区分58040:法医学関連,法医学,溺死の診断,プランクトン検査,パパイン（Papain）,タンパク質分解酵素,珪藻,プロティナーゼK（Proteinase K）,Papain,蛋白質分解酵素,Proteinase K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10131,熊本大学,大津 由紀,テネイシンCによる脳組織傷害受傷の経過時間推定法の応用に向けて,法医学領域において、内因的もしくは外因的な脳組織損傷の受傷時期を推定することは死因診断の補助として重要である。現状では、主に剖検所見やエピソードによって脳組織傷害の受傷時期を推測している。,基盤研究(C),小区分58040:法医学関連,Tenascin C,出血性ショックモデル,免疫組織化学染色,脳組織傷害,PAI-1,抗原賦活化至適条件,テネイシンC,賦活化至適条件,3Rの原則,受傷経過時間推定,血栓モデル,テネイシンC（TN-C）,経日変化の指標,血栓モデルマウス,脳組織傷害受傷時期の推定,頭部外傷,組織傷害バイオマーカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10130,熊本大学,西谷 陽子,アセチル化制御によるアルコール肝障害の分子メカニズムの解明,われわれは今まで初代培養肝細胞を用いてのアルコールによる細胞内情報伝達系の変化を検討して来た。その中でアルコール脱水素酵素ADHで消費する補酵素NADに依存性の脱アセチル化を行うsirtuinは脂質代謝制御の異常や概日リズムへの影響も指摘されているがアルコールの影響は不明である。より生体に近い培養条件のためにコラーゲンサンドイッチ法による培養方法の検討を行った。細胞自体は、従来法に比較すると細胞の状況は良く1週間程度の長期の培養にも耐えうると判断した。しかし短時間の経時的なサンプル採取が困難であり概日リズム測定は困難となると判断した。通常の方法での概日リズムを同調を試み検討を継続している。,基盤研究(C),小区分58040:法医学関連,アルコール,初代培養肝細胞,細胞同調,概日リズム,日内変動,コラーゲン培地,コラーゲンゲル培地,アセチル化制御,脂質代謝,肝障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10129,長崎大学,池松 和哉,Transcriptomeを応用した法医病理学的損傷受傷時期推定法の開発,法医学実務において、創傷の受傷時期推定は重要であり、受傷時期特異的な生体マーカー候補を探索する目的として、マウス損傷皮膚の経時的mRNA包括的発現解析を行った。受傷後 0.5~9日の経過において、12887種のmRNAに有意な発現変動が認められた。主成分分析では第一、二主成分において、0.5、1日群で大きく変化し、その後経時的に0日群との差異が低減した。CD5Lに着目し、1日で発現量が多いことが認められた。今後、サンプル数の増加を検討し研究を進め、発現のピーク・発現が増加する期間を明確にできれば、CD5Lを受傷後1~5日の受傷時期マーカーとして十分に応用しうると考える。,基盤研究(C),小区分58040:法医学関連,損傷時期推定,マウス,Transcriptome,CD5L/AIM,損傷,受傷時期推定,損傷受傷時期推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
