awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K10808,国立研究開発法人産業技術総合研究所,金子 秀和,脳梗塞片麻痺ラットのタスク学習におけるロボティックリハビリ効果の解明,我々は、感覚運動連合学習において、正応答動作と同様の神経活動を誘発できれば、学習過程を促進可能と考えている。これまで、タスクのキューである空圧刺激から一定時間後に誤応答動作を強制的に引き起こすことで学習過程の促進効果を得ている。本研究では、応答動作に同期して正応答あるいは誤応答動作を誘発することによって学習過程に介入できるか検討した。その結果、応答動作のタイミングで正応答様動作あるいは誤応答様動作を強制的に誘発しても統計的に有意な学習過程の促進効果も遅延効果も得られなかった。空圧刺激と応答動作の関係を学習する際、空圧刺激に関連付けて応答動作様の運動感覚を誘発することが重要であると考えられた。,基盤研究(C),小区分59010:リハビリテーション科学関連,リハビリ,学習,エラー,アシスト,運動感覚,フィードバック,脳損傷,片麻痺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10807,九州保健福祉大学,田中 睦英,「身体機能フレイル」は「脳フレイル」を予測するか？安静時脳波のネットワーク解析,軽度認知障害（MCI）の前段階である主観的認知機能障害（前MCI）の高齢者は，フレイル基準である握力や歩行速度などの身体機能について非MCI高齢者と有意差を認めなかったが，認知症高齢者の先行研究と同様，重心動揺（単位面積軌跡長）の有意な延長を認めた．安静時脳波測定の結果，前MCI高齢者ではアルツハイマー型認知症高齢者やMCI高齢者の先行研究と類似のデフォルトモードネットワークに属する頭頂部のα帯域活動が減弱する傾向を認めた．本研究は新型コロナウィルスの感染拡大を受け，十分なサンプルを取得することができなかったことから，今後もフレイル特有の認知機能に関連した脳活動パターンの探索を継続する．,基盤研究(C),小区分59010:リハビリテーション科学関連,認知フレイル,安静時脳波,デフォルトモードネットワーク,姿勢バランス,認知的フレイル,認知機能フレイル,身体機能フレイル,虚弱高齢者,脳波解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10806,福岡大学,北島 研,心臓リハビリテーションと心肺運動負荷検査(CPX)による心血管疾患の予後予測,本研究では、心臓・大血管リハビリテーション（心臓リハビリ）において心肺運動負荷検査（CPX）を用いて特に65歳以上の高齢者における心血管疾患の予後予測因子を検討した。心臓リハビリ通院中の高齢な心臓・大血管疾患罹患患者において、心臓リハビリ前後で心機能向上と加齢に伴う腎機能の低下速度を抑制することを報告した。更なる検証を要するが、運動耐容能向上が予後改善指標となる可能性が示唆された。,基盤研究(C),小区分59010:リハビリテーション科学関連,高齢者心疾患,心腎保護効果,心肺運動負荷試験(CPX),高比重リポ蛋白(HDL)機能,抗動脈硬化作用,抗酸化作用,炎症性サイトカイン,炎症性サイトカイ ン,心臓リハビリテーション,心肺運動負荷試験（CPX）,高比重リポ蛋白（HDL）機能,心肺運動負荷検査（ＣＰＸ）,心血管疾患の予後,高比重リポ蛋白（ＨＤＬ）の質・機能,心不全治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10805,広島国際大学,福岡 達之,高齢者に対する舌の筋力トレーニングが舌の筋力と嚥下時舌圧に及ぼす影響,本研究では、舌の筋力トレーニングが舌の筋力と嚥下時舌圧に及ぼす影響について検討した。健常若年者を対象に8週間の舌の筋力トレーニングを行い、トレーニング前後で最大舌圧および努力嚥下時の舌圧を舌圧センサシートにより評価した。結果から、最大舌圧および努力嚥下時の舌圧はどちらも有意に増加した。最大舌圧はトレーニング終了後4週間で低下したが、嚥下時舌圧は8週間後も高い値を維持していた。以上より、舌の筋力トレーニングは最大舌圧および嚥下時舌圧の増大に有効な方法と考えられた。,基盤研究(C),小区分59010:リハビリテーション科学関連,舌の筋力トレーニング,舌圧,努力嚥下,嚥下時舌圧,舌圧センサシート,ディトレーニング,最大舌圧,サルコペニア,老嚥,嚥下障害,高齢者,リハビリテーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10804,川崎医科大学,宮本 修,脊髄損傷に対する運動療法のメカニズム研究：筋の収縮弛緩による脊髄再生の可能性,脊損後の運動リハビリが中枢神経の再生を促進し運動機能を改善したという報告がなされているが、そのメカニズムは明らかではない。本研究では運動時の筋収縮そのものが脊髄でのBDNF産生を誘発することを予想し、それが運動機能の回復に関与する可能性について検討した。ラットの脊損直後から両側下腿骨格筋を4～6週間電気刺激し筋収縮をさせることで運動機能の回復が見られた。この際、筋及び脊髄のBDNF産生が亢進した。一方、BDNF受容体阻害薬を投与すると筋収縮による運動機能回復は抑制された。以上のことから、脊損後の骨格筋の収縮による運動機能改善にはBDNFが関与していることが示唆された。,基盤研究(C),小区分59010:リハビリテーション科学関連,脊髄損傷,骨格筋収縮,電気刺激,皮質脊髄路,軸索再生,BDNF,TrkB,ANA-12,皮質脊髄路再生,フルオロゴールド,運動機能回復,リハビリテーション,脊髄再生,運動療法,筋刺激,神経再生,神経栄養因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10803,畿央大学,田平 一行,咳嗽能力判定システムの臨床応用,前回の研究課題「咳嗽能力判定システムの開発」にて咳嗽時の流量波形のシミュレーションが可能となり，今回は高齢者や呼吸器疾患患者への適応について検討した．シミュレーションはおおよそ適合していたが，個人差が大きかった．これは個人によって咳嗽に影響するパラメータが異なることによると思われる．また，吸気量，呼気筋力，声帯機能などの各パラメータが波形に与える影響の違いから，咳嗽力低下の原因判定に応用できると考えられた．,基盤研究(C),小区分59010:リハビリテーション科学関連,咳嗽能力,シミュレーション,臨床応用,咳嗽力,流量波形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10802,神戸学院大学,山本 大誠,統合失調症者の生活機能改善と包括的リハビリテーションに寄与する運動療法の開発,本研究では、統合失調症者に対する運動療法が病院内の治療プログラムにとどまるのではなく、生活機能の改善に向けた身体活動増進に焦点をた。また、統合失調症者に対する運動療法が早期退院および地域生活への移行を含む包括的リハビリテーションに寄与するかどうかについて明らかにした。精神科リハビリテーションの包括的アプローチには、制度の転換や診療報酬のあり方など、種々の課題の解決が必要であることを考察した。,基盤研究(C),小区分59010:リハビリテーション科学関連,精神科,運動療法,リハビリテーション,地域移行,統合失調症,包括的リハビリテーション,生活機能改善,地域生活への移行,精神疾患,BBAT,理学療法,生活機能,運動能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10801,大阪行岡医療大学,井坂 昌明,サルコペニア合併高齢者糖尿病に対する運動強度別介入が骨格筋指標に与える影響の解明,サルコペニアが高齢糖尿病患者で多いことから、サルコペニア構成要素における運動強度別の効果を検証するため、超音波エコーを用いた骨格筋評価法を検討した。その結果、下腿筋のなかでも前脛骨筋の超音波エコーを用いた筋厚および筋輝度評価が、サルコペニア判別ための簡便な評価法として有用である可能性があることを示した。現在は、治療介入の効果判定や遠隔期予後予測が可能となるかを明らかにすることを検討している。,基盤研究(C),小区分59010:リハビリテーション科学関連,サルコペニア,フレイル,2型糖尿病,骨格筋エコー,運動強度,介入効果,遠隔期予後予測,高齢者,高齢者2型糖尿病,超音波エコー,糖尿病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10800,大阪河崎リハビリテーション大学,中村 美砂,認知症予防をめざした運動指導へのロコモ２５スコアの有効性,地域在住高齢者を対象にロコモティブシンドローム（LS）の有無に基づく認知機能に対する日常の身体活動量の有効性を明らかにすることを目的とした。結果は、LS群において >2.29 Ex(METs・h/day) グループでは13週間後、認知機能スコアは有意に高くなり、ロコモ25スコアは <2.29 Ex群よりも有意に低下した。さらに、2.29Ex以上のグループで記憶ドメインのスコアの有意な増加が見られた。この結果は、非LS群では認められなかった。以上の結果よりLS群において毎日2.29 Ex以上の身体活動がロコモ25スコアを改善するだけでなく、認知機能も高めることが示唆された。,基盤研究(C),小区分59010:リハビリテーション科学関連,ロコモティブシンドローム,認知機能,ロコモ２５,身体活動,地域在住高齢者,コロナ禍,フレイル,口腔機能,転倒不安,運動機能,介入研究,地域高齢者,認知症,運動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K10799,大阪人間科学大学,杉生 真一,口腔顔面領域の慢性疼痛における延髄吻腹内側部セロトニンニューロンが及ぼす疼痛制御,本研究では、口腔顔面領域の疼痛機序について、中枢内下行性疼痛制御に関わる延髄吻腹内側部（RVM）の役割の一端を明らかにした。RVM内には、三叉神経核へ投射する多くのセロトニン（5-HT）作動性ニューロンが存在し疼痛制御を行っていることから、その働きを明らかにするため、anti-Serotonin transporter-Saporinを利用してRVM内の5-HT作動性ニューロンを選択的に削除した動物を作成し、動物の侵害受容動態を調べた結果、対照群に比べ、痛みが緩和された。この結果からRVM内の5-HT作動性ニューロンは疼痛を促進する働きを有することが明らかとなった。,基盤研究(C),小区分59010:リハビリテーション科学関連,神経障害性疼痛,下行性疼痛調節系,口腔顔面領域,セロトニン,下行性疼痛調節,吻側延髄腹内側部,口腔顔面痛,下行性疼痛制御,RVM,三叉神経,c-Fos,侵害受容行動,サポリン,ホルマリンテスト,疼痛,延髄吻腹内側部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
