awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11174,明治大学,玉木 久夫,固定パラメータ容易な前処理を用いた組み合わせ列挙,本題である列挙アルゴリズムについては、アルゴリズムを定式化し、いくつかの問題に適用できることが確認できた。より大きな成果は、本課題における列挙アルゴリズムの基礎とするパラメータである木幅の計算について画期的な実用アルゴリズムを得たことである。このアルゴリズムは、マイナーに基づく木幅の下界を順次改善して行くという、これまでにない方式によっており、従来法では計算が不可能あるいは極めて困難であったグラフ例に対して木幅を計算することに成功している。この研究は、さらに新しい木幅アルゴリズム、すなわち木幅の上界の計算を、マイナーについての再帰に行うという方法、の考案につながった。,基盤研究(C),小区分60010:情報学基礎論関連,algorithm,graph parameter,treewidth,tree-decomposition,enumeration,preprocessing,minor,lower bound,組み合わせ列挙,固定パラメータアルゴリズム,前処理,木幅,BT法,上界,下界,グラフの縮約,木分解,潜在極小クリーク,マイナー,パス的木分解,安全なセパレータ,ほぼクリークセパレータ,fixed parameter,exact algorithm,upper bound,厳密アルゴリズム,極小セパレータ,列挙,潜在極大クリーク,動的計画法,グラフ,固定パラメータ容易性,,,,,,,,,,,,,,,,,,,,,,,,
18K11173,日本大学,森山 園子,数理計画問題に内在する大域的性質に基づく多項式時間アルゴリズムの構築,数理計画問題の解法として単体法[Dantzig(1947)]を起源とするピボットアルゴリズムがある。多項式時間を達成するピボットアルゴリズムの存在解明は数理計画問題における重要な未解決事項である。線形計画問題の一部を多項式回数の反復で解くアルゴリズムの達成[Gaertner(2002)]を機に，研究代表者はこの成功の核となった数理計画問題に内在する大域的性質に着目し，従来のピボットアルゴリズムが注視する数理計画問題の局所構造からは得られない大域的性質の重要性を明らかにしてきた。,基盤研究(C),小区分60010:情報学基礎論関連,数理計画,多面体,マトロイド,数理計画問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11172,東京理科大学,関川 浩,代数問題に摂動が及ぼす影響とそれに対処する方法論の研究,代数問題において、多項式の係数などが誤差を含むと解が不安定となることがある。そういった場合に係数を摂動した際の影響を調べる研究、関連する適切な問題を設定する方法の研究、設定した問題を効率的に解く数式処理アルゴリズムを構築する研究を行った。さらに、信頼性を損うことなく構築したアルゴリズムを効率化する安定化手法の利用法について研究した。主な成果は以下である。(1)ある条件を満足する連立代数方程式において根が係数に関して連続であることの証明、(2)値が誤差を含む場合のブラックボックス多項式の補間アルゴリズム、(3)安定化手法および安定化手法に計算履歴を合わせて利用する方法の有効性の確認。,基盤研究(C),小区分60010:情報学基礎論関連,摂動,誤差,安定性,代数方程式,多項式,数値数式融合計算,安定化理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11171,帝京大学,上出 哲広,非古典論理の基礎理論とそのコンピュータサイエンスへの応用,"本研究では, 非古典論理の基礎理論を構築し, そのコンピュータサイエンスへの応用を提案した. 研究対象とした非古典論理は, 矛盾許容論理, 時間論理, 無限論理, 部分構造論理, 量子論理など及びそれらを組み合わせた拡張であった. 本研究では, 研究代表者らがこれまで開発してきた「埋め込み定理を用いた証明手法」を基にして, 上記非古典論理に対するカット除去定理, 完全性定理, 決定可能性定理などを統一的に扱うことができるような理論を構築した. 本研究では, さらに, 提案した基礎理論を用いて, 対象とする非古典論理をベースにしたモデル検査技術や定理証明システムなどに対する応用を提案した.",基盤研究(C),小区分60010:情報学基礎論関連,非古典論理,矛盾許容論理,時間論理,完全性定理,カット除去定理,モデル検査技術,埋め込み定理,モデル検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11170,成蹊大学,脊戸 和寿,強指数時間仮説の反証にむけた研究,和積標準形論理式の充足可能性問題には、全探索よりも指数的に高速なアルゴリズムは存在しないという仮説を強指数時間仮説という。この仮説により、さまざまな問題のアルゴリズムの計算時間が現在知られる最良の値から理論的には改良できないことが示されている。本研究では、強指数時間仮説を将来的に否定するための基礎研究を行った。複数の計算モデル上の充足可能性問題に対するアルゴリズムを構築することで、それらの計算モデル上で表すことのできる和積標準形論理式の充足可能性問題は指数的に高速に解けることを示した。,基盤研究(C),小区分60010:情報学基礎論関連,強指数時間仮説,充足可能性問題,厳密アルゴリズム,充足可能性判定,幅限定分岐プログラム,置換分岐プログラム,分岐プログラム,幅限定,指数時間仮説,計算量理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11169,横浜市立大学,清見 礼,固定パラメータ困難問題に対する汎用解法の研究,グラフ上の問題で解くことが難しい問題に対して、グラフが木に近い構造をしていれば速に解けるということがよくある。しかしグラフが木に近くてもなお解くことが難しい問題というものも知られている。そのような場合に、どのようなことを考えれば高速なアルゴリズムを作ることができるかをなるべく一般的な形で解明するというのが本研究の主眼である。,基盤研究(C),小区分60010:情報学基礎論関連,固定パラメータ困難問題,グラフアルゴリズム,木幅,固定パラメータ容易アルゴリズム,頂点インテグリティ,固定パラメータ容易性,パス幅,モジュラ幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11168,熊本大学,大舘 陽太,特殊木構造によるFPTアルゴリズム高速化手法の研究,グラフアルゴリズム設計手法の最重要技術の一つである木分解および木幅の利用を推し進め，特殊木構造による固定パラメータ容易 (FPT) アルゴリズム高速化手法の研究を行った．主な成果の例として，以下の問題に対する特殊木構造を用いた高速FPTアルゴリズムを設計した: 部分グラフ同型性判定問題，安全集合問題，グラフ焼却問題，グランディ彩色問題，端点および長さの指定されたパス充填問題，消防士問題，独立集合遷移問題．,基盤研究(C),小区分60010:情報学基礎論関連,FPTアルゴリズム,木構造,木幅,固定パラメータ容易アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11167,奈良先端科学技術大学院大学,大下 福仁,モバイルエージェントのための自己安定アルゴリズムに関する研究,本研究では、外乱の起こりやすい環境において、複数のモバイルエージェント（自律的に移動する計算オブジェクト）が安定的に協調動作を行なうための分散アルゴリズムを開発した。具体的には、ソフトウェアエージェントモデル（計算機ネットワークを移動するエージェントのモデル）、自律移動ロボットモデル（実世界のモバイルロボットのモデル）、個体群プロトコルモデル（ナノスケールシステムなどの低性能デバイス群のモデル）において、さまざまなタスクに対する多数の分散アルゴリズムを提案した。そのうちのいくつかは自己安定アルゴリズムであり、システムが矛盾を含む状況に陥ったとしても、自動的に正常な状況へ復旧できる。,基盤研究(C),小区分60010:情報学基礎論関連,モバイルエージェント,モバイルロボット,個体群プロトコル,自己安定,ビザンチン故障,動的ネットワーク,分散アルゴリズム,自己安定アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11166,京都大学,ディブレクト マシュー,,This year we continued finding applications and presenting results of the general theory developed during this project.,基盤研究(C),小区分60010:情報学基礎論関連,quasi-Polish space,duality,valuations,computability theory,descriptive set theory,algebraic geometry,topology,domain theory,measure theory,category theory,locale theory,Stone-duality,frames,computable analysis,geometric logic,quasi-Polish spaces,logic,computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11165,京都大学,長谷川 真人,プログラム意味論の量子化・高次元化・幾何化,プログラミング言語実装モデルの幾何的な側面に着目し、低レベル・超低レベルの実装モデルに対応できる幾何的なプログラム意味論の構築を目指した。特に、変数の扱いに低レベルの幾何的な実装の情報を伴うブレイド付きラムダ計算の理論を構築し、その基礎となるコンビネータ代数と閉オペラッドの一般論を、コンビネータ代数から閉オペラッドを構成する手法を中心に展開した。同時に、これらの研究の圏論的な基盤となるトレース付きモノイダル圏について、ホップモナドによるトレース構造の持ち上げを中心に、新しいモデルの構成方法を調べた。,基盤研究(C),小区分60010:情報学基礎論関連,プログラミング言語,意味論,圏論,量子トポロジー,テンソル圏,ラムダ計算,線形論理,幾何学,量子化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
