awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11310,鶴岡工業高等専門学校,加藤 健太郎,動的命令コード符号化を用いたハッキング検出可能車載向けセキュアプロセッサの開発,,基盤研究(C),小区分60070:情報セキュリティ関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11309,大阪工業大学,酒澤 茂之,ディープラーニングに対する電子透かし埋め込みに関する研究,学習済みディープラーニングモデルの著作権保護のために、電子透かしを埋め込む技術を開発した。画像認識に用いられる学習モデルに対して、著作権者の情報が視覚的なロゴとして表示できる方式を国際学会IEEE MIPRおよび国内の研究会・シンポジウムで発表し、PCSJ/IMPS優秀論文賞とAVM賞優秀賞の2件の表彰を受けた。また、研究事例のまだ乏しいRNN型学習モデルについても、電子透かし埋め込みが可能であることを明らかにし、国際学会IWAITおよび国内の研究会で発表した。これらの成果を広く社会で活用できるように、プロトタイプソフトをGithubにおいて公開している。,基盤研究(C),小区分60070:情報セキュリティ関連,深層学習,知的財産保護,電子透かし,深層学習モデル,著作権保護,CNN,RNN,ディープラーニング,視覚的検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11308,立命館大学,藤野 毅,車載応用に向けた耐タンパセキュアセンシングシステムの研究,周囲の物体を測距センサ等で検知して衝突を回避するための運転者への警報通知や，さらにブレーキやアクセル，ハンドルを自動制御するシステムなどが，自動車運転支援システムとして近年実用化されている．このようなシステムの安全性を高めるためには，周囲の物体を正常に検知することが必須であるが，近年外部から物理的な攻撃を行い，センサの値を測定不能または改ざんするような手法が学会で発表されている．このような攻撃を回避するための「耐タンパセキュアセンシングシステム」の研究を行った．,基盤研究(C),小区分60070:情報セキュリティ関連,センサセキュリティ,計測セキュリティ,測距センサ,遠赤外線カメラ,超音波センサ,LIDAR,タイムオブフライト方式,耐タンパ測距手法,センサフュージョン,車載セキュリティ,ディープラーニング,赤外線カメラ,IoT,セキュリティ,センサ,車載,耐タンパ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11307,立命館大学,毛利 公一,テイント解析技術を用いたデータ漏洩防止機能を有するソフトウェア実行基盤,本課題は，人が介在する必要のない安心・安全なソフトウェア実行基盤として，次の3つの技術の研究開発を行った．（1）プログラム内におけるテイント解析とテイント解析機能をOSから操作可能とするインタフェースを有するCPUエミュレータの開発．（2）ポリシーの管理機能，データとポリシーの対応付けの管理機能，データをネットワーク・ハードディスク等外部へ出力する時に，ポリシーに基づいて出力の可否を判定する出力制御機能，出力が許可された場合，リモートホスト・ハードディスク等の外部記憶装置へポリシーを引き継ぐ機能を有するOS．（3）ソフトウェアコンテナに基づく実アプリケーション実行基盤構成技術．,基盤研究(C),小区分60070:情報セキュリティ関連,オペレーティングシステム,テイント解析,データ漏洩防止,情報セキュリティ,情報漏洩防止,仮想化技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11306,情報セキュリティ大学院大学,土井 洋,情報のライフサイクルを考慮した秘密分散法の研究,秘密情報の安全な保管は情報の盗難対策や紛失対策に見られるように情報化社会において必要である．階層的秘密分散法を用いることで秘密情報の盗難や紛失への耐性に加え，秘密情報の消去容易性をも実現できる．本研究では，階層的秘密分散法などの研究を行い，XOR演算を多用する方式，IDA (Information Dispersal Algorithm) を利用する方式など，複数の高速な方式を提案した．,基盤研究(C),小区分60070:情報セキュリティ関連,階層的秘密分散法,秘密分散法,暗号理論,階層型秘密分散法,ランプ型秘密分散法,暗号,秘密分散,情報セキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11305,明治大学,齋藤 孝道,モバイルにおけるブラウザ追跡技術の実用化に関する研究,ブラウザフィンガープリント技術（以下、FP技術）とは、ブラウザがWebサーバへアクセスする際に利用できる情報を使ってブラウザをサーバ側で識別する技術である。FP技術は、応用として、ネット不正検知に用いることができるので、社会的にも期待される技術である。,基盤研究(C),小区分60070:情報セキュリティ関連,情報セキュリティ,ネット不正検知,ブラウザフィンガープリント,アトリビューション,ブラウザ追跡,Web追跡,サイバーアトリビューション,Webトラッキング,プライバシー,モバイルトラッキング,ブラウザトラッキング,セキュリティ,モバイル,識別,プライバシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11304,法政大学,尾花 賢,ユーザ間の通信が不要な分散セキュリティ技術に関する研究,ユーザ間が通信を行うことなく安全性を担保する暗号技術について検討を行った．具体的には，ユーザー間で通信を行うことなく自身の有する秘密情報を明かさずに，任意の関数に対し複数ユーザの秘密情報を入力とした関数値を計算する暗号プロトコルである NIMPC (Non-Interactive Multi Party Computation)，秘密情報を分散管理する秘密分散法において，ユーザ間で通信を行わずに分散情報を偽造したユーザの存在を検知する方式，ユーザ間の複雑な通信を行わずにリプレイを防止可能であることを特徴とする情報理論的に安全な秘匿認証通信方式等の研究開発を行った．,基盤研究(C),小区分60070:情報セキュリティ関連,マルチパーティ計算,非対話型プロトコル,通信量削減,不正防止,通信回数削減,非対話型マルチパーティ計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11303,日本大学,栃窪 孝也,属性を考慮した階層型アクセス構造を実現する秘密分散法の具体的な構成法,"本研究では、(k, n)しきい値法に基づき分散情報を取得していた従来の一般アクセス構造を実現する秘密分散法を階層型秘密分散法に基づき分散情報を取得するように改良して管理者が保持する分散情報の数、および、分散情報を求める際に利用する秘密分散法の回数を削減可能な手法を提案した。提案手法では、分散情報を本来の使い方とは異なり、管理者ではなく管理者のグループ(属性)に対応させることで、安全性と効率を両立している。また、秘密分散法を画像に応用した視覚復号型秘密分散法のシェア画像にアクセス構造の階層構造の概念を拡張してシェア画像にも情報を埋め込むことが可能な拡張視覚復号型秘密分散法を提案した。",基盤研究(C),小区分60070:情報セキュリティ関連,秘密分散,アクセス構造,鍵管理,秘密分散法,しきい値法,情報セキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11302,工学院大学,藤川 真樹,複数の発光ピーク波長を持つガラス蛍光体の開発と人工物メトリクスへの応用,人工物にユニークな特徴情報を持たせたり当該情報を抽出しやすくしたりするために，製造過程において人工物に機能性材料を添加する方法がある．著者らは当該方法をベースとした，新しいガラス蛍光体を開発した．当該蛍光体は透明であり，単一波長励起によって3つの発光帯をもたらすため，製品の意匠を損ないにくく，写真撮影により1つの観測点から複数の光学的な特徴情報が得られる．位相限定相関法を用いた画像の類似度比較（「基準画像A」と「Aとは別の観測点（368箇所）の画像」との比較）を行ったところ，（Aのほかに）高い相関比を示す画像は見つからなかった．これは，観測点ごとに発光が異なる可能性があることを意味する．,基盤研究(C),小区分60070:情報セキュリティ関連,人工物メトリクス,真正性の検証,クローン製造困難性,ガラス蛍光体,色相と発光強度,複数の特徴情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11301,東京情報大学,西村 明,音響データへの情報秘匿のブラインド検出,"音データへの情報秘匿の有無を、秘匿前の音データ無しでブラインド検出する手法を複数検討した。音波形データの最下位ビットに情報秘匿する手法に対しては、最高周波数近傍のエネルギー時間変化の統計量を用いて検出が可能であった。一方、2019年に公開された 10,000ファイルの音楽データである Audio Steganalysis Dataset に対しては、上記手法は無効であった。このため検査対象信号に対して情報秘匿を行い、その秘匿前後の差異から、秘匿の検出が可能な信号を選別する手法を開発した。AMR音声符号化データへの情報秘匿に対しては、符号化データの統計的性質を基に既存手法より高い検出率を得た。",基盤研究(C),小区分60070:情報セキュリティ関連,情報ハイディング,ステガノグラフィ,ステガナリシス,音響信号データセット,機械学習,音声符号化,振幅変動統計量,最下位ビット,オーディオデータセット,コヒーレンス関数,LSB,線形予測,時間周波数分析,エントロピー,帯域分割,ナイキスト周波数,信号対雑音比,帯域分析,データハイディング,信号処理,信号識別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
