awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11332,国立研究開発法人産業技術総合研究所,佐藤 仁,分散深層学習のI/O性能最適化と次世代の人工知能クラウドへ向けた展開,スーパーコンピュータとクラウドが融合した大規模並列環境である人工知能クラウド上での最重要カーネルである分散深層学習 を対象に，1) 実環境での精緻な性能モデリングによる分散深層学習のI/Oワークロードの性能解析，2) 細粒度なアクセスパタ ーンに応じてI/O性能を最適化するためのメモリ・ストレージ階層の深化を考慮したデータのライフサイクル管理アルゴリズムの開発と分散I/Oフレームワークへの実装，3) 既存のデファクトな分散深層学習フレームワークへの分散I/Oフレームワークの 組み込み・統合化をコデザインすることで，次世代のAIクラウド上でのメモリ・ストレージI/Oの高速化のためのシステムソフ トウェアの要素技術の設計と開発を行い，更にその先のBig Data/AIのRebooting Computingのための要求要件の明確化や設計情報となるを目指す．本年度は、近い将来に登場すると見込まれる、次世代NVIDIA  GPU、Intel Nervana，富士通DLUなどのアクセラレータ，ポスト「京」スパコンを目指したHPC向けのARMなどのプロセッサ，Intel Apache Pass技術による3D XPoint等の不揮発性メモリ，InfninibandやOmni-Pathなど高性能ネットワー クなど最先端のコモディティデバイスを想定してメモリ・ストレージへのI/Oに関する性能モデリングを行うための基礎の性能評価として、ImageNet1Kのオープンデータセットを対象にI/Oの高速化を行った。具体的には、パラメタ設定を行うことで分散処理を行い、各プロセスが担当するデータをDRAMメモリへのキャッシュ、及びネットワークI/Oを考慮した集団通信の最適化を行うことで、大幅な性能向上を達成することを産総研AI橋渡しクラウド（ABCI)上で確認し、基礎的な性能解析を行った。,基盤研究(C),小区分60090:高性能計算関連,高性能計算,ビッグデータ,人工知能,分散深層学習,クラウドコンピューティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11331,国立研究開発法人理化学研究所,中尾 昌広,指示文とメタプログラミングによる性能可搬性に優れた高性能並列プログラミングモデル,複数の高性能な計算機を用いて構成された並列計算機システムが、様々な分野で用いられている。そのようなシステムにおけるアプリケーション開発では、そのアーキテクチャによって異なるプログラミング言語が用いられる。そのため、システム間におけるコードの移植性が問題となっている。,基盤研究(C),小区分60090:高性能計算関連,高性能計算,コンパイラ,プログラミング,HPC,メタプログラミング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11330,東京都市大学,向井 信彦,粒子シミュレーションによる左心室から大動脈への血流の可視化と圧力変化の検証,本研究では左心室から大動脈への血流の可視化と血流に伴う圧力変化の粒子法によるシミュレーションを行った。左心室や大動脈は弾性体、血液は流体であるため、コーシーの運動方程式を基にして、弾性体用のコーシー・ナビエと流体用のナビエ・ストークスの方程式を導出した。また、X線CT画像を基に計算リソースを考慮しながら粒子モデルを作成した。シミュレーションを行ったところ、僧帽弁口から左心室に血液が流入した後、左心室の収縮が始まって左心室内圧力が大動脈内圧力よりも高くなると、大動脈弁が開口して血液が左心室から大動脈へ流れる様子を可視化することができ、また、このときの圧力変化を調べると文献とほぼ一致した。,基盤研究(C),小区分60090:高性能計算関連,可視化,グラフィクス,シミュレーション,医療応用,物理シミュレーション,コンピュータグラフィックス,医工学,粒子法,医用工学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11329,日本大学,伊東 拓,メッシュレス法による微小スケール領域での電磁波伝搬シミュレーション,本研究では，まず，微小領域において精細なメッシュで電磁波伝搬解析を行うために，異なるメッシュサイズのFDTD計算領域をMTDMで繋ぐ方法を提案した.近接場電子顕微鏡プローブ近傍の領域に適用し，電磁波伝搬シミュレーションを行った結果，FDTDとMTDMの接続部においても滑らかに電磁波が伝搬しており，285万ステップ以上破綻せず安定的にシミュレーションできる例を確認した. また，解析領域外に仮想節点を配置する方法により，境界近傍でもIMLSで生成された形状関数の値が自然に変化する例を確認した.MTDMでは，IMLS形状関数の微分が計算に用いられるが，微分の値の分布は本方法で特に改善が見られた.,基盤研究(C),小区分60090:高性能計算関連,メッシュレス法,電磁波伝搬シミュレーション,MTDM,形状関数,ハイブリッド法,仮想節点,電磁シールド,発泡金属,電磁波伝播シミュレーション,IMLS,微小スケール領域,反射軽減,節点密度,形状関数生成,サブグリッド法,FDTD,電磁波伝搬解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11328,東京理科大学,増田 信之,FPGAを用いたディジタルホログラフィ専用計算システムの開発,現在，三次元の流れの可視化や計測が様々な分野で必要とされている．これらの研究では，ディジタルホログラフィーが利用されている．ディジタルホログラフィーは三次元表示技術であるホログラフィーにディジタル技術を応用した技術である．一方向からの撮影で三次元情報を得ることが出来ることや、計算機中で処理を行なうことが出来るなど有効な点が多いが、計算機での処理に時間がかかるため、実用化にはいたっていない．FPGAを用いた専用計算システムを開発することにした．ホログラムの処理を奥行き方向に並列に処理するための計算パイプラインをFPGA内に複数実装することで市販のPCより，高速な演算システムの構築に成功した．,基盤研究(C),小区分60090:高性能計算関連,ハイパフォーマンスコンピューティング,専用計算機,ディジタルホログラフィ,FPGA,専用計算回路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11327,成蹊大学,緑川 博子,メニーノード多階層メモリを統合する高汎用メモリシステムの研究,分散メモリ型の超並列計算システムにおいて， 巨大な大域共有メモリ（大規模仮想アドレス空間）を実現するランタイムシステムmSMSを開発し， ローカル／リモートメモリの区別なくデータにアクセスできるプログラミング環境を構築した． 典型的な科学技術計算では， 従来のメッセージパッシング型(MPI)プログラムに比べ， プログラムの作成が容易な上， 高い性能が得られる． また１つの計算ノードメモリには収まらない大規模N体問題では，　この大域共有メモリに大規模グローバルツリーを作りBarnes-Hutアルゴリズムを実行可能で， MPIによる実装に比べ， プログラム開発の生産性を飛躍的に向上させた．,基盤研究(C),小区分60090:高性能計算関連,分散共有メモリ,遠隔メモリ,クラスタ,仮想共有メモリ,マルチノード並列処理,PGAS,分散メモリ,メモリアドレス空間,分散共有メモリシステム,分散メモリランタイムシステム,分散メモリ型超並列計算システム,計算機クラスタ,遠隔メモリアクセス,大規模共有アドレス空間,マルチノード・マルチコア並列処理,並列プログラミングモデル,メモリ,マルチコア並列処,高性能計算,マルチコア並列処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11326,奈良先端科学技術大学院大学,市川 昊平,広域仮想計算機基盤のためのNFVテストベッド構築に関する研究,仮想計算機技術やSDNを基盤とした仮想ネットワーク技術の発達により、地理的に分散する大学や組織が提供する計算機資源をソフトウェア制御技術により動的に多数確保し、仮想計算資源を共有する実験基盤の構築技術は成熟しつつある。しかしながら、仮想計算機と仮想ネットワークを統合した形であるNFV技術を広域環境上で評価可能とするテストベッド構築技術は未確立な状態である。そこで、本研究では、広域に分散する仮想計算機基盤およびそれらをつなぐ仮想ネットワーク上において、NFVに関する実証的研究を可能とするNFVテストベッドの構築に関する研究開発を行った。また、NFVに関連する様々な技術開発や検証を広く実施した。,基盤研究(C),小区分60090:高性能計算関連,仮想化技術,仮想ネットワーク,SDN,NFV,広域計算環境,クラウドコンピューティング,ネットワーク,仮想計算機基盤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11325,神戸大学,横川 三津夫,マルチコアシステムによる建物・地盤連成地震動解析シミュレーションの最適化,本研究では，地盤と建物の地震動応答を解析するシミュレーションコードに対し，x86アーキテクチャプロセッサを搭載したベクトルホスト部（VH）に，ベクトル型マルチコアプロセッサ（ベクトルエンジン部，VE)を付加した並列計算機SX-Aurora TSUBASA上で，ベクトル化とMPIライブラリによる並列化を行った．このコードを，VH部に１つのMPIプロセス（8スレッド），VE部に2プロセス（4スレッド×2）のハイブリッド並列計算を行った結果，1時間ステップの計算時間は約3.5倍の高速化が得られた．,基盤研究(C),小区分60090:高性能計算関連,地震動応答シミュレーション,部分前処理付き共役勾配法,並列ベクトル計算,ハイブリッド並列計算,SX-Aurora TSUBSA,PSCCG法,並列計算,ベクトル計算,マルチコアシステム,並列処理,連成地震動解析シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11324,名古屋工業大学,松尾 啓志,マルチレイヤリバースプロキシによる分散キーバリューストアへのトランザクション実装,本研究では，プロキシによる透過的なトランザクション処理を実現した．D-KVS はデータの強い一貫性を保証しない結果整合性を用いるため，実用的なトランザクション処理機能を持たない．そこで，D-KVS のように RDB相当のトランザクション処理機能を持たない分散 DB にプロキシを導入することでその機能を実現した．また，分散 DB でトランザクション処理を行う場合，高速なトランザクション処理を実現することが困難であった．そこで，プロキシ上でトランザクション処理を行い，分散 DB におけるトランザクション処理のオーバヘッドを削減することで，処理の高速化を行った．,基盤研究(C),小区分60090:高性能計算関連,分散DB,分散トランザクション,メニーコア,DPDK,NewSQL,分散データーストア,分散KVS,cassandora,キーバリューストア,プロキシー,分散システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11323,山梨大学,安藤 英俊,GPUクラスタ環境における固気液多相熱流体の乱流解析と高速分散可視化,本研究では安価で電力あたりの計算性能に優れるGPU(Graphics Processing Unit)を用いたクラスタ環境を構築し，その上で固体・気体・液体の混在する固気液多相の熱流体解析において新たに乱流解析を導入するとともに，計算結果の高速分散可視化を実現するための手法を開発した．従来熱流体解析では取り扱うことが困難であった熱輻射計算のために，GPU上でのフォトンマッピング法を拡張し，高速かつ高精度な熱輻射計算を実現した．さらに深層学習技術を組み入れることにより数値計算の高精度化および可視化した際の画像の高精細化を実現した．,基盤研究(C),小区分60090:高性能計算関連,GPU,熱流体計算,深層学習,可視化,多相流体シミュレーション,数値計算,高性能計算,多相熱流体,乱流解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
