awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11496,大阪電気通信大学,小枝 正直,腎部分摘出術のSLAMを応用した実用的AR支援と電気メスによる熱影響のモデル化,ロボット支援腹腔鏡下術による腎部分切除の実現により，腎機能を維持した腫瘍除去が可能となった．部分切除では腫瘍を漏らさず除去して正常組織を最大限に残存させることが重要であるが，現状，切除領域の決定は医師の経験に依存している．そこで医師と密に連携し，現場のニーズに合ったAR手術支援システムを構築することが本研究の一つの目的である．,基盤研究(C),小区分61050:知能ロボティクス関連,RALPN,AR,SLAM,ロボット支援腹腔鏡下術,腎部分切除,電気メス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11495,中京大学,目加田 慶人,少数データで学習する深層学習のための効率的な学習サンプル生成に関する研究,本研究の目的は，画像認識を対象とした深層学習において，用意できる学習サンプル数が限られているときのデータ生成効果を最大化する学習サンプル生成法を開発することです．医用画像からの病変検出においては，十分なサンプル数を集めることが難しい場合が多いが，検出したい対象が発生しうる位置（臓器内での位置など）を考慮した画像生成をおこなうことで，少数の学習データでも検出精度を上げられることを示しました．また，人の知覚機能の特徴を推定する場合には，大きな画像変形をすることで推定性能が低下しうることを明らかにしました．,基盤研究(C),小区分61050:知能ロボティクス関連,深層学習,画像生成,物体検出,人の知覚,医用画像,学習データ生成,データ生成,パターン認識,画像処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11494,明治大学,森岡 一幸,広域環境地図生成のためのブロックチェーンを用いた複数ロボット間データ共有システム,仮想通貨の基盤技術であるブロックチェーンをロボットネットワークシステムに適用して、各ロボットのデータの所有権および価値に基づいたデータ共有システムを開発した。都市環境下で移動ロボットが自律走行する際、走行に必要な箇所の環境地図をその所有者からブロックチェーンを通じて取得し、価値に応じた対価を支払うことで、都市環境内を走行できるシステムである。価値のある地図の所有者はその所有権を守ることができ、他のロボットは必要に応じて地図を取得できる、ロボットネットワークシステムが構築可能であることを示した。,基盤研究(C),小区分61050:知能ロボティクス関連,移動ロボット,ブロックチェーン,情報共有,環境地図,自律走行,複数移動ロボット,ロボットネットワーク,情報共有システム,ネットワークロボット,地図共有システム,センサデータ共有,ナビゲーション,地図生成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11493,東京電機大学,宮脇 富士夫,深層学習による手術支援ロボットの外科手術工程のリアルタイム認識に関する基礎的研究,外科手術の手順は複数の外科操作の順次切り替りとして表すことができるが，単純なセンサなどで個々の外科操作の切り替りを捉えることができない。そこでこの切り替りを深層学習によってリアルタイムに認識できないか検討した。主な結果のみを記す。執刀医の動作だけから外科操作を識別する試みによって、剥離を76.6%、結紮を88.5%、切離を52.5%、止血を59.9%の割合で識別可能となった（４操作の平均識別率は69.4%）。この試みでは元の動画を１秒刻みに分割して作成した多数の小動画を対象として学習及びテストを行なったので、１秒程度の時間遅れで手術支援ロボットにも外科操作の識別が可能となることが示唆された。,基盤研究(C),小区分61050:知能ロボティクス関連,外科手術工程リアルタイム認識,深層学習,深層ニューラルネットワーク,執刀医動作特徴,術野内視鏡動画,模擬的腹腔鏡下胆嚢摘出術,器械出し看護師ロボット,手術支援,手術支援ロボット,模擬胆嚢摘出術,手術視覚特徴,術者動作特徴,術者動作動画,深層ニューラルネットワーク学習,状態遷移認識,外科手術工程,手術手順モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11492,千葉工業大学,王 志東,生物の群逃避行動を模倣する群ロボットの反射的振る舞いの高速伝播メカニズムの実現,本研究では、魚や鳥の生物の群れに観察される機敏な回避行動を模倣し、運転補助システムを有する複数の車両が多車線での高速走行中の緊急事態への停止タスクへ新たな手法の提案を目指し、群に複数サブグループの関係性を考慮した群停止の相互作用ダイナミックスモデルを設計した。構築したマルチロボットのシミュレーションシステム及び実機検証システムを用いて、群緊急停止行動の基本検証を行い、複数車両群の安全停止性能の向上の結果を得た。,基盤研究(C),小区分61050:知能ロボティクス関連,自律分散制御,マルチロボット,自律マルチ移動ロボットシステム,群効果,アドバンスドドライバアシスタンスシステム,生物模倣,協調制御システム,群逃避,センシングの異方性,ロボットの協調運動制御,緊急停止,複数ロボット,自律マルチ移動ロボット,複数ロボット協調,複数ロボットの分散制御,複数ロボットの群行動,マルチダイナミクスモードの伝搬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11491,会津大学,矢口 勇一,Blockchain技術を用いた分散型UTMによる空域シェアと衝突回避,本研究では、一般的に中央集権型で作成される無人航空機の航空管制・予約システム（UTM）に対して、分散型のUTMの構築を目指して実施され、Blockchain技術を用いて運航予約を行うシステムを構築し、提案した。また、それに伴い、予約に漏れた航路を再計算し、動的に再予約するシステムを構築した。加えて、航空管制のための動態監視のための機構として、LoRaを用いた放送型のテレメトリ共有システムを提案し、それらが機能することを前提とした衝突回避アルゴリズムも構築した。結果として、予約に関しては、1000トランザクションを1秒で処理可能なシステムを構築することができた。,基盤研究(C),小区分61050:知能ロボティクス関連,無人航空管制,ブロックチェーン,経路計画,セキュリティ,航路監視,分散システム,自動航空管制,Blockchain,経路自動生成,Detect and Avoid,LoRa変調,群制御,人工ポテンシャル場,航空管制,衝突回避,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11490,東京大学,田村 雄介,視覚的注意を考慮した歩行者モデルの構築,人間とロボットが共存する環境においてロボットが安全かつスムーズに衝突を回避するためには、周囲の歩行者の移動を予測する必要がある。本研究では、歩行者の注意に着目し、まず、周辺他者との関係に基づいた歩行予測手法の構築を行った。,基盤研究(C),小区分61050:知能ロボティクス関連,歩行者,歩きスマホ,歩行者移動予測,機械学習,移動ロボット,視覚的注意,歩行者モデル,Bi-directional RNN,軌道予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11489,茨城大学,福岡 泰宏,４足動物の歩行走行パターンが姿勢に応じて変化するという仮説のロボットを用いた検証,本申請研究の目的は，これまでの研究成果から導いた仮説「速度に応じて変化する異なる姿勢（胴体振動）が異なる歩行走行パターンを誘発する」をこれまでより動物に近い神経モデル・機構を持つ4脚ロボットによる歩行走行パターン生成の実現に基づいて信頼性の高いものにすることであった．そのため，より現実的な神経系モデルの有効性を4脚シミュレーションモデルによってまず示した．そして，それを人工筋肉アクチュエータで駆動する猫をモデルとしたより現実的な機構を持つ4脚ロボットに用いて，実際に動物が行うwalk，trot，gallopの歩容遷移を実現することに成功した．これにより，仮設の信ぴょう性が高まったと考える．,基盤研究(C),小区分61050:知能ロボティクス関連,歩行走行ロボット,ロボット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12177,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),冨沢 哲雄,環境センシングのためのセンサセキュリティに関する研究,自律移動ロボットや車の自動運転システムは，センサで観測した情報に基づいて行動を決定している。万が一，センサの計測部に何らかの汚損等が発生し，正しい情報がシステムに入力できなくなった場合には，設計者が意図していない動作が生じる可能性がある。,基盤研究(C),小区分61050:知能ロボティクス関連,センサセキュリティ,LiDAR,光学レンズ汚損,ロボット,センサ,汚損,時系列,統計処理,データ復元,汚損検出,トラッキング,機械学習,時系列画像,レジストレーション,セキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12176,熊本高等専門学校,本木 実,オンチップ自律学習回路のための価値形成目的型SAM-SNN強化学習の研究,本研究は「オンチップ自律学習」機能をもつ脳型情報処理回路の開発を最終目的とし，価値形成目的型の多層SAMスパイキングニューラルネット（SAM-SNN)を用いた強化学習の研究を行う．初年度，2年度は「中間層actorネット」と呼ぶSAM-SNNの研究を行い，学習時に1時刻戻る必要があるという課題に臨む．FPGAと呼ばれる組込みデバイスへの実装とIP化を行う．最終年度で統括し，次の自律型ロボット等開発へと繋げる．,基盤研究(C),小区分61050:知能ロボティクス関連,スパイキングニューラルネット,強化学習,オンチップ自律学習,スパイキングニューロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
