awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11662,地方独立行政法人 大阪健康安全基盤研究所,永吉 晴奈,塩素化PAHおよびその代謝物によるヒトリスク評価,本研究は、塩素化PAHsのヒトへの曝露量評価とDNA損傷性に着目してヒトリスクに関する基礎的な知見を得ることを目的とした。,基盤研究(C),小区分63030:化学物質影響関連,塩素化多環芳香族炭化水素,GC-MS/MS,一斉分析,DNA損傷性,塩素化PAHs,食品,DNA損傷,LC-MS/MS,食品汚染,ハロゲン化PAH,代謝,次世代シーケンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11661,国立医薬品食品衛生研究所,杉山 圭一,包括的エピジェネティック変異原検出系の次世代化とその応用,発がんに関わるエピジェネティック状態の変化を引き起こす化学物質のユニバーサルな検出系として、酵母凝集性を指標とした「FLO assay」を提唱している。このFLO assayのエンドポイントである凝集遺伝子FLO1プロモーター活性の同配列改変による精度向上と、検出系の妥当性確認が本研究の目的である。検討の結果、エピジェネティック修飾剤高感受性変異型FLO1プロモーターの取得には至らなかったが、自然環境中に存在する化学物質から新たにエピジェネティック修飾剤を同定することに成功した。,基盤研究(C),小区分63030:化学物質影響関連,エピジェネティック修飾剤,バイオアッセイ,エピジェネティック,化学物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11660,徳島文理大学,加藤 善久,PCBなどの化学物質の甲状腺ホルモン濃度低下作用発現メカニズムの全容解明,本研究では、PCBなどの化学物質の血中甲状腺ホルモン濃度の低下作用発現メカニズムを解析し、Kanechlor-500 (KC500)による血清サイロキシン(T4)濃度の減少がトランスサイレチン非依存的に起こること、KC500による肝臓へのT4の蓄積の促進は、血清から肝臓へのT4の輸送の促進により起こることが示唆された。また、フェノバルビタール(PB)による血清中T4濃度の低下は、PCB同様にT4-UDP-グルクロン酸転移酵素の関与しない機序によって起こること、PBによるラットの肝臓へのT4の移行量の増加は、Oatp2の発現量の増加に起因していることが示唆された。,基盤研究(C),小区分63030:化学物質影響関連,甲状腺ホルモン撹乱,サイロキシン,polychlorinated biphenyl,phenobarbital,肝臓,グルクロン酸抱合酵素,ラット,PCB,トランスポーター,マウス,Oatp2,トランスサイレチン,TTRノックアウトマウス,Kanechlor-500,甲状腺ホルモン,化学物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11659,金沢医科大学,坂田 ひろみ,新規ホールマウント骨染色法の多重染色解析への展開,"本研究では、我々が開発した小型魚類/アフリカツメガエルの迅速骨染色法(RAP-B)をラットおよびマウスの胎児・新生児用に最適化した。さらに、成獣マウスなどの有毛動物に応用するため、RAP-Bに除毛法を組み合わせた骨染色法（RAP-B/HR)を開発した。 また、骨病変を持つ動物でRAP-Bによる骨染色と画像取得を行い実用性の検証を行った。組織透明化法が特定の構造や分子の3次元局在の描出に利用されていることを鑑み, マウスの胎児や成獣の各種臓器のWhole mount標本や厚切りスライス標本で免疫染色や各種標識法を行う際の組織透明化法としてRAP-Bの組織透明化法を応用し、有用性を明らかにした。",基盤研究(C),小区分63030:化学物質影響関連,骨染色,免疫染色,マウス,コラーゲン誘発関節炎,組織透明化,３D画像解析,ラット,多重染色,３Ｄ画像解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11658,東京医科大学,溝口 出,化学物質の呼吸器アレルギー感作性を評価する新しい動物実験代替法の開発,最近、我々は、ヒト気道上皮細胞株と末梢血単球由来未成熟樹状細胞（DC）、線維芽細胞株の３種類の細胞を用いて、気道上皮組織を模倣した新しい３次元DC共培養系を構築し、2型ヘルパーCD4+T細胞分化誘導に重要な副刺激分子OX40 ligandのmRNA発現増強を指標に、呼吸器と皮膚感作性化学物質の識別が可能であることを見出した。本研究では、さらにそこへ、ナイーブCD4+T細胞を加えて、感作性の有害性発現経路のKey event 4であるT細胞を指標にした新しい２ステップの３次元DC/T共培養系を開発し、この系を用いてT細胞でのIL-4発現増強を指標に両者の識別が可能である可能性が示唆された。,基盤研究(C),小区分63030:化学物質影響関連,感作性評価法,動物実験代替法,呼吸器感作性,皮膚感作性,Th2反応,感作性,アレルギー,化学物質,3次元共培養系,樹状細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11657,昭和薬科大学,阿南 弥寿美,天然セレン化合物の水銀との相互作用および水銀解毒効果の解明,本研究課題はヒトが食品から摂取する水銀とセレンの相互作用を解析することを目的し、水銀を高蓄積した食用魚類をラットに与え、セレンの同時摂取が水銀蓄積に与える影響を検討した。魚粉末を摂取したラットでは体内の水銀濃度が増加するが、セレノメチオニンを同時摂取すると増加が抑制される傾向が見られ、無機セレン化合物である亜セレン酸同時摂取では増加する傾向が見られた。一方でセレン摂取量を低下させた状態では水銀の蓄積が減少したことから、水銀の体内蓄積には同時に摂取するセレン量や、摂取するセレンの化学形態によって異なる影響を及ぼすことが示された。,基盤研究(C),小区分63030:化学物質影響関連,セレン,水銀,食餌由来,体内蓄積,ラット,食事由来,体内分布,セレノメチオニン,亜セレン酸,LC-ICP-MS,セレン化合物,化学形態分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11656,大阪府立大学,八木 孝司,ゲノム編集と部位特異的修飾プラスミドを駆使したDNA損傷から変異誘発への詳細解明,異なる種類のDNA損傷（３―ニトロベンズアントロンおよびシスプラチン）を、どのTLSポリメラーゼが乗り越えるのか、また各ポリメラーゼが損傷乗り越え時に起こす突然変異の頻度と種類をヒトTLSおよびDNA修復欠損細胞を作成して、シャトルベクタープラスミドを用いて明らかにした。3-NBA 損傷では、dG-C8-N2-ABA 不可体がPol ιによるerror-proneなTLSに寄与していることが示唆された。シスプラチン損傷では、Pt-GTGクロスリンクがPol ηによるerror-freeなTLSに寄与していることが示唆された。,基盤研究(C),小区分63030:化学物質影響関連,環境変異原,DNA損傷,突然変異,損傷乗り越えDNA合成,膣然変異,DNA修復,損傷乗り越えDNA複製,ゲノム編集,損傷乗り越えDNAポリメラーゼ,損傷乗越えDNA複製,部位特異的修飾プラスミド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11655,長崎大学,長江 真樹,メダカ尻鰭の二次性徴形質を用いた化学物質の内分泌かく乱作用検出法の開発,目的：化学物質の持つ内分泌かく乱作用、特に男性ホルモン作用および女性ホルモン作用の両方を、同一生物（メダカ）を用いて外部形態から比較的簡便に検出可能な試験法を確立すること、およびその基礎的知見を得ること。,基盤研究(C),小区分63030:化学物質影響関連,環境ホルモン,内分泌かく乱,バイオマーカー,二次性徴,メダカ,ミナミメダカ,女性ホルモン,内分泌かく乱化学物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11654,北海道大学,東 恒仁,不飽和カルボニル化合物による細胞傷害と病態発症におけるプロテインキナーゼCの役割,人の生活環境には様々な化学物質が存在し、人の健康に影響を与えている。不飽和カルボニル化合物は、主に有機化合物の燃焼によって発生する化学物質であり、強い毒性を持つことが知られているが、その毒性メカニズムは分かっていなかった。本研究では、不飽和カルボニル化合物が、細胞内の特定のシグナル伝達経路を活性化することで細胞死を引き起こしてることを明らかにした。更に、アミノ酸であるシステインやシステインの誘導体が、不飽和カルボニル化合物と直接反応してその細胞毒性を抑制することを示した。,基盤研究(C),小区分63030:化学物質影響関連,不飽和カルボニル化合物,細胞死,プロテインキナーゼC,細胞傷害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12353,国立水俣病総合研究センター,坂本 峰至,メチル水銀毒性のセレンによる抑制：水俣病発生当時の環境・患者試料を用いた新規解析,本研究では、水俣病発生当時の未解析試料(メチル水銀発生源のアセトアルデヒド蒸留液、浚渫汚泥、汚染魚、廃液投与実験で発症させたネコの臓器、水俣病患者の臓器)を用いて新規解析を行うことで、各曝露パスウェイにおけるメチル水銀とセレンの動態を検討する。患者の大脳試料については、神経細胞死が好発している皮質と、その影響が小さい髄質の双方における両元素の化学形態同定と分布のマッピングを、放射光マイクロビーム蛍光X線分析とX線吸収微細構造分析により実施し、病態との関連を検討する。本研究によって、今日の低濃度メチル水銀曝露よる健康リスクにおけるセレンの役割解明に繋がる知見が得られると期待する。,基盤研究(C),小区分63030:化学物質影響関連,水俣病,メチル水銀,セレン,環境試料,ヒト試料,水俣病患者,ラット実験,環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
