awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11735,国際連合大学サステイナビリティ高等研究所,庄山 紀久子,生態系サービスへの支払制度設計における理論検証のための空間情報の整備と分析,本研究は農業生態系の空間的異質性に着目し、現行の支払制度にアウトカムベースの要素を取り入れる要件を明らかにしたうえで、ターゲット戦略の有効性を実証した。そのために（１）エージェントベースの土地利用モデルを用いて支払制度に複数のターゲット戦略を導入した場合の土地利用影響を明らかにし、（２）制度の効果を定量化する生態系サービス指標の選定と必要な空間範囲の設定など必要条件を明らかにした。,基盤研究(C),小区分64040:自然共生システム関連,土地利用,空間分析,農地生態系,生態系サービス,支払制度,エージェントベースモデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11734,国立研究開発法人国立環境研究所,亀山 哲,環境DNAを用いた回遊性魚類の移動経路の回復と生息地復元に基づく流域生態系の再生,本研究では瀬戸内海に流入する一級河川（20水系）を対象とし、環境DNA分析を用いて網羅的な淡水魚類相の実態調査と生息地の環境評価を行った。特に環境指標生物としてニホンウナギ(Anguilla japonica)注目し、回遊経路上の阻害要因となっている構造物を特定した。また、その阻害地点を起点とし、上流と下流の魚類相の多様性と生息地を評価した。次に我々の評価基準を基に、改修候補地点の優先順位付けを行った。これからの結果を基に、ニホンウナギを始めとする回遊性魚類資源の安定的維持と回復について多様な知見を得、情報発信を行った。最終的に、本研究の成果を社会実装して回遊魚類の生息適地の再生を支援した。,基盤研究(C),小区分64040:自然共生システム関連,ニホンウナギ,絶滅危惧種,淡水魚,環境DNA,生息地評価,GIS,森里海,自然共生,森里川海,地域循環圏,流域圏,回遊魚,自然再生,流域環境,瀬戸内海,ウナギ,淡水魚類,絶滅危惧淡水魚類,河川水質,流域生態系,回遊性魚類,森川海,生物多様性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11733,大阪大谷大学,内井 喜美子,環境DNAを用いた個体群遺伝構造解析と保全生態学への応用,本研究では、コイの交雑個体群をモデルとし、環境DNA分析に用いるための、核遺伝子座における在来遺伝子と外来遺伝子の頻度を定量するリアルタイムPCR法および超並列シーケンス法を開発した。開発した手法を用いた環境DNA分析を野外で実践し、野外交雑個体群について核遺伝子座における在来：外来アレル頻度を定量することに成功した。さらに環境DNA試料と同時に採集した卵の個体毎分析により得られたアレル頻度が環境DNA分析推定結果とよく一致することを実証し、環境DNA分析を用いた交雑個体群の遺伝構造解析が将来の生物多様性保全において有用なツールとなる可能性を提示した。,基盤研究(C),小区分64040:自然共生システム関連,環境DNA,交雑,保全,核DNAマーカー,一塩基多型,交雑集団,個体群遺伝構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11732,東京都市大学,田中 章,日本版生物多様性バンキングの実証的研究,日本では未法制化の生物多様性オフセット及び同バンク制度について、実際の土地での実証実験を通して課題と可能性を検討した。対象地は、日本の生物多様性の基盤である里山エリアの椿TC里山バンクと都市公園の元町百段公園の２か所とした。,基盤研究(C),小区分64040:自然共生システム関連,環境アセスメント,ミティゲーション・ヒエラルキー,ハビタット評価,代償ミティゲーション,ノーネットロス政策,生物多様性オフセット,生物多様性バンキング,里山バンキング,生態系定量評価手法,ハビタット評価手続きHEP,ノーネットロス,生物多様性配慮型都市緑化,無農薬バラ栽培,国際開発援助,Eco-DRR,OECM,バラ無農薬栽培,生物多様性分野定量評価,流域バンキング,地域循環共生圏,ミティゲーションヒエラルキー,HEP,グリーンリージョン,定量評価,グリーン・リージョン,グリーンインフラ,生物多様性定量評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11731,法政大学,高田 雅之,小規模湿原の生態系サービス評価と保全に及ぼす効果,小規模湿地の生態系サービスの特性について分析評価を行うとともに、特に文化サービスについて、需要と供給比率の時系列変化を指標とする脅威レベルによる評価手法を提起した。その結果、基盤サービス（希少種の生育基盤等）と文化サービス（教育・保全活動・人間関係・思い入れ等）が相乗的に意識の拡大に寄与することを明らかにした。また、需要と供給比率を指標とすることにより、生態系サービス向上に伴う需要を高めることと、需要に応じた供給をすることのバランスと相互作用により、4つのフェーズモデルを用いて、小規模湿地の保全が進展していくプロセスを提起することができた。,基盤研究(C),小区分64040:自然共生システム関連,小規模湿地,泥炭地湿原,湧水湿地,生態系サービス,文化サービス,保全プロセス,脅威レベル,基盤サービス,保全活動,湿原,湿地,小規模,小規模湿原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11730,東邦大学,西廣 淳,関東平野における谷津奥部の生物多様性評価,谷津（台地の辺縁部に発達する小規模な谷、谷戸）を生物のハビタットの観点から評価した。谷津は多くの絶滅危惧種にとって重要な生息場所となっていることが確認された。谷津の生物相を支える湧水の量は、集水域の土地利用に影響されることが示唆された。都市化により台地上での雨水浸透面が減少すると、湧水が減少・枯渇することが考えられる。また谷津に依存して分布する種の一つであるスナヤツメのハビタット利用を調査し、河川内を季節的に移動しながら個体群を維持していることが示唆された。都市化による湧水の枯渇や河川の分断化は、谷津に依存した種の個体群に対する脅威となり得る。,基盤研究(C),小区分64040:自然共生システム関連,湧水,谷津,湿地,生物多様性,水温,土地利用,地下水,オニヤンマ,サワガニ,アメリカザリガニ,農業生態系,土地利用変化,GIS,生物分布モデル,里山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11729,兵庫県立大学,佐川 志朗,人工物が野生復帰コウノトリに与える負の効果解明と対応策検討～人間活動の光と影,コウノトリの救護および死亡原因について、2005～2020年までの計147例を調べた。その結果、43.5％が人工物に起因したものであり、そのうち、防獣ネット等の鳥獣対策資材によるものが19.7％、感電死や送電線衝突等の電気通信設備によるものが17.7％と上位を占めた。本種の良好な採餌環境となっている農地での救護・死亡事例である53件に着目したところ、水田での事例が最も多く、特に6～7月に水田へ採餌にきた個体が負傷・死亡している現状が明らかになった。以上より、本種の保全のためには餌となる水生動物の生息地を保全する一方で、採餌の安全性への配慮が必要であることが示唆された。,基盤研究(C),小区分64040:自然共生システム関連,コウノトリの野生復帰,自然再生,生物多様性,水田水域,営巣環境,土地利用変遷,救護,バードストライク,自然再生事業,コウノトリ,水田ビオトープ,自然再生地,水生動物群集,営巣場所選択,行動特性,死亡要因,人工物,野生復帰,河川,水田,ビオトープ,魚道,防獣ネット,電柱,誤食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11728,高知大学,比嘉 基紀,日本の森林植生帯の分布構造の検証と気候変動への脆弱性評価,本研究の目的は，日本の森林植生帯分布予測モデルを構築し，モミ・ツガ林と中間温帯林の気候的位置づけを解明し，温暖化が森林植生分布へ及ぼす影響と脆弱性評価することである。モミ・ツガ林の気候的位置づけについて，日本の中でも特に夏期に湿潤な気候条件に位置付けられることが示唆された。中間温帯林は，常緑広葉樹が生育可能な地域全域まで到達できていないことが影響している可能性があったが，中間温帯林の分布は，常緑広葉樹の分布の非平衡性だけでは説明できなかった。将来予測の結果，冷温帯・暖温帯針葉樹林も北方・高標高域の植生と同程度の影響を受ける可能性があることが示唆された。,基盤研究(C),小区分64040:自然共生システム関連,森林植生帯の広域分布,暖温帯針葉樹林,種分布予測モデル,夏期降水量,多項ロジットモデル,中間温帯林,モミ・ツガ林,植生図,温暖化,植生帯分布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11727,愛媛大学,三宅 洋,都市河川の流量・底生動物特性とそれらの動態に関する研究,本研究は、平地河川流域の都市化が流量変動改変を介して河川性底生動物群集の動態に及ぼす影響を解明することを目的として、愛媛県道後平野の平地河川で経時的な環境・底生動物調査を実施した。この結果、平地河川では保全価値を無視できない生物相が成立していること、そして、出水攪乱が底生動物の群集動態を決定づける主要な要因であることが明らかになった。さらに、従来注目されていた流量変動の激化に加え、流域の地質に起因する河床不安定性の変異が都市河川の攪乱強度と底生動物動態に強い影響を及ぼしていることが示唆された。よって、今後の平地河川の生態系管理においては河床不安定性に注目した方策が有効であるものと考えられた。,基盤研究(C),小区分64040:自然共生システム関連,応用生態工学,河川生態学,群集生態学,攪乱生態学,出水攪乱,流量変動,都市河川,河川性底生動物,攪乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11726,島根大学,倉田 健悟,中海における海藻類の刈り取りが底生生物群集および藻場生物群集に及ぼす影響,中海の沿岸帯には主にオゴノリ類から成る藻場が広がっている。オゴノリ類は初夏から増え始めて秋には枯死した藻体が浅い場所に集積する様子が観察される。湖底に堆積したオゴノリ類はアサリなどの底生生物を斃死させると言われている。近年、海藻類を刈り取って肥料にする取り組みが再開された。しかし、海藻類の刈り取りが無脊椎動物群集に及ぼす影響は明らかでない。本研究は中海において海藻類の存在と無脊椎動物群集の関係を明らかにすることを目的に行った。海藻群落の生物群集の種数は堆積物の生物群集より大きい傾向が見られ、多様度指数も高かったことから、中海の浅い水域では海藻類は底生生物の重要な生息場であることが示唆された。,基盤研究(C),小区分64040:自然共生システム関連,Estuarine Ecosystem,Seaweed,Gracilariaceae,Benthic community,汽水域生態系,海藻類,オゴノリ類,底生生物,中海,現存量,自然再生,生態系サービス,紅藻類,汽水湖,底生生物群集,光量子束密度,オゴノリ,藻体色,生長量,循環型社会,海藻,アサリ,汽水域,資源,循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11725,鳥取大学,永松 大,海浜植物群落の安定性とEco-DRR機能検証,海岸砂丘が持つEco-DRR機能解析のために，鳥取砂丘海岸を対象に砂丘と植生の安定性評価を行った。数十年単位の長期には，人間の働きかけによる直接変化が大きかった。10年単位での砂丘内の砂移動量からみると，植物が生育する場所は砂が堆積傾向にあり，外来植物は砂移動量が少ない場所に生育する傾向がみられた。研究期間中に短期の植生変化は認められなかった。海岸砂丘では在来植物が砂を補足して堆積させる機能を持ち，砂丘のEco-DRR機能維持と向上に貢献している可能性が考えられた。,基盤研究(C),小区分64040:自然共生システム関連,海岸砂丘,海浜植生,植生保全,人為攪乱,鳥取砂丘,鳥取砂丘海岸,生態系サービス,土地利用変化,海浜砂丘,グリーンインフラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11724,小樽商科大学,片山 昇,生態学的アプローチに基づく山菜の撹乱応答の解明,持続的で効率的な生態系サービスの利用には，人為的撹乱と生態系サービスの関係を科学的に調査し，撹乱後のサービスの変化を予測する必要がある．本研究は「山菜」を材料にして人為的撹乱に対する山菜の応答を調べ，(1)収穫に応じて山菜（タケノコ）の生産性は強化されうること，(2)タケノコの生産性は生育地の傾斜角度に規定（急傾斜の場所ほどタケノコの生産数は少なく，太いタケノコが生産）されること，(3)収穫に応じたタケノコの生産性の強化も傾斜角度の影響を受けることを明らかにした．,基盤研究(C),小区分64040:自然共生システム関連,チシマザサ,撹乱応答,補償成長,生態系サービス,北方林,山菜,森林,表現型可塑性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12427,地方独立行政法人大阪府立環境農林水産総合研究所(環境研究部、食と農の研究部及び水産研究部),相子 伸之,マイクロプラスチックが淀川ワンドにおける二枚貝とタナゴ類の生態系に及ぼす影響,本研究では、河川に生育する二枚貝とそれらを産卵寄主とする淡水魚のタナゴ類の保全のため、河川におけるマイクロプラスチックの存在量と生体内への蓄積に関する現地の実態調査を行うとともに、水槽での飼育でその影響を明らかにする。特に現地調査では、微小サイズのマイクロプラスチックにも着目し、それらが二枚貝及びタナゴ類の生息場所であるワンドにどれだけ漂着し、底泥あるいは水中にどれだけ含有されるか調査する。また、飼育実験では、二枚貝および二枚貝内で保育されるタナゴ類の未成熟仔魚に対するマイクロプラスチックの影響を検証する。,基盤研究(C),小区分64040:自然共生システム関連,マイクロプラスチック,ワンド,底泥,二枚貝,タナゴ類,淡水産二枚貝,タナゴ,淀川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12426,国立研究開発法人森林研究・整備機構,小山 明日香,森林‐草原の柔軟な景観管理手法の構築：木本植物と草本植物の生態系機能をいかす,里山では管理縮小による生物多様性損失が進行しており、管理省力化かつ多面的機能の向上に配慮した生態系管理への転換が急務である。しかし、生態系管理の現場では、森林での下草刈りや草原での樹林化抑制に多大な管理コストが費やされている。本研究では、森林‐草原景観を対象に、木本‐草本植物のもつ生態系機能を再評価し、埋土種子資源と管理コストから適地条件を解明することで、低管理コストかつ多面的機能の向上に向けた柔軟な景観管理の基盤を形成する。,基盤研究(C),小区分64040:自然共生システム関連,生物多様性,生態系管理,半自然草原,埋土種子,土地利用変化,土地利用履歴,絶滅危惧種,森林生態系,草原生態系,景観管理,生態系機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12425,国立研究開発法人国立環境研究所,深澤 圭太,移流拡散方程式によるホームレンジ形成プロセスの理解と野生動物管理への応用,環境条件の不均一性がホームレンジの大きさや形状に与える影響を評価するため、新たなモデル「移流拡散方程式モデル」を開発する。このモデルは、動物の存在位置の確率の時間発展を記述したものである。開発したモデルを組み込んだ標識再捕獲法をクマ類などに適用し、手法の有効性とともにどのような環境要因がホームレンジの形状に影響を与えるかを定量的に明らかにする。さらに、既存の行政事業において得られた標識再捕獲データと駆除個体の個体識別データを収集し、移流拡散方程式モデルを応用した統計モデルによりホームレンジの形状だけでなく捕殺率の空間分布と環境依存性を同時に明らかにする方法を開発し、鳥獣管理への応用を検討する。,基盤研究(C),小区分64040:自然共生システム関連,野生動物,個体密度推定,標識再捕獲法,ホームレンジ,移流拡散方程式,知床半島,ヒグマ,活動中心,捕殺リスク,空間標識再捕獲モデル,Fokker-Planck方程式,景観生態学,捕殺率,移動障壁,site fidelity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12424,和歌山工業高等専門学校,スティアマルガ デフィン,博物館標本から得られるDNAのビッグデータによる腹足類の多様性進化ダイナミックス,6万5千種以上含む腹足類（巻貝や傘貝）の多様性進化の全体像は未だ把握されていないが、この分類群は古くから自然史研究の対象であるため博物館収蔵標本が全世界に多数ある。,基盤研究(C),小区分64040:自然共生システム関連,ミュゼオミクス,分子系統,DNAバーコーディング,生物多様性,環境変動,分岐年代,博物館標本,貝殻,ミューゼオミックス,ミトゲノム,ビッグデータ,ミトコンドリアゲノム,フィールドワーク,貝殻標本,次世代シーケンサー,多様性変動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12423,広島工業大学,岡 浩平,災害多発時代に備えた河口生態系のレジリエンスの評価,近年の豪雨災害が多発する状況下において、グリーンインフラの活用を進めるには、生態系の回復力（レジリエンス）を最大限に発揮することが重要である。災害により生態系の防災や浄化機能が低下した場合に、どの程度の期間で自立的に回復するのかわかれば、グリーンインフラとして活用しやすく、結果として貴重な生態系も保全される。そこで、本研究では、災害の影響を受けやすい河口生態系を対象にして、2018年7月の西日本豪雨災害からの微地形や動植物、これらのつながりの再生プロセスを評価する。,基盤研究(C),小区分64040:自然共生システム関連,レジリエンス,グリーンインフラ,絶滅危惧種,生息適地,災害,生態系,攪乱,震災復興,河口生態系,底生生物,海浜植物,大規模攪乱,塩生植物,生態系評価,砂州,干潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12422,高知工科大学,大濱 武,難分解性nanoプラステック粒子が引き起こす微細藻の生理異常と種スペクトラム解析,申請者は、難分解性であるnano サイズのプラスティック粒子が、micro サイズのプラスティックでは起きない深刻な別の問題を引き起こす可能性を見出した。nano サイズのプラスティック粒子が微細藻に対して、細胞死を誘導する事実である。micro プラスティックも、機械的破砕・化学的分解でnano サイズのプラスティック粒子にまで小さくなる。海洋中のナノ粒子が、ある濃度を超えた時に、微細藻の細胞死が効率よく誘導される可能性があり、深刻な環境負荷となる。どのような性質のnano プラスティック粒子が、どのような機構で微細藻を殺すのかを明らかにする。,基盤研究(C),小区分64040:自然共生システム関連,シアノアクリレート,ナノ粒子,微細プラスチック,増殖阻害,生分解性,活性酸素種,薬剤耐性,細胞増殖阻害,細胞死誘導,樹脂系,樹脂製ナノ粒子,遺伝子発現変化,クラミドモナス,プラスチックナノ粒子,藻類,トレボウクシア藻,アポトーシス,トランスクリプトーム解析,微細藻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12421,大阪府立大学,東條 元昭,極地に生息する植物病原菌の生態の解明と資源価値の評価,本申請課題では、i)日本北極基地近傍の１か所のコケ類等の自然植生地をモデルとして、2003年から2018年まで1～2年毎に実施してきた植物病原菌の定量的調査を、次世代シークエンサー解析を追加して2022年まで継続する。これにより北極における植物病原菌の20年間の消長を明らかにする。同時に、ii)これまでに独自に収集した約1200株の北極・南極産植物病原菌について、自然環境への影響や産業への有用性を明らかにするため、培養試験、遺伝子解析および接種実験を行う。,基盤研究(C),小区分64040:自然共生システム関連,植物病原菌,極域,陸上植物,極地,生態,資源価値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12420,札幌市立大学,矢部 和夫,泥炭採掘跡地の再湿潤化による群落、水質、および温室効果気体生成の初期変遷の追跡,ボッグを泥炭採掘跡地の再湿潤化によって短期間で再生する方法や、広域で迅速評価できる方法を確立するためにモニタリング指標を考案し、検証し、このような再生ボッグの生態系機能を評価する。また、ミズゴケを含むボッグ種の組み合わせを再生初期の段階で導入し、ボッグの群落種組成の再生の可能性を検証する。,基盤研究(C),小区分64040:自然共生システム関連,ボッグ,石狩泥炭地,湿原復元,温暖化気体,リモートセンシング,メタンフラックス,UAV空撮,植生自動分類,Uリモートセンシング,幌向７草,ホロムイイチゴ,オオミズゴケ,湿原再生,マルチスペクトルカメラ,土壌呼吸量,温室効果気体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12419,琉球大学,佐藤 香織,魚類の拡散的アロモン初同定：抑制物質放出による外来魚の席巻仮説,生物が化学物質を拡散的に放出し同種・他種を抑制する現象は、植物ではアレロパシーとして知られる。しかし動物では、他種への影響が見過ごされてきた。本研究では、侵略的外来魚カダヤシのメスが水中に放出する抑制的物質の同種・他種への影響解明とその同定を目指す。まず、物質の生殖系・解毒系等への作用を解明するため、物質に暴露された同種メスの生殖腺重量、ホルモン濃度、遺伝子発現等を解析する。次に、物質の他種への抑制効果を濃縮物質の注射実験により評価する。最後に、活性物質を質量分析により同定する。本研究により、侵略的外来種席巻メカニズムの1つとして、他種抑制化学物質の放出の可能性を指摘できる。,基盤研究(C),小区分64040:自然共生システム関連,外来魚,カダヤシ,アロモン,水溶性化学物質,繁殖抑制,種間競争,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K12418,大分大学,北西 滋,生活史分化パターンの地域間変異に着目したサクラマス個体群の遺伝的構造の解明,サクラマスには降海型と河川残留型の2つの生活史があり、地域ごとに生活史の割合が異なっている。本研究では、この生活史分化パターンの地域間変異に着目し、生活史分化パターンの異なる複数地域において個体群の遺伝的構造の解析・比較を行うことにより、生活史が本種の遺伝的構造に与える影響を明らかにする。さらに、生活史と遺伝的特性との関係性を明らかにすることにより、各地のニーズやサクラマスの地域特性に応じた順応的な資源管理手法の確立につなげることを目指す。,基盤研究(C),小区分64040:自然共生システム関連,生活史多型,遺伝的構造,保全,生物多様性,マイクロサテライトDNA,空間スケール,移動分散,地域間変異,外部形態,分散,時間スケール,マイクロサテライト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
