awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11745,国立研究開発法人農業・食品産業技術総合研究機構,林 清忠,時間的・空間的シナリオ不確実性を組み入れたプロスペクティブLCAの構築,ライフサイクルアセスメント（LCA）を活用し持続可能な調達を実現する上で、データの入手可能性に起因する不確実性を考慮することが重要である。そのため、対象とする不確実性をエピステミック（知識の不十分性に基づく）不確実性と明示化した上で、シナリオ不確実性を定式化した。まず、データの質に基づいた従来の方法ではなく、意思決定者の知識状態を組み入れた新たな方法を提示した。次いで、土地利用変化を事例とし、知識状態に対応したライフサイクルGHG排出量を求めるとともに、知識状態を考慮した確率分布を導出した。さらに、バリューチェンに関する視点を持続可能な農業システムへの転換の視点と連結する方法を開発した。,基盤研究(C),小区分64050:循環型社会システム関連,ライフサイクルアセスメント（LCA）,シナリオ不確実性,プロスペクティブLCA,意思決定,持続可能な調達,土地利用変化,原料調達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11744,大分工業高等専門学校,菊川 裕規,モーフィング技術を応用した弾性翼による小型ジャイロミル風車の性能向上,再生可能エネルギーへの期待が高まっている中で，風力発電は発電単価も安く有用性が高いが，大型風車はメンテナンスコストや景観の問題等により積極的な導入が進んでいない．メンテナンス性が良く小型で高効率な風車が開発されれば有用性は高い．小型でも比較的高効率な風車としてジャイロミル風車に着目したが，起動トルクが小さく，高速回転時には破損の危険性がある．そこで，モーフィング技術を応用した弾性翼によるパッシブ制御を行うことで，相反する問題点を同時に解決する風車開発の着想に至った．本研究では，特殊風洞装置を用いて風車模型による実験と数値シミュレーションにより風車性能を向上させることを目指す．,基盤研究(C),小区分64050:循環型社会システム関連,再生可能エネルギー,風力発電,ジャイロミル風車,モーフィング,弾性翼,風洞実験,数値シミュレーション,モーフィング技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11743,佐世保工業高等専門学校,松山 史憲,低炭素化浄化槽実現のためのマイクロバブルとプラズマの融合による促進酸化法の開発,本研究では、家庭用バスポンプで駆動可能なマイクロバブルとプラズマを融合させた省エネルギー促進酸化法を提案し、その有用性と実用可能性の評価を行った。,基盤研究(C),小区分64050:循環型社会システム関連,マイクロバブル,プラズマ,水処理,促進酸化法,液中放電,水質浄化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11742,岐阜工業高等専門学校,角野 晴彦,排水組成の変化する電子産業排水に対応できるメタン発酵処理の開発,"2-プロパノール（IPA）・硫酸塩含有排水を中温UASBによって処理した。立ち上げ期間短縮を目的とし、IPAの中間代謝物を副基質としてIPA主体排水への添加を試み、効果を確認できた。この理由は、メタン生成活性の増加と硫化水素への耐性獲得と考えられた。副基質の添加の有無が、古細菌と細菌のFISH観察に差異をもたらした。COD/SO42--Sのより低い条件であるIPA 10,000mgCOD/L、酵母エキス250mgCOD/L、硫酸塩300mgS/Lの排水を供給し、OLR 15kgCOD/m3/dayの運転が、メタン回収量の増加の観点より適していた。硫酸塩還元は主にIPAを直接分解していた。",基盤研究(C),小区分64050:循環型社会システム関連,2-プロパノール（IPA）,メタン発酵,硫酸塩還元,排水の変化,IPA（2-プロパノール）,硫酸塩,中温UASBリアクター,排水濃度の変化,TMAH（水酸化テトラメチルアンモニウム）,MEA（モノエタノールアミン）,スタートアップ,TMAH過負荷,電子産業排水,嫌気性処理,グラニュール汚泥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11741,摂南大学,松尾 康光,生体高分子キチンを用いた新規直接アルコール型燃料電池の創製と最適動作条件の決定,生体由来高分子であるキチン・キトサンを電解質としたダイレクトエタノール型燃料電池（DEFC）の最適動作条件を調べるため、キチン・キトサンを電解質膜としたDEFCを創製し、その特性を調べた。その結果、キチン・キトサンはアルコール非透過性が高く、DEFCの電解質となることがわかった。さらに、キチンとキトサンの配合比が0.6 : 0.4 の混合膜において、アルコール非透過性が高く、かつ出力密度の高い燃料電池電解質膜となることがわかった。,基盤研究(C),小区分64050:循環型社会システム関連,生体高分子,燃料電池,キチン,DEFC,キトサン,生体由来物質,プロトン伝導体,多糖類,バイオマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11740,摂南大学,諏訪 晴彦,製造サステナビリティ向上のための体積比エネルギーに基づく生産システム最適化,本研究では「日々のエネルギー高効率な生産設備の操業」を実現すべく，エネルギー効率性向上を指向する生産システムの新たな最適方策を与えることを目的とする。具体的には切削加工において，単位除去体積あたりの消費エネルギーと，除去率（生産能率）の相関に基づいて，生産設備の統一的な消費エネルギーモデルを構築した。また，工作機械に比して消費電力の少ない搬送ロボットの動作に適応性を与えることにより，対象とする生産システム全体の電力ピークシフト（エネルギー負荷の平滑化）を可能とする生産スケジューリング技法を考案した。テストベッドを用いた実証実験により，提案する運用方法の適用可能性を示した。,基盤研究(C),小区分64050:循環型社会システム関連,体積比消費エネルギー,加工能率,最適化,エネルギー効率性,スケジューリング,実証実験,電力ピークシフト,自動化スケジューリング,適応的搬送動作,エネルギー効率最適化,工作機械,消費電力,小型協調ロボット,放電加工機,製造サステナビリティ,生産システム,体積比エネルギー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11739,北九州市立大学,寺嶋 光春,海水利用下水正浸透膜処理における下水起源クロラミンの膜通過による両側生物膜制御,下水処理場における省エネルギー化のために海水を駆動液(DS)として都市下水を処理する正浸透(FO)膜処理システムにおいて，下水に含まれるアンモニアを原料とし，次亜塩素酸ソーダを添加することでクロラミンを生成させ，FO膜のフラックス低下を抑制するシステムについて研究した。水の透過や塩分の逆拡散，クロラミンの膜透過など基礎的な性能を測定した。クロラミンはFO膜を容易に通過するため，濃縮下水中には大きくは濃縮しないことがわかった。実下水を用いクロラミン添加した連続実験を実施し，実下水の濃縮を確認した。良好な下水中有機物の濃縮およびメタン発酵によるメタンガスの発生を確認した。,基盤研究(C),小区分64050:循環型社会システム関連,排水処理,正浸透膜,透過,ファウリング,FO膜,正浸透,クロラミン,都市下水,バイオフィルム,メタン発酵,溶解性有機物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11738,長崎大学,奥村 哲也,海水浸透圧発電のための濃度分極・ファウリング解消法の開発,濃度分極およびファウリングのシミュレーションプログラムと計算モデルを開発し，浸透を阻害する要因を低減する方法について検討した．膜本来の性能を得るためには，中空糸膜の密度を小さくすること，水の流速を大きくすることが有効であることがわかった．また，気泡を導入することで水中のファウラントを除去し，固体表面に付着したファウラントを低減できる可能性があることがわかった．,基盤研究(C),小区分64050:循環型社会システム関連,濃度差発電,浸透膜,濃度分極,ファウリング,格子ボルツマン法,粒子法,気泡,浸透圧発電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11737,鳥取大学,海老沼 孝郎,未利用の小規模・分散的な表層型メタンハイドレートの特性とガス生産原理に関する研究,本研究では、表層型メタンハイドレート（MH）の貯留層特性を調査した。また、表層型MHから天然ガスを採収する方法として、環境負荷が小さい減圧法の適用可能性を検討した。特に、海底表層の温度は0℃に近い低温である日本海の特徴を踏まえて、堆積層の顕熱に加えて、間隙水の凍結により発生する潜熱の利用を検討した。,基盤研究(C),小区分64050:循環型社会システム関連,メタンハイドレート,生成平衡条件,堆積物,間隙水,生産手法,コア試験,熱収支,水浸透率,塊状,形成機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11736,東京工業大学,時松 宏治,水を媒介としてLCAモデルを組込んだ統合評価モデルによる2℃シナリオの持続性評価,水資源需給とそれに伴うライフサイクル環境影響評価を扱う水モデルを新規に開発した。その新規開発の水モデルを申請者が既に開発した他資源需給モデル（エネルギー、鉱物、土地）とリンクさせたモデルを開発した。このリンクは水需要（エネルギー・鉱物と工業用、土地と農業用、人口・GDPと生活用）と水供給（エネルギー）を通じて行った。リンクさせたモデルを用いて2℃シナリオとなる試算結果を得ることができた。これに加えライフサイクル影響評価モデルを統合評価モデルへ組込む方法と持続性指標に関わる論文執筆作業を行った。執筆論文はモデリングや資源環境経済学の国際学会の査読を経て報告として、発表する機会を得た。,基盤研究(C),小区分64050:循環型社会システム関連,水,影響評価モデル,地球温暖化緩和策シナリオ,持続性指標,LCA,統合評価モデル,2℃目標,持続性評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
