awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11771,公益財団法人東京都環境公社(東京都環境科学研究所),片野 博明,中小規模事業所における省エネポテンシャルの推計と省エネ推進・阻害要因の定量的分析,東京都内の中小規模事業所を対象に「省エネ対策の実施によるエネルギー消費削減効果」「省エネ対策の実施に影響を与える要因とその影響度」を明らかにすることを目的とし、都内中小規模事業所のエネルギー消費量のデータを分析すると共に、省エネ対策に関するアンケート調査を実施した。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,省エネポテンシャル,省エネ阻害要因,省エネ動機,アンケート調査,中小規模事業所,東京都,オフィス,省エネバリア,エネルギー消費原単位,計量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11770,東京農業大学,下嶋 聖,空間情報技術を活用した自然資源管理のための生態系及び社会性レジリエンス指標の算出,慶良間諸島の総面積に占める森林面積の割合は、1962年15％、1977年31％、1984年47％、1996年51％、2001年59％であった。既往文献より4島のケラマジカの総個体数は、1970年代に約60頭、1990年代に約230頭、2000年代に約120頭であった。ケラマジカ1頭当たりの森林面積（単位）は、1970年代が約3.5ha、1990年代が約1.7ha、2000年代が約3.9haと推定された。1995年頃から森林面積に対してケラマジカの生息密度が高まったと推察される。ケラマジカの動態と土地利用の変化は、主に人口動態の変化と島の生業に影響を受けている。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,GIS,リモートセンシング,UAV,土地被覆,ケラマジカ,慶良間諸島,原単位,景観変遷,植生調査,レジリエンス,慶良間諸島国立公園,空間情報技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11769,崇城大学,永松 俊雄,水俣病被害地域における教訓波及に関する実証的研究,初年度は、水俣市や国保水俣市立総合医療センターなどの地域医療、チッソ（株）などの水俣病被害補償関係者、及び上天草市、上天草市立上天草総合病院などの地域医療関係者へのヒアリングを実施するとともに、両市の健康・医療関係資料の収集を行い、両市における住民の健康状況、実施されている関係諸事業の現状等の検討を行った結果、以下の事項が確認された。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,水俣病,教訓波及,社会学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11768,流通科学大学,酒井 彰,途上国都市スラムにおける衛生行動の変容促進を目的とした介入方策に関する研究,途上国都市貧困層コミュニティにおいて、感染リスク低減のためには、衛生設備利用者の衛生行動の変容が必須である。本研究では、バングラデシュのコミュニティを対象に、行動変容が継続されないことが、衛生環境の維持を困難にしていることを論じたうえで、衛生行動が、他者への影響配慮等の行動規範に規定されることを示した。また、排便の水洗とトイレ使用後の手洗いが可能な装置を導入し、衛生改善効果、衛生行動の持続の面からその適用性を評価した。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,都市貧困層コミュニティ,衛生行動,行動変容,共同トイレ,下痢症リスク,手洗い,都市スラム,行動規定要因,リスク認知,衛生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11767,近畿大学,川原 尚子,自治体による再生可能エネルギー事業の社会影響の情報開示 - インパクト報告モデル,本研究は、パブリックセクター等による再生可能エネルギー（再エネ）事業等が及ぼす社会影響に関する情報開示の要因や意義を論じ、ステークホルダーへの効果的な情報開示を可能とするインパクト報告の開発に向けた現状と課題を検討している。本研究は、また、ステークホルダーの情報ニーズを踏まえた報告要素や実際の報告の活用において考慮すべき要因も明らかにしている。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,社会影響,持続可能性報告,非財務情報の開示,ソーシャルビジネス,社会的責任（CSR),パブリックセクター,再生可能エネルギー,選好,サステナビリティ,情報開示,非財務情報,社会的責任,持続可能性,エコラベル,新電力,社会的責任投資,インパクト評価,社会影響評価,インパクト報告,自治体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11766,立命館大学,南 慎二郎,地域経済に着目した環境マネジメントの政策的合意形成・実行の研究,本研究はアスベスト災害を主な研究対象として、短期的な損得にとらわれずに長期的な環境汚染・災害予防の対策として実効性の高い環境マネジメントを構築することを目標として、その政策的合意形成と政策実行の方策を求めるものである。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,環境マネジメント,行動経済学,制度経済学,アスベスト災害,内部集積不利益,内発的発展,社会的費用,リスクコミュニケーション,地域コミュニティ,行動経済学・制度経済学,政治経済学・経済社会学,公害研究,歴史研究,社会保障,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11765,京都産業大学,宮永 健太郎,社会的企業としての再エネ事業者およびその環境ガバナンスにおける機能の解明,本研究は、再エネ事業者という主体の理論的特質を「社会的企業」という視点から提示し、それが地域の環境ガバナンスシステムにおいていかなる機能を果たすのかを解明した。具体的には、社会的企業論の理論枠組みを活用して再エネ事業者の類型化を行ったほか、再エネ事業者のコーポレート・ガバナンスのあり方についても考察した。それらの作業を通じて、再エネ事業者がステークホルダーや環境ガバナンスシステムといかなる関係構造を有しているのかを示した。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,社会的企業,再生可能エネルギー,環境ガバナンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11764,京都産業大学,在間 敬子,中小企業の経営課題解決と環境経営を両立させるメカニズムに基づく支援策のデザイン,食品製造業の中小企業への実証分析から、環境活動により認識される経営改善の効果として、信頼性・従業員意識・品質管理の向上といった点があること、および、これらは食品安全衛生管理により認識される経営改善効果と共通することが明らかになった。この結果から、環境活動に取り組んでいないアウトリーチ層の企業に対して、食品安全管理による経営改善効果と環境活動が同様の効果をもたらすことを教育することで、環境経営の推進が可能であると考えられる。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,環境経営,中小企業,経営改善,制度設計,エージェントベースモデリング,環境学習,経営課題,経営課題解決,環境学習シミュレーション,エージェントベースシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11763,名城大学,平児 慎太郎,棚田景観の保全・管理に向けた社会的な合意形成の展開過程,本研究は富山県在住者589名を対象に“棚田の景観”、“棚田で生産されたお米(棚田米)”、“棚田オーナー制度”に対するイメージに関わるアンケートを実施し、共起ネットワークを用い、それらに関わる頻出語や共起性を明らかにした。その結果、いずれも好意的な回答が多く、棚田を含む農村景観や自然生態系などの環境財に対し一様に規範的な態度が示されることを意味していたが、身近な棚田を訪れて保全活動に参加する等の実際の活動に反映されるためにはなお克服すべき部分との乖離があることが改めて浮き彫りになった。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,棚田景観,都市農村交流,棚田オーナー制度,テキストマイニング,共起ネットワーク,環境教育,環境社会,地域参与型教材,農山村景観,棚田の保全・管理,合意形成,順序ロジット,テキストマイニング手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11762,明治大学,勝田 忠広,福島第一原発事故後の新安全目標-過去・現在の分析と将来の望ましい目標-,日本の原子力安全規制で使用する安全目標について、透明性のある系統的な意思決定プロセスによる新しい方法を検討した。,基盤研究(C),小区分64060:環境政策および環境配慮型社会関連,原子力政策,福島第一原発事故,原子力安全規制,安全目標,統計的生命価値,費用便益分析,予防原則,熟議型討論,原子力災害,原子力,規制影響分析,原子力発電,福島第一原子力発電所事故,規制影響評価,六ヶ所再処理工場,政策,福島事故,環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
