awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K11945,公益財団法人佐賀県地域産業支援センター九州シンクロトロン光研究センター,金安 達夫,レーザー誘起蛍光法で探る希ガス原子のVUV渦励起,軌道角運動量を運ぶ光ビーム（光渦）と原子分子との相互作用の解明を目指し，光渦による平面波禁制遷移の検証に取り組んだ．平面波禁制励起を選択的に観測するため，レーザー誘起蛍光法の適用を考案し光渦ビームと赤外レーザー光を組み合わせた実験装置を開発した．本研究の期間内には平面波禁制遷移の観測には至らなかったが，一連の研究を進める中でアンジュレータ放射が持つ時空間構造の活用法を見出し，原子の量子状態制御や超高速時間分光といった新たな放射光利用法の手掛かりを得た．,基盤研究(C),小区分80040:量子ビーム科学関連,光渦,放射光,量子状態制御,アンジュレータ,電子遷移,円偏光アンジュレータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11944,公益財団法人佐賀県地域産業支援センター九州シンクロトロン光研究センター,江田 茂,多重エッジ放射干渉効果の研究,周期的に配置された3極ウィグラーを相対論的電子が通過することで、ウィグラー間直線部で発生するエッジ放射が増大する多重エッジ放射干渉効果を提案し、そのスペクトル、空間分布等基本的性質を理論的モデルを用いて明らかにした。この3極ウィグラー磁石配置をEdge Radiation Undulator (ERU)と名付けた。ERU放射は、アンジュレータとほぼ同じオーダーの放射強度を有していることが解析的に示された。ERUはアンジュレータとは放射原理がまったく異なることを考えると非常に興味深い結果であった。また特定条件のアンジュレータ放射は、ERU放射で近似できるという意外な結果が得られた。,基盤研究(C),小区分80040:量子ビーム科学関連,エッジ放射,アンジュレータ,ウィグラー,放射光,超伝導ウィグラー,3極ウィグラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11943,公益財団法人高輝度光科学研究センター,青柳 秀樹,挿入光源ビームラインで用いる高分解能パルス・モード計測型光ビーム位置モニタの開発,大型放射光施設SPring-8の挿入光源ビームラインにおいて大強度放射光ビームのパルス毎の位置計測を実現するために、ダイヤモンド・ヒートシンクを基板としたブレード型検出素子を改良することにより、高耐熱・高分解能化を試みた。偏向電磁石ビームラインで評価試験の結果、半値全幅0.9nsの良好な単極性のパルス波形を観測した。ショット毎の分解能を評価したところ10μm以下であった。また、耐熱性の観点からも良好であることを確認した。,基盤研究(C),小区分80040:量子ビーム科学関連,光ビーム位置モニタ,放射光ビームライン,パルスモード計測,マイクロストリップライン,ダイヤモンドヒートシンク,パルス・モード計測,ダイヤモンド・ヒートシンク,量子ビーム,放射光,加速器,ビーム位置モニタ,挿入光源,ビーム位置モニター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11942,公益財団法人高輝度光科学研究センター,新田 清文,広視野ナノ顕微XAFS法の開発,本研究は高空間分解能かつ広視野の顕微法であるタイコグラフィ法と物質の化学状態を明らかにするX線吸収分光法を組み合わせたタイコグラフィーXAFS法の開発を目的として行った。,基盤研究(C),小区分80040:量子ビーム科学関連,タイコグラフィ法,X線吸収分光法,顕微ＸＡＦＳ法,ＸＡＦＳ法,コヒーレント回折法,Ｘ線吸収分光法,タイコグラフィー法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11941,国立研究開発法人産業技術総合研究所,藤原 健,LET依存性のない重粒子線の線量分布イメージング検出器の開発研究,重粒子線治療のQuality Assuranceには主に電離箱（走査型、アレイ型）を用いた線量分布測定が一般的に使用されてきたが、電離箱には測定時間、空間分解能に課題があり、線形性を維持したまま測定の効率化と高空間分解能化という２つの点で改善が求められてきた。本研究では、重粒子線の急峻な変化に追従するのに十分な空間分解能と応答速度を有しつつ、線量測定においてLET依存性がなく線形性のある線量分布測定システムの開発を目的としてガラス微細構造とガスの発光を利用したイメージング検出器を開発し、高LET放射線を高精度で、かつ、1mm以下の高い分解能で線量分布をイメージング可能な検出器を実現した。,基盤研究(C),小区分80040:量子ビーム科学関連,重流線,粒子線治療,Glass GEM,MPGD,イメージング,重粒子線治療,高LET,粒子線,ガス検出器,蛍光ガス,GEM,陽子線治療,ブラッグピーク,線量計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11940,国立研究開発法人産業技術総合研究所,雨宮 邦招,あらゆる光をとらえて逃がさない、完全黒体シートをイオンビーム加工でつくる,本研究では、表面反射がゼロに近い黒体材料を製造する技術を開発した。高エネルギーイオンビーム加工により形成したマイクロ空洞構造を原盤として、黒体材料のシートを転写する技術を確立した。製造した黒体シートは、紫外～可視～近赤外～中赤外の波長範囲で、≦0.5 % の非常に低い反射率を示した。 特に、中赤外域での反射率は ≦0.1% と極めて低いうえ、接触、繰返し曲げ、引っかきを行っても性能を維持していた。 また、本黒体材料は100 mm×80 mmの大面積にしても高い均一性を有していることを確認した。 これにより分光分析における迷光除去や熱画像検知など、光計測技術の格段の性能向上に貢献できる。,基盤研究(C),小区分80040:量子ビーム科学関連,暗黒シート,光吸収体,黒体,極低反射,イオンビーム,表面微細加工,高耐久,フレキシブル,イオンビーム加工,低反射率,高放射率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11939,国立研究開発法人量子科学技術研究開発機構,西中 一朗,医療用α放射性同位体211Rn/211Atジェネレータ二重気密構造システム開発,医療用α放射性元素At（アスタチン）-211の新しい供給法となるRn(ラドン)-211/At-211ジェネレータを一般のラジオアイソトープ（RI）使用施設内のフード内で使用可能にするための研究開発を行った。ポンプを使わないHe気流制御機能をもつ高気密ステンレス製の小型ジェネレータ装置を作製し、フード内での取扱いの安全性を確認した。,基盤研究(C),小区分80040:量子ビーム科学関連,α放射性同位体,核医学利用,アスタチン,ラドン,ジェネレータ,トレーサー,ジェネレーター,アルファ放射性同位体,放射線,加速器,放射性医薬品,核医学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11938,国立研究開発法人量子科学技術研究開発機構,出崎 亮,イオン注入法によるカーボン前駆体高分子からのグラファイト高効率合成に関する研究,カーボン前駆体高分子から高効率にグラファイト構造を形成する技術を確立するために、nmオーダーの金属微粒子を導入する方法としてイオン注入法を検討した。金属イオン注入法を利用して、カーボン前駆体高分子へ5～30nmの範囲で粒子径を制御して金属微粒子を導入する技術を確立した。これにより、カーボン前駆体高分子の炭素化過程において、乱層構造を含むグラファイト構造を効率的に形成できることを明らかにした。さらに、この技術を応用し、酸素還元触媒性能を有するカーボン材料を合成する技術を確立し、従来よりも高性能な窒素含有カーボンアロイの開発に成功した。,基盤研究(C),小区分80040:量子ビーム科学関連,イオン注入法,金属ナノ粒子,乱層グラファイト構造,窒素含有カーボンアロイ,酸素還元触媒性能,イオン注入,カーボン前駆体高分子,有機－無機転換,酸素還元反応触媒,グラファイト,有機―無機転換,炭素触媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11937,国立研究開発法人量子科学技術研究開発機構,柏木 啓次,多種大強度重イオンビーム加速のための軌道制御型加速管の開発,レーザーイオン源からの高強度イオンビームを加速する際は、空間電荷効果等に起因したビームの発散によるビーム損失が問題となる。本研究では、レーザーイオン源で発生したプラズマからビームを引き出すとともに、その軌道を制御して加速する装置の開発を行った。まず、イオン発生部付近からのプラズマ挙動のシミュレーションに基づき、プラズマ輸送用ソレノイド磁場中でビームを引き出す位置を決定した上で、加速ビームの軌道を制御する加速・集束電極装置を設計した。そして、実験により、プラズマ輸送磁場に応じた電場を形成することで、ビーム軌道を適切に制御して加速過程での損失を抑制できることを示した。,基盤研究(C),小区分80040:量子ビーム科学関連,レーザーイオン源,重イオンビーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K11936,国立研究開発法人量子科学技術研究開発機構,越川 博,イオン穿孔技術を用いた光触媒ナノコーンアレイの開発,太陽光を利用した水分解水素製造は、表面が平板だと光の入射角度に依存する反射、散乱のために光吸収の損失がある。しかし表面にナノコーンアレイを形成させれば、吸光度が増大しエネルギー変換効率が向上することが知られているが、そのような構造体の作製例は報告がない。本研究では、イオン一つの軌跡に沿って作製されるナノ穿孔をテンプレートとして光触媒の開発を進めた。その結果、先端が先鋭で滑らかな形状のナノコーンアレイを表面に持つ二酸化チタンの作製に成功した。本手法は、光吸収率と反応効率の高い太陽光水分解水素製造膜への応用が期待される。,基盤研究(C),小区分80040:量子ビーム科学関連,イオン穿孔,ナノコーン,光触媒,二酸化チタン,ポリカーボネート,ポリイミド,テンプレート,電気泳動電着,焼成,スパッタ蒸着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
