awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12024,国立研究開発法人情報通信研究機構,カラン ダニエル,,本研究の目的は、経頭蓋直流電気刺激(tDCS)により誘発される脳活動の変化が、様々な課題における行動パフォーマンスの円滑化に関連していることを明らかにすることである。視覚探索/ギター即興演奏/飛行機着陸の3つの課題において、実刺激または偽刺激条件下でフィードバックを行いながら、各課題の前後に約30分間のtDCSを適用した。tDCSによる全体的なパフォーマンス促進は見られなかったものの、一部においてパフォーマンス促進に関連する脳活動の興味深い変化が見出さた。tDCS実刺激群では、変調された脳活動の程度に基づいて行動パフォーマンス促進を予測できたが、tDCS偽刺激群では予測することができなかった。,基盤研究(C),小区分90030:認知科学関連,tDcs,fMRI,EEG,Resting,State,Attention,Learning,tDCS,Resting State,perception,auditory,motor,attention,learning,brain stimulation,neuro modulation,performance enhancement,training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12023,国立研究開発法人産業技術総合研究所,木村 健太,時間予測による報酬刺激処理の調節メカニズム－脳機能計測と計算論的手法による検討－,本研究は、脳機能計測と計算論的手法を組み合わせた包括的な研究アプローチにより、時間予測が報酬刺激処理を調節する認知神経科学的メカニズムを明らかにすることを目的とした。一連の研究により、１）報酬刺激処理は行動－結果間の遅延時間の分布に基づき形成される時間予測により調節されること、２）手がかりによる時間予測の向上が報酬刺激処理の減衰を復調すること、３）時間予測による報酬刺激処理の変調が学習パラメータに影響することが分かった。これらの研究結果から、経験により形成される時間予測が報酬刺激処理とそれに基づく学習行動の基盤となることが分かった。,基盤研究(C),小区分90030:認知科学関連,報酬,学習,時間予測,脳,行動モデリング,事象関連脳電位,脳波,強化学習,内受容感覚,モデルベース解析,脳活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12022,広島国際大学,岩城 達也,身体的違和感の心理生理学的メカニズムの探索,本研究では身体的な違和感について、入力された身体の視覚及び触覚情報が内部モデルと矛盾した場合に生じる感として定義し検討した。実験１では、ラバーハンド錯覚に伴う違和感について脳波マイクロステート分析を実施した。実験２では、自分の手、他人の手、義手を刺激画像として、提示画像が自分のものかを判断する課題を実施した。刺激弁別に伴う事象関連電位を分析した。実験３では、喚起された感情状態と一致、または不一致な表情をつくる課題を実施し、表情の違和感の違和感を検討した。実験を通じて違和感は身体認知処理に右前頭部が関与すると考えられた。,基盤研究(C),小区分90030:認知科学関連,違和感,身体所有感,ラバーハンド錯覚,視覚的違和感,表情制御,脳波活動,自己身体認知,VR,スポーツ,事象関連電位,義手,脳波マイクロステート分析,接近回避,前頭部α波の左右差,自己と他者とモノ,表情,身体認知,脳波,身体,感性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12021,近畿大学,寺井 仁,階層的規則性に対する認知の非対称性とその合理性,局所的な規則性である下位規則から大局的な規則性である上位規則が創発される，階層的規則性は，科学が対象とする現象一般に認められる普遍的な性質の一つである．パターン認知や構えの効果に代表される認知特性から，人は上位規則を選択的に認知し，それに固執することが予想される．本研究では，このような階層的規則性を有する現象に対して，下位規則の発見のプロセスについて，以下の３つの観点から検討を進めた．１点目は，観察データに含まれるノイズが下位規則の発見に与える影響である．２点目は，階層的規則性に関する事前知識が，下位規則の発見に与える影響である．そして，３点目は，下位規則の探求における言語化の効果である．,基盤研究(C),小区分90030:認知科学関連,規則発見,階層性,問題解決,ライフゲーム,科学的発見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12020,帝京大学,草山 太一,報酬分配に着目した動物の協力行動ーげっ歯類と鳥類の比較ー,協力後の報酬分配に着目して、ラットとハトを対象に協力行動について検討した。餌の入った箱の前面に取り付けられた左右のレバーを2個体が同時に押すことで箱の蓋が開いて、餌を獲得できる装置を用いたところ、いずれの種もレバー押しができた。しかし、ラットによる餌の配分は公平ではなく、一方が独占した。それぞれが異なる役割を担うことで餌を獲得できる課題より検討したが、互いに相手の行動をモニターして課題解決を目指すような行動の同期性はほとんど認められず、餌の分配も公平ではなかった。一連の実験結果からは動物が示す協力行動は単に複数の個体が協同するだけで成立するとは言い難いと考えられる。,基盤研究(C),小区分90030:認知科学関連,協力行動,報酬分配,ラット,ハト,公平分配,ジュズカケバト,分配,げっ歯類,鳥類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12019,東北文化学園大学,柴田 寛,多感覚の表象に基づく言語の理解と表出に関わる脳機能モデルの構築,本研究では言語の理解と表出に多様なモダリティ表象（視覚表象や聴覚表象などの感覚表象、運動表象、言語表象など）が関与することを想定して、このような処理過程を説明する脳機能モデルを構築することを目的とした。fMRI実験から、提示する刺激の言語・非言語モダリティに関わらず言語表象を生成する処理に運動前野を含む中心前回と中心後回が関与すること、非言語刺激の提示から言語表象への変換に左下前頭回が関与することを示す結果が得られた。これらの脳領域の機能を含めて、言語・非言語刺激から言語・非言語表象を生成する処理過程を説明する脳機能モデルを提案した。,基盤研究(C),小区分90030:認知科学関連,脳機能イメージング,感覚表象,運動表象,言語表象,モダリティ変換,fMRI,非言語表象,中心前回,下前頭回,ブローカ野,言語刺激,脳機能モデル,聴覚刺激,聴覚表象,補足運動野,多感覚,言語理解,視覚表象,言語表出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12018,岡山県立大学,大山 剛史,非利き手の認知と運動を実現する計算モデルの解明,本研究は利き手と非利き手の運動の違いについて、手先に加える力の制御、運動中の外乱、運動のばらつきといった観点から調べた。固定した対象に力を加えるタスクにおいて、非利き手は利き手よりも一定の力を生成しやすいことが示唆された。運動中の外乱に関しては、手先に運動を助長する力を加える条件では非利き手の方が早く正確な運動を生成できることが明らかになった。運動のばらつきについて、利き手が生成する運動は運動全体のばらつきというよりかはタスクの目的を達成しやすい運動を生成していることが示唆された。,基盤研究(C),小区分90030:認知科学関連,運動制御,利き手,計算モデル,運動のばらつき,粘性力場,両側性運動,認知科学,人間工学,上肢運動,ユーザーインタフェース,経由点運動,相互作用トルク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12017,大阪府立大学,牧岡 省吾,最適化原理を超えて：モダリティ間学習の多様性とその学習原理を探る,数字と色，数字と性格印象，数字と空間配置の対応関係およびその経時的変化について心理実験を行うことで，モダリティ間マッピングの特性とその学習原理について検討した．数字と色，数字と性格印象については，対応関係に個人差がみられ，自己組織化学習に基づく説明と適合するものの，有意差が得られた組み合わせが少なく，かつ経時的な変動が大きかったことから，明確な結論が得られなかった．数字と空間配置については，自己組織化学習モデルを支持する結果が得られた．加えて，大脳皮質のトポロジカルマップと共感覚における励起感覚の形状の関係について，脳内の座標系に関する知見を基に理論的な検討を行った．,基盤研究(C),小区分90030:認知科学関連,共感覚,自己組織化学習,ニューラルネットワーク,色,数字,性格特性,OLP,多感覚対応,意味,多感覚,クロスモーダル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12016,鹿児島大学,山下 和香代,乳幼児期における日常の視覚環境調査と色知覚メカニズム発達に関する実験的研究,本研究は、個人の視覚環境の違いとその視覚発達メカニズムについて、乳幼児を対象とした視覚環境の調査により検討することであった。日常的な視覚環境による経験を調査するために、乳幼児の頭部にwearable cameraを装着し、日常生活を過ごしている環境において行動を制限することなく乳幼児視点におけるデータを取得した。取得した乳幼児視点風景データ群を用いて、画像に含まれる色分布や空間周波数分布、顔の特徴の分析を行った。これらの結果は、視覚発達メカニズムについての視覚環境の影響を検討する基礎的資料として意味を持つ。,基盤研究(C),小区分90030:認知科学関連,視覚環境,日常の調査,色,顔,空間周波数,乳幼児,認知科学,知覚,発達,環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12015,九州大学,山田 祐樹,気持ち悪さの認知多層科学,本研究では気持ち悪さという感情について多方面・他側面から総合的に実験的検討を行った。結果として，不気味さ，不快感，嫌悪感等に関する多くの知見が得られ，また期間中に起こったコロナ禍との関連をあえて調べることによって，行動免疫システムといった嫌悪に関わる重要な従来理論の理解も深めることができた。また副次的に学術出版や研究慣習自体の大きな変革に立ち会うことにもなり，心理学の未来を見据えることができた。,基盤研究(C),小区分90030:認知科学関連,嫌悪感,感情,COVID-19,研究慣習,学術出版,コロナ禍,認知心理学,身体性,オンライン調査,追試,事前登録,身体化,認知,文化差,文化,動物,神経基盤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
