awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H05265,国立研究開発法人理化学研究所,田原 太平,最も先進的な計測と理論の協奏による革新的界面研究の推進,位相制御した界面選択的非線形分光とそのフェムト秒時間分解測定および分子動力学計算によるシミュレーションを協奏的に駆使し、水を中心とする液体界面における先進的界面研究を推進した。空気／水界面のフェムト秒振動緩和機構の全貌を明らかにし、水界面での化学反応の直接観測に初めて成功して界面反応が水中反応と大きく異なることを発見した。さらに、埋もれた界面である酸化物／水界面の電気二重層の構造を分光学的に明らかにするとともに、電極界面等の現実界面の界面構造を分子レベルで明らかにする道を拓いた。世界の他の研究グループでは実現出来ない研究を実現することで界面科学に新しい可能性を拓き、これを飛躍的に進歩させた。,基盤研究(S),大区分E,界面,非線形分光,超高速分光,分子動力学計算,分子科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05264,早稲田大学,中井 浩巳,光受容タンパク質の量子的分子動力学シミュレーションによる遍在プロトンの機能解明,生体分子系においてプロトンは多様な形態で遍在し（遍在プロトン），周囲の構造や電子状態の変化に伴って複雑な動態を示す．その結果生じるプロトン移動は生命現象において重要な寄与を果たす．本研究では，生体分子系全体を量子的に取り扱うための基盤技術の開発と，光受容タンパク質を対象とした応用を実施し，生命現象の微視的機構を遍在プロトンの観点から解明することを目指した．開発では，独自の量子分子動力学法に対して大規模・長時間化，励起状態への拡張，状態間遷移の実現を達成した．応用では，プロトンポンプやチャネルにおいて遍在プロトンがオキソニウムイオンや水酸化物イオンを経由して機能発現に関与する分子機構を解明した．,基盤研究(S),大区分E,光受容タンパク質,量子的分子動力学法,遍在プロトン,バクテリオロドプシン,FoF1-ATP合成酵素,光活性イエロータンパク質,励起状 態,非断熱遷移,量子的分子動力学（QMD）法,バクテリオロドプシン（BR）,光活性イエロータンパク質（PYP）,励起状態,分割統治型密度汎関数強束縛法,励起状態ダイナミクス,GPUアクセラレータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05263,青山学院大学,阿部 二朗,インコヒーレント非線形光スイッチ分子の学術基盤創生,本研究は近赤外光応答フォトクロミック分子や入力光強度に閾値を有する可視光非線形応答フォトクロミック分子を開発することを目的とした。５年間の研究期間で可視光非線形的応答バイフォトクロミック分子、近赤外光応答逆フォトクロミック分子、三重項－三重項消滅（TTA）アップコンバージョン高速フォトクロミック分子、可視光・近赤外光応答完全逆フォトクロミック分子、紫外パルス光非線形応答逆フォトクロミック分子を創製した。,基盤研究(S),大区分E,フォトクロミズム,光化学,非線形応答,電子状態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05262,京都大学,北川 進,適応性空間の化学 / Chemistry of Adaptable Space,生物は長い進化の末、様々な環境の変化に対し自らを「適応(adapt)」させる能力を獲得した。この自発的適応機能を化学の視点で捉えれば、例えば分子シグナルの授受や細胞膜内外の物質移動といったナノレベルの多重な機能を協同的に連携作用させて応答を行う「流れ(flow)」の確立にある。その機能実現にはダイナミックな「ナノ空間(nanospace)」が重要な役割をしている。センシングやシグナル伝搬、応答といった高次の機能を持ち能動的適応性を示す材料を生みだすことができれば、今後の機能材料開発に大きなパラダイムシフトをもたらすことは間違いない。本課題は、生物の受容、検出、移送、変換などの基本操作を材料化学的な空間素子として設計し、それらを連携させた空間にエンコードして多様な環境変化に応答する新しい概念の多孔性物質を創出することを目指すものである。本課題では、これまで研究代表者が世界をリードしてきた配位空間の化学を、未踏の高次機能を有する物質開発へと深化させ、「適応性空間の化学」と定義し新しい領域の創成にむけ困難な課題を浮き彫りにしつつ、その解決に向けて挑戦した。,基盤研究(S),大区分E,多孔性配位高分子,結晶工学,ナノ空間化学,錯体化学,適応機能,ガスセンサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05261,名古屋大学,山口 茂弘,ホウ素π電子系の化学：平面固定化により拓く新機能,本研究では，多様な典型元素の中でもホウ素に着目し，ホウ素の特性の活用により秀逸な光電子機能性分子の創製に取り組んだ．これまでに，トリアリールボラン骨格の平面への構造固定化により，立体保護が無くても安定化できることを示してきた．本研究ではこの設計指針をさらに一段進め，近赤外蛍光材料の開発や発光性ラジカルの有用性の実証を行った．平面固定ホウ素π電子系とLewis塩基との錯形成を基底／励起状態の両面で詳細に理解し，精密超分子重合の達成や，蛍光特性の環境応答性の付与へと発展させた．さらに，ホウ素π電子系の蛍光イメージングへの応用に向けた構造物性相関の解明も行い，水媒体中での会合挙動の制御も達成した．,基盤研究(S),大区分E,ホウ素,π電子系,近赤外蛍光,超分子ポリマー,ラジカル,Lewis酸性,有機EL,蛍光イメージング,蛍光,パイ電子系,近赤外色素,有機電界発光素子,ルイス酸性,超分子重合,半導体,超分子,有機半導体,安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05260,東京大学,相田 卓三,マルチスケール界面分子科学による革新的機能材料の創成,ユニークな分子群をミクロスケールから巨視スケールに至る階層的異方構造へと導くことで破格の物性・機能を示すソフトマテリアルの開拓を推進した。特に、異方構造における表面・界面が関与する特異な現象を詳細に調査することで、スケールを超えた構造と機能相関を明らかにしてきた。その結果、超高速の水輸送を可能にするフッ素化ナノチューブの実現など基礎科学的かつ社会実装にもつながる重要な成果を次々と生み出した。当初計画していた研究に加えて、自己修復性を有する多孔性材料などへの展開も行なった。,基盤研究(S),大区分E,超分子ポリマー,ソフトマテリアル,結晶性材料,超分子化学,複合材料・物性,物理的摂動,表面界面,自己修復ポリマー,自己複製反応,有機薄膜,多孔性材料,界面,超高密度メモリー,蓄電デバイス,超分子科学,液晶,自己修復ポリマーガラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05259,東京大学,野崎 京子,再生可能資源有効利用に向けた触媒的結合開裂反応の開発,均一系触媒の金属ー配位子協同作用を不均一系触媒にも展開し、フェノールおよび脂肪族アルコールの選択的脱酸素に成功した。併せて脂肪酸およびそのエステルの効果的な脱酸素も達成した。リグニンモデル化合物の加水素分解では、炭素ー炭素および炭素ー酸素結合を選択的に開裂する条件を見つけた。得られた知見は、修飾リグニンの低分子芳香族化合物への変換と脂質の炭化水素への変換に展開し、バイオマス有効利用の道筋を示した。,基盤研究(S),大区分E,再生可能資源,触媒,還元,結合開裂,加水素分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05636,桐蔭横浜大学,宮坂 力,無鉛型高次元ハライドペロブスカイト材料による太陽電池の高効率・高耐久化,鉛を含有しない安価で耐久性に優れる環境適応型のハロゲン化ペロブスカイト材料を創製し、これを用いる光電変換素子のエネルギー変換効率を鉛型のレベルまで高めるための材料組成と製膜技術を構築し、無鉛型ペロブスカイトを用いる光電変換素子を高性能化して実用化を促すことを目的とする。ビスマス、スズ、チタン、銀などの金属カチオンで構成されるペロブスカイト結晶の薄膜を高品質で製膜する方法を溶液法と真空蒸着法の両面から検討し、光物性の計測等をもとに光発電における電荷再結合損失を抑制する組成改良と製膜方法の技術基盤を構築し、光電変換素子の高効率化につなげる。,基盤研究(S),大区分E,ペロブスカイト太陽電池,光電変換,晶析,真空蒸着,鉛フリー,スズ,ビスマス,ダブルペロブスカイト,ペロブスカイト,無鉛,銀,光物性,無鉛組成,太陽電池,変換効率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05635,京都大学,時任 宣博,重いアリールアニオンが拓く新しい典型元素化学と材料化学,本研究では、代表者らがごく最近初めてその合成・単離に成功したフェニルアニオンの高周期14族元素類縁体における安定化の概念を広く拡張し、系統的に誘導体を構築し、その基本的性質、反応性を解明する。これらの含高周期14族元素フェニルアニオン類は、かさ高い置換基を持たなくとも分子間の電荷反発により自己多量化を防ぐことを発見している。それらを踏まえた上で、炭素類縁体との電子状態の違いを引き出す分子設計を行い、重い元素を含む新規共役系分子、究極的な目標としてグラフェンの骨格炭素を高周期14族元素に置き換えた「重いグラフェン」の構築を目指す。,基盤研究(S),大区分E,アリールアニオン,芳香族化合物,高周期元素,典型元素,拡張パイ電子系,有機元素化学,高周期14族元素,フェニルアニオン,共役系化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05634,京都大学,寺西 利治,ナノ元素置換科学：ナノ結晶相の構造変換と新奇機能開拓,本研究では、電子構造で決定される希少貴金属の優れた物性や触媒能を凌駕する新奇無機ナノ粒子群の合成法と新奇機能を開拓する。具体的には、①低周期dブロック金属元素とpブロック元素との化合物形成ならびにpブロック元素との元素置換により、電子構造を変調した新奇な金属化合物・合金ナノ粒子群を創製する。さらに、②ヘビードープ半導体ナノ粒子の元素置換により、結晶構造・電子構造を部分的に変調し、全近赤外領域を網羅する光エネルギー変換材料を創製する。これら新奇無機ナノ粒子群の新たな物性・固体触媒特性探索を徹底的に行い、「基底電子構造変調」という新しい概念に根ざした物質科学『ナノ元素置換科学』を開拓する。,基盤研究(S),大区分E,ナノ材料,元素置換,金属化合物,合金,イオン結晶,電子構造,触媒,ナノ結晶相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
