awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H05279,大阪大学,荒瀬 尚,ペア型免疫受容体を介した感染・免疫制御機構の解明,免疫システムには、活性化免疫受容体と抑制化免疫受容体から成る一連のペア型免疫受容体ファミリーが存在する。我々は、これら一連のペア型免疫受容体ファミリーがウイルスと共に共進化してきた免疫受容体であるとの仮説を立てて、多くのペア型免疫受容体の機能を解明してきた。しかし、依然として多くのペア型免疫受容体の宿主リガンド分子、病原体リガンド分子やその機能が不明である。本研究ではこれまでの我々の研究成果を基盤にして、ペア型免疫受容体ファミリーを介した宿主病原体相互作用の全貌解明を目指すと共に、ペア型免疫受容体が免疫システムの恒常性維持にどのように関与しているかを研究してきた。本研究では、免疫応答の制御分子である抑制化ペア型免疫受容体をどのような病原体が免疫逃避に利用しているか、さらに、生体防御における活性化ペア型免疫受容体の機能の解明を行なった。持続感染するウイルスや細菌を解析することにより、新たなペア型受容体の認識機構明らかになってきた。特に、熱帯熱マラリア原虫の多重遺伝子RIFINを解析することにより、今までに明らかにしてきたLILRB1やLAIR1以外のペア型抑制化受容体としてLILRB2に対するRIFINも存在することが明らかになってきた。さらに、実験株ばかりでなく、熱帯熱マラリア患者由来の感染赤血球を解析することにより、実験株には存在しないRIFINがペア型受容体のリガンドになっていることが明らかになった。そこで、感染赤血球からRIFINライブラリーの作成方法を樹立し、実験株以外の熱帯熱マラリア原虫のクローニングする方法を樹立した。さらに人種間における抑制化受容体の多型性を解析すると、RIFINとの結合部位に遺伝子多型がみられることが判明し、ペア型抑制化受容体の中には熱帯熱マラリアのRIFINとの相互作用によって形成されたものも存在する可能性が明らかになってきた。,基盤研究(S),大区分H,ペア型受容体,免疫逃避,免疫制御,宿主病原体相互作用,自己免疫疾患,抑制化受容体,ペア型免疫受容体,熱帯熱マラリア,ウイルス,生体防御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05278,京都大学,竹内 理,mRNA代謝が司る免疫制御機構の解明,免疫細胞においてサイトカインなどのmRNAを分解するタンパク質であるRegnase-1の発現がヒト肺高血圧症と関連がある事を示し、骨髄球系細胞でのRegnase-1欠損によりマウスが肺高血圧症を自然発症することを見出した。また、Regnase-1の自己制御機構を標的として、Regnase-1発現を高め炎症を抑制する核酸医薬の開発に成功した。さらに、mRNA修飾と血球分化の関連を解析し、RNA m6Aメチル化酵素METTL16を欠損するマウスがDNA修復障害を通じ、重度の貧血を呈することを見出した。これは、METTL16を介したm6A修飾が血球分化に重要な役割を果たすことを示すものである。,基盤研究(S),大区分H,炎症性疾患,mRNA分解,核酸医薬,免疫細胞分化,mRNA修飾,自然免疫応答,mRNA制御,ｍRNA分解,免疫応答,サイトカイン,免疫制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05277,東北大学,赤池 孝章,イオウ依存型エネルギー代謝：イオウ呼吸の発見と生理機能の解明,本研究では、根本的な生命のしくみでありながら、いまだに未知のエネルギー代謝であるイオウ呼吸の全容に取り組んだ。独自に開発した高感度タンデム質量分析計による各種イオウ化合物の検出・同定システムにより、種横断的な活性イオウ分子の生体内生成や、翻訳共役型タンパク質ポリスルフィド化、真核生物のイオウ呼吸における活性イオウ合成酵素CARSと硫黄代謝酵素SQRの関与を明らかにした。,基盤研究(S),大区分H,イオウ呼吸,システインパースルフィド,イオウメタボローム,エネルギー代謝,ミトコンドリア機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05652,国立研究開発法人理化学研究所,齊藤 和季,薬用資源植物の化学的多様性のゲノム起源,医薬学や医療分野において重要性が増加し、主に国内で栽培されている薬用植物について、そのゲノムや化学成分に関連する研究を行う。有効成分の異なる甘草の複数種などについて、それらのゲノム配列とメタボロームデータ等を基に成分パターンなど関連している遺伝子などを推定する。さらに、甘草以外の重要な薬用植物についても薬用成分の生産に関与している遺伝子を推定する。さらに、これらの遺伝子や成分を応用する事により、新規の医薬成分の生産や薬用資源植物の持続的な有効利用などに利用する。,基盤研究(S),大区分H,薬用植物,ゲノム,トランスクリプトーム,メタボローム,甘草,植物二次代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05651,東京大学,北川 大樹,多様な紡錘体形成マシナリーの統合的解析と次世代型分裂期阻害剤の創生,本研究では、多様なヒトがん培養細胞を用いて、中心体依存的・非依存的な分裂期紡錘体の形成機構を統合的に解明する。特に、中心小体複製の進化的保存性、高度な再現性を保障する基本原理の解明に正面から取り組み、新しいコンセプトの創出を目指す。また、様々な組織由来のヒトがん細胞をモデル系とし、中心体除去時に駆動する紡錘体形成バックアップシステムに関与する因子群をCRISPR-Cas9 sgRNAライブラリーを用いた細胞遺伝学スクリーニングにより網羅的に同定する。さらに、介在する複合体形成や、紡錘体極を形成する構造体の機能解析を行い、その分子基盤を包括的に理解する。,基盤研究(S),大区分H,細胞分裂,中心体,分裂期紡錘体,染色体分配,抗がん剤開発,抗がん薬開発,紡錘体,中心小体,抗ガン剤開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05650,千葉大学,中山 俊憲,病原性免疫記憶の成立機構の解明 －難治性炎症疾患の病態の理解へ－,免疫が関与する難治性疾患である成人喘息、アトピー性皮膚炎、自己免疫疾患、がんなどの病態形成には免疫記憶ヘルパー細胞の関与が報告されており、治療法の開発には免疫記憶細胞の分化・維持・多様な機能獲得の分子機構の理解が必須であるが、現在のところ分子機構についてはほとんど不明のままである。,基盤研究(S),大区分H,アレルギー・ぜんそく,病原性免疫記憶,組織常在性記憶CD4T細胞,iBALT,組織常在性T細胞,Amphiregulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05649,東北大学,山本 雅之,生体の酸化ストレス応答の分子メカニズム解明とその疾病予防・治療への応用,私たちは常に外界からのストレスに曝されており、それに対する応答は生体の恒常性維持に必須である。酸素、紫外線、大気や食物中の化学物質など環境由来ストレスの増加は生体内レドックスバランスの撹乱を招来し、多くの疾患の共通基盤を形成している。健康長寿を実現するためには、生体の酸化ストレス応答機構全容の理解とその制御メカニズムの詳細な解明が極めて重要である。本研究では、生体の酸化ストレス応答機構において中心的な役割を果たしているKEAP1-NRF2制御系の機能メカニズムの解明に挑むとともに、ストレス関連疾患の予防・治療に対する同制御系の貢献を明らかにする。,基盤研究(S),大区分H,ストレス応答,Keap1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05693,大阪大学,審良 静男,Regnase-1を介したmRNA管理機構の包括的理解,mRNA分解酵素Regnase-1は自身のエンドリボヌクレアーゼ活性により多くの炎症・免疫応答に関わるｍRNAの産生を制御し、炎症・免疫応答の制御において必須の分子である。一方でRegnase-1はmTORのような代謝経路を制御する遺伝子の機能制御に関わっており、Regnase-1が炎症・免疫応答以外の様々な代謝過程の制御にも関与していることが明らかになりつつある。本研究では、各種組織特異的ノックアウトやノックインマウス、さらにHITS-CLIP法によるターゲットｍRNA同定を用いて、様々な生体応答におけるRegnase-1の機能的役割の全貌を明らかにすることを目的とする。,基盤研究(S),大区分H,Regnase-1,mRNA安定,代謝調節,組織恒常性,mRNA産生制御,mRNA安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05692,東京大学,川口 寧,ヘルペスウイルスの増殖・病態発現に関する統合的分子基盤,HSV本申請課題では、研究代表者が長年の基礎研究で蓄積してきた様々な感染現象に関する知見を基盤に、先端的テクノロジーにより紐解く各感染現象を生体レベルのin depth解析に落とし込み、多階層的知見をHSV  の増殖・病態発現機構の全体像として統合的に理解することを目標とする。また、HSV感染によるダイナミックな細胞内環境の変化は、生物学に数々のCutting-edge  をもたらしてきたことから、本研究でもHSVの基礎研究から新たな生命現象機構の解明を試みる。,基盤研究(S),大区分H,単純ヘルペスウイルス,感染の不均一性,免疫・抵抗性因子回避機構,ウイルスの細胞内輸送・粒子成熟,NEC,HSV脳炎,N型糖鎖修飾,内因性免疫,感染享受,HSV,SLC35E1,抵抗性因子,回避機構,免疫回避機構,Pcyt2,ホスファチジルエタノールアミン,メクリジン,ケミカル・プロテオミクス,AIM2,細胞内輸送・流星成熟機構,宿主免疫回避機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05691,東京大学,村上 誠,脂質代謝酵素PLA2ファミリーを基軸とした脂質による生命応答制御の統一的理解,脂質は核酸・タンパク質・糖質と並ぶ根源的生体物質であり、その代謝系の破綻は多岐に渡る疾患と関連する。申請者はこれまでに、脂質代謝の鍵酵素ホスホリパーゼA2（PLA2）分子群を中心とした脂質生物学研究を展開し、各種PLA2により始動する疾患固有の新しい脂質代謝経路（PLA2脂質経路）の同定を通じて、当該研究領域を牽引してきた。本研究では、PLA2分子群の遺伝子改変マウスの網羅展開とメタボローム解析を軸とした従来の研究路線を更に発展させるとともに、将来の臨床導出を視野にヒト検体を用いた外挿研究を加速し、生命応答におけるPLA2脂質経路の役割を総合的に体系化することを目指す。,基盤研究(S),大区分H,脂質,酵素,生体分子,細胞・組織,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
