awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H05287,公益財団法人東京都医学総合研究所,西村 幸男,人工神経接続による運動機能再建と機能回復機序の解明～神経適応から可塑性へ～,本研究では、新しい神経結合に対しての神経系における柔軟な適応は、いかなる神経機序によって達成されるのかを明らかにすることを目的として研究を推進した。人工神経接続によりサルの皮質の神経細胞は、接続された脊髄の役割に対応して、活動パターンを変化させることが示された。また、脳と脊髄の接続が残存している脊髄損傷患者では、人工神経接続により随意歩行機能が改善し、脳と脊髄の機能的地図も再組織化されたことがわかった。以上より、人工神経接続によって新たに繋げられた下位の脊髄の役割に合わせて、皮質はその活動を変化させることで新規の神経結合に適応することが見出された。,基盤研究(S),大区分I,cerebral cortex,Spinal cord,brain computer interface,neuron,adaptation,人工神経接続,脊髄損傷,運動機能,上肢,歩行機能,脊髄,機能回復,機能再建,適応,可塑性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05286,大阪大学,茂呂 和世,2型自然リンパ球による特発性間質性肺炎発症機構の解明,肺線維症は、肺胞間質における炎症とコラーゲン沈着を特徴とし、呼吸困難や死亡に至る。しかし、自然発症する線維化マウスモデルがないため、肺線維化の包括的な病態は依然として不明である。我々は、ILC2を抑制する機構を持たないIfngr1-/-Rag2-/-マウスが、重度のPFを自然発症することを発見した。Ifngr1-/-Rag2-/-マウスでは、ILC2サブポピュレーションがコラーゲン産生開始前の疾患発症期に増加した。さらに、ILCやIL-33を欠損させると、PFの発症が抑制された。ILC2はin vitroで線維芽細胞のコラーゲン産生を直接誘導し不可逆的な線維化を引き起こした。,基盤研究(S),大区分I,肺線維症,ILC2,IL-33,特発性肺線維症,IPF,線維化,ILC3,線維芽細胞,線維症,特発性間質性肺炎,Single cell RNA-Seq解析,IFN,サイトカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05285,国立研究開発法人理化学研究所,山本 一彦,多因子疾患における疾患リスク遺伝子多型を用いた病態解析に関する新しい方法論の確立,ヒトの多因子疾患における病態解析のため、ゲノム要因は疾患に対する因果関係を示すという原理を基盤として、因果関係を持つ中間形質を特定するための方法論の確立を目指した。今回は免疫システムを対象とし、免疫担当細胞別に、遺伝子発現、エピゲノム変化などの中間形質の中から、ゲノム因子と関連し因果関係をもつ要素を同定し、それらの細胞別カタログの構築を目標とした。カタログ構築はほぼ終了し、免疫システム解析への応用が可能となりつつある。,基盤研究(S),大区分I,多因子疾患,免疫疾患,ヒト免疫,ゲノムワイド関連解析,疾患感受性遺伝子変異,量的形質遺伝子座,QTL解析,免疫細胞分画,疾患関連遺伝子多型,遺伝子発現量解析,プロモーターエンハンサー解析,ゲノム,エピゲノム,遺伝子発現量,プロモーター,エンハンサー,オープンクロマチン解析,シングルセル解析,遺伝子多型,マルチオミクス解析,eQTL解析,クロマチン構造解析,クロマチンステイタス解析,多因子性疾患,一塩基多型,ホールトランスクリプトーム解析,オミックス,エピゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05284,熊本大学,須田 年生,ミトコンドリア代謝制御を介した造血幹細胞の自己複製機構,本研究では、幹細胞・巨核球の産生において最重要なトロンボポエチン(Thpo)シグナルが、ミトコンドリア・小胞体(ER)代謝を制御し、造血幹細胞の分化・維持に関わる分子メカニズムを明らかにした。また、Tumor suppressor geneであるFolliculin(Flcn) KO mouse(研究分担者；馬場理也)を用いて、造血幹細胞におけるミトコンドリア代謝・ライソソーム機能を制御することを明らかにした。さらには、胎児肝における造血幹細胞の発生に挑戦し、造血幹細胞は、もっぱら自己複製をし、分化には寄与しないことを明示した。,基盤研究(S),大区分I,造血幹細胞,造血微小環境（ニッチ),不均等分裂,自己複製,ミトコンドリア,造血微小循環（ニッチ),造血微小環境（ニッチ）,造血微小環境(ニッチ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05283,長崎大学,小守 壽文,軟骨細胞特異的Runx2エンハンサー制御機構の解明と変形性関節症治療薬の開発,転写因子Runx2は、ヘッジホグ、Fgf、 Wnt、Pthlhシグナル遺伝子の発現を制御することにより、間葉系幹細胞から骨芽細胞への分化、骨芽細胞前駆細胞の増殖を制御すること、軟骨細胞から骨芽細胞への分化転換に必須であること、骨芽細胞において、主要な骨基質タンパク質遺伝子の発現を制御することを明らかにした。Runx2はオステオカルシンの発現を制御するが、オステオカルシンにはホルモン作用はなく、アパタイト結晶をコラーゲンに沿って配向させる機能を持つことを明らかにした。Runx2は軟骨細胞の成熟に必須な因子であるが、軟骨細胞特異的エンハンサーを同定し、軟骨細胞特異的発現制御機構を明らかにした。,基盤研究(S),大区分I,変形性関節症,Runx2,軟骨細胞,エンハンサー,発現制御,細胞・組織,発生・分化,歯学,分化転換,血管進入,アポトーシス,骨芽細胞,FGF,Wnt,ヘッジホッグ,オステオカルシン,Antxr1,Hck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05282,大阪大学,熊ノ郷 淳,神経・免疫・代謝におけるガイダンス因子の病的意義の解明とその制御,神経免疫代謝を司る制御分子による免疫・炎症細胞活性化・分化制御機構の解明を目的として、基礎的アプローチと臨床的アプローチの融合を積極的に図る中で神経変性疾患のパーキンソン病原因遺伝子LRRK2およびその類縁分子であるLRRK1がsmall G 蛋白質のRab7の活性化制御を介してセマフォリンの生理活性を担っていることを見出した。また、免疫・炎症細胞分化に関わる細胞内代謝変化の解析については、mTOR-Sema6D-PPARγ経路を介した細胞内脂質代謝の活性化が抑制性マクロファージ分化時に必須であり、腸炎発症を抑制することを明らかにした。,基盤研究(S),大区分I,神経免疫代謝連関,神経ガイダンス,セマフォリン,神経免疫代謝,免疫代謝,神経・免疫・代謝,ガイダンス因子,神経免疫クロストーく,神経免疫クロストーク,慢性炎症,神経ガイダンス因子,神経疾患,免疫疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05281,京都大学,篠原 隆司,精子幹細胞のアンチエイジング機構の解明,精子幹細胞はグルタミン由来のグルタチオンにより活性酸素(ROS)産生酵素Nox1由来のROSを抑えると共に高い塩基除去修復活性により突然変異率を体細胞よりも低く保つことで老化を抑制することを見出した。一方、自己複製因子により生じたROSが転写因子Bcl6bを介してNox1遺伝子を誘導し自己複製能を増強することを我々は明らかにした。更に、臨床で広く使われている体外受精や顕微受精が生殖細胞に不可逆な障害を引き起こすことを研究の過程で発見した。,基盤研究(S),大区分I,精子形成,顕微授精,老化,幹細胞,精子幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05280,東京大学,清野 宏,消化管の階層的粘膜支持連関システムによる粘膜防御機構の解明,難治性慢性疾患である炎症性腸疾患および合併症の病態形成機構の全容は不明であり、完全に治癒させる治療法もない。本研究では腸管粘膜恒常性維持機構の解明と疾患制御法の新たな確立を目指し、「粘膜階層的支持連関システム」の実態解明を進めた。「膵・腸臓器連関」・「腸管支持細胞連関」といった組織内外の臓器・細胞連関についての解析から、膵臓が腸内細菌感染から腸を守る新たな生体防御機構の発見、抗菌ペプチドの産生を司る新たな腸管「パネート細胞」の亜群と分化機構の発見、炎症性腸疾患の新規治療標的細胞集団の同定と制御法の確立に至った。以上の成果は、疾患予防ならびに治療法の開発に繋がる応用的基盤となることが期待される。,基盤研究(S),大区分I,炎症性腸疾患,臓器連関,上皮細胞,腸内細菌,慢性炎症,粘膜免疫,パネート細胞,線維芽細胞,微小環境,蠕動運動,間葉系細胞,抗菌ペプチド,膵臓,陰窩,腸間膜脂肪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05659,東京工業大学,野田 昌晴,血圧上昇因子群の脳内作用機構に関する統合的研究,申請者らは、長年謎であった食塩感受性高血圧発症の脳内機構を最近世界に先駆けて明らかにした。食塩の摂り過ぎ以外にも肥満やストレスによって高血圧が発症することは良く知られている。本研究では、肥満やストレスによって血中濃度が上昇するレプチン、アンジオテンシンII、アルドステロンの３つの高血圧誘導因子について、脳内における受容とシグナル伝達経路を明らかにする。さらに、それぞれの経路について、体液Na+濃度増加に起因する血圧上昇との情報統合機構を解明することによって、血圧制御の脳内機構の全体像を明らかにする。,基盤研究(S),大区分I,高血圧,塩分摂取,アンジオテンシンⅠⅠ,Naxチャンネル,レプチン,アンジオテンシンII,アルドステロン,血圧上昇因子,脳室周囲器官,交感神経制御中枢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05658,九州大学,津田 誠,神経障害性疼痛に直結する神経回路動作異常メカニズムの解明と創薬への応用,がんや糖尿病，脳梗塞などに伴う神経系の障害により，モルヒネにも抵抗性を示す神経障害性疼痛が発症する。特に，触刺激で誘発される激烈な痛み（アロディニア）の治療は困難で，多くの患者が苦しんでいるが，「なぜ触覚が痛覚に変わるのか」という根源的な問いは未解明である。本研究では，代表者らがこれまで構築した疼痛・グリア研究基盤と，最近確立した技術（新規アロディニア評価法，神経サブセット特異的機能制御法）を融合させ，アロディニアに直結する神経回路とその動作異常を特定し，触から痛への転換メカニズムを解明する。そして，アロディニアの発症メカニズムの理解を深め，画期的な創薬シーズの発見に繋げる。,基盤研究(S),大区分I,神経障害性アロディニア,一次求心性神経Aβ線維,光遺伝学,脊髄後角神経回路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05657,大阪大学,石井 優,炎症性骨破壊に関与する病原性破骨細胞の同定とその制御による新規治療法の開発,破骨細胞の定義は「骨を壊す細胞」である。教科書的には、この細胞には「良い働き」と「悪い働き」があり、良い働きとしては、これが古い骨を吸収することで骨芽細胞による骨新生を促し、恒常的なリモデリングが維持されることが挙げられ、一方で関節リウマチなどではこの細胞が働きすぎることで骨が破壊されるという悪い働きがあるとされてきた。しかし、本研究者は両者が顕著に異なることに気がつき、より本質的に異なるものではないかという仮説を立てた。本研究ではこの仮説の下に、「悪玉」破骨細胞のみを特異的に同定し、これを徹底的に抑制する新しい治療法開発を行う。,基盤研究(S),大区分I,関節リウマチ,炎症性骨破壊,マクロファージ,生体イメージング,破骨細胞,医療・福祉,関節炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05656,京都大学,小川 誠司,先端ゲノミクスを駆使したがんの初期発生とクローン進化に関わる分子基盤の解明,主要ながん種の病態に関わるドライバー変異の全体像が明らかにされた一方で、ドライバー変異の獲得に始まる発がん初期のクローン選択の過程や、その後、多数の変異の獲得とクローン選択によってがん細胞集団に高度な多様性が生じ、浸潤・転移・再発が惹起される過程の分子メカニズムについては、なお多くが不明である。これらを理解するには遺伝子変異やその組み合わせと細胞の表現型の関係性や、ゲノムの構造異常について全貌を解明する必要がある。これらの未解決の課題に対して、先端技術によるクローンの単離と全ゲノムシーケンス・単一細胞シーケンス、オルガノイド培養技術とマウスモデルの解析等を駆使して、包括的な探求を行う。,基盤研究(S),大区分I,ゲノム生物学,腫瘍生物学,全ゲノムシーケンス,単一細胞シーケンス,オルガノイド,クローン進化,腫瘍学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05655,京都大学,石川 冬木,微小環境変動に対する細胞応答に着目した治癒をめざした抗腫瘍療法,分子標的薬は特異性が高く適応例にはきわめて有効な薬剤として高く評価されているが、進行例では薬剤抵抗性が出現し根治は困難である。本研究は、腫瘍細胞は正常組織細胞と異なり、宿主ホメオスターシスの恩恵を受けず、常に変動する微小環境下にあって持続したストレスを受けながらも生存していることに着目し、そのストレス抵抗性を分子レベルで阻害することで腫瘍細胞に特異的かつ治癒をめざした新しい治療戦略を確立することを目的とする。このような新しい戦略にもとづく抗腫瘍薬剤は、ドライバー変異の種類・有無とは関係なく多くのがんに有効で、薬剤耐性が生じる確率も低いものと期待される。,基盤研究(S),大区分I,ストレス,獲得耐性,転写,翻訳,RACK1,HIRA,弱いストレス,蛋白質恒常性,がん細胞悪性化,ストレス反応,腫瘍悪性化,ストレス応答,遺伝子発現,蛋白質翻訳,発がん実験,抗腫瘍薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H05654,東京大学,田中 栄,骨・関節細胞のダイナミクスと免疫系の制御を包括した統合運動器学の確立,骨粗鬆症、変形性関節症、関節リウマチなどの運動器の疾患は、高齢化とともに大きな社会問題となっている。これらを構成する運動器の研究は、骨芽細胞、破骨細胞、軟骨細胞など、個々の細胞レベルでは理解が進んでいるが、組織の中でどのように連関しているか、組織単位でどのように制御されているかなど、統合的な理解は不十分である。本研究では、運動器を構成する細胞を1細胞レベルで解析するとともに、自然リンパ球など組織に在住する炎症調整細胞の役割に着目し、運動器の恒常性維持におけるそれらの関与を解明する。,基盤研究(S),大区分I,運動器科学,変形性関節症,関節リウマチ,骨粗鬆症,シングルセル解析,運動器恒常性維持,ヒトゲノム解析,統合運動器学,整形外科学,運動器学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
