awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00024,公益財団法人 京都市埋蔵文化財研究所,関広 尚世,持続可能な開発目標に基づくスーダン国立博物館所蔵資料の研究,スーダン国立博物館には、1960年代のヌビア遺跡群救済キャンペーン等で出土した鉄製品が所蔵されている。本研究の調査研究対象とした鉄製品は、11遺跡、71点であった。出土地は、下ヌビア地域とメロエ地域に集中し、後者にはハルツーム市内の立会調査出土資料を含む。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,SDGs,鉄製品,スーダン国立博物館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00023,埼玉県立文書館,佐藤 美弥,民間アーカイブズの保存・活用を通した戦後文化運動の実証的研究,本研究の目的は、建築家個人が収集・保存してきたアーカイブズの保存・活用を通して、戦後期における文化運動のなかでの、建築家・建築技術者(以下建築家という)による運動の過程を明らかにすることである。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,アーカイブズ,建築運動,戦後史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00022,学校法人 白萩学園,村松 綾,15・16世紀の金細工芸術をめぐる人的ネットワーク-スイスの都市バーゼルについて-,本研究は、15・16世紀のスイスの都市バーゼルにおける金細工芸術をめぐる人的ネットワークを明らかにすることを目的として行われた。スイスで3週間弱史料調査を行い、バーゼル市でバーゼル大学図書館、バーゼル州立文書館、バーゼル歴史博物館、バーゼル美術館、チューリヒ市でスイス国立博物館、ベルン市でベルン美術館、および博士課程時に留学していた際の指導教員André Holenstein教授をベルン大学に訪ねた。バーゼル大学図書館では、バーゼルにおける金細工コレクションを形成した近世初期の収集家バシリウス・アメルバッハとその一族の遺産目録を中心に書簡、近世の収集家レミギウス・フェッシュの遺言書を、バーゼル州立文書館では中近世におけるバーゼル市の同業者組合(ツンフト)関連史料、金細工師や貨幣に関する史料、フェッシュやアメルバッハ関連史料、19世紀末から20世紀初頭の研究者の金細工師ツンフトに関する研究ノートを、バーゼル歴史博物館附属図書館では19世紀に編纂された博物館の金銀細工目録、近年亡くなったバーゼルの金細工コレクション研究の第一人者Ulrich Barth教授の研究資料とPh.D取得論文を調査し、バーゼル歴史博物館では所蔵する金細工作品、バーゼル美術館では金細工作品のための下絵を調査した。美術館では他にも388ページからなるアメルバッハの所蔵目録Inventar Cの調査を希望しており、この目録だけ刊行されていなかったことから調査研究の意義は非常に大きかったのだが、史料の保存状態が大変悪いとのことで調査許可が下りなかった。チューリヒのスイス国立博物館ではBarth教授の教え子であるChristian Hörack博士から助言を得た他、博物館所蔵の金細工作品を調査した。ベルンではベルン美術館で金細工師の守護聖人聖エリギウスの絵を調査したかったが収蔵庫にあるため実物を確認することは叶わず、ベルン大学でHolenstein教授より史料調査・研究の進め方に関する助言を得た。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,中近世史,都市史,工芸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00021,小郡市埋蔵文化財調査センター,山崎 頼人,発掘調査データによる地域色ある弥生環濠集落の復元画製作と学校教育への活用,現在、小郡市が進めている小・中学生を対象とした地域の歴史学習を充実させるため、新たな学習教材開発を行うことを目的として、発掘調査データに基づく弥生環濠集落の構造分析、復元画製作を行った。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,弥生時代地域社会,環濠集落,教材開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00020,日本山村硝子株式会社,笠 晴也,古貨幣における精錬技術推移の解明,今回の奨励研究では、作製年代の分からない玩賞品(貨幣の形をした古金銀)について調査を行った。玩賞品である女院大判金を個人として所蔵していたことに加え、同様の女院大判金が京都市考古資料館に埋蔵物として所蔵されていたことが理由である。京都市考古資料館には、1999年1月に京都御苑の北東にあたる京都迎賓館建設予定地の発掘調査中に出土した女院大判金が所蔵されている。天明の大火(1788年)以前のごみ捨て穴から出土しており、中には明和元年(1764年)と墨書きされた陶器も含まれていた。このことにより女院大判金は、1764～1788年には既に存在していたことが分かる。そこで京都市考古資料館の協力を得て、個人所有と資料館所蔵の女院大判金をそれぞれ蛍光X線分析することで、それらの組成を比較することにした。また、同時期に作製された作製年代のはっきりしている古貨幣についても分析を行うことにした。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,江戸期精錬技術,古金銀、古貨幣,慶長小判金、玩賞品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00019,学校法人たちばな学園 保育・介護・ビジネス名古屋専門学校,方 国花,古代東アジア諸国の漢字字体の比較から文字の伝播・受容を考える―木簡の例を中心に―,本研究は、古代東アジア各国の木簡に用いられた漢字字体の比較分析を通して、漢字文化の伝播・受容の実態を解明することを目的とする。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,木簡,漢字,字体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00018,神奈川学園中学高等学校,小川 輝光,グローバル化の中の歴史教育内容論の基礎的研究-「公害」「経済成長」認識を事例に,本研究は、近現代史で取り扱う「公害/環境問題」や「開発/経済成長」がどのように認識されているのか、時期ごとの変化の分析や、東アジア地域での比較を通じ、歴史教育・社会科教育の実践に資する素材(内容)を提供することを目的としたものです。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,歴史教育,公害,経済成長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00017,早稲田大学,柿沼 亮介,古代国家の対外関係と地域支配の相関についての研究,本研究では、古代国家による地域支配と対外関係には相関がみられるとの仮説のもと、律令制以前の時代から対外交流の窓口となってきた辺縁地域の支配のあり方と、その地域における国際交流について検討し、古代国家の帝国構造を明らかにすることを目的とした。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,外交使節,高麗福信,地域支配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00016,早稲田大学,中野 さやか,イスラム教スンナ派成立時におけるムスリム意識の解明,報告者は、9世紀から10世紀にかけてのアッバース朝期に提出されたアラビア語諸史料の分析を行っている。アッバース朝ではハディース編纂作業が完了しイスラム法が発展していった。ハディースとは預言者ムハンマドの言行録であり、コーランに次ぐイスラム法の法源である。スンナ派の「スンナ」とは「ムスリムが従うべき預言者ムハンマドの慣行」を意味し、スンナ派の成立とハディースの編纂は不可分のものである。報告者はハディースが民間に浸透する過程で醸成された「ムスリム意識」を解明することを目的として、9-10世紀にハディース編纂に関わり政権とも近い関係にあった作者達の諸作品を比較分析している。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,アッバース朝,史料論,イブン・タイフール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00015,奈良市教育委員会文化財課埋蔵文化財調査センター,村瀨 陸,刀装具鋳型の三次元分析からみた近世鋳造技術の研究,本研究は、近世鋳造技術の解明に繋がる近世刀装具鋳型の製作技法を明らかにすることを目的とした。これを達成するためには、まず鋳型がどのようなものであるのかを把握し、かつ第三者に図示する必要があった。これを成し得る方法としてSfMによる三次元計測が有効であると考え実験した。その結果、肉眼観察では確認できない細部の特徴を抽出することに成功し、基礎資料として提示することもできた。,奨励研究,1130:歴史学、考古学、博物館学およびその関連分野,鋳造技術,三次元計測,刀装具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
