awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00029,,古関 大樹,明治の地籍図の資料的分析のモデルケース構築に関する研究,"明治の地籍図は, 土地一筆ごとの詳細を描いており様々な分野で学術利用されている。また, 地籍調査が遅れている地域では, 現在も不動産登記の基本資料になっており, 法制度や行政からも研究が求められている。しかし, 非常に大きな地域差を抱えた資料であり, 十分に基礎研究が進んでいるとはいえない。明治の地籍図は法務局や市町村役場に備えられているが, 地図の種類や資料的性格, 作製時期や測量方法などが大きく異なっており, 府県単位の調査・検証が重要となる。本研究では資料がよく残る地域で比較分析を行い, 基礎研究を進展させるための課題点の整理を重要視した。",奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,明治の地籍図,土地台帳附属地図,公図,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00028,北海道立北方民族博物館,野口 泰弥,北方アサバスカン・北トゥショーニによる彫刻文化の解明と博物館での教育普及,本研究はカナダ・ユーコン準州の先住民である北トゥショーニの彫刻文化について、その①歴史、②制作様式と技術、③現地社会での役割について解明し、北米先住民文化の多様性を紹介する博物館での教育活動に活用することを目的として実施された。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,カナダ先住民,彫刻,文化人類学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00027,早稲田大学,佐々木 智章,アルゼンチンの日本人移住地における農業の展開とその教材化,【研究目的】,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,花卉栽培,再移住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00026,独立行政法人日本貿易振興機構アジア経済研究所,土佐 美菜実,ポスト・スハルト期インドネシアにおけるアダットの実態に関する文献資料調査,研究目的 :,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,アダット,インドネシア,慣習法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00025,有明工業高等専門学校,平田 裕次,足踏み式水車を題材とした伝統的技法の伝承と保存に関する一試み,他地域(関東、名古屋、関西の平野部に多く見られる)に保存されている水車を調査し、その特徴の違いを工学的見地から探り、さらに調査結果から設置地域の民族的特徴を分析することを目的としている。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,足踏み式水車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00022,北海道立北方民族博物館,野口 泰弥,カナダ先住民北トゥショーニのサケ資源管理から考えるアイヌ民族の先住権獲得への展望,日本ではサケを河川で捕獲することは法的に禁止されている。アイヌ民族はこれまで継続して河川でサケを捕獲する権利を求めてきたが、そういった声は近年とくに高まりをみせている。本研究では先住民のサケ漁業権や資源管理政策への参加が認められているカナダ・ユーコン準州と比較することで、日本の資源保護制度や2019年に施行された「アイヌ施策推進法」の限界を指摘し、今後の展望を示した。またアイヌ民族が執り行うサケ儀礼の歴史を先住権運動の観点から整理し、近年、運動が高まりをみせている原因を明らかにした。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,サケ,資源管理制度,先住権,アイヌ民族,カナダ先住民,ユーコン準州,アシリチェプノミ,アイヌ施策推進法,サケ資源管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00021,,谷口 陽子,格差化・多元化する少子高齢社会日本の家族親族観の世代差に関する文化人類学的研究,少子高齢時代を迎えた現代日本社会では、世代間の経済的格差は拡大し、望ましいあるいは道徳的に適っているとされる生き方や価値観の多元化は、世代間に著しい意識差を生じさせている。本研究では、現代日本における多世代間の経済的格差、価値観の多元化を背景に、家族親族への役割期待における世代間格差の様相を文化人類学的観点から調査研究し、日々の生活や人生の充実といった点に家族や親族という要素がいかなる比重でかかわるのか、また、家族や親族は本当に困った時に頼ることができ、実際に助けてくれるセーフティネットの役割を果たしているのかについて、日常および緊急時の両場面から考察した。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,家族・親族,セーフティネット,緊急時/日常,緊急時/日常時,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00020,,小田島 理絵,東南アジアにおける無形文化遺産の現状と課題の検証 : ラオスを事例として,研究代表者は、東南アジアの無形文化遺産の現状把握と今後の課題の検証のため、無形文化遺産保護の主流化を目指すラオスで、文化的知識・表現・慣習・技術・産物等の無形文化とそれらに関与する人々の状態に関する対話的聞き取り調査をした。調査地では主に、村落の地縁関係や個人の社会的ネットワークを基盤に、知識・表現・慣習・技術・産物等が共有、実践、継承されていた。また年齢、ジェンダー等の個人の文化社会的属性が無形文化の分布に影響を及ぼしていた。課題として、開発と文化保護の二項対立が無形文化保護への自発的参加を困難にする可能性、超村落的公共財の概念化の難しさ、および集会的場での保護と活用の重要性が浮上した。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,文化人類学,無形文化遺産,東南アジア,文化遺産マネージメント,エンパワメント,公共性,博物館化,民族誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00694,お茶の水女子大学,沼畑 早苗,誰一人取り残さないための防災教育研究,"本研究は, お茶の水女子大学附属高等学校1年全員を対象にした地理Aの授業実践を通じて, 「誰一人取り残さないための防災教育プログラム」を開発するものである. 防災には「女性の参画・男女双方の視点」が不可欠であることを事例をもとに理解させ, 意図せずして成人男性や健常者を主な災害想定としてきたこれまでのあり方を変えていく必要性を理解させることができれば, 大きな社会的意義がある. 国立の女子高校である本校が先立って取り組むことで全国の女性をエンパワーメントし, 2022年度より全国の高校で必修化される地理総合においても有効な実践事例となることを意図している.",奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,地理教育,防災,女性,地理総合,地図,諏訪,フィールドワーク,現地調査,誰一人取り残さない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00693,東京女子大学,小田島 理絵,無形文化遺産の可視化、資料化と活用の可能性：東南アジアにおける比較研究,本研究は、無形文化遺産保護が普及し始めた東南アジア(大陸部)を例に、以下の現状と今後の可能性の検証を行う。,奨励研究,1140:地理学、文化人類学、民俗学およびその関連分野,文化遺産,文化人類学,東南アジア,可視化,資料化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
