awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00033,,山本 耕資,投票行動の動態的分析 : 選挙を通じた有権者の政策選好の代表過程,本研究では、時間軸に沿った投票の変化と政策選好の変化の、関連の解明と、結果の理論化を目指した。同時に、分析の精緻化を試みた。成果として下記の点が挙げられる。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,争点投票,パネルデータ,再分配政策選好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00032,宮崎大学,河野 久,宮崎-バングラデシュモデルの分析 : 地方創生に資する新しい国際協力モデル,本研究は、宮崎大学、宮崎市、JICA、宮崎県内のIT企業と、産学官が一体となり、バングラデシュ(以下、バ国)の高度IT人材を日本に招聘し、深刻な人材難に直面する宮崎を中心としたIT企業にマッチングするプロジェクトB-JET(Bangladesh-Japan ICT Engineers' Training Program)が、バ国及び宮崎県で形成している「宮崎-バングラデシュモデル」の成り立ちを明らかにしていくとともに、本モデルをより発展させるためにどのような素養・スキルをもったIT人材が地方に必要であるか、マクロ的な人材の需給状況はどうであるか等を検証することにある。また、そのモデルを地方創生に資するようにB-JET修了生がどのようにしたら日本ないしは宮崎等の地方に定着するのかの検討も目的としている。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,国際協力,IT人材,バングラデシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00031,国立大学法人大阪大学,花岡 宏亮,URA等高度専門人材と事務職員の協働事例調査による「日本型研究支援モデル」の開発,本研究では、研究支援業務の質向上に向けた、URA等高度専門人材(以下「URA」という。)と事務職員の連携モデルの検討を踏まえ、全国規模でURAと事務職員の協働事例を中心に協働事例を収集し、「日本型の研究支援モデル」を提示するなどして、教職協働の深化やURA等の第3の職の地位確立に寄与することを目的とした。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,URA,大学事務職員,組織間関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00030,国立大学法人 筑波大学,橋口 晶子,若手研究者を国際科学技術協力を牽引する人材に引き上げる研究ネットワークの力,世界的な頭脳循環によって国際共同研究が活性化するなかで日本が国際競争力を維持し相手国の資源を取り込んでいくためには、多様なステークホルダーが参画する案件をリードし共同研究者や相手国関係省庁から必要な助力を引き出せる人材の育成が必須である。本研究では国際科学技術協力を牽引する人物となるためのキャリア展開について(1)学術論文の発表状況および競争的資金獲得状況と(2)キャリア展開の要となった人的ネットワークの形成状況を分析した。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,若手研究者,国際科学技術協力,キャリア形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00027,姫路市立八幡小学校,石垣 智宏,公教育バウチャー制度による学校予算変化の影響,本研究は、学校選択制の導入自治体への調査によって、選択者数の変動と予算配分および人員配置との関係、そして学校選択制がもつ財政的な影響力の解明を行った。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,準市場,教育バウチャー,学校選択制,学校予算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00026,,福益 孝行,医科大学が地域医療にもたらす影響の地域比較研究,本研究は、事例として、奈良県唯一の医学部と、992床の大学病院を有する奈良県立医科大学(以下、奈良医大)の地方独立行政法人化が、周辺の公立病院を中心とする地域医療にもたらした影響について考察を加えたものである。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,公立大学,地域医療,独立行政法人化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00025,,川田 泰之,賭博罪の基礎研究およびギャンブル教育プログラムの開発,大人が用意したギャンブル教育を実施するのではなくて、講義等によって一定の情報を提供した上で、高校生自身にギャンブル教育の授業内容を考案させた。(1)専門家による講演や教員による講義を通じて、生徒の知識は飛躍的に増した。(2)授業内容の考案(教材作成)を通じて、生徒は伝える側の目線に立って、基礎知識を活用して、諸問題を主体的に考察するようになった。(3)当初ギャンブルに対する志向性が強かった生徒、およびギャンブルの危険性に関する意識が低かった生徒については、ギャンブルの危険性を理解させることに成功した。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,賭博罪,カジノ,統合型リゾート(IR),ギャンブル教育,ギャンブル依存症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00024,,中島 剛,国立大学における運営費交付金と寄附金の実証分析―クラウディング・インの検証―,本研究では、国立大学法人の財務諸表を用いてパネルデータを作成し、同法人に対する運営費交付金が寄附金をクラウディング・インするかの検証を行った。国立大学法人全体で推計すると、同効果が相殺されてしまう可能性があるため、国立大学法人の類型毎に推計を実施した。その結果、大規模大学、中規模病院有大学、医科大学、理工系中心大学でクラウディング・イン効果が確認された。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,国立大学法人,運営費交付金,寄附金,クラウディング・アウト,クラウディング・イン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00023,,笠原 博幸,胎児起源仮説の検証 : 中国大飢饉の市町村レベルの死亡率と月毎気象データを用いて,中国健康及び栄養調査(CHNS)、中国健康及び退職縦走研究(CHARLS)、中国家計収入プロジェクト(CHIP)、都市・農村世帯収入と支出及び生活条件(URHS)、中国の人口センサスの5つのデータを使い、各個人が暮らしている市町村の誕生時における市町村レベルの死亡率をメインの説明変数として、様々な健康/社会経済的結果変数に回帰するパネルデータ分析を行った。特に飢餓時に生まれた人とその兄弟、姉妹で飢餓時に生まれなかった人の成人になってからの身長、体重、糖尿病の有無の関係を比べて調べたところ、飢餓時に生まれた人の方が身長が低く、体重も重く、また糖尿病の率が高かったという予備的な結果を得られた。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,胎児起源仮説,中国大飢餓,市町村データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00699,東京経営短期大学,樋笠 知恵,人工透析の治療中止における患者の意思の確定方法,"本研究は、わが国における透析治療患者の治療中止の正当化要件として、患者の意思表示の確定方法を明らかにするものである。2017年の調査では、わが国の慢性透析療法の患者は334,505人にのぼり(日本透析医学会2017年末統計資料)、27%が治療中止を望んでいる(7191名対象「2016年度血液透析患者実態調査報告書」全国腎臓病協議会)。したがって、これからのわが国においては、患者が終末期を迎えるにあたって、その治療中止が正当化される要件が問題となる。特に、患者の意思表示はその中で最も重要な要素である。そこで、本研究では、事前指示書制度を有するドイツの比較法的研究を行い、わが国でも、類似の制度としてリビングウィルを自己決定権の有効な行使と認定するために、これに法的効果を与えることの可能性を希求するものである。",奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,自己決定権,人工透析,治療中止,リビングウィル,事前指示書,自己決定,透析患者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00698,明治学院大学,和氣 直子,アメリカ合衆国の障害者雇用差別禁止法とがん患者への適用の実態,本研究の概要は、アメリカ合衆国の、障害のあるアメリカ人法における雇用差別を禁止する規定が、裁判所において、がん患者・経験者に関してどのように解釈や適用がされているのか、また、適用対象を拡大するという当該法律の目的と、がん患者・経験者の治療と就労の両立の必要性に鑑みて、裁判所の解釈や適用は妥当と言え、雇用におけるがん患者・経験者の法的保護としての役割を十分に果たしているのかを検討するというものである。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,アメリカ法,雇用差別禁止法,がん患者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00697,姫路市立八幡小学校,石垣 智宏,公教育バウチャーによる学校予算変化,バウチャー制度(準市場)は、義務教育においては学校選択制という形で導入されている。実施自治体では、利用者向けの情報として選択者数や選択の理由、利用満足度などを公表している場合があるが、学校選択によって公的資金や人事などの行政資源がどの程度動いているかといった実績はほとんど明らかにしていない。本研究では、選択者の変動がどのような学校予算の配分や人事配置に関係し、どの程度財政的な変化があるのかという課題を設定する。資金等の移動の仕組みや規模を明らかにすることは、本来、利用者や実務者にとっても教育成果や改善効果を高める有効な手段であるだけに、学術的・実務的双方の観点から調査検証を行う。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,準市場,教育バウチャー,学校選択制,教育財政,学校予算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00696,中央大学,三田 香織,アラブ立憲君主制政治の持続可能性：ポピュリズム台頭の考察から,本研究は、近年のクウェート国民議会におけるポピュリズム台頭の考察から、一世代を経て成熟しつつあるセミ・デモクラシーがクウェート立憲君主制政治基盤にもたらす影響を明らかにすることを目指す。クウェートにはポピュリズムが派生する要因である社会的亀裂とリソースへの不均等なアクセスは既存していたが、近年までその台頭には至らなかった。構造的機会不均等が社会の流動性を低くしているということは明らかにされているが、本研究では特に「社会の流動性」に着目し、近年の国民議会を通した国民の政治参加の変化を政治システムと構造、そして「個人が主観的に解釈する社会像」についての両面からの分析を試みる。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,クウェート、民主化、比較政治学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00695,沖縄科学技術大学院大学,杉原 忠,国際比較から抽出する研究支援人材のキャリアプラン形成に資する能力評価指標,今後も議論が継続するURA(リサーチ・アドミニストレーター)評価の指標について、日本、米国、欧州を主な対象として調査、比較する。経験豊富なURA組織長、副学長・理事クラスへのインタビューを通して、特に優れていると認める人材の特徴を具体的に挙げてもらう。またアンケートも実施し、求められるURA人材像を抽出する。このような活動を通じて、人事評価データ以外に注目すべきURA人材評価指標策定が進むことを目標とする。,奨励研究,1150:法学、政治学、経済学、経営学およびその関連分野,人材開発,研究支援,URA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
