awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00238,医療法人葵鐘会,中村 香江,プラズマがん治療の本質に迫る細胞応答性変化の解析,1、研究目的 : 婦人科悪性腫瘍の中でも格別予後不良ながん種である卵巣がんは、腹膜転移易形成、並びに抗がん剤獲得耐性化を起し、現行の治療法では完治が望めない状況にある。一方、プラズマを治療デバイスに利用しようとする試みは、年々増加しており、既に我々のグループでは、低温プラズマを照射した培養液のみならずリンゲル液にもその抗腫瘍効果を見出しており、卵巣がん腹膜播種に対する新規治療法としての可能性を示した。本効果は、プラズマから生成される活性種が主な要因であることが明らかにされてきているが、プラズマにより生成した種々の活性種に対する生体応答性の詳細は明らかにされていない。そこで本研究課題において、細胞にプラズマストレスを与えることで誘導される変化を詳細にとらえ、プラズマストレスによる腫瘍制御機構を明らかにし、新規治療技術開発につなげることを目的とした。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,低温プラズマ,卵巣がん,活性酸素・窒素種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00237,国立研究開発法人日本原子力研究開発機構,並木 伸爾,養護学校理科教育高度化その2-ペーパークラフト立体核図表による宇宙核物理学入門,子供達(当然大人も)が興味を示すように縦方向に拡大し、研究の目標であった「ハイゼンベルクの谷が強調されWEB配信にも耐えうるペーパークラフト立体核図表モデルの製作」を達成することができた。知的障碍者がこのペーパークラフト科学模型を製作するシステムについては1施設で数人の作業者を教育して受注体制を確立し、茨城県内数施設で作成するスキームの構築を開始した。本研究期間内で製作したペーパークラフト核図表の公共展示施設への展示を通じて、知的障碍者のやる気を更に大きくしたことが特筆できる。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,核図表,ビッグバン,核物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00236,東京大学,八幡 和志,FPGAの研究利用のヒントになる教材開発,本研究の目的は、Field Programmable Gate Array(FPGA)を研究や実用でFPGAを取り入れるヒントとなる、技術体系を定着させる教材、カリキュラムの教材開発である。ここで物理学科の学部生の興味の対象となり得る、光の二重性を実験テーマとした。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,FPGA,MPPC,認知発達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00228,,鈴木 貴士,Ethernet接続可能な速い・安い・簡単なFADC基板の開発,本研究では、放射線測定へ速く・安く・簡単に使える電子回路を設計開発した。回路設計は設計ソフトOrCADを使用しておこなった。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,放射線測定,データ収集回路,OrCAD,電子回路,回路設計,Ethernet,FADC,電子回路設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00227,,佐伯 喜美子,リアルタイム分光、高速フォトダイオードと高速カメラによる光学測定教材の開発,フォトダイオードによる蛍光強度、マイクロ分光器による蛍光スペクトル、高解像度カメラによる蛍光変化の可視化の3種類の測定法で、蛍光タンパク質の変性過程およびリフォールディング過程における蛍光変化を測定し、タンパク質フォールディングのメカニズムを考察する光学測定教材を開発した。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,蛍光,タンパク質フォールディング,教材開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00226,,尾上 昌平,物質材料系教育研究支援のための磁場中水素化装置の開発,磁場中水素化実験を磁場0.5Tで行い、試料の吸収水素量を、ゼロ磁場中実験試料と比較した。合成試料のXRD、リートベルト解析の結果、析出したFeの質量分率は、磁場0.5Tでゼロ磁場より増加する傾向が示された。本装置は、水素化実験だけでなく、窒化、酸化等、様々な気相-固相反応熱処理が行えるため、材料系学生の教育研究への利用が増加した。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,磁場効果,ゼーマンエネルギー,気相-固相反応,永久磁石,水素化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00907,東北大学,芳賀 健也,シリコン(110)-(1×1)表面の非線形エッチング過程の解明,Si(110)表面はエッチングにより、異方性をもつ凹凸構造を作ることが知られている。Si(110)表面のエッチング過程を、表面構造の実像観察と非線形偏微分方程式による解析を行い、両者の比較からエッチング過程を解明する。凹凸構造を作る要因となる物理量を推定し、原子レベルで平坦な表面を作製することを目的とする。表面構造の実像観察には、ナノメートルオーダーの高さ分解能を持つ原子間力顕微鏡を用いる。非線形偏微分方程式には、Kuramoto-Sivashinsky方程式を用いる。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,表面構造,半導体材料,走査プローブ顕微鏡法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00906,熊本大学,上村 実也,放射線実習のための安全・安心な線源の試作,これまで実験用線源として、関係法令で規制を受けない機器校正用線源や商品名「マントル」というランタン用替え芯を用いてきた。マントルにはアスベストが含有しているとの国民生活センターからの通知を受けて、今後の使用が難しくなってきた。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,放射線教育,自然放射線,天然放射性物質,放射能,放射線,放射線安全,環境放射線,放射線実習,線源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04075,東北大学,遠山 翔,半導体デバイス表面近傍の微量ホウ素を定量する核反応分析法の開発,"半導体デバイス開発の分野ではデバイスの微小化が急速に進んでいて、試料最表面の数十nm 以下という浅いホウ素の不純物拡散層を評価する評価技術が不可欠である。従来は困難であった表面近傍のイオン注入不純物量評価を実現するため、プロトンビームをホウ素に照射した際に生じる核反応（11B(p,α0)2α反応）を利用した微量ホウ素分析法の開発を目的とする。本研究では、東北大学タンデムペレトロン加速器を用いたイオンビーム解析装置を用いて、①核反応の入射エネルギー依存性・角度依存性の調査、②ホウ素濃度の異なる標準試料を用いた定量分析に係る研究を主に実施する。",奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,イオンビーム分析,核反応,ホウ素,半導体デバイス,静電加速器,荷電粒子検出器,α線,放射線計測,核反応分析法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04074,分子科学研究所,太田 紘志,アナターゼ型酸化チタン表面の光触媒反応活性サイトの原子構造及び電子状態の分析,酸化チタンは、光触媒材料であり、光の吸収によって励起される電子が酸化チタン表面の有機物等を強く酸化することができる。酸化チタンの光触媒作用は強く、水を水素と酸素に分解でき、水素製造に利用することで脱炭素社会への達成する可能性を持っている。この研究では、アナターゼ型酸化チタン表面における光触媒反応が起こる反応活性サイトの原子構造及び電子状態を新規に開発した共鳴光電子回折分光を用いて明らかにする。,奨励研究,2120:物性物理学、プラズマ学、素粒子、原子核、宇宙物理学およびその関連分野,酸化チタン,放射光,光電子分光,X線吸収,表面物理,反応活性サイト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
