awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00243,遠軽町総務部ジオパーク推進課,佐野 恭平,顕微ラマン分光法を用いた高粘性マグマ噴火時の酸化組織形成過程の解明,"黒曜石とは, 粘り気の大きなマグマが溶岩として噴火した際に形成される, 大部分(>95 vol.%)がガラスで構成される岩石である. 高粘性マグマが爆発的・非爆発的噴火に至る過程を理解する上で, マグマに含まれる揮発性成分がマグマから系外へ抜けていく過程(開放系脱ガス過程)や, 開放系脱ガスに伴うマグマの酸化過程を物質科学的に明らかにすることは重要である.",奨励研究,2130:天文学、地球惑星科学およびその関連分野,黒曜石,顕微ラマン分光,酸化組織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00242,埼玉県立草加東高等学校,篠原 秀雄,電波・赤外線・可視光の多波長観測による月表面物質の熱的性質の探究とその教材化,次の3点を目的として本研究に取り組んだ.,奨励研究,2130:天文学、地球惑星科学およびその関連分野,月,電波,赤外線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00241,大阪教育大学,井村 有里,研修旅行における地学実習プログラムの開発 ～生徒と調べる屋久島花崗岩の冷却機構～,本校では、2017年度から２年生研修旅行のコースに屋久島が組み込まれた。屋久島は、その美しい景観から世界自然遺産に登録されている一方で、多様な地質構造が観察できる名所でもある。屋久島の中央部の山岳地帯は１つの大きな花崗岩からなり、古第三紀～中期中新世に100万年程度の比較的短い期間で生じたと考えられている。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,高等学校,屋久島,花崗岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00240,早稲田大学,新井 宏嘉,三波川変成岩のユニット境界における変形構造解析とその教材化,"関東山地三波川帯分布域である埼玉県長瀞町本野上の荒川河床には, 変成度の異なるユニットが断層で接する露頭が存在する. 本研究はこのようなユニット境界に見られる変形構造を解析し, その運動像の実例を得ることを目的として実施した. また, この露頭は露出良好の上アクセスも容易であり, 変形構造の観察・学習場所としても適するため, 自然科学データ採取法の習得, 各種地質構造データの解析を通した空間認識能力の涵養のための教材開発も行った.",奨励研究,2130:天文学、地球惑星科学およびその関連分野,構造地質学,三波川変成岩,地学教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00239,東北大学,海田 俊輝,3D表示システムを用いた地球内部構造の可視化技術の開発,●研究目的,奨励研究,2130:天文学、地球惑星科学およびその関連分野,地震波速度構造,3D可視化,アウトリーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00232,国立アイヌ民族博物館,宮地 鼓,二枚貝微細成長縞解析による北海道南西部の高精度気候変動復元,北海道南西部の考古遺跡から出土した化石二枚貝殻を用いて、成長縞解析と生物地球化学分析を応用することにより、気候・環境変動を日精度で明らかにすることを目的として研究をおこなった。その結果、15世紀末から1640年に形成された貝塚から得られた化石アサリ貝殻の断面には様々なオーダーの成長縞が認められた。成長障害輪は冬の低海水温期に形成されることから、年輪(冬輪)として利用できることや、さらに年輪と年輪の間には朔望日輪が観察され、日精度の生態・環境情報を記録していることがわかった。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,二枚貝,貝殻成長線,高精度気候変動復元,貝塚,降水量,小氷期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00231,長野県長野高等学校,中川 知津子,長野市街地における長野盆地西縁断層帯活断層系の実態の解明,"既往研究(中川ほか, 2019など)で地下に変形が認められた地点である長野県長野高等学校(長野市上松)正門横において、深度17.5Mのオールコアボーリングを行った。最大礫径20cmを超える礫層や堆積構造が顕著に認められる砂シルト層等、様々な河川成堆積物が確認された。直接地層を確認し、レイリー波探査による速度構造と地質の対比が可能となった。連続的な地層の堆積構造を把握するために、ボーリングコアのはぎとり標本を作成した。深度4.8M付近では、バブルウォール型ガラスの密集が見られた。",奨励研究,2130:天文学、地球惑星科学およびその関連分野,長野盆地西縁断層,オールコアボーリング,バブルウォール型ガラス,姶良丹沢火山灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00230,遠軽町総務部ジオパーク推進課(白滝ジオパーク),佐野 恭平,黒曜石溶岩の含水量分布と発泡組織－高粘性マグマの発泡・開放系脱ガス過程の解明－,,奨励研究,2130:天文学、地球惑星科学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00229,豊橋市自然史博物館,一田 昌宏,離弁二枚貝状異常巻き紡錘虫Nipponitellaのタフォノミーと古生態,宮城県登米市産の離弁二枚貝状の形態を呈するペルム紀異常巻き紡錘虫類Nipponitellaについて，堆積環境，保存状態，産状を検討し，河口に近い潮上帯～潮下帯の堆積環境がサイクリックに入れ替わる環境で堆積し，産状はコロニーと思しきものを含め4パタン観察された．,奨励研究,2130:天文学、地球惑星科学およびその関連分野,紡錘虫類,古生態学,炭酸塩堆積学,放射光,CT-Scan,コロニー,Fusulinoideans,Paleoecology,CT Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00910,宮城県古川黎明高等学校,齋藤 弘一郎,中学校で再現・継続可能な天体観測の開発と実践 ～流星自動観測システムの構築～,"本研究では, 特に天文を題材とした研究活動に様々な制約がある中学校の部活動として, 再現可能な天体観測の手法について実践し検証する。天候等の影響に加え, 観測が夜間に限定されるため安全確保も課題となることから, 電波を用いた流星の観測を中心とし, 一般的な手法として行われているHROに加え, VORを使った観測を比較検討する。実践により, 学校教育の枠組み内で行う研究活動の1つとして継続が可能であれば, 他の学校現場における再現性が認められる。",奨励研究,2130:天文学、地球惑星科学およびその関連分野,電波観測,流星,アンテナ,HRO,VOR-RO,学校教育,科学,科学部,中学校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00909,学校法人城西大学水田記念博物館大石化石ギャラリー,宮田 真也,「県の化石」玖珠盆地産淡水魚類化石の分類学的研究,"大分県玖珠盆地から産出する淡水魚類化石群は「大分県の化石」としても指定されているものの, 詳細な研究がおこなわれてこなかった. 県の化石として指定されたとしても, 化石がもつ自然科学的な意義づけがなされていなければ教育資源とは十分に発揮できない.",奨励研究,2130:天文学、地球惑星科学およびその関連分野,魚類化石,淡水魚類,コイ科,ニゴイ属,第四紀,更新世,大分県,県の化石,淡水魚類化石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00908,東京大学,芦田 将成,安価で軽量な深海カメラの開発,現在一般的に使用されている深海カメラには「重い」「高価」という2つの欠点があり、観測を困難にしているのが現状である。本研究では、従来よりも小型軽量で安価な深海カメラを開発し、深海映像取得のハードルを下げることが目的である。カメラの開発には、小型で安価なシングルボードコンピューターとそのカメラモジュールを用いる。また、それらを透明な樹脂で固定し深海耐圧性にすることで、小型軽量で安価な深海カメラを製作する。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,深海カメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04077,薩摩川内市役所,山下 大輔,鹿児島県甑島に分布する後期白亜紀～前期古第三紀堆積岩類の古地磁気層序と後背地,鹿児島県甑島に分布する上甑島層群中甑層からは国内最古の古第三紀哺乳類化石群集が報告されているものの，年代決定に有効な化石をほとんど含まないため，詳しい堆積年代がわかっていない．本研究では，中甑層の古地磁気層序を確立し，堆積年代を推定することで，哺乳類化石群集の詳しい年代を明らかにする．また，中甑層とその下位の地層である姫浦層群（上部白亜系）に含まれる礫岩から微化石を抽出し，後背地に露出していた岩石の年代を推定する．これにより，古生物地理学的な議論だけでなく，上甑島層群および姫浦層群の堆積場や，堆積速度の見積もり，始新世以降のテクトニクスの議論も進むと考えられる．,奨励研究,2130:天文学、地球惑星科学およびその関連分野,古地磁気層序,後背地,甑島,赤色泥岩,礫種組成,姫浦層群,中甑層,始新世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04076,京都大学,高谷 真樹,ガリウム合金を用いた新しい表面分析用試料包埋手法の開発,粉末状や破片状といった数百μm～数mmサイズの地球惑星固体物質（鉱物，岩石，隕石など）の表面分析用試料の調製においては，一般的に樹脂を用いた包埋処理が行われている．しかし，樹脂では表面分析機器の運用条件や分析試料が大きく制約される問題を抱えてきた．本研究では，表面分析における樹脂包埋のデメリットを解決するために合金を使用した合金包埋手法の開発を目指し，ガリウム合金に着目して包埋作業性の良い条件の決定と硬化物の観察を実施する．,奨励研究,2130:天文学、地球惑星科学およびその関連分野,包埋,ガリウム合金,表面分析,地球惑星固体物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H04200,京都大学,馬渡 秀夫,七輪マグマ実験における試料マグマ固化ガラスの発色原因の調査研究,2010年に考案・開発し、2017年に改良した七輪マグマ装置実験でのマグマは、急冷されることにより非常に綺麗なガラス状に固化する。この色彩は一定ではなく、溶融実験に使う砂や岩石の種類によりそれぞれ違った色彩をとる。これは試料の化学成分による影響を反映しているのではないだろうかと考えているが、どういった化学成分や構成比が、どのような色彩を呈するかということについては判っておらず、見学の子供達、引率の先生・保護者の率直な質問に答えることができていない。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,七輪マグマ,マグマ,溶岩流,アウトリーチ,社会貢献,固化試料,発色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H04199,鹿児島大学,平野 舟一郎,十分な強度と防水性能を備え、尚且つ軽量で容易に携行可能な地震計用保護カバーの開発,軽量で容易に携行が可能であり、尚且つ、十分な強度及び防水性能を備えた地震計用保護カバーを開発する。これにより、観測者が運搬する機材総重量を軽量化し、大規模地震発生後の臨時観測や火山地帯での観測等、徒歩による到達が困難な地震観測点へのアクセスの負担を軽減させ、安全性ならびに現地作業の効率向上を図る。8月 ～ 9月中に当該カバーの製作を行い、10月以降に本学の大学院理工学研究科附属南西島弧地震火山観測所が展開している無人島の臨時観測点に於いて試験及び検証を行う。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,地震観測,火山観測,地震計用保護カバー,十分な強度,十分な防水性能,軽量,防水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H05175,名古屋大学,大羽 徹,ひまわり8号の画像データを用いた月と地球の軌道要素の解析,天文学は、科学的仮定に基づいた数理モデルを作り、それを観測データと比較し、実証することで発展してきた。近年の天文観測技術の発展により、天文学はビッグデータ・サイエンスとなった。膨大な観測データを効率的に解析するために、コンピュータ・プログラミングを用いることが主流となっている。本研究では、ひまわり8号が撮像した地球の画像データ（https://sc-web.nict.go.jp/himawari/）を用いて月と地球の軌道要素を求めることで、数理モデルの考案からプログラミングを用いたデータ解析に至るまでの一連のプロセスを学ぶことを可能にする教育プログラムを考案する。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,ひまわり8号,月の軌道速度,画像解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24H02538,豊橋市自然史博物館,一田 昌宏,放射光マイクロCTを用いた三次元観察による紡錘虫類のタフォノミーと古生態の解明,古生代末に絶滅した炭酸塩の殻を持つ大型底性有孔虫フズリナは、熱帯～亜熱帯浅海域における重要な示準化石であり，当時の生物礁の重要な炭酸塩生産者でもある。すなわち、フズリナのタフォノミーや古生態は，当時の地球表層の物質循環及び古環境変動の基礎データとして重要な研究対象といえる。一方で、フズリナは岩石からの単離も難しく、これまでは1個体を複数の任意断面で観察・検討することは不可能であった。本研究では、研究代表者が確立したフズリナ類のMicroCTによる観察手法で、紡錘虫類殻の微細構造を任意断面で観察、殻の保存状態の評価方法の確立や詳細な殻形成過程、そして古生態の解明を狙う。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24H02537,東京大学,芦田 将成,リアルタイム海底状況把握システムの実現に向けた、AI深海カメラの開発,海底試料採取機器は、海底の状況が不明なまま使用するものが多く、採取失敗等のトラブルがしばしば起こっており、対応に追われていのが現状である。本研究では、AIを活用した深海カメラを開発し、リアルタイムで海底の状況を把握できるシステムの実現を目指す。これにより、海底試料採取におけるトラブルを未然に防ぎ、採取作業の効率化と革新を図る。,奨励研究,2130:天文学、地球惑星科学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
