awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00270,兵庫県警察本部 刑事部 科学捜査研究所,橘 一行,火災現場における溶融痕の超音波を用いた判別方法に関する研究,1 実験方法,奨励研究,2150:電気電子工学およびその関連分野,超音波,火災,溶融痕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00269,国立大学法人東京工業大学,田村 茂雄,UV光照射ポジ型レジストによる電子ビーム露光感度の向上,1. 研究目的,奨励研究,2150:電気電子工学およびその関連分野,電子ビーム露光,UV光,ポジ型レジスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00268,山口県警察本部 刑事部科学捜査研究所,佐藤 正学,高精度フレームレート自動解析システムの開発,防犯カメラ等の録画機器の増加に伴って、交通事故の瞬間やひき逃げ車両の走行状況について撮影録画されることが増加している。犯罪の捜査や立証のためには、このような録画映像を活用した走行車両の速度特定が必要不可欠である。録画映像による速度特定は、フレーム間の時間間隔とその間の移動距離から平均走行速度を解析する。時間間隔は、録画機器のフレーム時間間隔を、録画映像のフレーム時間間隔とみなして間接的に特定する。そのため、4段10列のLEDが各段の単位時間で順次点灯を繰り返す時間表示機器を開発し、これを解析対象となる録画機器によって撮影録画後、時間表示機器が示すフレーム毎の点灯表示時間を特定することによってフレーム時間間隔を解析する。そこで、LED点灯の有無に対する視覚判別の曖昧さを排除し、大量のフレームを一括解析するため、点灯表示時間を画像解析によって自動判別するフレームレート自動解析システムを構築した。,奨励研究,2150:電気電子工学およびその関連分野,フレームレート,自動解析,画像解析処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00267,九州大学,東畠 三洋,液中レーザークリーニングによる高価基板のリサイクル,"本研究の目的は, 我々の研究室において大量消費している高価サファイア基板の再利用と関連技術への応用である. 研究背景として, 窒化ガリウムに代わる有望な化合物半導体材料である安価で安全な酸化亜鉛を主材料としたナノ構造体による白色LEDの研究開発を行っており, その酸化亜鉛ナノ構造体は主にサファイア基板上に作製している. 用いている単結晶サファイア基板は, 近年量産化技術の確立により価格が下がってきているが, 機械的強度があるため加工費がかかり, 現在も1枚当たり数千円での納入となっている. しかし, 良質な酸化亜鉛ナノ構造体を得るためには, 数多くの作製条件での試作を必要とし, それに伴い大量のサファイア基板を消費している現状がある. また, 近年の研究費削減による購入枚数の制限や資源の有効利用という観点からも再利用は非常に有意義であり, 不可欠であると考えている. 我々は, 酸化亜鉛とサファイアのレーザーアブレーション閾値の違いを利用し、不要材料である酸化亜鉛ナノ構造体のレーザークリーニングを行っている.",奨励研究,2150:電気電子工学およびその関連分野,液中レーザークリーニング,超音波洗浄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00266,秋田工業高等専門学校,松田 英昭,超広角ミリ波アンテナを用いた非接触型高精度生体センサの開発,"最近では心拍数などを計測する見守りシステムへのミリ波応用が盛んになっており, 一つのセンサで部屋全体を観測するには指向角が広いアンテナが必要となる。そこで広角アンテナとしてコンフォーマルアンテナに着目し, 導波管を用いて同アンテナの試作方法について検討した。高周波でも減衰が少なく, 実習工場において試作可能であるコンフォーマル型の導波管スロットアレーアンテナの試作を行った。76GHz帯で動作するために導波路寸法はWR-10規格とし, スロット数は8とした。全てのスロットは同一の寸法とし, スロット長, スロット間隔, スロットオフセットはそれぞれ1.973mm, 3.12mm, 0.5mmとした。アンテナの構造は2ピース構造とし, 導波路側と蓋側とに分けた。スロットがある曲面の壁厚は減衰しない0.2mmとした。測定結果よりコンフォーマル型は放射が広角化していることを確認した。今後はスロットの設計法について検討し, 指向性の広角化, アンテナの軽量化に取り組む予定である。",奨励研究,2150:電気電子工学およびその関連分野,コンフォーマルアンテナ,ミリ波,3Dプリンタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00265,徳山工業高等専門学校,中村 金良,視認性の良いバックライト型案内板の開発,今回、3種の案内板を製作し、以下のとおり効果を伝える。,奨励研究,2150:電気電子工学およびその関連分野,パックライト,商業看板,WELCOMEボード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00264,熊本大学,松田 樹也,短パルス電界に対する液体導電率の定義,●研究目的 :,奨励研究,2150:電気電子工学およびその関連分野,パルス電界,導電率,イオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00263,国立大学法人名古屋工業大学,島田 美月,教育用マイコンボードを用いたDVD反射鏡による分光測定器の作製,[研究の目的],奨励研究,2150:電気電子工学およびその関連分野,DVD反射鏡分光器,分光測定器,Arduino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00261,宮崎大学,外山 貴子,アクティブラーニングのためのアナログLSIの設計から評価までの実習環境の構築,現在、本学をはじめ多くの大学で、アクティブラーニング(以後、ALと表記)を取り入れた講義が行われている。ALは、実験に関しては自宅での自学自習が困難なものも多いことから、その事例は少ない。特にアナログ集積回路設計に関しては、多くの大学では回路設計までの実施にとどまっている。この理由として、「マスクレイアウト設計」と「試作LSIの評価」について、ALのための環境整備がされていないことが要因の1つと考えられる。そこで本取組みでは、学生が自宅でのアナログ回路設計からLSI試作とその評価までを想定し、プロジェクト型実験のAL環境の構築を目的とした。,奨励研究,2150:電気電子工学およびその関連分野,アクティブラーニング,マスクレイアウト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00260,愛媛大学,宮田 晃,高出力LED溶融によるZnOナノワイヤの表面薄膜化手法の研究,1. 研究目的,奨励研究,2150:電気電子工学およびその関連分野,ZnOナノロッド,高出力LED,表面溶融,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00259,東北大学,阿部 茂樹,音声認識によるロボット制御システムの構築と教育プログラムへの応用,本研究の目的は、音声認識により動作するロボットシステムを構築し、組込みシステムの人材育成および教育プログラムの教材を構築することである。,奨励研究,2150:電気電子工学およびその関連分野,音声認識,ロボット制御,教育プログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00257,箕面自由学園,市原 義憲,視覚化による理解と追究意欲を高める電磁気教材の開発,社会インフラである光通信技術の理解と多重通信による情報量増大への対応技術の理解を深めるための光通信教材を開発し、光通信実験が行える送受信機を児童に自作させ、実験を通して理解を深めさせた。,奨励研究,2150:電気電子工学およびその関連分野,光通信,可視光空間通信,多重通信,ワイヤレス送電,酸素センサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00256,群馬大学,高橋 洋平,家庭用水道管向け超小型水力発電機の開発,一般家庭用水道に設置された減圧弁で捨てられる圧力エネルギーを電気エネルギーとして回収することを目的に，超小型水力発電装置の開発を行った。家庭用水道のような低圧な水流からでも効率的に水車を回転させるために，軸受部には回転摩擦の少ないピボットベアリングと磁気ベアリングを採用した。そして，小型かつ効率的な水力発電機の試作を行った。特に，磁気ベアリングを含む磁気部品は，コンピュータによる有限要素法磁場解析を用いて詳細に設計を行った。,奨励研究,2150:電気電子工学およびその関連分野,水力発電,磁気ベアリング,有限要素法磁場解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
