awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00285,大阪府立今宮工科高等学校,三浦 靖弘,ため池の微小動物消化管内酵素の性質と体外での挙動および底質改善に果たす役割,ため池や水路に住む甲殻類、巻貝を実験生物として、それら生物の消化管内のセルラーゼについて実験を行い次のような結果を得た。①特定の餌だけで一カ月間飼育した後、消化管内セルラーゼ活性を比較したところ、いずれもセルロースの割合が高い餌で飼育した時に活性が高くなった。巻貝より甲殻類において差が顕著であった。その際のセルラーゼ分子量をザイモグラフィーで調べたところ、餌の種類に関係なく同一種ではほぼ同じようなバンドパタンとなった。ただ、クロレラを餌としたヒメタニシが、他の餌の場合と若干異なるバンドを有していた。②微小動物を飼育していた系の底泥を、CMC水溶性内に投入し、その後生成される還元糖量を650時間以上に渡って測定した。生成される還元糖が減少に転じたら、溶液の一部を新たなCMC溶液と交換し基質が欠乏しないようにした。その結果、土壌に吸着されたセルラーゼは650時間を経過しても高い活性を維持し続けた。生成される還元糖は周期的な変動を行うが、土壌には還元糖を完全に分解する酵素も吸着されており、その活性も長期間維持されるからであると考えている。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,セルラーゼ,土壌吸着,酵素の真空凍結乾燥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00284,三重県警察本部,戸田 均,子供自転車の出会い頭事故の防止と被害低減-自動車側面への衝突の危険性-,自動車の側面に6歳児ダミーを乗車させた自転車を約15km/hで衝突させる出会い頭衝突実験を行い、出会い頭事故における自転車乗員の挙動を明らかにするとともに、自転車乗員の傷害の危険性についての検討を行った。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,子供自転車,出会い頭事故,乗員挙動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00283,長野工業高等専門学校,丸山 健太郎,ポーラスコンクリート表面に竹粉を接着することによる環境負荷低減効果に関する研究,"ポーラスコンクリート(以下PoC)は多孔質な構造特性を有し, 環境負荷低減コンクリートとして河川護岸等に適用されている. しかし通常のコンクリートよりも表面積が大きく, アルカリ成分の溶出が多いと考えられる. そのため, 設置直後にアルカリ成分が溶出することによる, 植物の生育や昆虫等の生態系に及ぼす悪影響が懸念される. 本研究では, PoC設置直後における環境負荷の低減を目的とし, 竹粉接着によるPoC表面における生物皮膜形成の促進効果の検証を行った.",奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,ポーラスコンクリート,竹粉接着,環境負荷低減,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00282,秋田大学,鈴木 雄,タクシー定期券の導入が地方都市の高齢者の交通行動に与える影響に関する研究,○研究目的,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,高齢者,タクシー,外出活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00281,徳山工業高等専門学校,福田 靖,土系舗装の高硬度化による遮熱性および耐候性に関する研究,1 研究目的,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,遮熱性,耐候性,液体ガラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00280,独立行政法人国立高等専門学校機構石川工業高等専門学校,宮田 桂,木材の圧縮における脆弱部分の節のひずみ分布の乱れの評価,研究背景,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,木材の節,ひずみ,ヤング係数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00279,豊橋技術科学大学,片岡 三枝子,UAVを用いた砂浜と海浜植生の現況調査と保全対策,"本研究は, 愛知県豊橋市の表浜海岸を対象地として, 砂浜と海浜植生の現況調査を行い, 地形変化・土砂移動の実態と海浜植生の繁茂状況の関係を明らかにするとともに, 砂浜の保全対策を検討することを目的とした.",奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,海浜植生,土砂量,UAV(無人航空機),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00278,長岡技術科学大学,渡邉 高子,微生物の宝庫・グラニュールを用いた教育実験用メンテナンスフリー型水浄化装置の開発,1. 目的,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,グラニュール,水浄化装置,MF膜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00277,京都大学,平野 裕一,高純度鉄の腐食特性およびコンクリート補強材への適応性に関する研究,適切な設計・施工・維持管理が行われている鉄筋コンクリート構造物は、長期に渡りその形状を維持し機能が保持されるものである。しかし、コンクリートの内的あるいは外的要因によりコンクリート中の鉄筋腐食が生じると、かぶり部分の剥落が生じ、終局的には構造物の崩壊が生じる可能性があり社会的な影響が非常に大きい。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,高純度鉄,耐食性能,コンクリート補強材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00276,秋田工業高等専門学校,大友 渉平,オキシデーションディッチ法での水質変化が亜酸化窒素生成に与える影響評価と発生対策,"オキシデーションディッチ槽(OD槽)において, 2018/9/4～2019/3/26の調査期間で, おおよそ週一回の調査を行った. 調査では, 反応槽混合液を採取し, 溶存態亜酸化窒素(DN_2O), NH_4, NO_2, NO_3, DOC濃度などを分析した. その結果, 反応槽流入水のDN_2O濃度(1μgN/L程度)よりも低濃度の日があった一方で, 低水温時にNO_2, NO_3およびDN_2Oの蓄積がみられる傾向にあった. 本OD槽では, 水温の低下に伴いDO濃度が増大することが確認されていることから, NO_2, NO_3およびDN_2Oの蓄積は, 水温の低下にともないDO濃度が増大し, 還元酵素が失活したこが要因と推察された. これより, 水温低下やNO_2, NO_3濃度の増大にあわせて, N_2O生成対策を行うことが有効であると考えられた. 既存の施設を利用して対策を講じる場合, 既往の研究を参考に考察するとSRTの調整が有効であると推察された. さらに, 本OD槽は縦軸型撹拌機二台が対に配置され, 交互に稼働している. この撹拌機を時間制御ではなく, 水質にあわせて適切に稼働させることも生成対策として有効である可能性が示唆された.",奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,亜酸化窒素,オキシデーションディッチ,活性汚泥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00275,九州工業大学,村上 清人,熱可塑性CFRPにおける炭素繊維/樹脂界面の接着性向上による高機能化,"熱可塑性CFRP(CFRTP)は, 熱硬化性CFRP(CFRTS)と比較して製造コストが安価であることから, 今後, 益々の普及が期待されている. 報告者らは過去に, 複合材製液体酸素タンク用のライナー材として, 熱可塑性のポリカーボネート(PC)樹脂を超高弾性ピッチ系炭素繊維(CF)で強化した複合材(CFRTP-PC)を開発した. CFRTP-PCライナーにおけるCF/PC樹脂の界面接着性は, 機械的強度のみならずタンク内の気密性を確保する上でも重要である. 本研究は主に, CFRTP-PCにおけるCF/PC樹脂界面の接着性の向上を図ることを目的として進められた. 今回, オートクレーブで成形されるCFRTP-PCのガスバリア性に着目し, 「JIS K 7126-1」に準拠したヘリウム(He)ガス透過率試験を実施した. 本研究を通じて得られた主な知見を下記に記す.",奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,熱可塑性CFRP,ポリカーボネート樹脂,界面接着性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00274,長岡工業高等専門学校,込山 晃市,i-Construction実習教育の試行,本研究の目的は、国土交通省が推進するi-Constructionが、どのような技術でどのように活用されているのか、技術者として必要な能力をモデル学習を通じて学ぶことのできるツールを開発することである。本研究では先行研究成果による、ミニチュア工事現場とミニチュア建設機械を用いて施工を行い、それを模擬的に空中写真測量で出来形の計測を行う手法を用いた実習モデルの作成を行う。また、空中写真測量の他にMMS(Mobile Mapping System)による測量を模擬的に再現するための教材の開発を行う。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,i-Construction,情報化施工,MMS(Mobile Mapping System),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00273,鹿児島工業高等専門学校,福永 隆之,シラスを利用した高機能性セメント硬化体の開発に関する研究,鹿児島県に広く分布する「シラス」は堆積量が750億㎥と多く、鉱物組成もシリカとアルミナの非晶質粉体で構成されているため、工業製品の材料として最適である。しかし、現在シラスの使用用途や使用量は少なく、シラスの新たな活用方法が望まれている。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,シラス,温泉暴露,混和材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00272,宇都宮大学,青木 達也,足尾銅山の本山動力所に関する研究,1) 研究の対象と目的,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,産業遺産,足尾銅山,動力所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00271,小山工業高等専門学校,生井 智展,本当は知らない、正しい保護具着用方法を普及するためのシミュレーター開発,【1. 目的】保護具着用は、正しい着用の仕方がなされているかが、確認困難な場合がある。防塵マスクでは、顔の間に隙間がある状態など、見た目では特に判断が難しい。改善には、作業者の意識と知識が正しい着用につながると考えている。従来の教育手法では、不具合が起きると、どの様な重大な問題につながるのかをイメージできないことが正しい着用につながらないと考えた。そこで、着用不具合体験シミュレーターを開発し、正しい保護具着用の教育を普及させ、事故や健康障害をなくす活動に寄与することを目的とした研究を行う。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,危険体感教育,防塵マスク,ヒューム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00272,大阪府立今宮工科高等学校,三浦 靖弘,バイオフィルムにおけるセルロース分解力の研究,,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00271,三重県警察本部,戸田 均,子供自転車の出会い頭事故-軽微な衝突が引き起こす重大事故の危険性-,子供の自転車事故のなかで、自転車を運転する子供と自動車が直接接触しないような出会い頭事故について、事故の危険性を検討するために実車を使用した衝突実験を実施した。その結果、自転車乗員が強く自動車や路面と接触する危険性は低いと考えられた。一方で、衝突後の自転車は自動車側に転倒するため、衝突後に自転車乗員が自動車に礫過される危険性がある。,奨励研究,2160:土木工学、建築学、航空宇宙工学、船舶海洋工学、社会システム工学、安全工学、防災工学およびその関連分野,子供自転車,出会い頭事故,実車衝突実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
