awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00336,福井市自然史博物館,出口 翔大,モウソウチク竹林は悪者か?-動物の生息環境としての評価-,○研究目的,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,モウソウチク林,鳥類多様性,哺乳類多様性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00335,岡山県警察本部刑事部科学捜査研究所,居郷 哲央,質量分析による動物種推定法の法科学的応用,近年、野生動物の人居住区域への侵入機会や、ペット飼育世帯が増加している。その為、動物が関係する事件・事故も増えており、血液から動物種を明らかにする必要性が高まりつつある。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,動物種識別,ヘモグロビン,質量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00334,名古屋大学,前坂 昌宏,トマト低段密植栽培における第1花房切除が果実収量におよぼす影響,夏季抑制栽培での第1段果房の着果数減少は果実重を増加させ、果実サイズ品質を低下させる。加えて、着果剤へのジベレリン(GA : 空洞果防止)添加は果実裂果を誘発し、外観品質も低下させる。本年度は慣行の3段どり低段密植および第1花房切除による実質3段取り低段密植栽培試験を行い、着果数の確保、果実重の適正化、着果剤「トマトトーン」の処理方法が果実品質に及ぼす影響を調査した。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,第1花房切除,着果剤処理法,果実品質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00333,東海大学,冨山 晋一,駿河湾の魚類相研究とその成果に基づく博物館展示,生物多様性の重要性を広める上で、自然史博物館が各地域の自然を研究し、その成果に基づく展示(社会教育)を行うことには意義がある。申請者が所属する東海大学海洋科学博物館も、駿河湾の生物相、特に魚類相の研究と展示を主要な活動テーマとしている。現在までに収集した魚類標本は約1万9千点で、一部は新種や日本初記録種として報告されるなど実績を上げてきた。駿河湾の魚類相研究はこれまでにも多くの研究者によって実施されたが、未だ全貌解明には至っていない。既往知見についても、その後の魚類学の進展に伴って修正が必要であったり、証拠標本が所在不明で科学的再現性を欠いていたりするものが少なくない。そこで、本研究では信頼性の高い魚類目録の作成に向けて、標本の収集と分析および旧知見の再検討を行うことを目的とした。加えて、本研究の成果を海洋科学博物館の展示に反映させ、人々の関心と理解を深めることも目指した。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,駿河湾,魚類相,社会教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00332,京都大学,花木 瑞穂,アプリシアトキシン超単純化アナログの合成とコンホメーション解析,"プロテインキナーゼC(PKC)は細胞内情報伝達の鍵酵素であり, 腫瘍の抑制において重要な役割を果たすことが明らかになっている. 申請者の所属研究室では, 抗がん剤リードとして新規PKC活性化剤・aplog類が開発されている. 特に10-Me-Aplog-I(1)は強いPKC結合能と高いがん細胞増殖抑制活性を示すが, 合成に直線23段階を要するため供給面に問題があった. そこで, 構造-活性相関研究の結果からスピロケタールを取り除いた超単純化アナログ(2)がごく最近, 香川大学の柳田らによって合成された(Heterocycles, doi:10.3987/COM-18-S(F)60). 10位にメチル基をもたない2の活性は1よりも100倍以上低かったことから, 10位にメチル基を導入した超単純化アナログ(3)が所属研究室において合成された. しかしながら, 3のPKC結合能は1の約1/20に過ぎなかった. この理由として, 12員環マクロラクトンの3位付近のコンホメーション変化が考えられたことから, 本研究では, 1と同様のコンホメーションを有し, 同等のPKC結合能およびがん細胞増殖抑制活性を保持した新規超単純化アナログの設計と合成を行なうことを目的とした. アナログ3のNMR(NOESY)解析により, 4, 5位炭素の除去によって3位付近のコンホメーションが変化していることが判明したことから, 3の3位にメチル基を導入したアナログ(4)を設計した. 3と同様の合成ルートでアルコールユニット, カルボン酸ユニットからなる収束的合成を試みたが, メチル基の立体障害によりカルボン酸ユニットの合成が困難であった. そこで, 柳田らによる2の合成を参考にして, 目的のカルボン酸ユニットを合成した, 続くカルボン酸ユニットとアルコールユニットとの縮合において, THF中では反応が進行しなかったため, ジクロロメタンに変更して縮合させた. さらに, Selectfluorによるジチアンの脱保護と環化を試みたが, エステル結合の切断が先行することが判明した. Selectfluorのフッ素がルイス酸として機能する可能性があることから, よりソフトなルイス酸である水銀塩を用いる必要があると考えられる. 本研究により, 合成段階数を大幅に減らした新規PKC活性化剤の合成に至る道筋が示された.",奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,アプリシアトキシン,プロテインキナーゼC,抗がん剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00331,九州大学,松永 恵美子,糸状菌アスペルギルス属のゲノム中に存在するフラノシダーゼの網羅的解析,研究目的,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,β-D-ガラクトフラノシダーゼ,ガラクトフラノース,糖質分解酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00330,東京女子大学,諸木 裕子,環境の差異が鶏の砂浴び様行動へ与える影響 : アニマルウェルフェアからの考察,研究目的,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,砂浴び様行動,足刺激,鶏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00329,国立遺伝学研究所,坂 季美子,時期特異的・組織特異的ゲノム編集のためのトランスジェニックゼブラフィッシュの作製,【研究目的】ゼブラフィッシュにおいてCRISPR/Cas9法はゲノム編集を行うための重要な技術である。しかしながら受精卵にCas9とgRNAを微量注入する従来の方法では生殖細胞系列においてゲノム編集が行われるため、特定の組織や細胞における遺伝子の役割を解明することは困難であった。この問題を解決するため、平成29年度に当補助金の支援を受け、Gal4-UASシステムを利用した組織特異的ゲノム編集のためのトランスジェニック(Tg)フィッシュを作製した。これを更に発展させ、本研究では組織特異的かつ時期特異的なゲノム編集を可能にするTgフィッシュを作製する。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,Ga14-UASシステム,Tet-Onシステム,CRISPR/Cas9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00328,静岡大学,周藤 美希,光条件の違いがニホンスモモ‘貴陽’の転流と果実品質に及ぼす影響,ニホンスモモ‘貴陽’では高糖度(15～20度程度)の正常果だけでなく、糖度10度程度の低品質果実「味なし果」が同一樹体内で発生する。また、味なし果では正常果でみられる果面のネット状の模様が少ないことも特徴である。本研究では味なし果発生メカニズム解明のため‘貴陽’の葉の光合成速度と果実品質の関係について調査した。本学農学部附属地域フィールド科学教育研究センタービニルハウス内栽植のニホンスモモ‘貴陽’(12年生、Y字仕立て)を供試した。満開後10週にY字の片側全体を75%遮光ネットで被覆し、自然条件下の部分を無処理区、遮光条件下の部分を遮光区とした。各処理区内で果実を無作為に選び、その果実付近の新梢基部側1～3枚目までの葉を測定部位として、葉の光合成速度(満開後12週から16週まで隔週)と果実品質(満開後16週以降)を測定した。満開後12週から16週までの遮光区における葉の光合成速度は平均して無処理区の40%程度に減少した。満開から収穫までに要した日数は無処理区よりも遮光区で約1週早かった。成熟果の果面のネット発生率は、無処理区よりも遮光区で有意に低かった。TAに差はみられなかったものの、SSCは遮光区で有意に低かった。無処理区のSSCは10～25%の間で広く分布したが、遮光区のSSCは10%程度のものが多く、SSCの分布の様相は異なった。しかし、両処理区とも葉の光合成速度(満開後12週から16週の平均値)はSSCの値に関係なく分布し、相関は認められなかった。以上より、遮光条件下では葉の光合成速度が低下し、ほとんどの果実が低品質となったことから、味なし果の発生には光条件が影響していると考えられた。しかし、今回調査した新梢基部側1～3枚目の葉とその付近の果実間では光合成速度とSSCの相関関係は認められず、味なし果発生に影響する葉の位置関係はわからなかった。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,遮光,シンク,ソース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00327,愛媛大学,澤山 英太郎,メタゲノム解析による養殖マダイ尾鰭末端欠損の原因解明と育種への応用,養殖マダイは飼育の過程で尾鰭末端が欠損した個体(欠損個体)が多く見られることがあり、養殖魚の経済価値を低下させる要因となっている。欠損部は炎症を起こしていることから、細菌感染により尾鰭末端の欠損が生じると考えられた。一方で、同一環境で飼育した個体であっても、尾鰭末端の欠損が見られない個体(鰭ピン個体)も存在した。これらの観察から、尾鰭末端の欠損の有無は細菌感染への個体間の抵抗性の違いと予想し、同症状を育種形質として利用できるのではないかと考えた。,奨励研究,3110:農芸化学、生産環境農学、森林圏科学、水圏応用科学、社会経済農学、農業工学、獣医学、畜産学およびその関連分野,マダイ,育種,尾鰭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
