awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00364,大阪府警察本部 刑事部,掛橋 秀直,BOC化乱用薬物の定性試験法確立と代謝経路の検討,"N-tert-butoxycarbonylmethamphetamine(t-BocMA、指定薬物)は、覚せい剤メタンフェタミン(MA)に保護基t-Bocを導入した“密輸を目的としたMA偽装体”であり、酸との接触により容易に脱保護されMAに再転換される。本研究において、t-BocMAは胃液相当の塩酸中でも分解され(pH : 1.2, T1/2 : 50 min)、MAを生成することを明らかにした。そして、この結果から、t-BocMAが、MAのプロドラッグとして乱用されたり、MA乱用者の言い逃れの口実に使われる可能性が懸念された。t-BocMA摂取とMA摂取の識別は、喫緊の課題である。本研究では、t-BocMAの分析法の確立とin vitro, in vivo試験を用いたt-BocMAの代謝経路および尿中代謝物の検討も行った。なお、肝ミクロソーム代謝試験(Rat : Wistar Han, Human : 50-donorpool)およびラットへの投与試験(20mg/kg, i.p.)による尿中代謝物の探索を行った。定性・定量法には、ガスクロマトグラフィー質量分析(GC/MS)および液体クロマトグラフィー質量分析(LC/MS)を用いた。検討の結果、LC/MSのエレクトロスプレーイオン化法(ESI)を用いると、t-BocMAが容易にインソース分解されることが明らかとなった。そのため、t-BocMAを分析する際には、ESIのスプレー温度やデクラスタリングエネルギーを低く設定する必要があった。また、t-BocMAは胃酸中で一部MAに転換されるが、吸収後はMAには代謝されず、主に肝臓で水酸化や脱メチル化といった代謝を受けることが示唆された。一方で、これらの第I相代謝物は脂溶性が高いことから、第II相代謝(グルクロン酸または硫酸抱合)された後、尿中排泄されることが予想された。さらに、尿中第I相代謝物の分析方法について、中性条件においてt-Boc基が比較的安定であることから、pH7付近で酵素を用いた第II相代謝物の加水分解を行い、得られた第I相代謝物を分析する方法が効果的と考えられた。なお、尿を酸性条件で処理するとt-BocMAおよびその代謝物のt-Boc基が脱離し、MA、エフェドリンやカチノン類(違法薬物)を生成してしまうため、分析時の試料液性には注意が必要である。",奨励研究,3150:薬系衛生および生物化学関連,N-tert-butoxycarbonylmethamphetamine,覚せい剤,薬物代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00363,熊本大学,坂本 亘,環境エンリッチメントとしての“香り”の有効性の研究,環境エンリッチメント(Environmental Enrichment、以下EE)は、実験動物であるマウスにおいても導入が推奨されているがコストやスペースの問題により広く普及するには至っていない。今回、マウスへのEEとして、ヒトの生活環境において重要な役割を果たしている“香り”に着目し、その有効性について調査した。実験には4種類の香り成分を用い、試験濃度は0.001Mとした。マウスへの曝露は、乾綿に定量を染み込ませステンレスメッシュ容器に入れケージ蓋に静置し行った。また、通常ケージのコントロールと別にケージ内にShepherd Shack+Mouse Swing Wを設置したEE区を設けた。操作は、群飼育されたC57BL/6J系統の雄マウス(7～8週齢)から採尿を行い個別飼育に変更し、24時間後、再度採尿を行った(個別飼育ストレス)。翌日、保定器で1時間保定した後、採尿を行った(拘束ストレス)。採尿は一定の時間帯で行い、個別飼育変更前の平常時の尿中コルチコステロン(CORT)濃度を1とした場合の比率によりストレスを評価した。またOpen-field test(OFT)を行い移動量や後肢立ち上り回数、排糞数を比較した(フィールドサイズ : 450mm*450mm、観察時間 : 10分間)。,奨励研究,3150:薬系衛生および生物化学関連,環境エンリッチメント,コルチコステロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00362,秋田大学,加賀谷 英彰,腎移植におけるmTOR阻害剤エベロリムスの個別化治療法の確立,【研究目的】腎移植領域における免疫抑制剤エベロリムスの血中濃度と臨床効果、副作用との関係、さらにPI3K-AKT-mTORカスケードの各遺伝子多型や、エベロリムスの体内動態に関与する遺伝子多型と治療効果との関係を明らかにし、エベロリムス個別化治療法を確立する。また、mTORにはrs2295080T>Gおよびrs2536T>C遺伝子多型が存在し、変異型では野生型に比べ転写活性減少が報告されている。rs2295080T>G多型は、がんの予後因子となりT/T多型で予後不良とされているが、腎移植でmTOR遺伝子多型のエベロリムス効果に及ぼす影響は知られていない。今回、腎移植でエベロリムスの投与量や体内曝露量に及ぼすmTOR遺伝子多型の影響を検討した。,奨励研究,3150:薬系衛生および生物化学関連,エベロリムス,mTOR遺伝子多型,腎移植,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00361,信州大学,小澤 秀介,ヒト中枢神経系CYPI遺伝子の3-MC応答性に脳内エピジェネティクスが与える影響,中枢神経系は主に神経細胞(ニューロン)及び神経膠芽細胞(アストロサイト)によって構成されている。本研究ではアストロサイトに発現するCYP1遺伝子に焦点を置き、アストロサイトモデル細胞としてヒト神経膠芽腫瘍細胞であるMOG-G-CCM細胞を用いて、脳内エピジェネティクスがCYP1遺伝子の3-メチルコラントレン(3-MC)応答性に与える影響について検討を行った。,奨励研究,3150:薬系衛生および生物化学関連,薬物代謝酵素,中枢神経系,エピジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00340,,成相 裕子,膵癌の治療戦略の基盤確立を目指したハイブリッドハイブリドーマの開発,膵癌撲滅に向けたバイオ医薬品開発を最終目標として、膵癌の表面抗原に対するモノクローナル抗体の作成を行った。,奨励研究,3150:薬系衛生および生物化学関連,モノクローナル抗体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00339,,藤田 一馬,Regorafenibの体内動態に及ぼす遺伝子多型の影響,Regorafenibが投与された大腸癌および消化管間質腫瘍患者を対象として、Regorafenibおよび主代謝物(M2、M5)の血中濃度を測定した。Regorafenibおよび主代謝物はBCRPおよびP-糖蛋白質の基質であり、これら蛋白の遺伝子多型解析を行った。Regorafenib、主代謝物の血中濃度および副作用発現との関連、さらにBCRPおよびP-糖蛋白質の各遺伝子多型に及ぼす影響を解析した。その結果、M2およびM5のトラフ濃度(C_0)/D値は皮膚障害の発現率と有意な相関が認められた。一方で、BCRPおよびP-糖蛋白質の各遺伝子多型との関連は認められなかった。,奨励研究,3150:薬系衛生および生物化学関連,Regorafenib,主代謝物,M2,M5,血中濃度,皮膚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01007,島根大学,成相 裕子,膵癌の治療戦略をめざしたハイブリッドハイブリドーマの開発と臨床応用への展開,膵癌撲滅に向けたバイオ医薬品開発を最終目標として、膵癌の細胞浸潤能を抑制する抗体、および膵癌細胞ヘドラッグデリバリーできる二重特異性抗体を樹立し、機能評価と臨床応用を目指した膵癌の治療戦略の基盤を確立する。,奨励研究,3150:薬系衛生および生物化学関連,モノクローナル抗体,ハイブリッドハイブリドーマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04169,大阪府警察 科学捜査研究所,掛橋 秀直,ピリジン誘導体化を用いた血中シアン化物の新規高感度分析法の開発,"シアン化水素は極めて有毒であり、自他殺に用いられる例が絶えない。本毒物の死因特定には血中毒物の定性・定量検査が必須となる。その一方、既存の分析法は低い定性力、煩雑な操作、低い再現性等の課題を抱えており、シアン化水素が死因として疑われない限り実施されない。すなわち、現状の死因究明活動は、“有毒ガス中毒を見逃すリスク”が高い。応募者はNアミノピリジニウムの反応性に着目し、毒物のピリジン誘導体化分析(GC/MS,LC/MS)を検討する。",奨励研究,3150:薬系衛生および生物化学関連,シアン化物,誘導体化,アミノピリジニウム,LC/MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04168,島根大学,成相 裕子,新型コロナウイルスに対するワクチン開発に向けた基礎的検討,"2019 新 型 コ ロ ナ ウ イ ル ス (Severe acute respiratory syndrome coronavirus 2, SARS-CoV-2)による感染症は2019 年 12 月中国武漢で流行し始め、世界各地に感染が拡大している。先行しているワクチン開発が失敗した時のバックアップとして、様々な種類のワクチン開発が望まれている。今回、新規開発したサブユニットワクチンの効果について基礎的検討を行う。",奨励研究,3150:薬系衛生および生物化学関連,ワクチン,コロナウイルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H04282,石川県警察本部科学捜査研究所,村上 貴哉,乱用薬物の立体選択的ヒト代謝反応の解明と法科学的応用,世界各国で流通が確認されている合成オピオイド「フェンタニル類」についてヒト肝組織を用いたin vitro代謝試験を行い、得られるキラル代謝物の各エナンチオマーを液体クロマトグラフィー質量分析法もしくはキャピラリー電気泳動質量分析法を用いて定量し、経時的な産生量や量比を評価する。フェンタニル類のより具体的な代謝プロファイルを明らかにした上で、薬物の摂取時期推定に資する法科学的指標の探索を行う。,奨励研究,3150:薬系衛生および生物化学関連,フェンタニル類,ヒト肝ミクロソーム,代謝,消失半減期,クリアランス,アシル,エナンチオマー,液体クロマトグラフィー高分解能質量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
