awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00468,国立大学法人神戸大学,生戸 健一,エクソソーム膜タンパク質に着目した膠原病の新規バイオマーカーの開発,膠原病は全身の関節、筋肉、皮膚や肺などの臓器が自己免疫機序により障害される全身性自己免疫疾患である。膠原病の診断、疾患活動性の評価や治療効果の判定には有用な血液検査が存在しない場合も多く、診断や治療に難渋することが少なくない。そのため、発症早期に検出可能な診断マーカーや疾患活動性を客観的に反映する有用なバイオマーカーの開発が待たれている。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,エクソソーム,膠原病,バイオマーカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00467,愛知医科大学,高 四強,安全な臍帯血移植に向けた基礎研究 : 臍帯血に含まれる間葉系幹細胞の量的質的検証,臍帯血移植はドナー負担が少なく冷凍保存された臍帯血を用いるため迅速に活用できる。そのうえGVHDの危険性が低い等の利点のため近年増加している。しかしながら、生着遅延が他の移植法に比べて多く、感染の増加や輸血依存期間の延長が発生し、コストが嵩むだけではなく、生存率を下げる要因ともなる。一般的に臍帯血中の造血幹細胞数と生着率は、正の相関を示すと報告されているが総有核細胞数の閾値を満たさなくても問題なく生着する症例があることも報告されており、生着に寄与する他の要因が存在することも予想される。骨髄微小環境を構成する骨髄間葉系幹細胞は、造血を支持することが知られており、臍帯にも間葉系幹細胞が存在することが知られている。そこで我々は、臍帯血の採取時に臍帯血中に混入した臍帯由来間葉系幹細胞のもつ造血支持能力が生着率を高めている可能性があると推測し、実験を進めた。まず、間葉系幹細胞の保存に適した凍結保護剤を検討するため、Ex vivoで培養した間葉系幹細胞細を一定期間凍結保存後、融解して生存率等を評価した。この結果、簡易的かつ経済的に保存する凍結保護剤を決定できた。臍帯血中の間葉系幹細胞の造血支持能を評価するには、凍結保存した間葉系幹細胞の造血支持能を評価する必要があるが、CD34陽性造血幹細胞等を用いて、凍結保存した間葉系幹細胞の造血支持能を評価した報告は類をみない。このため、細胞数や培養時間、コロニーアッセイの条件などについて検討し、凍結保存した間葉系幹細胞の造血支持能の評価法を確立した。この評価法をもとに、間葉系幹細胞の造血支持能を評価したが、凍結保護剤の種類は造血支持能に影響を与えないことが分かった。今後、凍結保存された臍帯血を用いて間葉系幹細胞を分離し、細胞数と造血支持能の関係等について解析を更に進めていく予定である。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,間葉系幹細胞,造血支持能,凍結保存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00466,名古屋大学,倉林 麻貴,ゲノム編集によるホヤ自家不和合関連遺伝子のアレル解析と系統作製,① 目的 : 原索動物カタユウレイボヤは海産無脊椎動物の中で最も有用なモデル動物である。しかし個体間の遺伝的多型が高く、これまでにナショナルバイオリソースプロジェクト(NBRP)においても安定した純系統作製の成功に至っていない。本種は雌雄同体であるが、自家配偶子とは受精しにくい自家不和合の機構が存在する。本研究では、ゲノム編集により自家不和合制御遺伝子をノックアウトすることで自家受精率を上げ、純系統ホヤを作製しようと試みた。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,ゲノム編集,カタユウレイボヤ,自家不和合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00465,名古屋市立大学,日比 悠里名,ヒト内在性レトロウイルス抗体検出のためのELISA法の確立,HERVとは、外来性ウイルスが霊長類進化の過程で長い年月を経て内在化した配列である。HERVが今日まで維持されているのは進化の過程で宿主の存続に有利に働くためと考えられ、この発現や免疫応答が様々な疾患の発症や進展への関与も示唆されている。しかし、現時点のHERV発現と疾病との因果関係は不明である。研究代表者はその存在意義や生理的な役割を探るために、合成ペプチドを抗原とした抗Syncytin-1抗体ELISAを開発したが、ランニングコスト軽減のために精製Syncytin-1蛋白質を用いたELISA系の確立を本研究課題の目的とした。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,Syncytin-1,蛋白質精製,ELISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00464,愛媛大学,金子 直恵,試験管内インフラマソーム再構成系と疾患モデルマウスを駆使した自己炎症治療薬の開発,インフラマソームとは、病原微生物や代謝産物などの分子パターンを認識して活性化する細胞質内タンパク質複合体の総称であり、炎症性サイトカインであるIL-1βやIL-18の産生を誘導することで、炎症反応を惹起する。インフラマソームは、リガンドを認識するNod-like receptors(NLR)s、IL-1β前駆体を切断して活性化する酵素であるカスパーゼ1、それらのアダプター分子として働くASCにより構成されている。多くのNLRsが、遺伝性炎症疾患やメタボリックシンドロームと関連していると報告されている。現在、NOD1、NOD2、AIM2、NLRP3、NLRC4インフラマソーム構成タンパク質をコムギ胚芽無細胞合成技術により合成し、Alpha(Amplified Luminescent Proximity Homogeneous Assay)で検出することにより、インフラマソームの試験管内再構築に成功している。このシステムを用いて、インフラマソームを直接阻害する分子を探索し、遺伝性炎症疾患に対する分子標的薬の開発を目指した。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,インフラマソーム,コムギ胚芽無細胞タンパク質合成技術,炎症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00463,高知大学,髙谷 将悟,急性関節炎モデルにおけるアディポサイトカインの働き,【目的】レプチンの発現量の異なるマウスを用いて、急性関節炎を引き起こすカラギーナンの関節内投与を行うことで、炎症の程度や疼痛行動にもたらされる影響について明らかにすること。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,急性炎症,レプチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00462,東京大学,三澤 慶樹,次世代シークエンスを用いたS. condimentiの病原因子の解析,"【背景】コアグラーゼ陰性ブドウ球菌であるStaphylococcus condimentiは、食品関連菌または環境菌として知られており、病原性はないものと思われていた。2014年に我々が世界で初めてヒトのカテーテル関連感染症の起因菌として報告したものの[NMNI. 17 ; 3 : 18-20, 2014]、その位置付けは大きく変わっていなかった。2017年に報告された重症皮膚軟部組織感染症症例において、次世代シークエンス解析の結果、分離菌株がいくつかの病原因子をコードしていることが判明した[NMNI. 8 ; 18 : 8-14, 2017]。",奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,S. condimenti,次世代シークエンス解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00461,信州大学,宇佐美 陽子,血小板凝集における変性リポ蛋白質の役割の解明,心筋梗塞や脳梗塞を引き起こす直接的な原因である血栓形成に変性リポ蛋白質がどのように関与するかは不明である。血栓形成メカニズムのうち血小板凝集能の測定は、体内での状態とは異なった条件での測定を通常行う。すなわち、血小板の凝集と血液凝固が並行して起こるため、血小板凝集だけを評価するために、血漿を除去して血小板だけを分離するか、血液凝固が起きないようにカルシウムキレート剤を用いた上で、血小板凝集を測定している。これはかなり人工的な条件であるうえに、Ca2+のキレートはさまざまな反応に影響を与える可能性がある。そこで本研究では、変性LDLの血小板凝集におよぼす影響を本来の血液の状態に近い条件で解析することとした。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,動脈硬化,血小板凝集,LOX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00460,信州大学,堀内 一樹,薬剤感受性試験変法の他菌種Small-Colony Variantsへの応用,Thymidine dependent Small-Colony Variants(TD-SCVs)はその栄養要求性のため薬剤感受性試験を行うことが困難であったが、我々は、Staphylococcus aureus TD-SCVsにおいて、薬剤感受性試験用培地に最終濃度10 μg/mLチミジンを添加して検査することで耐性菌判定が可能であることを報告した。本研究では、この感受性試験方法が、他菌種においても有用であるか否か確認するため、別菌種SCVsの同定と薬剤耐性遺伝子の有無を確認し、上記の薬剤感受性試験を行った。,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,Thymidine dependent Small-Colony Variants,薬剤感受性試験,耐性菌判定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00459,信州大学,石川 伸介,単球の接着機構の解明および樹状細胞療法ワクチン製造技術への応用,,奨励研究,3190:生体の構造と機能、病理病態学、感染・免疫学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
