awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00534,山口県立岩国商業高等学校,増本 由紀子,高校生の対人関係力を育成する保健指導モデルの開発,,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00533,大阪市立堀江小学校,川村 幸久,若手教員の体育授業マネジメント力向上に資する研修プログラムの開発,"近年の若手教員の急激な増加により, 専門職として児童を質的に捉える能力が十分に汎用・育成されないままキャリアを深める教員が増加傾向にあることが危惧される. 現状改善には「校内研修を始め, 授業改善・指導力向上のための研修を充実させること」が必要である. 本研究は, 若手教員の体育授業力向上のために, 研修形態や内容等のニーズを調査し, 体育授業における若手教員用の研修資料の開発・有効性を検証することを目的として研究を進めた. 研修資料を活用して授業を行った介入群と, 資料を活用せず通常通りの授業を行った非介入群の2群を検証授業により比較・検討を行った.",奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,体育授業力向上,研修資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00532,福桶県教育庁福岡教育事務所,平井 源樹,小学校高学年体育科における「開かれた個」を育てるための授業開発,○研究目的,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,戦術的行動,信頼関係,リノベーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00531,広島大学,荒谷 美津子,小学生・中学生期における視力低下と生活習慣の関連性についての検証,"近年, メディア機器等の普及により, 成長期の子どもの視力への悪影響が懸念されている。そこで, 視力低下と生活習慣, 特に睡眠の質に着目して視力低下との関連性について明らかにすることを研究の目的とした。",奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,視力低下,睡眠の質,生活習慣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00530,広島大学,三宅 理子,高等学校における「体つくり運動」の体力を高める運動の授業研究Ⅱ,○研究目的 :,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,体力を高める運動,体力科学,運動習慣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00529,京都大学,吉岡 佑二,肝疾患患者のサルコペニアに対する運動・栄養療法の併用効果の検証,【目的】肝疾患患者に対する運動療法と栄養療法の併用による身体機能改善効果を検討した.,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,肝疾患,運動療法,サルコペニア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00528,名古屋市立大学,松本 晴年,急性高山病(AMS)予防のための個人の特性に合わせた水分摂取量の特定,"【研究目的】名古屋市立大学蝶ヶ岳ボランティア診療所を受診した登山者のうち1,064名を対象に登山中の水分摂取量と急性高山病(AMS)発症との関連を解析した結果、水分摂取量が1,100mLより多いとAMS発症率が有意に少ないことを明らかにした(登山医学, 37 : 144-149, 2017)。本研究では、水分摂取量の算出について縦走・非縦走の影響、各人の体重および登山時間での標準化、症例数を増やすことにより統計学的により詳細な解析をめざした。具体的には、カイ2乗検定によりAMS発症と水分摂取量との関連を解析した。",奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,高山病,水分摂取,予防,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00527,関西医科大学,橋本 晋吾,アイマークレコーダーを用いた半側空間無視の新たな分類と介入に関する研究,【研究目的】,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,高次脳機能障害,半側空間無視,アイマークレコーダ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00526,大阪市立西天満小学校,西岡 毅,自己存在感・自己有用感を高めるための体育科授業モデル開発と有効性についての研究,器械運動領域では、自己の体と対話することを通して、個人の技能を高める授業モデルが多くある。しかし、個人の技能を高めることにこだわるあまり、運動が苦手な児童は、劣等感を持つことがあり、自分の存在を価値あるものとして受け入れることが難しい。,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,体育科教育,自己存在感,自己有用感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00525,山形大学,早坂 真貴子,女子大生における包括的ながん予防プログラムの構築,1. 研究目的 : 若者の乳がん・子宮頸がん予防対策向上のために①がん予防に関する知識・意識・予防行動②がん検診や自己検診未受診の要因③知識や意識が予防行動に結びつかない要因について明らかにする。さらにその実態に即した予防教育指針の作成・実践並びに要望を取入れたがん検診の機会を与え、効果的かつ包括的ながん予防教育の実施に資することを目的とする。,奨励研究,3250:スポーツ科学、体育、健康科学およびその関連分野,子宮頸がん検診,乳がん自己検診,若者の受診率向上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
