awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20H05893,国立天文台,早野 裕,光波の時空間における計測・変調・制御を駆使した地球型惑星検出に迫るイメージング,太陽系外惑星の直接撮像のための新しいアイデアを使ったコントラストの高いイメージングの理論的・実験的な実証を行う。また、既存の望遠鏡にこの新しいアイデアを実現するための高コントラスト装置を追加して、天体を使った実証実験を実施する。その有効性を実際の観測条件にある天体で示すことで、太陽系外惑星の直接撮像の従来の限界を突破する。最終的には将来の地上超巨大望遠鏡や宇宙望遠鏡に組み込み、太陽系外惑星の直接撮像を達成する。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),観測天文学,系外惑星検出,太陽系外惑星,高コントラスト撮像技術,位相制御,高速制御系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05892,東海大学,高山 佳久,空間光伝搬通信における散乱・揺らぎ計測と制御,マルチスケールの散乱・揺らぎ現象の光学特性を明らかにし、揺らぎの向こうを透視する散乱透視学において、本研究では実問題における散乱透視学の一つとなる情報通信における散乱場として、メートルからキロメートルスケールの地表層空気における散乱と揺らぎの計測と制御を行う。このため、まず、精密気象観測と気象データ解析によって大気の乱流、特に慣性小領域の変動などから大気の光学特性とその変動を明らかにする。次にこの結果を超高解像度数値気象モデルに取り込み、気象による光学的な影響の短時間予測を行う。これらの成果を通信光の波面操作に反映し、揺らぎを通した空間光通信の通信品質を向上させる。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),精密気象観測,数値気象モデル,空間光通信,揺らぎ,散乱透視学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05891,宇都宮大学,松田 厚志,生きた細胞や組織における散乱・揺らぎ計測と制御,生きた細胞や組織は特に強く複雑に光を散乱させる。しかし、微細な細胞構造や複雑な組織などによる光の散乱に関して、光学と生物学が一体となった包括的な研究は未だに存在しない。本研究では、所属する学術変革領域における異分野融合研究により、生体における光の散乱を詳細に計測し、散乱の根源となる生体構造を解明するとともに、生体における散乱をモデル化する。この情報に基づき、散乱を抑制する光波を合成して生組織深部に入射することで、生組織深部を透視する。また、散乱の少ない生物を遺伝子操作により作出し、生物学的に光学特性を向上させる。以上の研究により、生体深部の細胞核における染色質動態を分子レベルで解明する。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),生細胞・組織,散乱,揺らぎ,蛍光イメージング,透視,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05890,大阪大学,谷田 純,インテリジェント散乱・揺らぎイメージング,本研究では、機械学習やスペックル相関イメージングなど情報工学に基づく手法を活用して、簡素な光学系による非侵襲な散乱イメージングを開発する。敵対的生成ネットワークなど最新の深層学習モデルによる高機能化と、スペックル相関イメージングの多次元化や視野拡大に取り組む。一方、時間変化する散乱媒質を介したイメージング技術の開発も進める。高時間分解能計測により、計測散乱場の逆関数を高速更新する手法、リカレントニューラルネットワークにより散乱媒質の時間変化を推定する手法などの研究を進める。さらに、ディジタルツインの概念により、情報工学に基づいた散乱・揺らぎ場の透視化に関する系統的学理の形成をめざす。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),散乱透視学,散乱・揺らぎ場,機械学習,スペックル,ディジタルツイン,デジタルツイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05889,神戸大学,木村 建次郎,散乱理論・散乱イメージング理論の構築,本研究では、物体表面で得られる観測結果から物体内部の構造を、多次元散乱場に関する偏微分方程式を逆解析することにより断層映像化する世界初のイメージングの数理を創出する。映像化のための理論では、この多次元散乱場に関する方程式を、双曲型の偏微分方程式として導き、表面での観測結果を境界値として解析的に解き、一意性を持つ断層映像を高速に再構成する。本プロジェクトでは、理論の深化と共に、この映像化の理論を基にした、ソフトウェア研究を進め、原理実証、アプリケーション開発を目的とした試作装置の開発を実施する。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),イメージングの数理,散乱トモグラフィ,逆解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05888,電気通信大学,渡邉 恵理子,大規模光データベースによる散乱・揺らぎ場モデリング,本計画研究では、散乱・揺らぎ現象を解明していくために、散乱・ゆらぎ媒質に対する入力光と出力光とを関係づけ、散乱特性のデータベース化およびモデリングを試みる。また、大規模光データベースによる光相関計算機イメージングなど、新たな揺らぎ・散乱除去法を提案・構築していく。本年度は、高速ホログラフィック光記録・再生（光相関）システムによる、散乱・揺らぎ媒質と複素符号化光パターンとの相関特性の安定取得、光相関計算機イメージングによる散乱・揺らぎ除去の基礎検討、散乱光の偏光状態分布を詳細に撮影する基礎光学系の構築、近赤外波長帯での散乱・揺らぎ場解析に向けたの基礎光学系の構築やシミュレーションを行う。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),ホログラフィ,相関イメージング,計算機ゴーストイメージング,深層学習,位相シフトデジタルホログラフィ,デジタルホログラフィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05887,京都工芸繊維大学,粟辻 安浩,散乱・揺らぎ場における光の伝搬の可視化,本研究は，散乱媒質中を伝搬する光の動画像記録技術の極限を追求する．性能的には毎秒100兆コマ相当の動画像を可能にする方法を検討し，実証にチャレンジする．さらに，散乱媒質中を伝搬する光の動画像記録に展開する．その後，光伝搬動画像記録における光散乱特性の解析と散乱の補償方法を検討し，コンピュータによる計算補償の実証にチャレンジする．さらに，顕微鏡技術とこの技術を融合し生細胞おける完全データ取得を行う技術の創出を目指して，生細胞中を伝搬する光の様子の動画像記録と観察方法を検討する．,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),光工学・光量子科学,超高速動画,ホログラフィー,フェムト秒テクノロジー,イメージング,高速度イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05886,神戸大学,的場 修,時空間光波シンセシスによる散乱透視基盤の構築,マルチスケールの散乱・揺らぎ媒質の散乱現象を解明し、内部にある情報またはその向こう側にある情報を透視する技術を構築するための光計測及び情報復元技術を構築する。光計測技術として、散乱光波の強度、位相、蛍光、偏光の多次元物理情報を同時かつ３次元情報として取得するマルチモーダルイメージング技術を体系的に構築する。散乱光波の多次元計測結果から、高解像度画像を復元するためのディジタル光学補正技術を構築する。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),散乱透視イメージング,マルチモーダルイメージング,強度輸送方程式,ディジタルホログラフィー,シングルピクセルイメージング,蛍光ディジタルホログラフィー,散乱光イメージング,蛍光ディジタルホログラフィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05885,神戸大学,的場 修,散乱・揺らぎ場の包括的理解と透視の科学,本領域は、光学、数理科学、情報科学、生命科学、通信工学、天文学という全く異なる分野の研究者が集まり散乱透視学という新しい学術領域を創成するものである。散乱透視学の創成には、マルチスケールの散乱・揺らぎ場の統合的・包括的理解が必要不可欠であり、物理基礎に基づく散乱透視学、数理基礎に基づく散乱透視学、実問題における散乱透視学の３つの研究項目に分割し、研究項目内及び研究項目間の有機的な連携により、革新的学術領域を切り拓く。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),散乱透視学,散乱・揺らぎ場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H05884,岐阜大学,志賀 元紀,数理情報科学に基づく超秩序構造の網羅的解析,超秩序構造を持つ材料の原子配列推定、構造秩序の記述法、物性予測法の開発を通じて、効率的な材料設計・合成に寄与する技術の確立を目指す。原子配列推定のために、原子分解能ホログラム等の計測データから機械学習に基づく高精度推定法を開発する。そして、原子配列から超秩序構造を記述する手法を幾何学の数理基盤技術に基づき開発する。また、物質の構造・物性・合成データを整備し、機械学習に基づく超秩序構造から物性の予測モデルの構築、物質設計や合成プロセスの効率化手法を開発する。,学術変革領域研究(A),学術変革領域研究区分(Ⅱ),マテリアルズ・インフォマティクス,機械学習,原子像再生,位相的データ解析,材料情報学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
