awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18706,地方独立行政法人大阪産業技術研究所,片桐 真子,概日リズムを取り入れた生活環境下で聞こえるサイン音に対する新評価方法の開発,私たちの生活環境には、何らかの情報やメッセージを伝える役割を果たすサイン音と呼ばれる聴覚信号が存在する。本研究では、日常生活を模擬した環境で音刺激にさらされたときの心拍の定位反応（OR）に基づいて、予期せぬ音に対する人の反応の違いを客観的に評価する方法を提案した。周波数と音色の異なる16種類のテスト音を作成し、概日リズムを考慮した実験プロトコルに従って22名の成人男性を対象に聴取実験を行った。テスト音に対する気づきやすさは、テスト音の提示前後5拍の心拍のRRIから算出したOR値で評価した。この方法により、時間帯の影響を受けにくい音が明らかになり、聴覚信号として有効な音を抽出することができた。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,サイン音,定位反応,心拍変動,気づきやすさ,客観的評価,気づきやすい音,オリエンティングレスポンス,概日リズム,RRI,RR間隔,生活環境,評価法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18705,国立障害者リハビリテーションセンター(研究所),渥美 剛史,自閉症の特異な触覚時間分解能を担う認知神経回路のモデルマウスによる解析,自閉症スペクトラム障害（ASD）では、感覚過敏や不安障害が喫緊の問題である。ASD者での実験から、刺激の高い時間処理能力に重要な脳領域で、抑制性神経伝達物質であるGABAの濃度低下が過敏を高めることが示唆された。マウス実験ではGABA機能低下が分解能を向上させ、マウス脳の類似領域がこれに重要であること確認した。さらにASD者において、妨害刺激による分解能低下から素早く復帰する特異な注意機能や、不安と関連して、情動刺激により分解能が向上することを見出した。以上から、ASDの感覚過敏へ時間処理の神経回路における過剰な応答が関与し、不安や注意特性は、時間処理能力の向上に寄与することが示唆された。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,自閉症スペクトラム障害,感覚過敏,モデルマウス,時間,fMRI,MRスペクトロスコピー,電気生理,行動薬理,マウスモデル,時間分解能,自閉症,不安障害,MRS,GABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18704,関西大学,林 直保子,総合的な社会的信頼研究の展開　－ディペンダビリティ心理学創出の挑戦－,本研究のもっとも大きな成果は、潜在的態度としての社会的信頼の測定方法を提案したことにある。社会的信頼の実証研究は、質問紙調査、あるいは実験による個人の社会的信頼感、社会的信頼性の測定を基礎として行われてきたが、これらの測定に関しては、信頼性・妥当性の観点や社会調査への適用可能性に関して課題があることが指摘されていた。これらの課題を突破できる可能性のある手法として、本研究では、潜在連合テスト(IAT)に着目し、社会的信頼をめぐる態度測定IAT（信頼IAT）の新規開発を行った。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,信頼,信頼性,潜在連合テスト,ブランド,ブランディング,地域文化資源,地域文化意識,社会関係資本,コミュニティネットワーク,信頼感,ディペンダビリティ,ポジティブ・ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18703,関西大学,加藤 隆,記憶の負のテスト効果の危険性に関する実証的研究,複数のオリジナル顔の特徴部位を結合した部位結合型プロトタイプとオリジナル顔を平均化した全体融合型プロトタイプを用いて，プロトタイプ効果（新奇プロトタイプ顔に対する虚再認）の生成及び持続性を検討するとともに，プロトタイプ顔を先のテストで提示することでオリジナル顔の再認率が上昇するか検討した．また，先のテストで新奇項目として提示した顔を後のテストで再提示すると虚再認率が上昇する（負の示唆性効果）かについて検討した．その結果，負の示唆性効果が頑健である一方で，プロトタイプ効果の脆弱性が示された．これらの虚記憶現象について反復プライミングによる処理流暢性の増大がもたらす錯覚という観点から考察した．,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,顔の記憶,虚記憶,プロトタイプ効果,負の示唆性効果,処理流暢性,顔の偽記憶,記憶結合エラー,偽記憶,負のテスト効果,顔,単語対,顔の第一印象,目撃記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18702,筑波大学,紙上 敬太,子供の体力と記憶機能の関係―潜在記憶に注目して―,本研究では潜在記憶に注目し、子供の体力と記憶機能の関係を明らかにすることを目的とした。その結果、体力と記憶パフォーマンスの間に関係が認められなかった。本研究では、先行研究と同じ記憶課題を用いているにもかかわらず、先行研究の知見を再現できなかった。最近の研究代表者らのメタ分析の結果に基づき、研究参加者の特性（本研究の参加者の記憶機能が高すぎたこと）が、この矛盾した知見に関わっていることが示唆された。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,体力,記憶,子供,潜在記憶,関係記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18701,早稲田大学,竹村 和久,描画の統計的画像解析と臨床的利用の検討,本研究は、臨床の現場で用いられることの多い、樹木画や人物画に関する描画法における統計的画像分析の方法を開発し、その方法に基づいて精神科医や臨床心理学者との連携のもとに新しく開発した方法の臨床的利用の検討を行い、臨床現場での心理評価や診断の補助手段としての利用法を検討することを目的とした。 本研究は、今まで定性的に扱われることが多かった描画を、フーリエ解析、ウェーブレット解析などの統計的画像解析の観点から統一的かつ計量的に分析し、より客観的な分析手法を開発した。とくに精神疾患の患者に対しての描画調査および健常者への描画調査を行い、分析を行った。研究の成果は、学会大会、論文、著書などで発表した。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,描画,樹木画法,画像解析,投影法,特異値分解,ウェーブレット解析,フーリエ解析,臨床心理学,バウムテスト,計量心理学,描画法,眼球運動解析,臨床心理,統合失調症,面接調査,統計解析,樹木テスト,樹木画,心理評価,数理解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18700,聖心女子大学,高橋 雅延,記憶方略に及ぼすステレオタイプの影響に関する実験的検討,本研究での作業仮説とは、「女性は男性に比較して自動車の記憶力が悪い」というステレオタイプを有する記憶場面において、不安を強く感じ、（１）この不安が記憶課題とは無関係な思考、すなわちステレオタイプ脅威を生み出し、（２）効率的な記憶方略の使用の際に必要不可欠な集中力（すなわちワーキングメモリ）を妨害し、結果として、効率的な記憶方略が使用できず、記憶成績が悪化してしまうというものであった。女性若齢者と女性高齢者を対象にした３つの実験の結果、ワーキングメモリとの関係は明確ではなかったものの、記憶課題や空間的認知課題の成績が向上する傾向が認められた。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,ステレオタイプ,記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18699,慶應義塾大学,伊東 裕司,視覚情報による人違い現象の解明：人違いの心理学の創生に向けて,日常の生活の中で出会った人物を間違えて別の既知人物と判断してしまう「人違い現象」について、日誌法を中心とした質問紙調査、フィールド実験、実験室実験により検討した。質問紙調査では、日常生活での人違いの頻度、状況、対象人物の特性などが明らかになった。フィールド実験では、待ち合わせ場面を設定し実験室外の日常的な状況の中で人違いを生起させる実験を行い、3割程度の被験者に人違いを生起させうることなどが示された。実験室実験では、人為的に実験室で人違いを生起させる実験パラダイムを開発し、閾下単純接触により未知人物の顔に対する親近性を高めることが、人違いの生起頻度を上昇させることを示した。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,人物誤同定,認知的失敗,人違い,日誌法,実験室実験,フィールド実験,親近性,類似性,既知人物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18698,東京国際大学,布川 清彦,視覚障害者が能動的に白杖で叩くことによる音情報の作製と利用に関する基礎的研究,本研究では視覚障害者の環境認知における，白杖を用いて能動的に作られた音の効果を実験的に検証した．白杖で硬度の異なるゴム板を叩くことによって生じた音響情報を測定した．さらに，全盲者とアイマスクをした晴眼者が，視覚障害者に利用されている異なる3種類の握り方で硬度の異なるゴム板を叩き，硬さの違いをマグニチュード推定法によって推定した．これらの結果，視覚障害者は硬さを推定する際に聴覚情報と触覚情報の両方が必要であり，白杖が硬さ情報を強調する道具になっていることが分かった．本研究の発展は，歩行訓練プログラムの改良やVRを利用した歩行訓練システムの開発，マルチモーダルの機序解明に役立てることができる．,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,白杖,聴覚,音響情報,硬さ,間接触,視覚障害,移動支援,音,振動,触覚,クロスモダリティ,音響,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18697,いわき明星大学,大原 貴弘,「面影」に関わる心理機能の解明,本研究では、「面影」を心理現象として捉え、その心理機能について検討した。研究１では、面影という概念の典型的な意味・特徴について、質問紙調査を行った。研究２では、逆相関法を用いて、「有名人の面影のある幼児顔」の画像化を試み、その画像分析や第三者評価調査を行った。,挑戦的研究(萌芽),中区分10:心理学およびその関連分野,面影,顔認知,記憶,概念調査,逆相関法,概念研究,感性,類似度,心的イメージ,語り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
