awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18713,九州大学,岩瀬 則夫,微分ホモトピー論の構築,まず微分空間の圏に於いて新しい微分形式を定め de Rham の定理を証明した。これは本来の微分形式を用いては得られないものである。  またこれを用いて滑らかなCW複体に対しては本来の de Rham の定理が成立することを導いた。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,Diffeology,Topology,Homotopy,Loop,Algebraic,Differential,Complex,Smooth CW Complex,Whitney Approximation,Partition of Unity,Smooth Handles,Cubic Complex,A-infinity Structure,Path Concatenation,Reflexivity,enough many functions,可微分空間,ＣＷ複体,単体複体,可微分写像,Differentiable structure,Manifold,Stratified space,CW complex,smooth structure,diffeology,differentiable structure,homotopy theory,de Rham theory,algebraic topology,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18712,九州大学,金子 昌信,j 関数の実二次数値の数論,素数のマイナスの平方根から定まる，虚二次体と呼ばれる数の集合に対して，類数という重要で神秘的な量を考える．その類数を，その素数の平方根である実二次無理数を，連分数展開という数の表現方法で表すことで得られる量で書く，見事な公式が半世紀ほど前から知られている．この公式を，言わば残り半分の素数に対して一般化した．また，テータ関数という，モジュラー形式の一種について，その値の代数独立性，超越性，すなわち多項式関係の有無，に関しても幾ばくかの結果を得た．,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,虚二次体の類数,実二次無理数の連分数展開,楕円モジュラー j-関数,テータ関数,実二次無理数,超越性,類数,Kronecker 極限公式,データ関数,マルコフ二次無理数,j-関数,実二次体,虚数乗法論,モックモジュラー形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18711,大阪大学,落合 理,新しいp進L関数の探求と派生する保形L関数の問題,本研究計画においては.,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,岩澤理論,肥田理論,Coleman編継続,p進L関数,Siegelモジュラー形式,p進モジュラー形式,Euler系,p 進Lie群,p進L函数,保型L函数,周期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18710,東北大学,安田 健彦,代数体上のマッカイ対応の探求,本研究課題は、代数体や関数体などの大域体と呼ばれる体上でのマッカイ対応の研究を目指していた。得られた研究成果は主に、大域体上のマッカイ対応自身よりも、その研究で重要な役割を担うであろう局所体上のマッカイ対応の理解の深化に関するものとなった。標数pの体上でp冪位数巡回群によるマッカイ対応や非線形作用に対するマッカイ対応や冪級数体のガロア拡大のモジュライ空間の構成に関する結果を得た。また、関連する手法を用いて、任意標数において2次元KLT特異点の局所基本群の有限性を示すことができた。研究期間中に国際研究集会を２つ開催し、研究情報の共有を促進した。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,マッカイ対応,非線形作用,局所体,KLT特異点,p冪位数巡回群,モジュライ空間,McKay対応,冪級数体,Artin-Schreier-Witt拡大,モチーフ積分,等標数,特異点,Batyrev-Manin予想,Malle予想,概均質ベクトル空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18708,筑波大学,宮本 雅彦,無限次元代数を利用した群の表現論の拡張および創生,頂点作用素代数は２次元共系場理論に数学的公理を与えたものと現在では理解されている無限個の積演算を持つ無限次元代数である。その中心電荷２４の正則頂点作用素代数の分類問題は、重要な古典問題の１つであり、研究代表者も３０年前から、研究の主目的の１つとして取り組んできた。本研究では、ランク２４の正則正定値偶格子分類の歴史において美しい方法といわれた方法を拡張して、群の通常の表現の利用法とは異なる方法をとり、群の表現と自己同型に対応する代数の内部無限次元代数の表現を同時に利用することで、ヘーン観測の真の意味を説明し、非ムーンシャイン型の統一的分類問題に対する自然な最終回答を得た。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,無限次元代数,表現論,有限群,正則頂点作用素代数,自己同型群,コンウエイ群,リーチ格子,深洞,頂点作用素代数,ウエイト１空間,一般ディープホール,リー代数,軌道理論,ムーンシャイン現象,ツー代数,軌道ディープホール,C2有限性,加群,有限単純群,モンスター単純群,モジュラー形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18707,東京大学,阿部 紀行,p進群の超特異表現,整数論における重要問題の一つとしてLanglands対応がある．このLanglands対応，その中でも法p Langlands対応に対して，簡約群の法p表現を調べることを通じて貢献をすることを目的として本研究を行ってきた．特に，超特異表現と呼ばれるクラスの表現が現状殆ど理解できていないため，これに対する知見を増やすことが目標であった．本研究では，超特異表現を調べる際に重要であると思われる簡約群の代数的な表現に関していくつかの知見を得た．,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,超特異表現,簡約群,p進群,p進簡約群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21831,大阪市立大学,田丸 博士,カンドルと対称空間と組み合わせ論の横断的研究,本研究では，「カンドル」と「対称空間」と「組合せ論」を結びつけた横断的な研究を行う。研究計画としては，既に開始されている共同研究を含めて，関連する研究協力者と打ち合わせを行いながら協力して進める。また，昨年11月にはカンドルと対称空間と組み合わせ論の研究者を集めた研究集会を開催したが，本研究を遂行する際にも，同様の研究集会あるいはセミナーを開催する予定である。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,カンドル,対称空間,グラフ,組み合わせ論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21830,京都大学,大槻 知忠,ゲージ理論に関連する３次元双曲多様体の不変量,3次元多様体の分類問題は、1970年代以降の幾何化予想のプログラムの進展の帰結として、3次元双曲多様体の分類に帰着される。一方、1980年代に数理物理的手法がトポロジーに導入され、3次元トポロジーには量子不変量が、4次元トポロジーにはゲージ理論がもたらされた。この両者は不変量の圏化によって関連づけられる。また、3次元双曲多様体の量子不変量のある種の漸近挙動に双曲体積が現れることが予想されている（体積予想）。この漸近挙動には、最近導入された不変量である3d-indexが関連することが期待されている。本研究では、これらを手がかりにして、「3次元双曲多様体の量子トポロジー」を創出することをめざす。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,結び目,３次元多様体,不変量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21829,東京大学,三枝 洋一,パーフェクトイド空間を用いたGross-Zagier型公式の研究,無限レベルRapoport-Zink空間に対する「無限レベル版の数論的基本補題」という新しい公式を定式化し，証明する．さらに，その公式と相対跡公式を組み合わせることで，Bertolini-Darmonによるリジッド解析的Gross-Zagier公式を一般化し，そのBeilinson-Bloch-Kato予想への応用を行う．Lubin-Tate空間やモジュラー曲線といった比較的扱いやすい対象から研究を始め，得られた定式化を段階的に一般化することを目指す．,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,パーフェクトイド空間,Gross-Zagier型公式,志村多様体,Rapoport-Zink空間,数論的交叉数,Gross-Zagier公式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21828,東京大学,中島 啓,頂点代数と４次元超対称性場の量子論,頂点代数の理論は、２次元の場の量子論を数学的に厳密な形で公理化したものである。ところが、近年、頂点代数の理論が４次元の超対称性場の量子論の中にも現れることが、いくつかの例で発見されている。これは、超対称性場の理論の典型例である、ゲージ理論だけに限らず、クラスS理論、Argyres-Douglas理論などにも見られている。そこでは、頂点代数の代数的な側面である表現論の構造と、場の量子論の幾何学的な構造、たとえば研究代表者が導入したクラスS理論のヒッグス枝や、Hitchinモジュライ空間の構造が関係している現象が見出されつつあり、新たな例を見出すこと、この現象の背景を理解することを目標とする。,挑戦的研究(萌芽),中区分11:代数学、幾何学およびその関連分野,頂点代数,４次元超対称性場の量子論,ゲージ理論のクーロン枝,W代数,直交斜交箙ゲージ理論,直交斜交弓箭多様体,Argyres-Douglas理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
