awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18815,同志社大学,平山 朋子,量子ビーム小角散乱法とレオメータの組み合わせによる高せん断応力場潤滑油の構造解析,一般的なVM添加剤を対象として、温度が異なるモデル基油中でのその分子サイズをX線小角散乱法（SAXS）および中性子小角散乱法（SANS）にて測定した。その結果、主として、(1)基油中のConventional-PMA分子の慣性半径は、温度の上昇に伴って微増傾向を示すことが分かった。一方、基油中のComb-PMA分子は、低温域では収縮して会合体を形成しているものの、昇温に伴って拡がりながら分離することで流体力学半径が増加することが分かった、(2)SAXSでは潤滑油中のVIIのサイズの把握が可能であり、SANSではサイズに加えてより細かいVII分子の形態把握が可能であった、の2点が得られた。,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,トライボロジー,潤滑油,構造解析,量子ビーム分析,小角散乱,潤滑,粘度指数向上剤,小角散乱法,X線小角散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18814,早稲田大学,川田 宏之,大電流容量を有する革新的カーボンナノチューブ金属複合配線材の創製,本研究では優れた電気的特性を有するカーボンナノチューブ(CNT)糸の創製を目的とし， CNT無撚糸に対しドーピング処理や熱処理，メッキ処理による金属との複合化などを行い，従来のCNT糸と比較し優れた電気的特性を有するCNT無撚糸を得た．特に，CNT無撚糸に対し高密度化と一塩化ヨウ素(ICl)ドーピング処理を施した際に導電率3.87×10~5S/m，黒鉛化処理とIClドーピング処理を施した際に導電率5.12×10^5S/mと，より優れた電気特性を有するCNT無撚糸を得た．さらに，黒鉛化処理を施した繊維に関して，比電流容量が172Am/kgと銅線を超える極めて優れた特性を有することが確認された．,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,カーボンナノチューブ,電気特性,メッキ,導電率,ドーピング,CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18813,兵庫県立大学,鷲津 仁志,境界潤滑油膜形成の新規概念の探求,分子動力学を用いた境界潤滑油膜の物理吸着初期過程の解析手法を提示した．油性剤については，物理吸着過程の解析手法を確立した．極圧剤は常温常圧においては安定した逆ミセル構造を作り，油性剤のように容易に吸着しないことも判った．添加剤の金属表面への化学吸着プロセス解析について，銅酸化防止添加剤について反応力場を用いた解析を実施し，酸化銅および銅を有するハイブリッド表面において選択的吸着が生じることを示し，この手法を極圧剤にも拡張し，実験と比較をした．有機系ソフトマターのMI の適用のため，パーシステント・ホモロジーによる構造予測法を提案し，機械学習の評価関数として利用可能であることを示した．,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,トライボロジー,潤滑油,物理吸着・化学吸着,分子動力学,防錆剤,極圧剤,油性剤,反応力場,添加剤,物理・化学吸着,マテリアルズ・インフォマティクス,コロイド,境界潤滑,固液界面,マテリアルズインフォマティクス,化学吸着,地球シミュレータ,物理吸着,京コンピュータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18812,大阪府立大学,小木曽 望,レジリエンス工学に基づくスマート構造システムのリスクシナリオ構築と最適設計,モーフィング翼や宇宙スマートリフレクターのようなスマート構造システムに，レジリエンス工学の考え方を適用し，センサーやアクチュエータが故障したとしても機能を継続できるシナリオを構築する研究を行った．,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,レジリエンス工学,多目的最適設計,スマート構造システム,不確定性,アベイラビリティ,ロバスト性,リスクシナリオ,回復性,最適設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18811,大阪大学,水谷 康弘,グラフェンと電子ビームによる原子モアレを用いた大面積3次元微細加工法,本申請課題では，既存のリソグラフィ技術の課題を解決すべく，回折格子に光が透過した後に生じる三次元の微細周期強度分布をリソグラフィに応用するタルボットリソグラフィの高精度化および汎用化を目的とする．ここでは，(1)回折格子の角度を変更するなどの多重露光を行う，(2)照明する光強度分布を空間位相変調器を用いて制御することで光強度分布を制御することを試みた．その結果，これまでには実現が不可能とされていた高アスペクト比構造や，任意形状を広範囲に作り出すことができるようになった．なお，当初は，グラフェンを用いた電子ビーム露光を方法として検討していたが，加工効率や装置校正の効率化の観点から方法を変更した．,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,3次元リソグラフィ,タルボット効果,高アスペクト比構造,機械学習,ホログラフィ,三次元リソグラフィ,フォトリソグラフィ,一括露光,3次元微細加工,グラフェン,モアレ,電子ビーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18810,大阪大学,山村 和也,能動制御型電気化学機械研磨による難加工材料のスラリーレス高能率加工,本研究では、スラリーレスの電気化学機械研磨（ECMP）を提案し、4H-SiC(0001)に対する研磨特性を評価した。本研磨法をスライス面の研磨に適用した結果、10-23μm/hの研磨レートと1 nm Sq以下の表面粗さを得た。また、粗ECMPと仕上げECMPから成る2ステップスラリーレスECMPを適用することで、0.2 nm Sqの表面粗さを高能率に得ることに成功した。,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,電気化学機械研磨,スラリーレス,難加工材料,SiC,シリコンカーバイド,GaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18809,大阪大学,大参 宏昌,高密度水素ラジカルを利用した低環境負荷型金属配線形成プロセスの開発,本研究では、毒性があり環境負荷の大きな化学品を用いること無く、水素だけで電子機器の配線用金属を除去、成膜する技術を開発した。高密度の水素プラズマを利用することで、低圧水素プラズマに比べて約50倍以上のエッチングレートが得られ、さらには水や窒素を混合することでさらに高効率な銅エッチングが達成できること、さらにはMoやWなどの高融点金属に対しても水混合水素プラズマがエッチング特性有することを発見した。また、エッチングにより生成される銅化合物を成膜原料に利用し、基板上への金属銅膜の化学輸送形成に成功した。さらに、純水素プラズマ加工により得られた金属表面が局在プラズモンを励起していることを確認した。,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,水素,金属,配線,プラズマ,成膜,加工,化学輸送,エッチング,ドライエッチング,高圧,高速,エコフレンドリー,銅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18808,大阪大学,有馬 健太,金属元素を一切含まない化学触媒工具の挑戦的創出,本研究の目的は、金属元素を一切含有しないナノグラフェンをベースとする触媒を用いて、新しい概念に基づく加工プロセスを創出し、その加工特性を明かにすることである。まず、市販の酸化グラフェン溶液を用いて、複数種類の還元グラフェンシートを合成した。これらのグラフェンシートの構造を原子スケールで解析した後に、半導体表面上に分散・形成し、加工液中に浸漬させた。これにより、単一シートのグラフェン触媒が発現するエッチング特性を計測・評価した。また、グラフェン触媒膜とリソグラフィー技術を組み合わせることにより、半導体表面にトレンチ構造を形成する表面加工プロセスを構築し、その性能を評価した。,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,ナノグラフェン,触媒,表面加工,半導体,グラフェン触媒,半導体表面,触媒アシストエッチング,トレンチ加工,選択エッチング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18807,京都大学,澄川 貴志,力学的ナノ欠陥制御工学の創成,本研究では，マイクロサイズの金属材料に対して力学負荷（引張・圧縮繰り返し負荷）を与えることで生じる転位構造を特定し，その形状を制御することを目的とした．単一すべり方位を有する試験片を用いて，マクロ材とは異なる転位の自己組織化現象によって，線欠陥（刃状転位）が集合したナノサイズの壁を形成できることを明らかにした．さらに結晶方位や応力振幅を制御することで，転位壁の形状や間隔を変化させることに成功した．試験片に異材界面を付与して変形拘束を行うことにより，試験片の形状変化を伴うことなく転位壁を形成できた．マイクロ材料においては繰り返し変形により制御した転位構造を実現できる可能性があることを示した．,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,転位,欠陥制御,繰り返し変形,ナノ,自己組織化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18806,京都大学,北村 隆行,欠陥固有ナノひずみ集中場による力学的ナノ強誘電体の創出,本研究では、機能が喪失する臨界ナノ寸法を克服し、原子・格子スケールの微小強誘電体を力学的につくり出すことを目的とし、代表的な格子欠陥である転位とナノ強誘電体に対してその場観察力学試験と量子力学に基づく第一原理解析を行った。転位芯部では自発的な固有ひずみ場が形成されており、この固有ひずみ場によって数結晶格子サイズの強誘電性が発現することを明らかにした。すなわち、転位芯自体が原子・格子スケールの強誘電材料となることを示した。さらに、ナノ強誘電体に対する力学試験・解析を実施し、ひずみと強誘電性の連動効果（マルチフィジックス特性）を明らかにした。,挑戦的研究(萌芽),中区分18:材料力学、生産工学、設計工学およびその関連分野,格子欠陥,ナノひずみ場,強誘電性,マルチフィジックス特性,第一原理解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
