awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18839,国立研究開発法人量子科学技術研究開発機構,鈴木 芳代,局部機能抑制と神経-筋モデル解析からひもとく線虫の筋運動生成メカニズム,モデル生物の線虫（C. elegans）の運動制御機構を探るため，中枢神経系（CNS）を狙って炭素イオンビームを照射した結果，CNSとその周辺の筋細胞への炭素イオン照射直後には，線量依存的かつ照射面積依存的な全身運動の一時的な低下が観られることなどが示唆された．また，CNS照射後も全身運動を担う体壁筋が頭部から尾部まで順に収縮・弛緩を繰り返す，筋活動の「波」の伝搬が観られたことから，線虫の全身運動のリズム生成を担っているのは，CNSではなく全身の筋細胞ネットワークである可能性が強まった．また，線虫の実構造に基づく神経-筋モデルを用いたシミュレーション（仮想実験系）による細胞機能推定に成功した．,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,マイクロビーム,C. elegans,マイクロチップ,中枢神経系照射,運動リズム,細胞機能抑制,数理モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18838,早稲田大学,梅津 信二郎,スマートエレクトロニクスシートを搭載した人工心筋細胞組織の開発,未病の治癒やヘルスモニタリングを目的として、シート状のエレクトロニクスを皮膚などの生体組織表面に設置し、生体シグナルを計測する研究が近年盛んである。また、自律して拍動する心筋細胞を利用したバイオアクチュエータが注目されている。前者においては、心筋細胞の動きを極力妨げない足場材料（スキャフォールド）が必要であり、後者においては、局所的に機械剛性が異なるスキャフォールドを開発することによって、ユニークな変形を実現可能である。,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,心筋細胞,スマートエレクトロニクスシート,孔,スキャフォールド,心筋細胞組織,エレクトロニクスシート,生体情報,バイオエレクトロニクス,サイボーグ,バイオファブリケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18837,香川大学,寺尾 京平,酵素固定化ナノマイクロ構造体を用いた生体分子機械加工技術の創出,本研究では、従来の試験管実験では困難であった、生体分子1分子レベルの機械加工システムの実現に取り組んだ。分子加工ツールと加工台となるマイクロ流体デバイスを組み合わせた1分子加工システムを開発し、DNA1分子切断加工によって、本システムの実証実験を行った。その結果、ピンポイントなDNA加工及び、基礎的な解析を行うことを達成した。本システムによってピンポイントな分子加工が可能になることで、生体分子の１分子レベルでの解析といった生化学分野における新たな技術になると期待される。,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,単一分子加工,光ピンセット,微細加工技術,マイクロ流体デバイス,マイクロ・ナノデバイス,バイオナノテクノロジー,バイオテクノロジー,１分子加工,微細構造デバイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18836,広島大学,高木 健,振動により動力を伝達でき負荷に応じ変速する無段変速機の設計方法の確立とその実現,振動で動力を伝達でき，環境の負荷に応じて減速比が変化する無段変速機を開発することを目的とする．振動により動力を伝達できるため，これまで動力伝達が困難であった場所にも動力伝達できる．この変速機の構造はシンプルであり，雌ねじとそれよりも少し外径が小さい雄ねじによって構成される．製作した本機構の大きさは直径3㎜，長さ10㎜の円筒に収まるものである．また，質量は約0.3gである．230Hzの振動で1.0㎜/sの直線運動を行うことに成功した．,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,動力伝達機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18835,岡山大学,呉 景龍,手触り感覚脳内モデルの同定と形状・質感を知覚できるロボットハンドへの適用,医療福祉機器の製作や高質感製品の創出では、手触りだけで形状・質感を知覚できるロボットハンド技術が21世紀の高齢化社会と製品の高品質化に強く求められている。しかし、手による医療福祉行為や触覚品質の評価は医者・職人の経験や主観的手触り感覚の判断に頼っているのが現状で、形状・質感を知覚できるロボットハンド技術はまだ確立されていない。,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,触覚認知,脳ネットワーク,認知心理学,手触り感覚,形状・質感,触覚認知脳機能,同定,触覚,ERP,fMRI,手触り,ロボットハンド,医療福祉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18834,名古屋大学,丸山 央峰,光環境制御・計測が可能なマイクロ流体チップによる単一細胞解析システムへの挑戦,本研究課題では，細胞内外の培養環境の計測を実現するため，蛍光回復により長期環境計測を実現するハイドロゲル光環境センサの作製では，蛍光を用いたセンサの課題である光退色を補償し，100回以上の計測が可能なセンサを作製した．ハイドロゲル光環境マイクロセンサのオンチップ作製では，マイクロ流体チップを用いて，前記のハイドロゲル光環境センサを10±0.5 umの範囲のサイズでの作製した．光操作・光刺激による蛍光マイクロセンサの選択的細胞導入では，異なる波長のレーザを用いた光操作・光刺激により10秒の加熱で70%の成功率で低侵襲に細胞内へ光環境センサを導入した．,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,マイクロセンサ,細胞・組織,非接触計測,マイクロ・ナノメカトロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18833,名古屋大学,小俣 誠二,光刺激による新規非接触式直動アクチュエータの開発,光刺激による非接触式直動アクチュエータの開発の目的として、光を吸収する効率を高め、柔軟な繊維を束ねることにより、高速かつ一軸方向への変位を可能とする駆動システムを創生する。,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,ソフトメカニクス,ソフトアクチュエータ,フォトクロミックポリマー,非接触駆動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18832,信州大学,橋本 稔,繊維工学に基づくファイバーソフトアクチュエータの創製,本研究では高分子ゲルを用いたファイバー状ソフトアクチュエータの創製を目的とし、芯材となる導電性ファイバーへの高分子材料の均一塗布方法を確立し、芯鞘構造ゲルファイバーを開発した。このゲルファイバーを陰極、導電性ファイバーを陽極として、２つのファイバーの撚り合わせ方法やファイバー径、ゲルコーティング厚などの最適化を実施し、400V印加時に約0.5mm収縮するファイバーソフトアクチュエータを創製した。また、構造を変えることで伸縮変位と伸展変位を選択することも可能となった。,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,高分子アクチュエータ,PVCゲル,人工筋肉,ファイバーソフトアクチュエータ,芯鞘構造,撚糸構造,繊維工学,ゲルファイバー,ソフトアクチュエータ,高分子,ファイバー,ディップコート,芯鞘構造ゲルファイバー,撚り糸構造,モデル化,高分子ゲル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18831,金沢大学,渡辺 哲陽,汗・指紋制御に基づく極小把持力把持術の開拓,本研究では，表面のテクスチャや液膜を上手く活用して，表面摩擦を操ることで，物体把持・操りを実現する新しい物体把持・操作の方法論の確立に挑んだ．まず，乾潤両状態で高摩擦を与えるテクスチャと，潤滑作用を有する液体を表面に滲出する機構により，表面摩擦を変える機構を開発した．この機構を搭載したロボットハンドを開発し，液体滲出による精密物体配置の実現や物体をもつ位置を変えるインハンド操作の実現を行った．柔らかい材料の場合，接触面積の大小が摩擦の大小に対応することを踏まえ，接触面積（テクスチャ）を変えることで摩擦を変える機構を開発した．この機構を搭載したロボットハンドによるチューブ操作の実現を行った．,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,摩擦可変,表面テクスチャ,ロボットハンド,摩擦制御,ロボット,マニピュレーション,汗・指紋制御,微小力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18830,東京工業大学,土方 亘,筋収縮を利用した生体内グルコースをエネルギー源とする埋込型発電システム,ペースメーカや神経刺激装置など，体内で電池駆動する医療機器の電源として，電気刺激による骨格筋の収縮力を利用した体内発電システムを開発した．特に本研究では，１．筋収縮に適した発電機の提案と設計・評価，２．少ない刺激電力で高出力・低筋疲労となる電気刺激制御系の確立，３．動物実験による有効性検証を目的とした．発電機の設計と評価では，低周波駆動の筋肉に対して周波数アップコンバータやエレクトレットを用いた発電機構を提案した．また，筋収縮モデルの構築によって，最適な刺激信号を求めるコントローラを設計した．さらに，カエルの腓腹筋を用いて，発電電力が刺激電力を上回ることを実証した．,挑戦的研究(萌芽),中区分20:機械力学、ロボティクスおよびその関連分野,体内発電システム,骨格筋,電気刺激,エレクトレット,周波数アップコンバータ,電磁誘導,静電誘導,骨格筋収縮モデル,体内発電,機能的電気刺激,骨格筋刺激制御,バイオハイブリッドアクチュエータ,エナジーハーベスティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
