awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18927,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),別府 万寿博,爆破テロに対する超薄型・軽量緩衝システムの開発と耐爆構造設計への適用,本研究は、爆破テロのように構造物に対して比較的近い位置で爆発する現象（近接爆発）を対象として、超薄型かつ軽量の緩衝材の開発および構造物の耐爆設計法を提案したものである。爆発荷重の緩衝材としてアルミハニカムパネルに着目し、Composition C-4爆薬を用いた近接実験を行った。 実験では、アルミハニカムパネルの有無が鋼板の変形に及ぼす影響を調べた。実験の結果、アルミハニカムパネルは極めて高い緩衝効果を有することがわかった。近接爆発荷重に対する緩衝効果を考慮可能な耐爆設計法について検討を行った。緩衝効果を考慮した爆発荷重を算定し、構造物を1質点系モデルでモデル化する方法を提案した。,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,爆破テロ,近接爆発,耐爆設計,緩衝材,アルミハニカム,緩衝効果,爆発,耐衝撃設計法,緩衝システム,耐爆設計法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18926,大学共同利用機関法人高エネルギー加速器研究機構,平木 雅彦,ゲリラ豪雨の予兆の予兆の観測による早期予測,大気水蒸気量と降雨の関係を明らかにするために、まず、これらのデータを集めることを行った。田島治氏、長崎岳人氏が試作機を用いて高エネルギー加速器研究機構つくばキャンパスにおいて観測した2016/12/25～2017/3/31の約３ヶ月間のデータから大気水蒸気量を抽出し、気象庁よりつくば市館野の降水量のデータを入手した。しかし、降水量がほとんど無く、これらのデータから特徴量の抽出を行うことはできなかった。また、試作機の改良と追加のテスト観測については、試作機が新たな実験に用いられることになったこと、時間の制約の関係で行うことができなかった。,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,ゲリラ豪雨,データ処理,予測,学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18925,首都大学東京,阿保 真,浮遊火山灰の粒径情報遠隔測定を可能にする新しいレーザ計測装置,パルスファイバーレーザを光源としたポータブルな浮遊火山灰のレーザ計測装置の製作及び信号処理システムの開発を行った。開発した装置を用いて、初めに大学キャンパス内において雨滴の検出実験を行い、雨滴粒子から離散的なスパイク信号が得られることを確認した。この成果を踏まえ、発電機並びにポータブルバッテリーを用いてフィールドワーク計測のための周辺環境整備を行い、鹿児島県桜島において、実際の火山の噴煙並びに背景環境のレーザ計測を行った。火口から2kmほど離れた場所から噴火時に噴煙粒子からの信号を計測する事に成功した。,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,火山灰,リモートセンシング,ライダー,自然現象観測・予測,自然災害,火山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18924,九州大学,谷本 潤,人工社会アプローチによるインフルエンザパンデミックを阻止する社会プロトコルの創案,情報科学，疫学，ネットワーク科学，進化ゲーム理論を複合的に応用し，ワクチン接種の社会行動を模擬するマルチエージェントシミュレーションモデルを人工社会上に構築した．準備研究で構築してきたワクチン接種ゲームの枠組みに，補助金スキームを付加し，補助金の税負担，疾病コスト，ワクチン接種コストすべてを含む社会コストを最小化するのに最適な，補助金スキームの基礎デザインを行うために大規模数値実験を行った．従来知見から予想される「スーパースプレッダーとなるハブのエージェントに優先的に補助金によるワクチン接種を行う」との枠組み，多くの場合に有効に機能するものの，万能ではないとの反例が明らかにされた．,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,感染症,季節性インフルエンザ,ワクチン接種ジレンマ,数理疫学,進化ゲーム理論,マルチエージェントシミュレーション,パンデミック,インフルエンザ,人工社会システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18923,広島大学,西崎 一郎,資源の融通を考慮した協調的生産モデルの有効性評価,本研究課題では，複数の企業が調達した資源の一部を互いに融通し合う協調的生産計画モデルを考察する．このモデルは，各企業は資源を融通するという意味では協調的であるが，各企業は自社の利益を最大化することが目的であるため，独自に意思決定するという協力と非協力の両方の側面をもつモデルである．確率的需要を考慮した2段階モデルとして定式化し，2段階目の共同生産に関して，協力ゲームにおける安定な解の集合であるコアに属する配分を仮定した上で，その配分を含む各企業の利益を最大化するNash均衡点を計算する方法を提案する．,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,協調的生産モデル,非協力ゲーム,協力ゲーム,サプライチェーン,エージェントベース・シミュレーション,非協 力ゲーム,エージェントベースシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18922,神戸大学,笹 健児,貨物の汗濡れ確率を導入した次世代の海上コンテナ輸送における最適運航モデル,実機コンテナを陸上に設置、様々な貨物を積載した状態にてコンテナ内の温湿度をモニタリング、熱応答を三次元的に再現・把握する研究に加え、コンテナ船（実船）による航路上における温湿度、日射量、気象等の時空間変化の把握、海上輸送中におけるコンテナ貨物の汗濡れ確率モデルの定義・再現を行なった。この結果、春季、夏季、秋季で比較すると、アジアから欧州、欧州からアジアまでの過程で汗濡れ確率が大きくなっていることが分かる。これは緯度差から来る気温変化が大きく、特に欧州からアジアへ向かう輸送経路の場合、出港時の湿度状況が常夏に近いインド洋などで大きく影響を受けるためであると考えられる。,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,汗濡れ,コンテナ,気象海象,実海域,貨物損傷,最適運航,海上輸送,気象・海象,気象変化,温湿度,日射量,実船実験,ウェザールーティング,貨物管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18921,大阪大学,梅谷 俊治,混雑の緩和を実現する経路推薦アルゴリズムの開発,スマートフォンの乗換案内や経路案内で道路や路線の混雑状況を知ることが容易になったにも関わらず交通網の混雑を解消することはいまだに困難である．従来の乗換案内や経路案内は，個別の利用者に最短路問題を解いて得られた経路を推薦するため，しばしば同一の道路や路線に利用者が集中し混雑が生じる．,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,組合せ最適化,モビリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18920,京都大学,林 高弘,非接触計測による周方向ガイド波共振を利用した配管の高効率非破壊評価,円筒の周方向を伝搬する弾性波の共振を利用することで，円筒の裏側にある減肉の検出を目的として本研究を開始した．円筒試験体に，変調をかけたレーザ光を照射して，その周波数に対応する弾性波を励振させ，円周方向に伝搬するガイド波の明瞭な共振を計測した．この共振パターンは裏に減肉がある箇所において途切れるという実験結果を得た．このことは，このガイド波の周方向共振の計測がパイプの裏側の減肉の検出への適用可能性を示している．,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,弾性波,ガイド波,非接触計測,レーザ,周方向ガイド波,センサ,非破壊評価,パイプ,共振,非破壊検査,レーザ超音波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18919,京都大学,山上 路生,科学的アプローチに基づくアクティブな水害防備林の配置整備デザインに関する挑戦研究,水害防備林は、環境にフィットした伝統的治水工法の１種である。本プロジェクトでは、水路横断方向に並んだ１ライン場合と、流れ方向に複数ライン配置される場合の２つのシナリオを扱い、水理実験を行った。鉛直および水平PIV、そして抗力計測によって洪水流エネルギーの減衰効率および底面せん断力の変化を検証した。実験結果より、粗い配置ではウェイク型、密配置では噴流に似た構造となることがわかった。さらに下流に堤防があるとそれ自体が水深を制御する堰として機能するため，流下方向の圧力勾配は，防備林の有無によらず，純粋に防備林による流速低減が期待できる．,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,水害防備林,エネルギー減衰,洪水流,水理実験,洪水防御,基礎水理実験,模型実験,減災・防災の科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18918,新潟大学,松元 高峰,全層雪崩発生の直前予測を可能にする新たな指標とその計測手法の確立,本研究では、全層雪崩発生域周辺における積雪層の性状変化と雪崩発生との関係を明らかにすることを目的として、新潟県魚沼市大白川の急斜面上において各種の観測を実施した。2020/21年冬季には、積雪底部における誘電式含水率計の計測値が、グライドの開始から雪崩発生までに、減少・増加を繰り返してから急激に増加するといった特徴的な変化を示し、斜面下方の水流の電気伝導度も、雪崩発生数時間前から急上昇するという変化を示した。これらは雪崩発生の前兆である可能性があるが、一方で、斜面上の灌木の樹冠傾斜データから、初冬における気象条件の違いが、積雪グライドの進行や全層雪崩の発生に影響を及ぼすことも明らかとなった。,挑戦的研究(萌芽),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,全層雪崩,グライド,積雪の性状変化,積雪底部,誘電式含水率計,電気伝導度,低灌木,倒伏過程,危険度指標,直前予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
