awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18964,国立研究開発法人産業技術総合研究所,渡邊 宏臣,バルジ試験によるナノからマイクロメートル厚薄膜の機械的特性評価手法の確立,バルジ試験は、材料の張出し変形性を正確に測定する試験である。実際には孔の開いた基板に薄膜を貼り付け、孔を通して圧力をかけることで薄膜を変形させ、その圧力と実測した変位の関係から、極限引張強度や極限伸び、さらにはヤング率や内部応力、ポアソン比などの機械的特性値を算出する。本研究ではこれまでのバルジ試験の課題点であった、(1) 液中での測定、および(2)硬くて脆い薄膜や撓みやすい薄膜への適応、を図り、より実用的なナノ厚からマイクロ厚の薄膜の機械的強度の測定手法の確立に成功した。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,バルジ試験,機械的特性,薄膜,ヤング率,力学強度,機械的強度,液中測定,安全性・信頼性評価,実材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18962,立命館大学,飴山 惠,特異点制御を活用した構造材料の新創製プロセスの開発と医療デバイスへの応用,構造材料において、破壊の起点になるなどの理由から嫌われる「応力集中」を、あえて材料中に「特異点」として人為的に導入させることで、これまでにない優れた革新的な力学特性を有する材料創製を行う。研究代表者が創出した「調和組織」を有する調和組織材料には多くの特異現象が見られ、特に、従来からの常識であった「強度と延性の二律背反問題」を解決した。さらに、本研究の目的の1つである「ミクロ・マクロの相乗効果の解明」の過程で、「Synergy Extra Hardening（シナジー硬化現象」を見出した。シナジー現象は他の調和組織材料でも確認され、普遍的な現象である可能性が高い。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,調和組織,ヘテロ構造,力学特性,生体材料,選択的再結晶,シナジー効果,高強度化,すべり変形,双晶変形抑制,β安定化元素,調和組織材料,応力集中,応力分散,高強度,高靱性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18961,豊田工業大学,竹内 恒博,革新的熱流スイッチングデバイスの創製,本研究では，社会的な要請が高い，固体内の熱流を電場により制御するための基礎的な知見を集積すると共に，実用化に耐える性能を示す革新的熱流スイッチングデバイスを世界に先駆けて創製することを目指している．,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,熱流スイッチング,格子熱伝導度,電子熱伝導度,バイアス電圧,非調和格子振動,熱流スイッチング素子,半導体,熱流制御デバイス,熱流制御,熱マネージメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18960,早稲田大学,本間 敬之,機械-化学融合計測による材料破壊過程のマルチスケール高分解能オペランド解析,本研究は、独自のラマン分光法と引張り試験機を組み合わせ、材料の機械的変形・破壊過程につき、ナノスケールの領域に発生する歪みや応力のみならず化学構造の変化をも同時にオペランド解析可能とする手法の確立を目的とした。特にプラズモンセンサと称する光学デバイスを用いた表面増強ラマン分光法を適用し、引張り時における面内、及び表面近傍それぞれの化学構造の変化の測定を行うことにより、新たな現象の観察を目指した。その結果、主としてゴム材料の引っ張り時において、深部の構造は弾性変形、表面近傍の構造は塑性変形を示し、切断亀裂部において２重結合が分解することが面内ラマンイメージングの動的観察によって明らかになった。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,プラズモニクス,ラマン分光法,表面増強ラマン分光,引張り試験,材料破壊,ゴム,表面増強ラマン散乱分光,オペランド計測,表面増強ラマン散乱光,材料破壊過程,表面増強ラマン散乱,オペランド解析,複合計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18959,東京都市大学,小林 亮太,金属メルト常圧窒化法により合成した窒化物針状単結晶の光機能材料への展開,本研究では、金属メルトを常圧下で直接窒化させる単純なプロセスにおいてさまざまなプロセスパラメーターを検討することで、優れた耐環境性を持つ共有結合性窒化物である窒化アルミニウム（AlN）や窒化ケイ素（Si3N4）の針状単結晶の合成における結晶形態や発光特性の制御を実現した。特に、AlNでは高アスペクト比のウィスカーの合成とこれまで不明であった蛍光特性の評価を実施するとともに、不純物の意図的なドープによる蛍光特性の制御から、熱処理による結晶のさらなる成長と高純度化に至るまで、これらを新たな光機能材料へと展開するための多くの基礎的知見を得た。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,窒化アルミニウム,ウィスカー,発光挙動,窒化ケイ素,結晶成長,蛍光特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18958,慶應義塾大学,寺川 光洋,回折限界を超える極微細金属構造のレーザーファブリケーション,収縮性の高分子材料を構造支持体に用いることで、多光子還元により作製する金属構造を高密度かつ微小なものとすることを研究目的とした。温度変化に応じて体積相転移を示すpNIPAMハイドロゲルを使用し、光刺激により金属微細構造が収縮することを実験実証した。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,レーザー付加加工,三次元金属構造,高分子材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18957,熊本大学,伊田 進太郎,表面・粒界を利用した新規ヒドリド伝導体の探索,表面・粒界が関与するヒドリドイオン伝導体として、ロジウムドープ酸化チタン層状体を合成し、ロジウムドープサイトに吸着したヒドリド種が表面ヒドリド伝導を示すか調査した。伝導特性を軽水素中と重水素中で評価すると、電流電圧特性やインピーダンス特性が変化し、水素が関与するイオン種が伝導していることを示唆する結果が得られた。しかしながら、伝導度は質量の重い重水素雰囲気中の方が高く、通常のヒドリド伝導の機構とは異なる新しいヒドリド伝導がロジウムドープ酸化チタン層状体では起こっている可能性が示唆された。これらを応用して同位体センサー等への応用も期待される。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,ヒドリド,ナノシート,同位体センサー,ロジウム,粒界,表面,プロトン,粒界・表面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18956,九州大学,大場 正昭,金属錯体ー脂質界面におけるセシウム吸着機構の解明と高機能化,プルシアンブルー (PB) は高いセシウム吸着能を示す配位高分子であるが、PB ナノ粒子 (NPs) は水中で容易に凝集するため、吸着能が低下してしまう。本課題では、PB-NPs の凝集を抑制し吸着能を向上させるため、PB-NPs とリポソームを複合化し、放射性 137Cs+ 吸着能を評価した。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,セシウム吸着,リポソーム,プルシアンブルー,金属錯体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18955,九州大学,西田 稔,高静磁場MRIに適用可能な低磁性生体用形状記憶・超弾性合金の開発,磁気共鳴画像(MRI）診断において体内に金属製医療器具が留置されている場合，新たな磁場が発生し周辺の画像にアーチファクトと呼ばれる欠損・不明瞭部が生じる．この問題を克服するために，従来の医療材料の主流であるチタン(Ti)より低磁化率金属であるハフニウム(Hf)，銀(Ag)，反磁性金属である金(Au) に着目し，これらをベースとする形状記憶・超弾性合金を創製することを目的として研究を遂行し，Ag-Al合金系がアーチファクトの低減に有望であることを見出した．,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,磁気共鳴画像（MRI)診断,アーチファクト,低磁性生体用形状記憶合金,低磁性生体用超弾性合金,Hf基合金,Ag基合金,Au基合金,Ag-Al合金,Ag-Au-Al合金,Ag-Au-Sn合金,Ag-Au基合金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18954,九州大学,波多 聡,合金の短範囲規則（SRO）状態の再定義,収差補正環状暗視野走査透過電子顕微鏡法によりNi4Mo合金の短範囲規則（Short-Range Order: SRO）状態の局所構造観察を行った。本合金のSRO構造は、安定・準安定規則相に共通のLong-Range Order: LRO）構造要素と、それら複数種の規則相の副単位胞が準周期的かつ異方的に配置した構造要素が三次元的に組み合わされたドメイン構造と定義された。このうち、後者の複数種副単位胞の準周期配置の方は、成長の途中でLRO構造の副単位胞だけがLROドメインへと選択成長する段階へと移る。これがSRO-LRO転移と解釈された。最後に、逆位相境界エネルギーに基づくSROの定義を提案した。,挑戦的研究(萌芽),中区分26:材料工学およびその関連分野,短範囲規則,電子顕微鏡,逆位相境界,合金,規則ー不規則変態,三次元,準周期構造,副単位胞,Ni-Mo合金,高分解能電子顕微鏡,三次元構造,単位胞,長範囲規則,投影構造,濃度ゆらぎ,アトムプローブ,Ni-Mo-Cr合金,短範囲規則状態,規則-不規則変態,逆位相ドメイン境界,構造揺らぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
