awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K19010,一般財団法人ファインセラミックスセンター,川崎 忠寛,動的・定量的解析のための極限イメージング技術の開発,本研究課題では、電池反応をはじめとした種々の変化を、動的に、かつ高分解能で捉えることを主眼とした電子顕微鏡法の開発を実施した。独自に発案したEnhanced Hollow-cone Illumination TEM法の最適条件について、シミュレーション検討を実施した。その結果、本手法は光学系に収差（特に球面収差）があると上手く動作しないことが判明した。また、SrTiO3結晶や、LiCoO2結晶において、酸素イオン、リチウムイオンが可視化出来ることも確認できた。これにより、本手法はリチウムイオン電池電極材料の可視化技術として有用であることを明確にした。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,電子顕微鏡,軽元素,結像法,ホローコーン照明,その場観察,動的,高分解能,グラフェン,高空間分解能,高時間分解能,可視化技術,位相像,液中観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19009,国立研究開発法人産業技術総合研究所,平野 篤,カーボンナノチューブを活用したタンパク質の高効率リフォールディング,本研究では、タンパク質のリフォールディングの収率をカーボンナノチューブを用いることで向上させ、これまで開発段階でドロップ・アウトしていた数多くのタンパク質医薬品候補を再び臨床研究さらには市場に呼び戻すことを目的とした。本研究では、CNTの原材料に由来する微量の鉄イオンがCNTとタンパク質の酸化還元反応を促進するという現象を発見した．これにより、CNTを用いたタンパク質のリフォールディングにおける微量金属イオンの制御の重要性が明らかになった．,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,タンパク質,カーボンナノチューブ,リフォールディング,酸化還元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19008,関西大学,伊藤 健,制御可能なナノ構造を用いた微生物抗菌メカニズムの解明,本研究では、ナノ構造が発現する抗菌メカニズムを解明するために、ナノ構造の寸法を制御すること、そしてその物理化学的性質を制御することでそれらのパラメーターが抗菌性に及ぼす影響について評価を行った。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,ナノ構造,抗菌,殺菌,QCM,経時変化,濡れ性,微生物付着,バイオミメティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19007,中央大学,小松 晃之,組換え(ヘモグロビン－アルブミン)ナノクラスターからなる人工酸素運搬体の創製,赤血球の代替物となる人工酸素運搬体の実現は次世代医療の最重要課題である。組換えヒトヘモグロビン(rHb)に組換えヒト血清アルブミン(rHSA)を結合した新しい人工酸素運搬体「組換え(ヘモグロビン-アルブミン)ナノクラスター」(rHb-rHSA3クラスター)を合成し、その構造と酸素結合能を明らかにした。コアrHbのヘムポケット内にあるLeu-β28をTrpに置換した変異体クラスターは、赤血球と同等の酸素親和性を示した。ヒト血液に全く依存しない安定供給可能な赤血球代替物の創製に成功した。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,タンパク質,組換えヘモグロビン,ヒト血清アルブミン,人工酸素運搬体,赤血球代替物,X線結晶構造解析,蛋白質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19006,兵庫県立大学,安川 智之,誘電泳動による細胞アレイ化を利用した迅速で簡便な細胞選択と回収,本研究では，細胞のアレイ化，有用細胞の識別および有用細胞の回収の一連の技術開発を行った．マイクロウェルアレイ電極を用いた正の誘電泳動により超高速で簡便に細胞アレイ化を達成した．免疫反応を利用して細胞から分泌される抗体をマイクロウェル内に捕捉し，抗体分泌細胞を識別した．最後に，負の誘電泳動を用いて，抗体を産生する細胞のみをウェル外へと排出して回収した．これにより，細胞群の中から高親和性の抗体を分泌する細胞を迅速で高効率に取得できる可能性を示せた．,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,誘電泳動,細胞アレイ,B細胞選択,濃縮,電気化学計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19005,神戸大学,磯野 吉正,界面電子状態密度制御によるSiナノワイヤの熱電変換指数巨大化への挑戦,本研究では、シリコンナノワイヤ(SiNWs)に堆積させた原子スケール被覆絶縁層中の固定電荷に着目し、コアシェル構造SiNWsの熱電変換特性の大幅な向上を目指した。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,Siナノワイヤ,熱電変換,界面電子状態,界面電子状態密度,半導体ナノワイヤ,熱電変換特性,絶縁層被覆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19004,大阪大学,久保 孝史,プロペラ型π電子系を用いた三次元グラフェンナノリボンの創製と機能開拓,本研究は、グラフェンナノリボン(GNR)等に代表される二次元炭素材料に対して、新たな次元性の導入、すなわち三次元GNR(3D-GNR)と呼べる新たな炭素材料の創出を行い、その効率的合成法の確立と機能開拓に挑戦することを目的とした。実際に、新たなモノマーユニットととしてヘキサブロモトリナフト[3.3.3]プロペランを選択し、金属基板上で重合させて3D-GNRを効率よく得る条件を見出すことができた。さらに得られた3D-GNRから臭素原子を任意の位置で取り除くことにも成功し、C60分子を結合させることもできた。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,グラフェンナノリボン,三次元化,C60,プロペラン,炭素材料,三次元GNR,三次元ＧＮＲ,三次元,プロペラ型分子,非平面構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19003,大阪大学,菅原 康弘,光照射に伴う双極子を力として検出する近接場光学顕微鏡の単原子観察条件の研究,近接場光を高分解能に測定するために制限している因子を理論的・実験的に検討し、近接場光を力として高分解能に測定するための条件を求めた。次に、近接場光を力として高感度・高分解能に測定するため、近接場光学顕微鏡の様々な構成要素の低ノイズ化を実現した。具体的には、カンチレバーの変位検出計の高周波化と低ノイズ化を実現するとともに、カンチレバーの小振幅動作を実現し、力検出の高感度化・高分解能化を実現した。また、バックグランド光を低減した光照射系を実現した。さらに、近接場光の分布を原子スケールで超高感度・超高分解能に観察できることを実証した。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,近接場光学顕微鏡,双極子力,走査型プローブ顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19002,京都大学,坂口 浩司,キラル化学と表面科学の融合による強磁性グラフェンナノリボンの創成,片側エッジのみにジグザグ構造を持つGNRの表面合成を目指して、非対称のZ型ポリフェニレン前駆体を設計し有機合成した。この前駆体を用いて二ゾーン化学気相成長を行いAu(111)基板上にGNR形成を試みた。走査型トンネル顕微鏡で表面観察すると、数十ナノメートルの大きさを持つ二次元状構造体が観測された。この構造は、期待する一次元GNRの形状であるワイヤー上の構造ではないことが判明した。この理由は、官能基が４００℃の温度で分解し、活性構造となりGNR分子間同士が縮環した二次元構造が生成したものと考えられる。官能基の分解を起こさない低温での脱水素縮環反応を開発することにより、目的が達成されると思われる。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,ナノ材料,表面科学,キラル科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19001,京都大学,藤原 敬宏,細胞膜骨格の高速超解像弾性マッピング法の開発と細胞運動解析への応用,100 nm 程度の網目構造をもつアクチン細胞膜骨格の機械的特性 (バネ弾性) を、高速１蛍光分子追跡で検出した構造揺らぎをもとに定量する方法を確立し、超解像マッピングして形状的特性との相関を得た。超解像画像の取得を高速化し、網目構造の形態変化の影響が小さいように5秒程度に短縮した。見積もられたアクチン膜骨格のバネ定数は主に 1-10 pN/μm の範囲に分布していることが分かった。この観察を１分おきに10回程度にわたって繰り返すことにより、細胞運動にともなうアクチン膜骨格の微細構造とその張力発生の動的時間変化を刻々と追うことが可能になった。,挑戦的研究(萌芽),中区分28:ナノマイクロ科学およびその関連分野,超解像蛍光顕微鏡法,アクチン膜骨格,１蛍光分子追跡,バネ弾性,1蛍光分子追跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
