awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18520,国立障害者リハビリテーションセンター(研究所),遠藤 智美,オノマトペを用いた共感覚的表現処理の神経基盤の解明,当初は脳機能計測実験を実施する予定であったが、刺激の選定に時間を要したこと、COVID-19による実験中断のため実施できなかった。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,オノマトペ,知覚,感覚,日本語,形容詞,共感覚的比喩,感覚統合,言語,MRI,機能的MRI,共感覚的表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18519,大学共同利用機関法人人間文化研究機構国立国語研究所,浅原 正幸,コーパスからの比喩表現収集とその分析,『現代日本語書き言葉均衡コーパス』を元にした指標比喩（直喩）データベース・語義に基づく比喩データベースを構築した。前者の指標比喩データベースについては、中村明著『比喩表現の理論と分類』に基づく指標比喩データベースとともに整理をしたうえで、2022年夏に公開する。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,比喩表現,直喩,隠喩,指標比喩,結合比喩,MIP,比喩,コーパス,語義,アノテーション,日本語,意味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18518,国立民族学博物館,神田 和幸,新手話学の構成素の実証的検証研究,過去の資料をスキャナでPDF化する作業を進め、手話学アーカイブ作成の公開資料作成することもできた。手話アーカイブを公開するにはインターネット上にプラットフォームを作成する必要があるが、レンタルサーバの確保、プラットフォームの選択など、専門業者のアドバイスと提案を受け検討中である。コンテンツは独自にインターネット上にプラットフォームを構築し、その中に当該研究期間のみならず、過去の研究実績や参考資料などを搭載し公開できるようにした。当該プラットフォームは神田文庫（https://kanda-arc.net）として、一部はすでに公開済である。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,新手話学,新構成素,アーカイブ,神田文庫,手話変種,手話変遷,言語起源論,手話文法,手話認識,手話のCL,OpenPose,像素,運動体,描素,構成素,ディープラーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18517,豊田工業高等専門学校,木村 勉,手話認識システムを利用した手手辞典の開発と手話による百科事典の提案,本研究では，手話認識機能を搭載したオンライン手話単語辞書システムを開発した．システムはブラウザから利用する．Webカメラを用いて調べたい手話を表現すると，それを認識して，候補単語の一覧を表示する．利用者が表示された単語をクリックすると，見本動画が再生し，確認することができる．現在は，175単語の認識が可能である．さらに，ここで開発した手話単語認識エンジンを応用して，手話学習システムの開発を行っている．これらは2023年度中に一般に公開する予定である．,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,手話認識,手話辞書,ディープラーニング,深層学習,手話学習,手話文章,手話,認識,辞書,オンライン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18516,関西学院大学,川口 聖,日本手話言語の変質に関する研究,日本手話言語が共時的にどのように変質しているか、つまり、いわゆる「日本手話」と「日本語対応手話」の使用実態がどのように変わっているかを調査研究するのが、当初の研究目的であったが、日本手話言語は日本語の影響をかなり受けているため、目的達成するのは難しいとわかった。そこで、言語使用者の特性を着目して調査研究したところ、ろう者と可聴者との手話言語運用の仕方に根本的な違いがあり、人口的に多い可聴者による言語的介入によって、日本手話言語の多義性が失われつつあるほど、変質されていることがわかった。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,日本手話言語,記述文法,継承語,日本語対応手話,可聴者手話,モード,言語学,手話言語,日本手話,手指日本語,手話,伝統的手話,手話言語学,危機・少数言語,言語の変質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18515,早稲田大学,酒井 弘,なぜ言語には文法が必要なのか－脳磁図を用いた予測処理における神経律動の分析,自然言語に複雑で多様な「文法」が存在するのはなぜなのだろうか。この疑問には，いまだに科学的・実証的な答えが与えられていない。本研究では「予測(prediction)」という概念を手がかりに，脳 (神経)科学の観点からこの難問に挑んだ。具体的には，「一本の枝」「一枚の紙」のように，日本語の数量表現が後続する名詞のタイプを予測する手がかりとなることを利用し，言語処理における予測に伴う神経活動を探る脳磁図計測実験を実施した。暫定的な結果として，側頭葉中側頭回が予測処理に関わることがわかったため，成果を国際学会において発表した。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,言語学,脳・神経,認知科学,実験系心理学,実験計心理学,国際研究者交流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18514,明治大学,田中 牧郎,和漢洋語彙ネットワークの形成と構造―言語問題に対応する新しい語彙論―,日本語の語彙を特徴付ける、和語・漢語・外来語からなる、語彙ネットワークの形成過程を明らかにする研究を行った。日本語歴史コーパスを用いて、平安末期と明治前期に焦点を当てた類義語群の分析を行い、古代から現代までの通時的な視点から量的・質的な分析を実施した。また、日本語の語彙の言語問題が生じる原因に、その語彙ネットワークの存在があることを指摘し、言語問題への対応に役立てるための語彙論の枠組みについて議論に着手した。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,語種,和語,漢語,外来語,翻訳語,言語問題,語彙教育,語彙史,語彙ネットワーク,語彙論,専門用語,教育基本語彙,語誌・語史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18513,明治大学,堀田 秀吾,商標の枯渇問題をめぐる適正な調査・分析方法の開発ー言語学からの提言,本研究では、法的な立場からの議論と実際の商標の認知との齟齬を指摘した上で、言語学の理論を応用した分析理論を提案した。その成果については、韓国において開催されたKorea-Japan Joint Seminar on Language and Lawというシンポジウムにおいて公表済みである。また、本研究チームは、特許庁より提供を受けた2018年までの商標登録全データから検索システムを開発した。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,商標,枯渇,法と言語,法言語学,商標言語学,言語学,コーパス,検索システム,地名,大量データ解析,社会言語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18512,目白大学,時本 真吾,ニューロフィードバックを用いた言語的直観の神経基盤と可塑性の研究,"ある文に対する適格性判断は、それぞれの話者について不変だと考えられている。しかし、Carroll, et al. (1981, Language)は、英語文に対する適格性判断を母語話者に求める際に、鏡を眼前に置いて自身の姿を見せると、適格性判断が体系的に変化することを示した。本研究では彼らの知見を日本語文において検証すると共に、文呈示に伴う脳波計測によって文の適格性判断の神経基盤を考察した。実験の結果、鏡を眼前に置いた場合、文が非適格として多く排除される傾向があり、また、脳波のシータ帯域ならびにベータ帯域の信号強度が増大した。また適格性判断と話者の対人傾向とは有意な相関を示した。",挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,適格性判断,脳波,対人反応性指標,自閉症スペクトラム指数,メタ認知,発生源推定,脳波の時間周波数分析,Effective connectivity,ニューロフィードバック,ディフォールトモードネットワーク,言語直観,effective network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18511,北九州市立大学,平野 圭子,創始者原理の視点から見たアメリカ英語の影響力と言語変化,本研究は日本の英語母語話者コミュニティで観察される英語の言語変化と新たな方言形成を調査し、日本に対して政治経済的に大きな影響力を持つアメリカの英語バラエティが言語レベルでは必ずしも強い影響力を発揮していないことを調査した。異なる時期に収集した2セットの自然談話言語コーパスの言語的特徴を比較し、言語変化の方向を検証した結果、方言接触状況下で新方言が形成される過程の一般的な原則とされる「創始者原理」は、日本のアングロフォンコミュニティ内の言語変化には合致しないことを検証した。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,アングロフォンコミュニティ,言語変化,創始者原理,アメリカ英語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18510,名古屋市立大学,日木 満,冠詞と複数形語尾の使い方がわかる英和辞典の開発：名詞的名詞と動詞的名詞を基に,可算名詞 [C]か不可算名詞[U]かの区別の上位概念として、新たに①広義のモノを指示する「名詞的名詞(nouny nouns: [nN])」と、②モノを指示するのではなく、本動詞と共に文中の名詞(N)を叙述する（Nが～する/なる/である等の意味と相(aspect)と態(voice) 等の解釈を加える）「動詞的名詞(verby nouns: [vN])の区別を想定する有用性を示した。vNは無冠詞・非複数形であり、 [C]か [U]かの判断はnNに限定されること、またnNとvNの区別は前置詞や動詞を理解する上でも重要であることを示し、英和辞典の記述に取り入れることを提案した。,挑戦的研究(萌芽),中区分2:文学、言語学およびその関連分野,英和辞典,名詞的名詞,動詞的名詞,冠詞,複数形,名詞形,可算性,辞書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
