awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K19415,国立研究開発法人産業技術総合研究所,竹内 恒,製剤条件でバイオ医薬の立体構造を非侵襲的に評価する新規NMR技術の開発,本研究では、多様な溶液状態でタンパク質の立体構造解析が可能なNMR法を用いて、完全に非破壊的なバイオ医薬品の立体構造的評価を可能にする新たな技術を確立することを目的とした。このことは、重水素標識を前提とした従来の高分子量タンパク質のNMR解析手法では、実現不可能である。そこで、本研究では、新たな解析手法15N観測CRINEPT法を開発・適用することでこの問題を解決した。15N観測CRINEPT法を、抗体医薬品と高いアミノ酸配列相同性を持つ医療抗体アナログに対して適用し、当該抗体の添付文書に記載の溶液条件かつ低温保存温度でのNMRスペクトルの取得に成功した。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,高分子バイオ医薬,NMR,創薬科学,高次構造解析,バイオ医薬品,製剤条件,非破壊的,非侵襲的,測定技術開発,バイオ医薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19414,国立研究開発法人産業技術総合研究所,木田 泰之,ヒト心筋の自律性獲得による次世代創薬技術の開発,本研究では、ヒトiPS由来の心筋細胞と自律神経と共培養し機能的に接続させることで「高次機能制御系を組み込んだ心筋組織の作製」を行うことを目的とした。誘導したヒト自律神経への光活性化イオンチャネル(ChR2: チャネルロドプシン2)の発現と神経活動制御を行う光刺激条件を同定し、自律神経シグナルにより心筋拍動を拮抗的に制御することに成功した。また、この共培養システムの神経由来心毒性のアッセイ系としての有用性についても示唆された。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,自律神経,心筋,ヒト多能性幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19413,昭和大学,村山 周平,『痛みを診る』低リスク神経診断プローブの開発,本研究では、ゲルの網目構造を用いて、重金属を含む錯体を、生体内環境から隔離し保護した状態で造影剤として用い、早く、確実に、生体内から安全な形のままで造影剤を排出するという二段構えのアプローチによって、毒性の低い腎排泄性ナノ粒子神経診断プローブプラットフォームの開発とそれを用いた疼痛の評価を目指して、実際に、毒性を抑えたナノ粒子の試作品を作り、実際にラットの神経の低侵襲な造影に成功した。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,分析科学,ナノ粒子,DDS,生体イメージング,ＤＤＳ,分析化学,ナノ粒子ゲル,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19412,大阪薬科大学,天滿 敬,チェレンコフ光エネルギーによる分子マシン駆動と革新的がんセラノスティクスへの挑戦,本研究では、18F-FDGチェレンコフ光によりがん細胞傷害性を示す分子マシンを用いたセラノスティクス実現の可能性に着目した。すなわち、がん選択的送達可能な分子マシンの開発と、それを用いたがん細胞傷害性評価実験を行った。分子マシンのがん送達のため、種々の候補ペプチドの中からインテグリンを標的とした二環性ペプチドの有効性を見出し、当該二環性ペプチド修飾分子マシンの合成に成功した。さらに本分子マシンを用いたインビトロ実験により細胞傷害性を示す基礎的な知見を得た。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,分子マシン,18F-FDG,セラノスティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19410,京都産業大学,柚木 芳,クライオ電顕のシグナルを増幅させる人工タンパク質eMonobodyの開発,,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19409,大阪府立大学,綿野 哲,ナノ薬物の分散・凝集制御に関する革新的手法の開発と粉末吸入製剤への応用,粉末吸入製剤では、吸入デバイスへの充填時に良好な流動性が求められる反面、吸入時には肺到達を実現する0.5～7ミクロン程度の微細な粒子への再分散性という、いわば相反する特性が要求される。しかしながら、ナノ～サブミクロン領域にある微細な粒子は付着・凝集性が極めて高く、その効率的なハンドリングは困難であり、凝集と再分散の新たな手法の確立が強く要求されている。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,ナノ薬物,粉末吸入製剤,超臨界凍結造粒法,ナノ粒子,凝集体,分散,凝集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19408,名古屋市立大学,樋口 恒彦,疎水性短冊形分子の水溶性ナノカプセル封入新手法：蛋白質の動的核偏極NMRへの応用,本研究は、優れた分子構造の解析法であるが感度は低いNMR分光法の感度を飛躍的に高める新しい手法である動的超偏極法(DNP）を、タンパク質など水溶性生体分子の分析に生かせるようにするための取り組みである。具体的にはDNPに有用であるが極めて疎水的な分子ペンタセン(Pc)を、複数のグルコースが環状化したシクロデキストリン（CyD）の誘導体を設計・合成して包接させる検討を行った。その結果、Pcの疎水表面を包み込むサイズを有し、表面を親水基だけとすることのできる、２つのCyDを架橋した分子の合成に成功した。さらに、PcとCyDとの間で共有結合を形成して水溶性となる分子の合成を試みた。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,シクロデキストリン,動的核偏極,ペンタセン,包接,NMR,水溶化,平衡反応,NMR構造解析,迅速測定,動的核偏極NMR,タンパク質,動的コバレントケミストリー,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19407,横浜市立大学,足立 典隆,ベクターＤＮＡの非特異的組込みを抑制する手法の開発,DNAポリメラーゼθは、最も重篤なDNA損傷であるDNA二本鎖切断の修復においてユニークな役割を果たす。このタンパク質の機能解明や阻害剤取得は、がん生物学における重要なテーマであるだけでなく、任意の細胞に適用可能な高効率ジーンターゲティング法の開発の鍵を握る。本研究では、ヒトDNAポリメラーゼθの構造と機能の相関に関する解析を進めるとともに、表現型の変化を指標とした化合物スクリーニングを利用してDNAポリメラーゼθを阻害する物質の探索を行った。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,非相同末端連結,ゲノム編集,DNAポリメラーゼ,NHEJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19406,九州大学,植田 正,免疫寛容によるAnti-Drug Antibodies産生を抑制する基盤的研究,本研究室で既に見出されていた多量体ニワトリリゾチーム（HELと記載）に対する免疫寛容誘導法が、抗体医薬品使用の際に生じるADAs(Anti-Drug Antibodies)の抑制に応用できるかを調査した。HEL（塩基性蛋白質）、βーラクトグロブリン（酸性蛋白質）、ヒト型Fab（中性蛋白質）の多量体を生理食塩水に溶解しマウスに投与した。その一週間後にそれぞれの単量体をアジュバンドと混合して免疫した。同様の免疫操作を行うとともに、一週間毎にマウスから採血し、血中の各蛋白質特異的な抗体の産生量をELISA法により評価した。その結果、β-ラクログロブリン、ヒト型Fabでは免疫寛容誘導が起きなかった。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,ADAs,免疫寛容,蛋白質デリバリー法,リゾチーム,βラクトグロブリン,Fab,CH2ドメイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19405,九州大学,山田 健一,新たな細胞死フェロトーシスにおける脂質ラジカルの関与,近年、新しい細胞死としてフェロトーシスが注目されているが、その発生部位などは未だ明らかにされていない。そこで、本研究では、フェロトーシスの誘導に脂質ラジカルが関与していることを明らかにすることと目的とした。その結果、脂質ラジカルがフェロトーシス誘導時に細胞膜や小胞体などに局在していることがわかった。さらに、細胞間フェロトーシスの感受性差を説明できる可能性を示した。,挑戦的研究(萌芽),中区分47:薬学およびその関連分野,脂質,フェロトーシス,薬学,細胞死,スクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
