awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K19491,国立研究開発法人医薬基盤・健康・栄養研究所,鎌田 春彦,がんの治療・診断に向けたmetamorphosis抗体分子の設計,バイオ医薬全盛の現代において、その中心を担う抗体医薬の開発には、新規フォーマットを持つ抗体分子を開発する必要がある。そこで本研究では、次世代の抗体医薬の有用性を示すことを目的に、新規二重特異性抗体の創製を試みた。その過程で、2種類のBsAbフォーマット (taFv型ならびにscDb型)を基に、同一エピトープを認識すると考えられる二重特異性抗体が異なる特性を持つという興味深い結果を見出し、これらをmetamorphosis抗体と命名した。in vitroにおける各特性評価を実施したところ、BsAb自身の熱安定性の向上が活性向上につながる要因の１つであることを見出した。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,抗体,二重特異性抗体,抗体分子,物性,リンカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19490,地方独立行政法人神奈川県立病院機構神奈川県立がんセンター(臨床研究所),笹田 哲朗,抗PD-1抗体治療後の末梢血B細胞のレパトア解析と抗原特異性の解明,本研究では、抗PD-1抗体で治療された各種がんにおける末梢血B細胞受容体（BCR）レパトア解析の臨床的意義を検討した。非小細胞肺がん患者（計30例）では有効例で治療後のBCRレパトア多様性が有意に減少し、尿路上皮がん患者（計26例）では有害事象合併例で治療後のBCRレパトア多様性が有意に減少する傾向にあった。現在、有効例あるいは有害事象合併例の治療後に選択的に増加したB細胞クローンに由来するBCRの認識抗原を同定中であり、作用メカニズムとの関連を解明する予定である。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,抗PD-1抗体,B細胞,B細胞受容体レパトア,抗原,バイオマーカー,免疫チェックポイント阻害剤,抗腫瘍効果,有害事象,B細胞受容体,レパトア,Ｂ細胞,Ｂ細胞受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19489,国立研究開発法人国立がん研究センター,土屋 直人,分泌マイクロRNAの分泌様式と機能による分類,腫瘍組織が形成する特異な微小環境、いわゆる腫瘍微小環境(TME)の形成はがん細胞と非腫瘍細胞の細胞間情報伝達で成立する。本研究では、当研究室で単離したmiRNA分泌制御因子（タンパク質X）の機能解析を主として、miRNA分泌様式を理解し、miRNAの機能と合わせて細胞外miRNAの分類をすることを目的とした。肉腫細胞株が分泌するmiRNAを網羅的に解析し、単球細胞のマクロファージへの分化を誘導するmiRNAsを見出した。タンパク質Xはエクソソームとは異なる構造体として細胞外へと分泌され、miRNA複合体の細胞内輸送と細胞外分泌を制御することが強く示唆された。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,細胞外miRNA,細胞外小胞,miRNA,カタログ化,細胞外分泌,機能分類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19488,国立研究開発法人国立がん研究センター,石井 源一郎,非がん細胞に依存した、がん細胞の浸潤機構の解明,線維芽細胞の有無によるがん細胞の浸潤様式を検討した。その結果、１）線維芽細胞存在下においては、ECM に沿ってがん細胞が浸潤すること、２）線維芽細胞の存在により、がん細胞の浸潤が促進していること、が明らかになった。次に、線維芽細胞存在下と非存在下におけるがん幹細胞（Podoplanin陽性）の浸潤について検討した。線維芽細胞非存在下において、がん幹細胞と非がん幹細胞の浸潤に差を認めなかった。しかしながら、線維芽細胞存在下において、がん幹細胞は非がん幹細胞と比較して高い浸潤能を示した。これらの結果から、がん幹細胞と線維芽細胞の間に、がん幹細胞の浸潤を促進する相互作用が存在している事を示唆された。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,線維芽細胞,がん幹細胞,浸潤,Podoplanin,がん関連線維芽細胞,線維芽細胞依存性浸潤,がん微小環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19487,公益財団法人がん研究会,清宮 啓之,非典型核酸形態が惹起するがん種横断的脆弱性の分子基盤と治療応用,ある種のがん細胞はグアニン４重鎖（G4）と呼ばれる特殊な核酸高次構造の安定化に対して顕著な脆弱性を示すが、その仕組みは明らかでない。本研究では、G4安定化化合物（G4リガンド）に高い感受性を示すがん細胞と耐性を示すがん細胞を比較解析することで、G4リガンドPhen-DC3の耐性因子としてトランスポータータンパク質ABCG2を同定した。さらに、G4リガンド耐性がん細胞において、siRNAによってノックダウンするとG4リガンド耐性が低下する候補遺伝子Xを同定した。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,グアニン4重鎖,がん細胞,薬剤感受性,核酸,グアニン４重鎖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19486,公益財団法人がん研究会,冨田 章弘,がん細胞の糖代謝と相同組換え修復に注目した合成致死誘導の分子基盤,本研究課題においては、がん細胞の解糖系阻害によって起こる相同組換え（HR）修復不全に着目し、その分子機序を明らかにし、治療標的としてのPOC（Proof Of Concept）を取得することを目指し研究を進めた。そして、HR修復不全様の誘導作用を発揮し、抗がん剤シスプラチンとの合成致死作用を示す代謝阻害剤の同定に成功した。また、オミクス解析や細胞生物学的解析を駆使し、代謝阻害によるHR修復不全誘導のメカニズムに関する基盤情報を得た。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,がん細胞,代謝異常,相同組換え修復,合成致死,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19485,公益財団法人がん研究会,清谷 一馬,翻訳後修飾により生じるネオセルフ抗原はがん免疫療法の治療標的となりうるか？,本研究では、翻訳後修飾を受けたタンパク質由来の抗原がT細胞の標的となりうるかを検証することを目的として、メチル化修飾を受けるがん遺伝子由来タンパク質のメチル化部分に着目し、予想されるペプチドを情報解析により解析した。HLAに対する親和性を推定し、2種類のペプチドを同定した。これらペプチドについて、健常人末梢血を用いた抗原特異的T細胞の誘導実験、ELISPOTアッセイによるスクリーニングを行い、1種類のメチル化ペプチドが特異的CD8+ T細胞を誘導することを明らかにした。このメチル化ペプチド特異的CD8+ T細胞のTCRレパトア解析を行い、TCRalpha/betaの配列を同定した。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,翻訳後修飾,ネオセルフ抗原,T細胞受容体,ネオアンチゲン,LC-MS/MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19484,東京慈恵会医科大学,吉田 清嗣,ライブイメージングを基盤とする癌幹細胞の非対称分裂検出とメカニズム解明,DNA傷害に応答して細胞死を誘導するリン酸化酵素として申請者が初めて見出したDYRK2が、癌幹細胞の発生や維持に関与しているという知見を得ている。そこでDYRK2が上皮間葉転換および癌幹細胞の存在に影響を及ぼすという実験結果を元に、DYRK2による癌幹細胞の制御に焦点をあて、癌幹細胞の発生の分子機構の解明に取り組んだ。またがん幹細胞の分裂様式を調べるにあたって、その恒常性維持に寄与する分子の同定と機能解析は必須であり、その一つとしてがん遺伝子として知られるリン酸化酵素であり、細胞増殖、生存、アポトーシスを制御することが報告されているPim-1キナーゼを見いだすことができた。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,がん幹細胞,細胞分裂,癌幹細胞,非対称分裂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19483,順天堂大学,竹田 和由,抗腫瘍免疫による癌増殖制御における癌微小環境の変化の解析,"癌の進展・退縮および転移には、癌組織内の種々の細胞により構成される癌微小環境や免疫環境の変化が深く関与する。本申請研究は、癌の進展・退縮および転移に伴い変化する癌組織の生体反応の解明を目的とし、その実態を明らかにすることで、癌を拒絶へと導く革新的な治療法を開発することを最終目標とする。本申請研究により、1) 転移臓器の肺で産生されるIL-23は、IFN-γを産生するNK細胞の誘導を阻害することで肺転移を増強していること　2)癌組織内では癌細胞を傷害するCD8T細胞に活性を阻害するPD-1,TIGIT,CD96が発現し、これらを戦略的に抑制する治療が有効な抗腫瘍免疫療法となることを明らかにした。",挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,IL-23p19,IL-23レセプター,肺転移,NK細胞,IFN-γ,CD96,CD8T細胞,PD-1,抗PD-1抗体,抗TIGIT抗体,腫瘍免疫,Mutanome解析,Immunome解析,癌間質細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19482,慶應義塾大学,田中 伸之,腫瘍内不均一性を可視化する次世代癌イメージングを用いた薬剤感受性の予測モデル構築,本研究では、次世代イメージング「ライトシート顕微鏡・膨張顕微鏡法」を利用し腫瘍内不均一性を立体視する。我々は、この技術基盤として新規3次元イメージングパイプライン：DIIFCO法を、実際の臨床組織で実装に移した。膨張顕微鏡法も、光学顕微鏡の回折限界を乗り越える最新の研究手法である。腎癌組織マイクロアレイを利用して、我々は組織膨張下にDIIFCO法でin situ hybridizationを行うプロトコール開発を進めた。膨張顕微鏡法とDIIFCO法を組み合わせることで、ナノレゾリューションでRNA局在がわかるようになった。また、不均一なlncRNA発現も、細胞内局在が明らかになった。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,腎細胞癌,ライトシート顕微鏡,膨張顕微鏡法,分子標的治療,免疫治療,腫瘍内不均一性,イメージング,In situハイブリダイゼーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19481,自治医科大学,北山 丈二,腹部多発リンパ節転移を標的とした逆行性リンパ管内化学療法の開発,広汎な腹部リンパ節転移を標的とした「逆行性リンパ管内化学療法」という新規治療戦略の可能性を探ることを目的として、ブタを用いて頸部から胸管内にカテーテルを挿入し、パクリタキセル(PTX)を投与し、腹腔内諸臓器におけるPTX濃度の推移をLC/MSを用いて測定し、その薬物動態を全身投与時と比較検討した。胸管内投与後8～24時間後の腹部リンパ節内のPTX濃度は、全身投与群と比べやや高く、血清中は低い傾向を示したが、予想ほど顕著な差ではなかった。一方、1～3時間後の尿中のPTXは胸管内投与群で高く、胸管内に投与したPTXの多くは早期に尿中に排泄されると考えられた。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,リンパ節転移,胸管,化学療法,ドラッグデリバリー,ドラグデリバリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19480,熊本大学,伊藤 隆明,マウス胎仔単離肺上皮器官培養による小細胞肺癌モデルの開発,"私達は、Tp53KO, Rb1KO,およびNotchシグナル不活化によるマウス小細胞肺癌in vivoモデルを確立し、そのマウス胎仔期気道上皮を単離し、Matrigel内に包埋し、器官培養を試み、オルガノイド肺癌モデルの作成を試みた。器官培養下で、おおよそ培養開始から100日頃、増殖性の上皮性変化を認めた。さらに200日以上培養すると、接着性を示す細胞から、浮遊系の細胞まで、様々な腫瘍細胞が、培地内で、増殖した。これら細胞を、免疫不全マウス皮下に投与し、組織像を解析した。これらの組織像は、腺癌、扁平上皮癌などとともに、小細胞肺癌も認められた。",挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,小細胞肺癌,マウスモデル,オルガノイド,単離上皮,オルガノイド発癌,神経内分泌分化,Ascl1,Rb1,Notchシグナル,マウス胎仔肺,器官培養,Rb1変異,p53変異,Notchシグナル不活化,GEMM,胎仔肺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19479,熊本大学,中尾 光善,エレノアRNAを指標とする治療耐性乳がんのエストロゲン誘導細胞死の応用,女性の部位別の第１位である乳がんの約70％はエストロゲン受容体ER陽性で、エストロゲンに依存して増殖する。エストロゲンを阻害するホルモン療法が有効であるが、治療抵抗性を獲得して再発することが課題である。その要因として、ERをコードするESR1遺伝子座から長鎖非コードRNA群（エレノア）が発現誘導されて、同遺伝子座が活性化することを見出した。本研究では、乳がんのホルモン療法耐性の分子病態に基づいて、エレノアRNA群を指標とするエストロゲン誘導細胞死の応用基盤を確立することを目的とした。ホルモン療法耐性モデル細胞にERリガンドで細胞死を誘導するという逆転の発想の有効性について検証した。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,乳がん,エピゲノム,非コードRNA,エストロゲン,エストロゲン受容体,細胞死,RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19478,九州大学,北尾 洋之,抗腫瘍薬誘導性DNA複製ストレス誘導におけるRNAの関与とその意義,がんの特性であるゲノム不安定性は、正常なDNA複製が妨げられることによるストレス（複製ストレス）が原因と考えられているが、その内在的要因としてRNA転写中間体（R-loop）が提唱されている。申請者は抗がん剤トリフルリジン（FTD）作用による複製ストレスへのR-loop関与について検証した。FTDの作用により活性化したFancD2は転写を担うRNAポリメラーゼIIと核内で近接した。転写抑制剤によりFancD2活性化は抑制され、FancD2欠損時にはFTDによるDNA障害が重篤化した。抗がん剤に対する細胞応答において、FancD2によるR-loop解消が重要な役割を果たすと考えられる。,挑戦的研究(萌芽),中区分50:腫瘍学およびその関連分野,複製ストレス,RNA転写中間体,FancD2,DNA複製ストレス,RNA転写複合体,抗がん剤,ゲノム不安定性,抗腫瘍効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
