awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K19626,独立行政法人国立病院機構(東京医療センター臨床研究センター),松永 達雄,非症候群性難聴の新規原因遺伝子PDZD7の変異頻度、臨床像、分子病態の解明,原因不明の先天性を含む15歳以下で発症の両側性の非症候群性難聴患者334家系336人を解析し、PDZD7 遺伝子変異をホモまたは複合ヘテロで持つ家系を6家系7例見つけた。過去に見つかった2家系4例を含め、全ての症例で発症が4歳以下であった。また、８割の症例で難聴の程度が中等度であった。見つかった5変異のうち、3つが病的または病的の可能性が高かった。見出した変異について機能的蛋白複合体形成能を測定するため、3xflagタグおよびGFPタグを付加したPDZD7およびWHRNの発現ベクターを構築した。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,非症候群性難聴,PDZD7,次世代シークエンサー,PDZドメイン,USH2複合体,アッシャー症候群,PDZD7遺伝子,分子病態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19625,公益財団法人東京都医学総合研究所,原田 高幸,Optogeneticsによる神経変性疾患モデルの作製と治療研究,研究代表者はグルタミン酸輸送体の１つであるGLASTの欠損マウスが、正常眼圧緑内障の疾患モデルとなることを報告している。そこでGLAST floxマウスを作製し、光照射によって活性化するCreを組み込んだAAVを眼球内に投与した。その結果、光刺激によってGLAST欠損を誘導することに成功した。したがって光の強度や照射部位・時間を制御することでGLASTの部分欠損を誘導し、ヒトと同様の視野障害パターンを持つ疾患モデルの作製が期待できる。また緑内障を自然発症する霊長類（コモンマーモセット）を見出して、ヒトとの類似性を報告した。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,Optogenetics,緑内障,疾患モデル,網膜変性,神経保護,optogenetics,神経変性疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19624,国際医療福祉大学,河村 和弘,ライブセルイメージングを応用した新規卵巣組織移植術の開発,卵巣組織移植において、組織内の残存卵胞の分布は均一でなく、一部に集簇して存在しており、現行の技術では、移植卵巣組織における卵胞の局在を知る術はない。そのため卵巣移植の際には、卵胞の有無が不明の組織を移植するしかなく、臨床成績に大きく影響する。そこで本研究では、細胞毒性が非常に少ない、Optical Coherence Tomography、スペクトルイメージング、5-アミノレブリン酸(5-ALA)による初期卵胞検出、1000-1500nm波長域(NIR-II)近赤外蛍光標識リガンドによる初期卵胞検出の４種類の方法を用いて、生きたヒト初期卵胞を可視化する試みを行った。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,ライブセルイメージング,卵巣組織移植術,早発閉経,卵巣組織移植,規卵巣組織移植,卵胞局在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19623,日本医科大学,足立 好司,脳腫瘍のモード解析の概念に基づくNMR分析を用いた新規血清診断法の研究,脳腫瘍は種類が多く、他疾患との鑑別の難しいものもあるため、画像のみでは診断が困難なことが多い。これを1回の血清検査を行うことにより脳腫瘍かどうか、更にグリオーマ系腫瘍か否かを判定できるかを検討した。<方法＞グリオーマを含む脳腫瘍及び非腫瘍性脳疾患患者から採取した血清を用いて NMR モード解析を行った。<結果＞本診断法により、患者血清を、グリオーマ、非グリオーマ系脳腫瘍、非腫瘍性脳疾患の3群に明確に分けることができた。この診断法は、脳腫瘍の存在の有無の判断、種類の特定に有用である可能性が示唆された。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,脳腫瘍,メタボロミクス,モード解析,血清診断,NMR モード解析,グリオーマ,brain tumor,NMR,mode analysis,serum diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19622,慶應義塾大学,戸田 正博,自殺遺伝子CD-UPRTゲノム編集iPS細胞を用いた遺伝子治療,悪性グリオーマは予後不良の脳腫瘍であり、腫瘍幹細胞 (BTSC) はびまん性に浸潤する性質を有する。神経幹細胞(NSC)は、脳腫瘍へ遊走する性質を持ち、治療遺伝子を搭載する運搬体として注目される。本研究では、浸潤性BTSCの根絶を目指して iPS細胞から分化誘導したNSCを用いた自殺遺伝子細胞治療の開発を行った。ゲノム編集技術を利用して、iPS細胞への治療遺伝子yCD-UPRTの挿入部位を最適化し、優れた治療用NSCへ分化誘導することに成功した。その後、BTSCへの治療効果を評価し、顕著な効果を得た。本研究は、ゲノム編集技術と遺伝子細胞療法を組み合わせた革新的治療戦略と考える。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,glioblastoma,gene therapy,suicide gene,neural stem cell,CD-UPRT,migration,genome-editing,CRISPR/Cas9,自殺遺伝子,iPS,神経幹細胞,遺伝子治療,脳腫瘍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19621,京都府立医科大学,木下 茂,網羅的計算解析による疾病病態アルゴリズムの構築ならびにその正当性の検証,本研究において、感冒薬SJS患者の病態に関わる複数の疾患関連遺伝子間の相互作用ならびにその病態への関与を明らかとすることができた。HLA型と遺伝子多型の複数の組み合わせにより、患者を90％以上の割合で予測できる可能性が示唆された。また、疾患関連遺伝子TLR3は、HLA-A*02:06やPTGER3遺伝子多型と相互作用を示し疾患発症リスクを著明に上昇させるだけではなく、その他の疾患関連遺伝子IKZF1やPTGER3と機能的な相互作用があることも明らかとなった。このように、全ゲノム関連解析で見つかった複数の疾患関連遺伝子とその遺伝子間相互作用が、感冒薬SJS患者の病態にも大きく関与している。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,Stevens-Johnson症候群,感冒薬,遺伝子間相互作用,IKZF1,TLR3,遺伝子多型,HLA,Whole genome sequence,De Novo mutation,遺伝子多型間相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19620,京都府立医科大学,久保 俊一,アグリカンの陰性荷電に着目したOAに対するcharge based DDSの開発,in vitroおよびin vivo実験において正電荷付与したヒアルロン酸が関節軟骨に与える影響について解析した．．正電荷付与したヒアルロン酸群のanabolicな因子の発現は従来型のヒアルロン酸群と比較して差はなく，カチオン化することによる軟骨代謝への悪影響はみられなかった．またin vivoにおいて正電荷付与したヒアルロン酸は従来型ヒアルロン酸に比べて軟骨変性予防効果が高い傾向を認めた．従来型のヒアルロン酸と比べて軟骨への悪影響はなく，関節軟骨に長期間吸着する事で効果が持続する可能性があると考えた．,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,軟骨,変形性関節症,ヒアルロン酸,整形外科学,骨軟骨代謝学,カチオン化,軟骨代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19619,熊本大学,馬場 理也,ゲノム配列特異的アルキル化による転座型腎細胞癌に対する革新的新薬の創出,転座腎細胞癌は、染色体転座により生じた融合TFE3が異常な転写活性を持ち、ゲノムワイドに転写を攪乱する事により引き起こされる。本研究では、融合TFE3が認識する塩基配列を標的としてDNAのアルキル化を誘導し、遺伝子の転写をブロックする新規抗ガン剤の開発を行った。融合TFE3の標的となる遺伝子の発現抑制効果を指標に有望な薬剤候補分子を評価した。開発した薬剤候補分子は、G2/M期における細胞周期の停止から細胞老化を引き起こし、転座腎細胞癌細胞株に対し容量依存的に増殖抑制効果を示した。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,転座腎細胞癌,融合転写因子,TFE3,抗がん剤,創薬,コンセンサス配列,転座型腎細胞癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19618,九州大学,加藤 聖子,子宮内膜における幹細胞劣化による生物学的・機能的細胞老化誘導メカニズムの解明,若年と加齢マウス子宮よりRNAを抽出し、RNAシークエンス法で加齢に伴い発現が変化した各遺伝子の発現を網羅的に解析し、炎症に関連する遺伝子を３つ同定した。これらはヒト子宮内膜においても加齢に伴い発現が増加した。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,子宮内膜,細胞老化,幹細胞,不妊症,炎症,サイトカイン,老化,不妊,着床,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19617,大阪大学,島田 昌一,嗅覚過敏モデルを用いたメカニズムの解析と治療薬の開発,嗅覚障害の１つに嗅覚過敏がある。自分にとって有害、危険、つらい状況に遭遇すると、周囲のにおいとそのネガティブな体験が関連づけられて記憶、条件づけされる。そして、その状況からいち早く回避するため、そのにおいに対する感受性が高くなり嗅覚過敏になると同時に、そのにおいに対して強い嫌悪感をいだくようになる。本研究では嗅覚過敏を研究するため、確実な嗅覚過敏モデルの作成方法の確立とその治療薬の開発を試みた。微量のにおい物質をマウスに飲水させることによりマウスは口腔内で揮発する微量のにおい分子を感知する。その後にマウスの腹腔にLiCl溶液を注射することにより、マウスの嗅覚過敏・嫌悪学習モデルを確立した。,挑戦的研究(萌芽),中区分56:生体機能および感覚に関する外科学およびその関連分野,嗅覚過敏,嫌悪学習,嗅覚,外傷後ストレス障害,PTSD,恐怖記憶,5-HT3受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
