awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K19829,立命館大学,西浦 敬信,音環境の協和音化に基づく騒音環境の快音化,騒音問題に対して，これまでの騒音を削減する考え方に加えて音楽分野にて研究が進む和音の考え方を取り入れた新しい騒音解決策を提案し，「騒音環境の快音化」という新しい研究パラダイムの確立に挑戦した．特に聴感上不快と感じる高域のピーク周波数を協和音の1音（例えば高域の第5音）として捉え，不足する協和音（例えば低域の根音と第3音）を人工的に付与することで，音環境の協和音化に基づく快音化を実現した．さらに騒音の時間変動量を推定し，協和音の考え方を時間周波数領域に拡張することで，実騒音環境の更なる快音化を実現した．,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,騒音,快音化,協和音,聴覚マスキング,騒音制御,歯科治療音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19828,東京大学,青山 一真,嗅覚電気刺激の惹起する刺激臭の脳内メカニズムの解明,バーチャルリアリティ(VR)等の分野において，嗅覚を提示するディスプレイに関する研究は非常に重要である．しかしながら，嗅覚の提示には臭いを発する化学物質(香り物質)とそれを鼻腔に提示する機構の両方が必要であるため，香り物質を保存するタンクや香り物質を放出するアクチュエータ等の容量と重さ，金銭的コストがかかってしまう．,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,嗅覚電気刺激,鼻腔内科学感覚,経皮電気刺激,バーチャルリアリティ,鼻腔内化学感覚,神経科学,脳活動計測,嗅覚,電気刺激,脳科学,インタフェース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19827,明治大学,杉原 厚吉,視点を連続に動かしても錯視が起き続ける不可能立体の開拓とその応用,視点を連続に動かしても錯視が起き続ける不可能立体の錯視要因の発見・整理をし、その知見を応用して道路カーブの誤認現象の一側面を明らかにした。発見した錯視要因は二つある。その第１は、錯視の手掛かりとなる幾何的性質が視点に依存しない立体固有の性質であることである。その第２は、絵と立体を混在させることによって、絵の部分も立体に見えてしまう視覚効果である。前者からは「軟体立体」「変身タイリング」などの錯視を創作でき、後者からは高さ反転立体などの錯視を創作できた。また、カーブの曲率を誤認する要因として、道路傾斜の変化に気付かない場合があることも分かった。これらを、不可能立体錯視の樹形図の形に体系化した。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,不可能立体,立体錯視,錯視の安定性,変身立体,曲率の誤認,変身タイリング,道路カーブ,動的立体錯視,視覚の数理モデル,曲率誤認,影による変身,物理的モーフィング,点対称性,錯覚誘因の視点依存性,立体認識,視覚情報処理,視点移動,形状誤認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19826,東京理科大学,浦川 智和,視覚ミスマッチ反応に着目した「視覚的意識へのアクセス」に関わる脳内活動動態の解明,本研究課題では、無意識下にある視覚情報が意識上で知覚される（視覚的意識へアクセスされる）までの早期の脳活動動態を明らかにすることを目標とした。ここでは、視覚ミスマッチ処理と呼ばれる画像呈示後２００ミリ秒以内に進行する脳情報処理（視覚刺激の時間的規則性の逸脱を自動的に検出する情報処理）に着目して脳波実験を行って検討したところ、この視覚ミスマッチ処理が「視覚的意識へのアクセス」に関与していることを見出した。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,意識,脳波,視覚ミスマッチ陰性電位,視覚,vMMN,視覚的意識,脳磁図,視覚ミスマッチ反応,両眼視野闘争,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19825,東海大学,竹村 憲太郎,体導音を用いた身体情報センシング,本研究では，生体内部の音源で発生する振動(体導音)を用いた受動的な音響センシング(Bio-Acoustic Sensing)にて，姿勢推定に取り組んだ．頭部付近への能動的な振動入力は聴覚に影響を与えるため従来のアクティブ音響センシングを用いた推定手法の利用が難しかったが，生体内部にある音源を採用した音響センシングによって，この問題を解決した．また，内力に変化が生じた際も，関節角度を安定して推定することに成功した．,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,振動,体導音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19824,九州大学,川崎 洋,屈折を含む非中心投影画像からの汎用的3次元復元手法の開発,本研究では、水中での広範囲アクティブ３次元復元のため、(Ａ) 光線空間カメラで撮影した水中画像の再構成による中心投影画像の合成、および水中でもレーザ平面は平面のままである性質を利用して、(Ｂ)共面生に基づくアクティブ・ステレオ３次元復元アルゴリズムの開発、さらに(Ｃ) ＳＬＡＭによる水中の広範囲形状計測を目指し研究開発した。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,ライトフィールドカメラ,アクティブ水中3次元計測,SLAM,水中ROV,DOE,フェイズマスク,アクティブ3次元計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19823,山口大学,西井 淳,運動時の注意の向け方が運動制御機序に及ぼす影響の解明,様々な運動タスクについて，ボールや的等の身体外部への注意(外的注意)を促すと，自身の姿勢に注意(内的注意)を促した場合に比べて運動タスクの成績が向上することが報告されている。本研究では，このような注意によるパフォーマンスの変化が，注意に応じた制御機序の変容のために起きている可能性を検討した。具体的には，6つの運動タスクにおいて注意条件の違いによるパフォーマンスの変化を確認するとともに，パフォーマンスの変化が運動軌道や筋活動パタンのどのような変化に引き起こされるのかを検討した。また，他者の運動を観察する際に，どのような点に注意が向けられるかについても検討を行った。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,注意,モダリティ,運動制御,内的注意,外的注意,モデリティ,感覚運動統合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19822,奈良先端科学技術大学院大学,田中 賢一郎,光計測と信号処理の融合による次世代アクティブ計測技術の開発,本研究では、時空間変調プロジェクタを用いた3次元形状計測手法の開発を行った。Time-of-flight カメラ、DMD、レーザーダイオード、投影レンズ、同期用電子回路を組み合わせることで、時空間変調が可能な新しいプロジェクタ・カメラシステムを構築し、このシステムを用いることで、これまでできなかった、高速・広範囲・高精度な3次元形状計測が行えることを示した。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,コンピュテーショナルフォトグラフィ,コンピューテーショナルフォトグラフィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19821,奈良先端科学技術大学院大学,池田 和司,深層学習の理論解析による次世代脳型人工知能技術の開発,本研究は、深層学習の要素技術を理論解析することで、計算機資源とビッグデータに頼る従来の試行錯誤研究から脱却し、次世代脳型人工知能の開発を目指したものである。ブラックボックスと言われる深層学習であるが、その性能の一部は理論的に解析可能である。近年の深層学習の主流であるResNetを解析したところ、ResNetの特徴であるショートカットが汎化ギャップの上限を小さくすること、また1層ではなく2層をショートカットすることで上限はさらに小さくなることが示された。またその他の技術についても理論的な評価が与えられ、これらの結果は深層学習の設計指針に有効である。,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,深層学習,ResNet,汎化ギャップ,学習曲線,truncated data,Barron空間,トラッキング,グラフ信号処理,スキップコネクション,ドロップアウト,ストキャスティックデプス,機械学習,人工知能,統計的学習理論,学習理論,統計的漸近論,情報幾何学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K19820,神戸大学,滝口 哲也,言語脳神経活動の解析に基づく発話障がい者のコミュニケーション支援技術の基礎研究,本研究では音声言語に関する脳神経活動の解析として，2つの項目について研究を遂行した．(1)音声想起時の脳磁界データ識別では，音声想起に伴う脳信号の微弱さ，学習データの少なさに対する特徴量の次元数の膨大さを克服するため，識別的なチャネル（次元）選択を行うことを目的としたニューラルネットワークを実装した．(2)印象関連脳活動の抽出では，空間フィルタを利用して印象の程度により変化する脳活動を反映する特徴量の抽出を行った．,挑戦的研究(萌芽),中区分61:人間情報学およびその関連分野,ヒューマン・インターフェイス,言語脳神経活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
