awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18560,独立行政法人日本貿易振興機構アジア経済研究所,今井 宏平,クルド系アクターが国際秩序の安定化／不安定化に与えるインパクトに関する研究,本研究では、国家をもたない世界最大の民族と言われ、イラク、イラン、シリア、トルコに跨って居住しているクルド人に注目し、クルド人の非政府主体が現在の国際秩序に与えるインパクトを検討した。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,クルド人,非承認国家,トルコ,シリア,イラク,イラン,PKK,北イラク地域政府,クルド,非政府主体,安全保障,平和構築,主権,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18559,同志社大学,飯田 健,日米世論における同盟のジレンマの検証,本研究の目的は有権者レベルでの同盟支持のメカニズムを明らかにすることにある。2019年2月、2020年3月、2021年2-3月に日米で実施した複数のインターネットサーベイ実験の主要な知見は次のとおりである。同盟による巻き込まれの恐怖は日本の有権者の間での日米同盟強化への支持を低下させるが、見捨てられの恐怖は有意な変化をもたらさない。米大統領の言動は日米同盟に対してネガティブなものであれ、ポジティブなものであれ日本有事の際のアメリカの軍事介入に対する日本の有権者の信頼に有意な変化をもたらさない。米大統領の同盟に対する懐疑発言は、アメリカの有権者の間で同盟国有事の際の武力行使への支持を低下させる。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,日米同盟,同盟のジレンマ,サーベイ実験,世論,安心供与,インターネット調査,巻き込まれる恐怖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18558,神戸大学,大西 裕,実験アプローチによる行政組織の研究,本研究の目的は、行政組織改革の帰結を、実験アプローチを用いて説明することにある。本研究で対象とする行政組織の改革事例は、2000年代以降、自治体で相次いで導入された組織のフラット化という組織階層の簡素化で、不要な中間管理職を廃止し、組織の意思決定を迅速化する取り組みであるが、その効果をめぐっては議論が分かれている。大学生や公務員を対象に実験室実験を行った結果、フラット型は従来の階統型と比べて組織のパフォーマンスに差はみられなかったが、それは上司がより多くの負担をしているためであること、構成員のパーソナリティとパフォーマンスには関係があることが分かった。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,行政組織改革,実験室実験,行政学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18557,名古屋大学,山田 高敬,日本の国際関係論における「ゆがみ」の発見とその意味-「観察批判論」からの接近,本研究は、国際関係論（IR）研究の「中心」である英語圏のIRがその「周辺」に位置する非英語圏のIRにそのままの形で受容されているのかについて、日本のIR研究についてデータを構築し、他国のデータを比較することで実証的に検討した。その結果、(1)日本のIR研究では、他国に比べて理論志向性が低いこと、(2)そのことは日本のIR研究において地域研究と外交史研究が支配的であることと関係していること、さらに(3)日本と、日本と同じく英語を母国語としない独国を比較すると、独国では外交史研究への経路依存性が否定されたためIR研究における理論志向性が日本より高く、英語圏のIRにより統合されていることが判明した。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,国際政治理論,グローバル国際関係論,国際関係理論,知識社会学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21685,早稲田大学,高橋 百合子,在外投票における票買収の実証的研究,本研究課題は、在外投票における票買収の実態およびメカニズムについて明らかにすることを目的とする。新興民主主義諸国においては、民主化とともに、国外在住の市民に対する在外投票の権利が拡大された。しかし、民主化して日が浅い国では、概して選挙管理制度が未整備なことが多く、とりわけ国外で実施される在外投票における選挙不正への監視は弱い。こうした状況下、政治家は国外在住の市民の票を買収する動機を抱くことが予想される。本研究は在米メキシコ移民に焦点を合わせ、メキシコの政治家が移民票を動員するメカニズム、および移民に対して票買収を行っている可能性を、サーベイ実験と現地調査により検証する。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,在外投票,買票行為,移民,政治参加,メキシコ,ネットワーク,サーベイ実験,米国,票買収,リスト実験,混合手法,買票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21684,早稲田大学,稲継 裕昭,中央政府における生産性測定に向けた指標の構築に関する研究,民間部門における生産性測定は半世紀以上の歴史を有し、その向上を目指した取組は数多くなされてきたが、公的部門に関しては長年にわたって生産性の経年変化はないものと措定されてきた。しかし、近年、英国政府統計局（ONS）がアウトプット指標を開発し始め、学術的にもロンドン大学（LSE）のチームがいくつかのアウトプット指標に基づく研究を開始した。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,公的部門の生産性,政府の生産性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21683,学習院大学,福元 健太郎,災害政策の不正を正す,災害への対処が公金に値するかを市町村が「認定」すると、不正を含む政治的バイアスが入り込む余地がある。具体的には次の3つを検討する。（1）災害復旧事業費の国庫補助率を嵩上げする激甚災害指定の有無が、その前後の選挙におけるその市町村の与党得票率と関連しているかを、選挙間の最大降水量を操作変数として用いて不偏推定する。（2）災害弔慰金の対象となる災害関連死を認定するタイミングが、市町村によってどれほど異なるかを、ノンパラメトリックな生存分析を用いて調べる。（3）住家の被害認定が被災者生活再建支援金の支給条件を満たすか否かが人為的に決められていないかを、回帰不連続デザインによって判断する。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,災害復旧事業費,選挙,災害関連死,新型コロナウイルス,休校,コロナ禍,激甚災害,被災者生活再建支援,認定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21682,高知工科大学,矢内 勇生,日本における選挙研究の統合：メタ分析による研究成果の統一とデータベースの構築,本研究は、これまでに実施された日本の選挙研究の知見を、統計的メタ分析を応用することによって統合し、知識を蓄積・共有するための新たな方法を提案する。本研究の意義は二つある。第一に、本研究のメタ分析により、個々の選挙研究を同じ問題の解決に取り組む研究全体の一部として捉え、その成果を集約し、それを基盤として新たな研究を推進することが可能になる。第二に、本研究が提供するデータベースは、民主制の根幹に関わる選挙についての学術的知見を社会に還元する。本研究は、これからの選挙研究が先行研究をもれなく共有することを促し、研究結果の偏りを縮小することに貢献する。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,選挙,日本政治,計量分析,データベース,知の蓄積,メタ分析,知見の蓄積・統合,日本の選挙,日本,データ分析,政治学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21681,新潟県立大学,窪田 悠一,歴史事象の超長期的影響に関する研究－戊辰戦争と現代日本政治経済－,本研究は、歴史事象の現代社会における影響を考察の対象とし、超長期的因果関係の分析 に基づく新たな実証的社会科学研究を提唱することを目的とする。特にここでは、戊辰戦 争における戦闘や暴力の遺産が現代日本政治経済に与える影響について実証データを収集 しながら考察する。この目的のために本研究では、a) 戊辰戦争における戦闘・暴力の発生 メカニズムの解明、b) そうした政治暴力と現代市民の政治意識・行動、また経済活動の関 係性の分析を行う。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,長期的影響,戊辰戦争,現代日本,現代日本政治経済,内戦,地理情報データ,超長期的因果関係,歴史事象,日本政治経済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20750,名古屋大学,岡田 勇,紛争解決における手続き的公正：迷惑施設の受容に関する実証研究,本研究は、紛争解決において手続き的公正が果たしうる役割について、途上国の事例から実証的に探索するものである。手続き的公正とは、仮に決定結果がもたらす便益が当事者にとって不利な場合でも、当事者に決定作成プロセスに参加する機会を与えた方が決定結果の正当性が高まると想定する理論である。本研究では、ラテンアメリカにおいて、鉱山開発、汚水処理場、巨大インフラ建設などの迷惑施設(Not In My Back Yard=NIMBY)紛争を対象として、手続き的公正が果たす役割を実証的に問う。具体的には、仮に手続き的公正が改善された場合に不利益の受容度がどの程度異なるかを、サーベイ実験を用いて明らかにする。,挑戦的研究(萌芽),中区分6:政治学およびその関連分野,社会ライセンス,手続的公正,鉱業開発,サーベイ実験,ペルー,鉱山開発,迷惑施設,鉱山紛争,ラテンアメリカ,手続き的公正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
