awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18614,山梨学院短期大学,遠藤 清香,産後ケアセンターの利用率向上を目的とした「ナッジ」に関するランダム化社会実験,本研究では、ニーズが高いと考えられているにもかかわらず人々が選択しないため、必要なサービスが利用されていないという選択エラーに対して、利用率を向上させる政策的介入法を探索することを目的とした。選択エラーを引き起こしている要因を特定するための調査研究、特に、産後ケアセンターの利用を規定する要因について実証分析を行った。分析結果に基づき、産後ケアセンターの利用率向上を目的とした「ナッジ」に関するランダム化社会実験を実施する予定であったが、新型コロナウイルス感染症拡大のため、実験の中止を余儀なくされた。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,子育て支援,産前産後ケア,行動経済学,ランダム化比較社会実験,ナッジ,援助要請,因子分析,テキストマイニング,モンテカルロ法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18613,立命館大学,桜井 政成,地域の「受援力」概念構築と応用可能性に関する総合的研究,まず、キーパーソン調査やアクションリサーチの実施等によって、受援力とは多様な社会構造的な要因によってコミュニティに形成されるものと仮定できることを整理した。次に本研究ではそうした要因における援助要請抵抗感に着目し、それを払拭するためにサードプレイスの影響を明らかにしようとした。しかしながらサードプレイスは援助要請抵抗感とは直接関係をしていなかった。ただし援助要請抵抗感もサードプレイスも孤独感と生活満足度とは関連をしており、異なった影響を与えると想定される。想定外の結果ではあるが、サードプレイスのコミュニティへの意義は一定明らかとなったことは学術的にも実践的にも示唆がある本研究の成果と言える。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,受援力,コミュニティ,ボランティア,サードプレイス,孤独,幸福感,災害,サービスラーニング,地域福祉,社会運動,災害支援,支援,NPO,地域活性化,よそ者,若者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18612,名桜大学,小川 寿美子,島嶼地域における女性の主体的移動と近現代社会に与えた普遍的インパクトに関する研究,本研究では20世紀初頭の島嶼女性の海外移動の主体性について検討した。例えば沖縄では女性が海外に移動した公的記録に夫の呼び寄せや写真結婚など男性に従属する印象が強いが、それは女性の移動に男性の関与が求められるという制限があったことが明らかとなった。また当時の島嶼女性の海外移動の動機をインタビューや資料の定性分析すると移動の決断には内に秘めた非表出型の主体性が推測できる表現が少なくなかった。そのため島嶼女性が社会的マイノリティとして当時弱い立場にいながらも、移動することが最大限の主体的行動の一手段であったと考えた。本研究は社会的立場が違う女性で他に４つの島嶼地域も対象とし同様の結論が導かれた。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,女性,主体的移動,島嶼間移動,結婚,リプロダクティブ,市民活動,ドメスティックワーカー,グローバル社会,リプロダクティブヘルス,資本主義社会,女性移民,リプロダクティブ・ヘルス,制限と抵抗,島嶼,人の移動,Diasporas,Proactive Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18611,名桜大学,鈴木 啓子,沖縄の地域文化に根ざした自死遺族支援の構築―相互扶助の中で忌避される自死―,本研究は沖縄の地域文化に根差した遺族支援の構築を目指している。親密なコミュニティ(沖縄的共同性)の中で自死をはじめ忌避される問題が起こった場合、語らない、知っていても話題にしない気遣いゆえに、日常的関係性において相互扶助を確認できなかった。その一方で、当事者の個人的問題は本人不在の中で、地域住民により噂話として共有されている実態が明らかになった。こうした地域の特徴を配慮した情報収集とその確認、また、当事者に脅威を与えない慎重な関与と継続的な見守りとしての支援の工夫が明らかになった。また遺族支援として参加する遺族自身の匿名性を確保できる情報提供、およびユタらシャーマンの活用可能性を示した。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,自死遺族支援,地域文化,相互扶助,沖縄,自殺,ユタ,地域包括ケア,死者,シャーマン,特殊葬法,自死遺族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18610,大阪府立大学,山野 則子,子どもの貧困指標開発と政策との結合に向けた探索的研究,大阪府子どもの貧困調査の結果から子どもの貧困指標を開発した。この指標を反映したスクリーニングシステムYOSS（Yamano Osaka Screening Sheet）の自治体への導入を進め、これらの自治体のデータを用いて、子どもの貧困指標と関連する項目を抽出した。次に、スクリーニング項目の継時的な変化を分析した結果、経済的に困難を抱えている世帯の子どもを支援するうえで、特に「服装・身だしなみ」や「学力」「家庭の様子」をより注視しながら支援につなげていく必要があることを示唆しており、科学的根拠に基づく実践プログラムの一端を構築することができた。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,子どもの貧困,指標開発,はく奪指標,貧困指標と政策の結合,プログラム評価,EBP,はく奪指数,剥奪指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18609,大阪市立大学,土江 松美,アレルギー様食中毒防止のためのヒスタミン解毒効果のある嗜好的調理法の確立,熱に安定とされるヒスタミンでの中毒について、調理によるヒスタミン解毒の有効性の研究を進めた。電子調理器（オーブン）や鉄板上の加熱も高温にできるが焦げが生じ、水加熱条件と変わらぬ結果だった。しかし魚焼き器では、焦げの割合が少ないまま加熱温度を上げられ、特にセラミック付きの魚焼き器は50％近くの低下となった。加えて、副菜として梅肉エキスや食酢の効果が大きかった。重曹は実際の調理への活用が困難なため、具体的な調理法としては甘味を加えた梅肉エキスや食酢の味付けが推奨される。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,ヒスタミン,食生活,解毒,アレルギー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18608,石川県立大学,本多 裕司,コシヒカリに由来するレジスタントスターチ含量が高くて食味も良い米の育種,"コシヒカリに重イオンビームを照射した変異米1,000系統以上から、変異米の難消化性を分析し、難消化性を示すとともにコシヒカリの食味を維持した系統の育種を目的とした。α-アミラーゼによる分解性を指標とした初期スクリーニングから難消化性を示すと考えられた系統をいくつか選抜する事ができた。その後栽培を重ねて選抜した系統の性質を追跡したが、選抜当初に見られた難消化性が次世代に継承されるにはいたらなかった。",挑戦的研究(萌芽),中区分8:社会学およびその関連分野,難消化性澱粉,コシヒカリ,重イオンビーム,レジスタントスターチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18607,宮城大学,石川 伸一,料理レシピの記号化による料理の特徴の解明に向けた研究,私たちはエルヴェ・ティスの提唱した「食材の状態」と「分子活動の状態」の二つの要素を組み合わせ、あらゆる料理を「料理の式」で表現することを行ってきた。本研究では、現代の一般的な庶民向けレシピ本と江戸時代に出版された庶民向けの料理書に記載されている料理の作り方からそれぞれ「料理の式」を作成し、比較検討を行った。その結果、新たな視点での江戸時代の料理の特徴や、現代の料理との共通点・相違点を明らかにすることができた。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,料理,レシピ,記号化,料理の式,料理構造,分子調理,料理の構造,構造,江戸,素人庖丁,きょうの料理,ハイパースペクトルイメージング,漬物,浸透,料理レシピ,食品構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18606,岩手県立大学,藤田 徹,ソーシャルワーカー（社会福祉士）養成教育に対するエスノメソドロジー導入効果の研究,本研究の目的は、「いまーここ」における実践を明らかにするエスノメソドロジー（以下、EM)の手続きを社会福祉士養成教育に導入する効果の見極めることにある。それを「演習」「ロールプレイ」「記録」をテーマとして進めた。既存の社会福祉士養成教育が手がけるテーマの課題、「演習」の習得すべき専門能力をの不明確化、「ロールプレイ」の漠然とした経験と振り返り、「記録」の方法的な学習機会は皆無などに対するEM導入の効果を明らかにした。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,相互行為,専門能力,事実の記述,ソーシャルワーク演習,ロールプレイ,記録をとる能力,＜記録＞をとる,「事実」の見極め,「聴く」アプローチ,「事実」の記録,社会福祉士,養成教育,エスノメソドロジー,質的記述,演習授業,ソーシャルワーク,「いま－ここ」における実践,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18605,札幌医科大学,杉村 政樹,医師偏在改善につながる地域医療志向性を醸成させるための量的質的方法論の開発,北海道では医療従事者は都市部に偏在しており、人口減少地域では最低限必要な人員も確保できず恒常的な問題となっている。今回の研究では、医学生が自ら地域医療への志向性を向上させるための因子探索を目的に、準備教育の実践を通じてその因子を探る研究である。早期からの地域医療実習のみでは、これまでの研究では短期的な志向性向上は認められたに過ぎず、高学年になるほどその意識が薄れることがわかっていた。しかし、本研究で行った、継続的な地域住民及び地域と学習者との交流、および新型コロナ感染症に端を発した、ICTを駆使したハイブリッド学習において、地域医療への志向性がより持続的であるという傾向がうかがわれた。,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,地域医療教育,早期体験実習,地域医療志向性,地域一体教育パッケージ,医師偏在,医学教育,地域医療,地域医療指向性,地域医療実習,地域滞在型実習,多職種連携教育,地域医療政策,学修環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18604,香川大学,青木 高明,アンケートの問い方を変える:ネットワーク科学を活用した自由記述式の統計分類法,意思決定に際して「人々の意見や考え，思いを聞きたい」という社会ニーズがある．特に自由記述式アンケートは，多様な意見を集めることができる手法であるが，自由記述回答の分類を分析者が人手で処理する必要があり、ボトルネックとなっていた．本課題では回答者自身に，自分の意見と他人の意見との「似ている」「似ていない」という意見間の関係性を判断してもらうことで，機械学習による統計的分類を実現し，香川大学教育学部卒業生アンケート等において提案法の有効性を示した．,挑戦的研究(萌芽),中区分8:社会学およびその関連分野,アンケート分析,コミュニティ分解,ネットワーク科学,自由記述式アンケート,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
