awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20519,学習院大学,大鹿 健一,Higgs束を軸としたThurston理論の再構築と新展開,低次元トポロジーで長年主力となってきた理論体系として，双曲幾何を通じたThurston理論とゲージ理論がある．これまでこれら2つの理論の間には大きな交渉はなかった．本研究ではThurston理論をバンドル理論の枠組みに載せることにより，ゲージ理論化することを試みる．従来は多様体自体の構造として捉えられていたものを，バンドルを通じて解釈しなおすことにより，Thurston理論でこれまで深い意味がわからなかった現象を，調和写像，Higgs束，ゲージ理論の量子化などを通じて解明することにより，Thurston理論のさらなる発展に大きく寄与することを目指す．,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,接バンドル,earthquake,双曲構造,Kodaira-Spencer理論,Thurston距離,Thurstonの一意化定理,Finsler距離,Thurston理論,Teichmuller空間,余接バンドル,Lorentz計量,Klein群,変形空間,Higgs束,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20424,信州大学,栗林 勝彦,ディフェオロジカル de Rham 理論の創発研究,球面をはじめ，局所的にユークリッド空間と同じとみなせる多様体は，その構造の豊かさから様々な研究分野において重要な研究対象となって いる。しかしながら，部分的に潰す，2つを接着する操作など多様体をホモトピー論的に考察する場合，その構造は一般的には壊れてしまう 。こうした操作で閉じる圏が多様体を含むディフェオロジカル空間の圏Diffである。本研究は，トポロジー，幾何学，代数学分野において，多くの応用可能性を持つde Rhamの定理を圏 Diff において定式化・証明し，さらには，ディフェオロジカル空間を代数的な枠組みから扱うための有理ホモトピー論，de Rhamホモトピー論の基礎理論構築を目的としている。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,ディフェオロジー,スペクトル系列,単体的de Rham複体,階層体,Souriau-de Rham 複体,特異de Rham 複体,因子写像,de Rhamの定理,de Rham の定理,反復積分,単体的集合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20340,千葉大学,久我 健一,トポロジーの形式化における深層学習の適用の研究,数学データをコンピューターが理解できる電子データとするために、数学を「形式化」することが必要になる。現代のコンピューター技術を持っても、これは大変困難な作業である。この研究では、現代数学に広範な基礎を与えるトポロジーの形式化に、機械学習の一分野である深層学習と、強化学習を適用する可能性を探る研究である。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,深層学習,証明支援系,形式化,数学の形式化,transformers,トポロジー,機械学習,自動証明,coq,ssreflect,強化学習,証明支援システム,有限射影平面,Coq,SSReflect,TensorFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18141,九州大学,金子 昌信,モジュラー結び目が開く，数論的不変量と位相的不変量の新時代,本研究では，「モジュラー結び目」から新しい仕方で，何らかの位相的不変量から，実二次体などの数論に資する数論的不変量を取り出し，その数論的性質を解明していくこと，また逆に数論的知見から位相的知見を得ることを目的とする．,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,モックテータ関数,モックモジュラー形式,結び目不変量,実2次体,モジュラー結び目,実二次体の数論,調和マース形式,双曲型アイゼンシュタイン級数,サイクル積分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18267,九州大学,佐伯 修,データのねじれをモノドロミーで可視化する,本研究では，微分トポロジー，特に特異点論とモノドロミーを用いてデータ可視化の革新的新手法の確立を目指す．具体的には，ファイバーの連結成分を記述するReeb空間を0次元ホモロジー群の図式で再解釈し，それを拡張して一般の位相不変量を考えることで，Reeb図式の概念を定式化し，データの大域構造を記述する理論的基盤を構築する．さらにデータのねじれをモノドロミーとして可視化する新手法を，情報科学者との協働により開発し，実装する．これにより，データが欠損していても可視化が可能となるなどの特性を備えたデータ可視化の革新的技法を確立して，諸科学分野での新たな発見を導く．,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,Reeb空間,Reebグラフ,Reeb complement,多重次元Reebグラフ,特異点消去,区分的線形写像,round fold map,モノドロミー,モース関数,境界付き曲面,微分トポロジー,データ可視化,ねじれ,Reeb図式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17298,立教大学,阿部 拓郎,数え上げ幾何学と代数幾何学の融合と擬幾何学不変量の探索,本研究計画では、まず古典的な問題であるSylvester-Gallaiの定理を複素数上で代数的に定式化すること、及び複素高次元配置の場合への一般化を目指す。更に挑戦的な目標として、幾何学が存在しない数学的対象に対して幾何学不変量を定義し、その性質を調べ上げるという「擬幾何学的不変量」理論を推進する。本アプローチは、純組み合わせ論的対象であるマトロイドに対してホッジ理論を展開することで多くの予想を解決した2022年度フィールズ賞受賞者であるJune Huh氏らのアプローチに触発された挑戦的なアプローチである。具体的には、マトロイドの対数的ベクトル場を定式化し理論を展開することを目指す。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,超平面配置,二重点,Sylvester-Gallaiの定理,多重コクセター配置,compatibility,特性準多項式,Shi配置,擬幾何学不変量,対数的ベクトル場,ログ凸性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21193,大阪公立大学,田丸 博士,対称空間論の離散化と組み合わせ論の視点からのカンドルの多角的研究,カンドルは，数学の様々な分野と関連する重要な概念だが，特に，対称空間の一般化と考えることができる。そこで，対称空間の理論を参考にしてカンドルの構造理論を構築することを目的とする。このことは，カンドルを中心として，幾何学・トポロジー・表現論・組み合わせ論などの複数の分野が交錯する，新しい研究領域を開拓するものである。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,カンドル,対称空間,組み合わせ論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21192,京都大学,加藤 周,アフィン対称関数の世界の確立,対称関数環は代数学および幾何学のさまざまな分野に出現する普遍的な対象で、基底たちに関する理論がいわゆる対称関数の理論である。対称多項式の無限族としてアフィン・リー代数の表現から来るものがあるものがあるが、最近その双対にアフィン・リー代数の可積分最高ウェイト表現の指標が現れることが発見された。本研究ではこの関数族を一般の場合に定義しその性質を詳しく調べ、それをもとに各種対称多項式の理論のアフィン版を構築し、対称関数の理論をアフィン・リー代数の指標などを包含するように書き直す。それにより21世紀の数学に置いても有効性を持つような新しい表現論の理解の枠組みを作り上げる嚆矢とする。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,対称関数環,アフィン・リー代数,直交多項式系,圏化,保型形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25K21660,京都大学,桑垣 樹,Hodge理論と深谷圏論の融合,Hodge理論とは、複素多様体上における精密なコホモロジー論である。構成可能層の理論は、Hodge理論と組み合わさりHodge加群論を生み出し、表現論やトポロジーに応用を挙げてきた。近年、構成可能層の理論は、もっと大きな深谷圏論の一部に過ぎないことが明らかになりつつある。そこで、Hodge理論を深谷圏論と融合させ、表現論やトポロジーに再び大きな応用をもたらそう、というのが本研究の概要である。,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,Hodge加群,深谷圏,超局所層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25K21659,京都大学,荒川 知幸,四次元のミラー対称性,本研究課題の研究テーマは、四次元のミラー対称性と呼ばれる現象である。四次元のミラー対称性は、二次元のミラー対称性や三次元のミラー対称性とも異なる。四次元のN=2の超対称性を持つ超共形場理論を考察し、その不変量（観察量）として現れる、クーロン枝と呼ばれる幾何学的対象と、Beem等によって導入された写像の像として現れる頂点代数と呼ばれる代数的対象の間の、不思議な双対性の全貌を数学的に明らかにすることを目的とする,挑戦的研究(開拓),中区分11:代数学、幾何学およびその関連分野,頂点作用素代数,ミラー対称性,表現論,可積分系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
