awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20343,東京大学,島野 亮,量子クエンチに基づく強相関電子系の新規量子相の探索,強相関電子物質の特徴は、その物性が電荷、スピン、格子の自由度の鬩ぎ合いの帰結として発現する点にある。一つの秩序発現の背後にはそれと競合する秩序あるいは隠れた対称性が存在する場合が多い。本研究ではこの多重秩序系における新たな量子相探索の手法として、超短パルス光源による光励起を用いた「量子クエンチ」を提案する。ある秩序相においてその秩序に関連するパラメータを瞬時に変化させ、引き続いて生じる集団励起モードの観測や基底状態に潜む隠れた秩序の顕在化させることで、強相関電子系の物性発現の背後にある物理を炙り出し、強相関電子物質の新たな電子相制御の手法の開拓、隠れた秩序の解明を目指す。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,量子クエンチ,非平衡,超伝導,電荷密度波,光誘起相転移,テラヘルツ,非線形光学応答,超高速分光,原子層物質,鉄系超伝導体,銅酸化物高温超伝導体,強相関電子系,集団励起,スピン密度波,ヒッグスモード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20425,京都大学,佐々 真一,熱伝導下における一次転移：新しい現象の同定と熱力学の拡張,定圧環境下で気液転移温度を挟んだ温度プロファイルが実現したとする。気液界面の温度が平衡での転移温度から小さくなるとき、過冷却気体が安定化することになる。この現象は熱力学の拡張によって予言されるが、実験によって定量的に測定し、数値実験によりミクロな記述との関係を追究し、ゆらぎのダイナミクススによってミクロとマクロを結ぶ。気液転移だけでなく、熱伝導下一次転移という広いクラスに対する新しい普遍的な理論を構築する。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,熱力学,一次転移,相共存,非平衡,熱伝導,分子動力学,ゆらぎの理論,ゆらぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20522,岡山大学,大槻 純也,高性能計算統計による物性実験データからの情報抽出と計測デザイン,大規模データを扱うデータ科学の方法や機械学習が進歩しており、物質探索にも応用され始めている。それでは、これらの新技術を応用して物性実験のデータから何か目に見えない情報を引き出すことはできないだろうか？本研究の目的は、物性実験から物理情報を抽出するため、高性能計算統計の方法論に基づく新しい解析手法を確立すること、また、その解析結果を実験にフィードバックさせた高効率な実験計画法を提案することである。それにより、実験と理論の定性的な比較というこれまでの研究から、解析の信頼度を担保した定量的な議論へと、実験データ解析に革新をもたらすことを目指す。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,計算統計,圧縮センシング,スパースモデリング,コンプトン散乱,フェルミ面,フェルミオロジー,データ科学,角度分解光電子分光,強相関電子系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20521,東京大学,松田 康弘,シングルショット超強磁場X線計測によるスピン格子結合の解明,可搬型のコンパクト100テスラ超強磁場発生装置を開発し、X線自由電子レーザー(XFEL)の高輝度超短X線パルスと組み合わせることで、未踏磁場領域でのシングルショットX線回折、及びX線発光分光を実現する。本研究では、磁場発生空間を従来の1/100程度に小さくすることで100テスラ磁場発生を可搬型装置ではじめて実現する。本研究によって100テスラ磁場中で発見されている未解明の磁場誘起新規相が、結晶格子、電子状態の観点から微視的に明らかにできる。未踏磁場100 T領域でのX線計測は極めて挑戦的であるが、応用範囲は広く、インパクトは大きい 。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,強磁場,自由電子レーザー,シングルショット,X線,構造相転移,放射光,スピン格子結合,XFEL,X線回折,X線分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18146,大阪大学,吉野 元,深層ニューラルネットワークの情報統計力学,深層ニューラルネットワーク(DNN)による深層学習は、実用上大きな成功を収めているが、そのメカニズムは明らかになっておらず、未だにブラックボックスである。本研究では、ガラスなど強く乱れた系の物理学から派生した情報統計力学の理論手法によって、DNNによる深層学習のメカニズム解明を目指す。本研究では、まず、訓練データに適合した可能なDNNのデザインパターンの位相空間を考え、そこでの統計力学をレプリカ法によって展開する。またこの位相空間における学習ダイナミックスに関する動的平均場理論を構築し、解析する。さらにこれらの理論結果を、大規模数値シミュレーションによって検証する。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,深層学習,ニューラルネットワーク,情報統計力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18145,京都大学,小野 輝男,超伝導ダイオード効果の機構解明と不揮発性超伝導ダイオード素子の創出,研究代表者らは、ニオブ層、バナジウム層、タンタル層から構成される非対称構造を有した人工格子において、測定電流と垂直に外部磁場を印加すると、超伝導の臨界電流の大きさが電流方向に依存することを見出した。このことは、順方向の臨界電流と逆方向の臨界電流の間の電流値では、順方向では超伝導状態でゼロ抵抗であるが、逆方向では常伝導状態で抵抗が有限となることを示し、超伝導ダイオード効果と呼ぶべき現象が観測されたことを意味する。本研究の目的は、超伝導ダイオード効果の機構を解明し、不揮発性超伝導ダイオード素子を創出することである。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,超伝導,磁性,スピントロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18144,東京大学,鹿野田 一司,スピノンフェルミ面とスピノン対凝縮：分裂と縺れが創るスピン量子相の探索,量子揺らぎが物性を支配する量子物質・量子相として、「量子スピン液体」が注目されている。未だ未解明なその量子状態について、強い電子相関の下で電子が持つ電荷とスピンが独立に振る舞い、さらに幾何学的フラストレーションによりスピンが遍歴的な中性フェルミ粒子（スピノン）となって絶縁体であるにも関わらずフェルミ面を持つという特異な状態が提案されている。本研究では、スピン液体候補物質である有機三角格子系を対象に、磁気共鳴実験や各種磁気的・熱的測定により、スピン励起の分裂と縺れがもたらすスピノンフェルミ面の存否、さらにはその不安定性によるスピノン対凝縮の可能性を検証する。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,スピン液体,三角格子,有機導体,スピンノンフェルミ面,磁化率,NMR,ESR,スピノンフェルミ面,強磁場,核磁気共鳴,輸送特性,強相関電子系,フラストレーション,量子スピン液体,スピノン,分子性物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18143,東京大学,長谷川 宗良,超高エネルギー領域における回転エネルギー準位構造の探索,高い回転エネルギーの回転状態を生成することは熱的にも光を用いても困難である。このため，高エネルギー回転状態の研究はほとんど行われていない。高エネルギー回転状態は，振動・電子状態との相互作用の結果，非周期の運動となりカオス的な運動が期待される。また，遠心力による化学結合の切断に基づく化学反応制御も期待できる。このように，高エネルギーの回転状態を生成し，その性質を理解することは，物理・化学の分野における新たな研究分野を開くであろう。本研究は，二原子分子を超高速で回転させ，いまだ到達したことのない回転エネルギー領域において，その回転運動ダイナミクスやエネルギー準位構造を明らかにすることを目的とする。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,高強度光,Optical centrifuge光,回転超高励起状態,自己位相変調,チャープ率,ストレッチャー,分子回転,回転エネルギー準位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18271,大学共同利用機関法人高エネルギー加速器研究機構,中尾 裕則,極小磁気テクスチャの動的計測のための反射型コヒーレント回折イメージング法の開発,近年トポロジー起源の巨大な物性応答や次世代スピントロニクスでの利用などの観点より、磁気スキルミオンや磁気カイラルソリトンなどの磁気テクスチャの極小化に向けた物質開発が進んでいる。ところが研究代表者らが開発してきた磁気イメージング手法では、最近報告された数nmサイズの磁気テクスチャの観測は不可能である。そこで本研究課題では、これまでの手法を極小磁気テクスチャの観測が可能となる反射配置での高角散乱を利用した磁気イメージングへと昇華させ、極小磁気テクスチャの実環境下動的(オペランド)計測に挑戦するものである。,挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,コヒーレントX線散乱,磁気イメージング,軟X線回折顕微鏡,コヒーレント回折イメージング,共鳴X線散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18270,沖縄科学技術大学院大学,Dani Keshav,Next generation XUV source for time-resolved nano-ARPES and PEEM,"Creating new sources of light with non-standard wavelengths can provide powerful tools for science and technology. The XUV region of the electromagnetic spectrum creates new opportunities in photoemission spectroscopy like the powerful technique of Angle Resolved Photoemission Spectroscopy, and industrial fields like semiconductor fabrication. We propose to build a novel table-top source of XUV radiation that will provide significantly higher flux densities, to further push the boundaries of ARPES techniques and to study the newly emerging two-dimensional semiconductor heterostructures.",挑戦的研究(開拓),中区分13:物性物理学およびその関連分野,Extreme UV light source,High order,harmonic generation,XUV-PEEM,Nano-ARPES,Twisted 2D material,Moire pattern,Nano-APRES,Twisted 2D materials,Extreme Ultraviolet,Higher Harmonic,Angle resolved,photoemission,electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
