awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20430,東北大学,成田 史生,生分解性シルクタンパク足場材料の創成と3D印刷による細胞培養用プレートへの応用,現在，怪我や病気の際に欠損した臓器の代わりに人工的に作製した材料を埋入する，人工臓器に関する研究が行われており，人工臓器材料には，生体内で炎症などの副作用を示さない生物学的安定性が不可欠である．本研究は，動物繊維の一つである絹糸からフィブロインを抽出し，水溶液中で光造形 三次元(3D)プリンタによって硬化させて，あらゆる人工臓器に適用可能な細胞再生能力の高い革新的生分解性シルクタンパク足場材料を創成することを目的としている．生分解性シルクタンパク足場材料は組織培養用の基板材料として利用可能な，極めて革新的な材料になると考えられ，非常に挑戦的で，再生医療分野において重要な意義を有する．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,材料力学,3D印刷,複合材料,生体材料,人工臓器,三次元印刷,有限要素解析,ポリマー/プラスチック,力学機能,シルクタンパク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20531,名古屋大学,巨 陽,電子風力による金属材料のナノスケール組織制御と機構解明,集団的な電子の衝撃力を電子風力として操作することにより金属原子に能動的に作用し、金属材料内原子配列の最適化や転位の移動・消滅などのナノスケール力学制御を実現することを目的としている。これによって、高密度電流による金属材料内の結晶構造、相組織などミクロスケールの組織制御を実現し、これまで両立困難であった金属材料の高強度と高延性や、高強度と高靭性などの力学特性のトレードオフを打破し、高強度、高延性、高靭性を同時に実現できる革新的力学特性を発現させる。さらに、これらの現象を明らかにすることにより、電子風力による金属材料内原子配列の最適化、そして組織制御に関する新しい原理を世界に先駆けて提案する。,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,原子配列,結晶構造,力学特性,電子風力,金属材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20530,名古屋大学,野老山 貴行,高熱伝導性マイクロプラスチックテクスチャ創製による着霜防止表面開発の挑戦,家庭用冷蔵庫内等の熱交換器に発生する着霜は，冷却機能を害するため，除霜のためにヒータが使用され，無駄にエネルギが消費されている．そこで表面への着霜防止を目的としたマイクロプラスチックテクスチャリングの創製方法について研究を行う．アセトン溶媒に溶融させたポリ塩化ビニルを材料表面に塗布し，電界印加乾燥中に自己凝集して突起を形成する手法により，大面積かつ熱交換性能向上のため，炭素系粉末物質を配合した熱伝達特性向上テクスチャリングの創製を行う．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,マイクロプラスチック,テクスチャリング,着霜,熱伝導性,カーボンブラック,冷却,マイクロプラスチックテクスチャ,熱伝導率,炭素微粒子,熱交換器,マイクロテクスチャ,高熱伝導性,プラスチック,表面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18159,大阪大学,高谷 裕浩,光子散乱量子効果に基づいたエンジニアード・サーフェス・メトロロジーの学理基盤構築,ナノ表面トポグラフィを加工し，人工的に多様な機能を付与するエンジニアード・サーフェスの要求が高まっている．その機能性の機序はナノ表面トポグラフィのスケール階層的な幾何特性に基づいている．本研究は，機能を発現する幾何学的構造の基本単位，大面積の秩序性，均一性および局所的な幾何特性を損なう超微細欠陥のそれぞれのスケール階層に適応する光子と物質の相互作用である，量子的３Dゴーストイメージング（量子もつれ光子対），光スピンホール効果（量子的偏光解析法），ラマン散乱分光（散乱ドレスト光子検出）に基づいた新たな光子散乱表面計測原理を確立し，新たなエンジニアード・サーフェス・メトロロジーの確立をめざす．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,エンジニアード・サーフェス,ナノ表面トポグラフィ,光子散乱,量子的ゴーストイメージング,光スピンホール効果,散乱ドレスト光子,ラマン分光,量子もつれ光子対,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18158,名古屋大学,福澤 健二,3次元センサ構造を作りこんだマイクロ集積化ワイヤ,本研究では，フレキシブルフィルムを用いた新しい3次元微細構造形成法を提案し，微細フレキシブルワイヤに，3次元構造を用いたマイクロ力学量センサを複数作りこんだマイクロ集積化ワイヤの基盤技術の確立を試みる．これまでフレキシブルフィルムのハンドリングは容易でなかった．3次元構造形成の基本となる2次元構造から3次元構造への変換について，フレキシブルフィルムの柔軟性を逆に生かした新規な方法論を提案し，3次元構造を集積化したフレキシブルワイヤという新しいセンシングデバイスの基盤技術を確立しようとするものである．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,フレキシブルセンサ,MEMS,マイクロセンサー,フレキシブルデバイス,3次元造形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18157,東京大学,梶原 優介,プラスチック内部残留応力の非侵襲精密測定法の確立,本研究の目的は，プラスチック成形品の内部残留応力を三次元的に定量可能な精密計測可能な技術を開発することにある．ベースとなる物理現象は，樹脂内ポリマーの振動がテラヘルツ(THz)帯域にある点である．研究期間内に，THz差周波光源，THz集光・偏光光学系などを導入したTHz偏光光学系を設計・構築し，プラスチック成形品のTHz偏光応答から内部残留応力の大きさ，向きをサブミリ空間分解能で定量評価可能な計測技術を実現・確立する．提案法は樹脂の高分子振動がTHz領域に対応することを利用しており，残留応力の除去に苦慮していた樹脂成形に関する研究開発において，大きな変革をもたらすことが期待される．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,残留応力,高分子配向,テラヘルツ波,偏光計測,差周波,プラスチック,偏光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18285,名古屋大学,小橋 真,溶融浸透方式積層造形を実現する浸透現象の学理体系化とデータ駆動型プロセス開発,金属積層造形用の新しい粉末固化プロセスとして溶融浸透（MI）法を提案する。MI法はプリフォームの空隙に外部から溶融金属を自発含浸させるプロセスである。粉末冶金は、現代でも多くのカンとコツにたよる領域があり、この領域の変革に挑戦しなければ積層造形のように急速かつ国際的な学術の発展をリードできない。本研究では浸透シミュレーションの高度化に必要なデータを取得する多様な方法を検証する。また、高度化したシミュレーションを浸透現象のデジタルツインとし、機械学習によりプロセス条件を探索する手法を開発する。,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,積層造形,多孔体,浸透シミュレーション,毛細管力,マグネシウム/チタン複合材料,界面電位差,新方式積層造形,毛管力浸透,Mg/Ti複合材料,プロセスインフォマティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18284,名古屋大学,奥村 大,摂動解析の動的非線形化による凸凹パターン変態の全貌解明,以下のように研究項目①～④を設定し研究目的を遂行する．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,固体力学,材料力学,分岐座屈,ゲル,高分子合成,不安定変形,パターン変態,形態制御,表面形態制御,表面不安定,ソフトマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17317,大阪大学,垂水 竜一,バイオミメティック多様体の材料力学,植物は生命誕生以来の進化と淘汰の結果，しなやかに変形する柔軟構造と，それに起因した高い運動性能を獲得した．本研究では，材料力学の解析対象を従来の堅強な構造材料から柔軟なソフトマテリアルへと変革することで，植物の運動形態を再現する新しい数理モデル「バイオミメティック多様体」を構築し，植物の持つ優れた運動特性の起源を力学的に明らかにする．また，構築した力学モデルをデジタルツインとして利用することで，植物を模倣した革新的ソフトロボットを設計するとともに3Dプリンターを用いた製作，および運動制御の実証実験を行う．,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,バイオミメティクス,ソフトロボット,空気圧駆動,リーマン多様体,しなやかな材料力学,デジタルツイン,Society 5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17316,名古屋大学,巨 陽,自己変形型ナノワイヤ面ファスナーによる次世代エレクトロニクス実装技術の実現,,挑戦的研究(開拓),中区分18:材料力学、生産工学、設計工学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
