awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20350,東京工業大学,千葉 明,ラジアル方向電磁力のベクトル制御機能による革新的モータの振動騒音の低減方法の開拓,本研究は、モータに作用するラジアル方向電磁力のベクトルを制御することにより、モータの振動騒音の低減を図り、世界に先駆けて、挑戦的な学術研究を推進する。申請者らが発見した電磁力の和をフラットにして騒音振動を低減する方法の基礎理論の確立と実証に挑戦したい。原理的には多くのモータに適用可能である。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,振動騒音,騒音低減,スイッチドリラクタンスモータ,IPMモータ,モータ,電磁力,ラジアル力の和,電磁力の和,モータ振動,モータ騒音,ラジアル力の和がフラット,ラジアル電磁力,ラジアル力,騒音,振動,SRモータ,PMモータ,電気機器,力の和,自動車駆動,力の和がフラット,振動低減,ラジアル方向電磁力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20349,東北大学,尾辻 泰一,グラフェンディラックフェルミオンのプラズモン異常不安定性とそのテラヘルツ機能応用,本研究は，グラフェンの相対論的荷電量子（ディラックフェルミオン）の物性限界を超越するかのごとき従来理論では説明不可能な“グラフェンプラズモンの異常不安定性”を対象として，独自の仮説に基づくモデル理論を構築し，独自構造の素子を試作・評価することによってその学理を解明することを第一の目的とする．さらに，従来の電子デバイス・フォトニックデバイスのいずれも実現困難であった室温動作可能なテラヘルツ増幅素子および光・テラヘルツ波周波数変換・増幅素子をグラフェンプラズモン異常不安定性の導入によって創出することを第二の目的とする．,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,グラフェン,プラズモン,不安定性,テラヘルツ,ディラックプラズモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20537,早稲田大学,清水 孝一,位相共役光の時間反転伝搬を用いた新たな生体内部機能局所計測技術の開発,安全な光を用いた分光計測により、体内の生理的変化を計測できる。また近赤外光は、可視光に比べ生体の深部まで到達する。しかし、生体組織における強い光散乱で大きく広がってしまい、体内局所の分光は極めて難しい。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,時間反転,位相共役,光伝搬,光散乱,無侵襲計測,分光計測,生体計測,拡散,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20536,大阪大学,芹田 和則,生理環境下での細胞測定に適した近接場テラヘルツ顕微鏡の開発とその応用,テラヘルツ光を利用した細胞計測では、細胞の機能性発現に起因した重要な情報を非侵襲かつ非標識で取得することができます。しかし、生理環境下でのテラヘルツ光の強い減衰と波長によって決定される空間分解能の低下により、計測や解析が非常に難しく、確証たる生物学的知見取得や具体的メカニズム解明には至っていません。本研究では、非線形光学結晶への超短パルスレーザー照射で生成する微小かつ高輝度なテラヘルツ点光源と試料とを直接相互作用させる手法をとることでこれら問題を克服します。この手法を利用して、テラヘルツ顕微鏡を構築し、生理環境下における細胞スケールでの多次元テラヘルツ分析とその応用利用開拓に挑戦します。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,テラへルツ,テラへルツイメージング,細胞,非線形光学,機械学習,SPoTS顕微鏡,テラヘルツイメージング,局所テラヘルツ分光,細胞計測,ラベルフリー,癌イメージング,テラヘルツ,乳癌,コメドDCIS,非線形光学結晶,テラヘルツ分光,非浸潤性乳管癌,光整流,浸潤性乳管癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20535,豊橋技術科学大学,井上 光輝,非線形位相シフトを用いたアクティブ位相制御スピン波ロジック演算素子,本研究は、スピン波の流れ制御に磁気的端面のない２次元人工磁気格子を用い、スピン波の非線形位相シフトでロジック演算を行う素子を新規に実現すると共に、非線形位相シフト量増大のために媒体構造をナノスケール化した非線形スピン波ロジック演算素子の性質の解明と、集積化に向けた要素技術の確立を目指すものである。我々は、スピン波の振幅制御で位相制御（非線形位相シフト）ができることに着目し、この機能を用いた非線形スピン波ロジック素子を着想した。本研究は世界に先駆け、２次元人工磁気格子ベースの非線形スピン波ロジック素子実現に挑戦し、当該分野に革新的ブレイクスルーをもたらそうとするものである。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,スピン波,非線形,マグノニクス,マグノニック結晶,二次元マグノニック結晶,ロジック,人工磁気格子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20534,名古屋大学,大野 雄高,ナノスケールの吸着現象に着目した神経伝達物質の超高感度電気化学的検出,ストレスに起因する様々なリスクの管理は極めて重要な社会課題であり、簡便かつ高精度な計測に基づくストレス評価技術を確立することが求められている。ドーパミンやアドレナリンなどの神経伝達物質は標的細胞に興奮または抑制の応答反応を起こさせる生体分子であり、人の感情を制御し、ストレスマーカーとしても知られている。本研究では、ナノスケールの吸着現象に基づいて、従来の電気化学センサの限界を大幅に超えて高感度かつ選択的に神経伝達物質を検出する手法を開拓する。将来的には、例えば、唾液１滴から原因となる感情を含めてストレスを高度に評価する新技術の創出に繋がる。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,カーボンナノチューブ,電気化学センサ,神経伝達物質,リザバーコンピューティング,物理リザバー,フレキシブルエレクトロニクス,電気化学センサー,表面修飾,バイオセンサ,表界面,ストレスマーカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20433,北海道大学,村山 明宏,光スピントランジスタ,現代の情報社会を支える電子情報処理や光通信におけるエネルギー熱損失の解決は社会的な課題である。そこで、光による信号配線と不揮発性固体メモリである電子スピンを用いた新しいエレクトロニクスの研究が重要になる。本研究では、新しい光スピン機能を持つ三端子素子として、光のスピン情報である円偏光の入力により生成する電子のスピン状態を電界により制御し、再び円偏光として出力する光スピン特性の電界効果トランジスタを研究する。電子スピンと円偏光の向きを電界により切り替え、さらにスピンや円偏光の偏り度合いであるスピン情報の増幅や、スピンの持つ本質的な情報である位相の電界制御を開拓する。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,光スピントランジスタ,電界効果,半導体量子ドット,二次元電子系,希薄窒化物半導体,スピンフィルタリング増幅,光スピンダイナミクス,希薄窒化半導体,スピン偏極の増幅,スピントランジスタ,スピン増幅,スピン位相,スピントロニクス,スピン光機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18170,大阪大学,渡部 平司,炭化珪素半導体MOS界面科学と界面設計指針の再構築,炭化珪素半導体パワーデバイスの研究開発が進み、SiC MOSFETの実用化に至っているが、その電界効果移動度はバルク移動度の数%に留まり、材料本来の特性を引き出しているとは言い難い。これは、SiO2/SiC界面に蓄積された電子の大部分が捕獲されFETのオン電流に寄与しない事に加え、従来のMOS界面科学では説明できない電子散乱が生じる為である。本研究では、SiO2/SiC界面に発現する特異な電子捕獲や散乱現象の解明に向け、SiC基板の酸化を伴わないMOS構造形成技術の構築や、微細デバイスの試作とその特性評価を通じて、SiC MOS界面の設計指針を獲得する。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,炭化珪素,パワーデバイス,MOS構造,界面科学,炭化珪素半導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18169,横浜国立大学,荒川 太郎,量子論理集積デバイスの光インターコネクトのための極低温超低電圧駆動光変調器の開拓,超伝導集積回路や超伝導量子コンピュータの実現には、極低温で動作する量子論理集積デバイスと室温CMOS回路等との間を繋ぐ超高速光インターコネクト技術が不可欠である。そこで、本研究では極低温下で従来にない超低電圧で駆動できる光変調器の物性設計、素子設計から実装までの総合技術を開発する。極低温下で動作する半導体光素子の研究は未開拓であり、本研究は量子コンピューティングの発展にも大きく寄与する。,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,光変調器,光インターコネクション,量子井戸,極低温,超伝導集積回路,光インターコネクト,超伝導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18168,東京大学,種村 拓夫,多面光波変換型スケーラブル光演算回路の創成と深層ニューラルネットワーク応用,将来のユビキタスAI時代においては，深層ニューラルネットワーク（DNN）による演算を省電力に行う技術が求められる．DNNの線形処理部に光集積回路を用いることで，チップ内を光が伝搬するだけで演算が完了する究極的に低消費電力かつ低遅延の演算が可能になる．本研究では，従来手法と異なる多面光波変換法に基づくスケーラブルな光ユニタリ変換回路を用いることで，この線形行列演算を光領域で高速に実現することを目的とする．本技術が実現すれば，DNNに加え，光通信，イメージング，量子演算など広範な分野への応用展開が期待される．,挑戦的研究(開拓),中区分21:電気電子工学およびその関連分野,光集積デバイス,ニューラルネットワーク,集積フォトニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
