awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20358,東京農工大学,神谷 秀博,持続的農業システムのための食料生産プロセス工学の開拓,様々な工業分野で高機能な工業製品を低コスト、高信頼性で生産するプロセス工学や微粒子工学の方法論を、農業分野、農作物栽培分野への展開を目的に、栽培用培地の構造と作物生育機能の関係を、工学的に明らかにし、汎用原料からの理想的な高機能培地を工業的に製造する方法を開拓する。併せて、苗生育過程での、培地中の水、養分、空気・気相組成分布を検知・制御することで、高機能育苗のための農業プロセスシステを確立する。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,農業エンジニアリング,人口培土,農業プロセスシステム,培土構造設計,土壌粒子工学,植物生育制御,高温粒子設計,粒子界面設計,人工培土,土壌構造設計,土壌工学,親水・疎水表面設計,開放型圃場,農工融合研究,培地設計工学,粉体土壌学,固気液三相制御システム,農業化学工学,粉体土壌工学,苗床培地設計,培地モデル設計,苗育種制御,疎水・親水制御,持続的農業,環境土壌学,プロセスシステム工学,粉体工学,流域環境学,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20440,九州大学,後藤 雅宏,イオン液体を利用した創薬研究における新分野開拓,本研究では、イオン液体を用いた創薬研究に“生体適合イオン液体の創生”というブレイクスルーを生み出し、イオン液体の世界に“薬物応用”という新しい研究領域を開拓することに挑戦する。イオン液体の創薬応用においては、臨床レベルでイオン液体が利用された例は少なく、研究領域として大きく発展するまでには至っていない。その最大のポイントは生体適合性のイオン液体創生にある。そこで本研究では、生体適合性のイオン液体開発を行い医工連携を通して、これまでの製剤技術の体系や方向性を大きく変革するようなイオン液体研究にチャレンジする。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,イオン液体,DDS,経皮吸収,薬物キャリア,難溶解性薬物,経皮免疫,花粉症ワクチン,バイオ医薬品,ワクチン,ペプチド,タンパク質製剤,核酸医薬,界面活性剤,経皮吸収製剤,アビガン,イオン液体液晶,経皮ワクチン,バイオ医薬,経皮麻酔剤,創薬工学,麻酔薬,医工連携,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20549,九州大学,林 潤一郎,カーボンニュートラル製鉄・化学を実現する五元素サイクル,廃鉄、バイオマスおよびメタンをインプット、還元鉄、炭素材および化学原料としての合成ガスをアウトプットとするカーボンネガティブなシステムを概念実証する。本システムは鉄・炭素・酸素・水素・塩素の五つの元素が化学プロセス間を動き、とくに塩素は塩化鉄あるいは塩酸としてシステム内を循環し、メディアとして機能する。本システムの概念実証は、将来のカーボンネガティブな製鉄・化学が融合したコプロダクションおよび資源リサイクル産業の創出につながる。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,製鉄,廃鉄,鉄鉱石,溶解,塩化鉄,塩酸,炭素,合成ガス,バイオマス,還元,塩化水素,鉄ナノ粒子,カーボンナノファイバ,鉄/炭素ナノ複合体,水素製造,炭素循環,鉄ー炭素コンポジット,水蒸気ガス化,トランプエレメント,鉄・炭素コンポジット,脱塩素,鉄の還元,元素サイクル,コプロダクション,炭素材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20548,東北大学,阿尻 雅文,低温未利用熱によるWaterSplitting,本研究は、地熱エネルギーや産業からの低温未利用熱を利用したケミカルルーピングプロセスによる、水の熱分解水素および酸素生成を主目的とする。すでに見出された低温で4桁近くも大きな酸素移動現象は、高温超電導にも匹敵するインパクトの大きな発見である。この低温酸素移動発現の原理解明を行いつつ、超臨界法による巨大酸素貯蔵能キャリア開発を行う。最終的には、ケミカルルーピングによる低温Water Splittingを実験的に実証し、本プロセスの可能性を評価する。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,水の熱化学分解,水素生成,低温熱利用,産業排熱,地熱,ケミカルループ,反応場分離,超臨界ナノ工学,CeO2,酸素キャリア,低温排熱利用,酸素貯蔵放出,超臨界水熱法,水素製造,低温廃熱,Water-Splitting,界面,未利用熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18187,京都大学,宮原 稔,ゲート型吸着剤の特異な挙動に着目した吸着分離工学の革新,骨格構造に「柔らかさ」を有するゲート型吸着剤は，ある閾圧で構造変形を伴うステップ状の吸着挙動を示す。本研究の目的は，この従来材料とは全く異なるゲート型吸着剤を活用した新様式の圧力スイング吸着法(PSA)について，ベンチプラントによる実証実験と精緻なシミュレータによる最適化から深堀りすることで，新時代の吸着分離工学を開拓することである。本研究の成功は，I型吸着剤を至上とする現行の吸着分離工学の革新に直結しており，持続可能な社会の実現のために吸着分野が果たすべき―そして現状のままでは果たせないであろう―責務の完遂に活路を開くための挑戦的研究である。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,ゲート型吸着剤,圧力スイング吸着,自己熱補償能,非等温吸着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18186,名古屋大学,西島 謙一,デザイン型育種プロセスの創成とインフルエンザ抵抗性ニワトリ作製への展開,鳥インフルエンザは世界中に蔓延している。特に、高病原性鳥インフルエンザは高い致死性と強い伝播性から、発生農場の全家禽の殺処分等の防疫措置をとる必要がある。本研究では、鶏が本来持つインフルエンザ耐性遺伝子を新規に同定することを目指す。最終的に、現在の商用鶏の高病原性トリインフルエンザに対する高い感受性を改善した新たな鶏系統を作出することを目指す。発見したインフルエンザ耐性遺伝子をコマーシャル系統に導入することができれば、鳥インフルエンザ蔓延防止と食糧の安定供給に大きく貢献できる。また、鳥インフルエンザは変異ウイルスがヒトのパンデミックを起こしてきた歴史があり、公衆防疫上も波及効果は絶大である。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,ニワトリ,インフルエンザ,ゲノム編集,感染性,ゲノム,トリインフルエンザ,抵抗性,耐病性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18185,北海道大学,鳥屋尾 隆,化学における外挿探索を可能とする機械学習手法の開発と実証,触媒をはじめとする材料化学研究は未だ「絨毯爆撃的なスクリーニング」から脱却できていない。研究者はこれまで、大量の実験データ・文献知・経験知を統合して、予測・仮説の形成を行ってきたが、年々増え続ける膨大なデータ・知見を咀嚼し、目的に対して適切な仮説を提供できる人材は皆無である。人知に基づく研究は限界を迎えており、データ科学の先進技術を導入して材料化学研究の在り方を刷新することが求められている。本研究では、外挿的提案を実現する機械学習モデルを開発し、既存研究の延長線上にない真に革新的な高機能触媒の創出を目指す。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,固体触媒,機械学習,不均一系触媒,文献データ,触媒インフォマティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18314,九州大学,後藤 雅宏,イオン液体を利用したドラッグデリバリーシステムにおける新分野開拓,難溶解性薬物は、水やほとんどの有機溶媒へ溶解しない薬であり製剤化が難しく、体内への吸収が乏しく、本来の薬効が十分に発揮できないという問題がある。イオン液体の画期的な特徴として、難溶解性薬物の可溶化力が挙げられ、薬の送達方法の最適化を行うドラッグデリバリーという創薬分野への応用が今注目されている。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,イオン液体,DDS,ワクチン,経皮吸収,タンパク質製剤,核酸医薬,バイオ医薬品,界面活性剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18313,広島大学,松村 幸彦,直接通電加熱によるバイオマスの超臨界水ガス化のパラダイムシフト,バイオマスを高温高圧水中で処理する超臨界水ガス化の昇温速度、反応温度、反応時間,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,バイオマス,超臨界水ガス化,カーボンナノチューブ,触媒,水熱,カーボンナノチューブ紙,直接通電加熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18312,大阪大学,平井 隆之,ニオブ酸スズ光触媒が切り拓くアンモニアからの新物質変換,ニオブ酸スズ半導体を基盤とする光触媒により、太陽光を利用して、NH3を原料とする新しい物質変換技術を開発する。NH3水溶液から硝酸を製造しながら純粋なH2ガスを生成させる反応、ならびに NH3水溶液とCO2ガスから常温・常圧下で尿素を合成する反応、の二つの太陽光エネルギー蓄積型新反応に挑戦する。特殊酸化サイト（Sn-N-Nb）の解析とメカニズムの解明に基づく基礎固めを行うほか、酸化サイト近傍への還元活性点の導入などの機能集積を通して活性の飛躍的な向上を目指す。これらの研究を通して、高難度反応を太陽光エネルギーにより常温で進行させる革新技術を確立するほか、NH3の関わる触媒化学を開拓する。,挑戦的研究(開拓),中区分27:化学工学およびその関連分野,アンモニア,光触媒,ニオブ酸スズ,人工光合成,エネルギー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
