awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20364,東京工業大学,伊原 学,電気化学反応と高温熱化学平衡を利用して充放電する「カーボン空気二次電池」の提案,本研究では、「カーボン空気二次電池」という新しい概念の実現性や優位性を、固体酸化物型電気化学デバイス、二次電池双方のアプローチから検討し、さらにシステム全体を設計しその実現性、優位性を検討する,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,固体酸化物燃料電池,蓄電デバイス,CO2電解,工学,エネルギー生成・変換,総合工学,エネルギー学,原子力工学,地球資源工学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20557,埼玉大学,若狭 雅信,マイクロ波とラジオ波を用いたスピン化学の手法による選択的同位体濃縮,従来の質量数の差を用いた同位体濃縮とは原理が全く異なる，我々が開発した磁場を用いた同位体濃縮法をさらに発展させ，磁場とマイクロ波およびラジオ波を用いた新しい同位体濃縮法を開発する。具体的には，既存の電子スピン共鳴装置を改良し，任意波形信号発生器(Arbitrary Waveform Generator (AWG))からのラジオ波(RF)を試料に照射できようにする。磁場中でラジカル対に共鳴するパルスマイクロ波と選択的スピン緩和 (励起) させたい核スピンにAWG-RFを照射し，特定の同位体を含むラジカル対の三重項状態を一重項状態に変化させて生成物に導き，選択的同位体濃縮を行う。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,同位体濃縮,スピン化学,パルスマイクロ波,パルスラジオ波,磁場効果,選択的同位体濃縮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20445,九州大学,花田 和明,楊液体金属発電の原理実証,液体金属を用いて揚水発電のような電力供給の時間変動や日変動を緩和させる楊液体金属発電の原理実証とエネルギー収支の評価を行うことを目的とする。液体金属は比重が大きいため、楊水発電よりも小型化が可能で、直接電気出力が取り出せるためタービンが必要なくゼロ出力からの立ち上がりが早いため工場等の大電力を消費する設備の停電対策としての活用が考えられる。また、通常時は再生可能エネルギーの畜エネルギー機器として使用可能である。持ち上げておくだけで畜エネルギーができ、メインテナンスも必要ない。流体の運動エネルギーを電気エネルギーに変換するダイナモには未解明な部分も多く、学術的にも意義が高い。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,液体金属,楊液体金属発電,液体金属シミュレーション,楊液体金蔵発電,MHDドラッグ,コロージョン,MHD発電,乱流起電力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18200,東北大学,渡邉 則昭,超低粘度流体による岩石破砕現象の解明とCO2利用／誘発地震抑制型地熱開発への応用,超臨界地熱資源は大陸地殻の大部分を占める花崗岩質岩石内でも形成されうるが，透水性が不十分な場合に対応するための人工き裂システム形成法が必要である。研究代表者らはこれまでに，花崗岩の超高温水圧破砕実験を実施し，比較的低い水圧で抽熱に有利な網状き裂を形成する超高温水圧破砕現象を発見・解明し，水圧破砕の新学術体系を創出した。その結果，超高温でなくとも超低粘度の流体（CO2等）を用いれば，在来型地熱環境でも網状き裂が形成できる可能性を見出した。本研究では，CO2を用いた岩石破砕実験等を通じて，広範な地熱環境での超低粘度流体による岩石破砕現象と，CO2利用／誘発地震抑制型地熱開発技術の新学術を開拓する。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,地熱,貯留層,二酸化炭素,フラクチャリング,誘発地震,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18326,東京大学,岡本 孝司,ナノ蒸気爆発を利用したエネルギー変換システム,ナノ粒子を混入した微小液滴にレーザーを照射すると、ナノ粒子を核とした蒸気爆発が発生し、大きな力学的エネルギーに変換される現象を発見した。ナノ粒子の熱容量が極めて小さいために、光照射によって、その温度は沸点を超え、何らかのトリガによって、蒸気爆発が発生する。光のエネルギーを極めて高効率で運動エネルギーに変換する事が出来る可能性がある。本現象を制御する事によって、太陽光などの光エネルギーを効率的に運動エネルギーに変換する事が出来る可能性がある。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,steam explosion,energy conversion,nano-particle,Steam Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18325,北海道大学,大竹 翼,低温蛇紋岩化反応による水素生成促進メカニズムの解明,"地球表層環境では, 低温蛇紋岩化反応により水素が温泉水ともに湧出していることが確認されているが, その反応メカニズムは分かっておらず, 工学的な応用には至っていない. 本研究課題では, 低温蛇紋岩化反応における水素生成促進メカニズムを明らかにし，室内実験において水素生成量を増大させることを研究の目的とする. そのために, バッチ式およびフロースルー式の実験を行い, 水素生成量を最大化するための条件を導き出す. さらに, 地球化学モデルを構築し, 更なる水素生成量増大に向けて理論的な予測を行う. 本研究の成果は資源探査学, 生命の起源など様々な学術分野に大きなインパクトを与えることができる.",挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,蛇紋岩化反応,水素,ハルツバージャイト,フロースルー,開放系,pH,二次鉱物,かんらん石,準安定相,触媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17357,富山大学,波多野 雄治,レーザーを用いたトリチウム水からのHT直接回収技術の開拓,低濃度トリチウム水からトリチウム（T）を水素分子HTとして直接回収する技術は、将来の核融合炉排水からのトリチウム除去技術等として期待される。本研究では、トリチウム水分子HTO中のOH振動とOT振動のエネルギーに大きな同位体効果があることに着目し、レーザーを用いてOT結合のみを選択的に切断することを目指す。HTOのみを選択的に励起するため高いエネルギー効率が期待できる。また、本法ではリスクが高い高濃度トリチウム水は生成されない。一方で、対象とする圧力領域におけるHTO分子の光学特性についてはデータがほとんどなく、かつ対象とするHTOの濃度は著しく低く、極めて挑戦的な課題である。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,トリチウム,水,レーザー,振動励起,電子励起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21239,九州大学,沖部 奈緒子,国産クリティカルメタル供給を叶える：ナノ・バイオ協奏技術で開拓する新海底資源,"Carbon Neutral技術のキーとなる金属種に富む国産海底資源 (主にCRC・MN)を対象とし, これら難処理性の複雑金属酸化物を国内にてクリーン且つコンパクトに処理するゲームチェンジャー技術「次世代型ナノ・バイオ協奏湿式製錬プロセス」の開拓に挑む。リバースギアバイオリーチング、バイオミミクリーによる腐食物質の光分解、Nano-ZVIが駆動する酸化鉱の還元溶解を組合わせ、これらの協奏反応が還元雰囲気&電子ドナーを提供し続け, RG・バイオリーチング活性と反応持続性を強化する。",挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,クリティカルメタル,海底資源,ナノ粒子,バイオリーチング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21238,東京工業大学,鷹尾 康一朗,PUREX-NUMAPハイブリッド型次世代再処理技術の開発,六ケ所再処理工場で採用されているPUREX法に基づく使用済み核燃料再処理プロセスには、Pu単離リスク回避のために必須だがプロセス的には冗長と言わざるを得ない「U/Pu分離→再混合」工程が組み込まれている。本研究ではこの工程を、我々が独自に開発を進めてきた「核燃料物質選択的沈殿法(NUMAP法)」で置き換えた【PUREX-NUMAPハイブリッド型次世代再処理プロセス】の基本原理実証を目的とし、「(1) U回収挙動の把握および解明」、「(2) 模擬Pu回収挙動の把握および解明」、「(3) Pu富化度調整に関する検討」を実施する。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,核燃料リサイクル,再処理,錯体化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25K21712,九州大学,森 昌司,沸騰現象のアナロジーを活かした有機ハイドライド法の高効率化への革新的アプローチ,本研究は、有機ハイドライド法において脱水素反応中に発生する水素気泡を、ハニカム多孔体により階層的かつ受動的に制御することで、反応効率の向上を図る新たな手法を提案・実証するものである。従来は主に触媒性能の改良が重視されてきたが、近年では高物質流束化による装置の小型化や低コスト化が求められており、気泡の蓄積による物質移動の律速が課題となっている。本研究では、沸騰伝熱分野で蓄積された気液二相流の制御技術を応用し、反応温度の安定化と液相の供給促進を両立するハニカム構造の最適設計を行う。これにより、反応器の性能向上およびプロセス全体の高効率化を目指す。,挑戦的研究(開拓),中区分31:原子力工学、地球資源工学、エネルギー学およびその関連分野,沸騰アナロジー,有機ハイドライド,触媒反応,高効率化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
