awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20366,大阪大学,戸部 義人,三次元芳香族性の実験的検証,本研究では、芳香族性の証明が明確に行える炭化水素骨格を用い、反芳香族化合物の重なりにより生じる三次元芳香族性を実験的検証することを目的としている。そのため、立体的かさ高さの異なるシリルエチニル基をもつ反芳香族テトラシクロペンタテトラフェニレン誘導体を合成し、分子の重なりに起因する芳香族性を、安定性(溶液中での会合挙動)、構造的因子(X線構造解析における構造パラメータ)および磁気的性質(結晶および溶液中でのプロトンNMR化学シフト)に基づいて検証する。また、開殻性を考慮した会合体の電子配置と分子構造について理論計算を行い、実験結果との比較を行う。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,芳香族性,反芳香族性,三次元積層構造,電子状態,分子構造,芳香族性/反芳香族性,三次元芳香族性,反芳香族化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20447,京都大学,時任 宣博,ヘキサシラベンゼンの合成,ヘキサシラベンゼンはベンゼンの6個の炭素原子すべてをケイ素原子で置き換えた化合物であり、その構造的な美しさだけでなく、近年注目度の高いグラフェンのケイ素類縁体である「シリセン」の基本構造であるという科学的な重要性も相まって多くの化学者を惹きつけてきた。いわば典型元素化学における「夢化合物」の一つであり、その合成を指向した研究は枚挙にいとまがない。しかし未だ計算科学の域を出ない化合物であり、その合成は達成されていない。本研究では、これまでのヘキサシラベンゼン合成検討における問題点を抽出しそれらを克服する方法を考案し、その新たな合成経路、分子設計に基づいてヘキサシラベンゼンの合成を目指す。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,ヘキサシラベンゼン,ケイ素,ベンゼン,芳香族化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20559,名古屋大学,石原 一彰,アクリル酸エステル・オリゴペプチドの革新的触媒低温縮合法の開発,α，β-不飽和カルボン酸由来のエステルは、近年、電子材料分野におけるUV硬化系の増大とともにモノマーの需要と高純度化の要求が高まっている。創薬の分野ではペプチド抗体医薬に注目が集まっている。このように益々需要が増しているα，β-不飽和カルボン酸エステルやペプチドではあるが、これらの合成に適用できる合成技術は限られており、α，β-不飽和カルボン酸エステル合成触媒にはMichael反応や重合反応の抑制が、ペプチド合成触媒にはエピ化の抑制とペプチドの難溶解性の克服が求められる。これらの合成に必要な触媒開発にはこれまでの学術の体系や方向を大きく変革・転換させるようなブレイクスルーが絶対的に必要である。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,アミド,ペプチド,エステル交換反応,固体触媒,メタクリル酸エステル,アクリル酸エステル,脱水縮合反応,触媒,エステル,アクリル酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18205,大阪大学,真島 和志,有機ケイ素還元剤により創出する固体表面低原子価金属触媒による触媒反応開発,新触媒の開発を基盤とする物質変換反応の開発研究は、医薬品、機能性材料、高分子などの物質を創製するための基盤研究であり、経済的に見合うレベルで有用化合物を安定供給するだけでなく、利用可能な天然炭素資源をバランスよく活用できる産業基盤の確立や環境調和性に優れていることが強く求められている。還元剤由来の塩の副生を伴わない概念的に新しい有機ケイ素還元剤を用いることにより、固体表面上に担持した前周期遷移金属錯体を温和な条件下で還元することにより発生する低原子価種を活性種とする新触媒反応を開発することを目的とする。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,有機ケイ素還元剤,カルベン,ナイトレン,固体表面,低原子価金属触媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18204,千葉大学,荒井 孝義,クーロン相互作用選択的活性化による新規分子変換法,本課題では、『赤外光による反応基質もしくは反応中間体の官能基選択的な活性化』によって斬新な分子変換法を創出する。官能基選択的活性化を達成するための鍵は、『官能基が照射光の波長に強い吸収を有すること』そして『照射光のエネルギーを吸収した後、そのエネルギーが分子全体の振動エネルギーに発散せず、目的とする結合解裂に用いられること』である。この要求を満たす結合としてイオン結合を選択する。赤外光によってクーロン相互作用が強いイオン結合を選択的に活性化することで官能基選択的な活性化を実現し、反応化学・触媒化学を変革するとともに、合成プロセスに強力な新手法を提供する。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,クーロン相互作用,赤外光,振動エネルギー,反応化学,フロー合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18332,岐阜大学,芝原 文利,含窒素複素環シリレンの特異な反応性に基づく不活性結合切断と合成反応の開拓,これまで構造有機化学的興味からしか注目されてこなかった、含窒素複素環カルベン(NHC)の同族電子等価体である含窒素複素環シリレン(NHSi)の特異な性質・反応性に基づく、合成化学的に有用かつ新規な触媒反応を開拓していく。特にシリレンが持つ、非共有電子対による強いドナー性と、空のp軌道が示す強力なルイス酸性を鍵とした対応する錯体の特異な反応性に注目し、新しい分子活性化法の達成と種々の結合形成反応を検討していく。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,含窒素複素環シリレン,シリレン錯体,触媒反応,シリレン,不活性結合活性化,錯体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18331,東北大学,石田 真太郎,リン超活性種の発生に基づく飽和炭化水素から有機リン素化合物への直接変換,"二配位リンカチオン（ホスフェニウムイオン）への光照射により生じる励起状態はその電子配置から1,1-ビラジカル性に由来する極めて高い反応性が期待できる。本研究課題ではこの化学種（リン超活性種）の詳細な分光学的性質や電子状態の理解と、リン超活性種を用いてこれまで未達成であった飽和炭化水素の直接リン化反応を開発する。最終的には天然ガスから高機能性材料である有機リン化合物への直接変換の実現を目指す。",挑戦的研究(開拓),中区分33:有機化学およびその関連分野,有機リン化合物,光反応,CH活性化,リン中心カチオン,ラジカル,C-H活性化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17363,東京工業大学,金原 数,細胞内の粘度のみを感知する非ローター型プローブ分子の開発,"本研究では，これまで細胞内で用いられてこなかった，最小エネルギー円錐交差（MECI）によりイオン性の化学種を生じることなく失活する非分子ローター型の骨格を基本とした粘度応答性プローブ分子の開発に挑戦する。具体的には，非ローター型の構造を持ちながら凝集誘起発光特性が報告されている，9,10-ジアミノアントラセンに着目した。この分子は，光励起状態において，最小エネルギー円錐交差により無輻射失活する過程で，非平面的なコンフォーションを経由することが知られている。これを骨格として用い，応答性を制御する部位，環境への親和性を制御する部位，をそれぞれ導入することで，細胞内で適用可能な分子を開発する。",挑戦的研究(開拓),中区分33:有機化学およびその関連分野,蛍光分子,粘度応答性,イメージング,細胞,非ローター型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17362,東京大学,石谷 暖郎,リグノセルロース由来生新規分解性ポリエステルモノマーの連続合成,非可食バイオマス由来フィードストック化合物の新規有用化学品への変換、および二酸化炭素固定を融合させた低炭素社会実現への有機合成化学的取り組みとして、精密な触媒設計と連続フロー化学変換技術を発展させる。初期段階からゴールを見据え、確実に実績を積み上げ、それを足場として生分解性バイオプラスチック生産のプラッ トフォームを確立すること を目標とする。申請者は連続フロー水素化法や骨格変換法に独自技術を有し、それを生かして高い生産性を実現できる反応系の確立、それをベースとした新たなバイオプラスチックモノマーの連結・連続合成を行う。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,バイオマス変換,固体触媒,生分解性ポリマー,ラクトン,二酸化炭素変換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21242,京都大学,中尾 佳亮,分散力による高難度選択性制御手法の創出,本研究課題では、「ロンドン分散力のような弱い相互作用の能動的活用により設計した分子触媒によって、強い分子間力や立体反発のような古典的因子に基づく触媒設計では実現できなかった分子変換や反応選択性制御の実現は可能なのか」という学術的な問いに答えたい。具体的には、基質との間にロンドン分散力が効果的に発現・集積するように遷移金属触媒上の配位子を設計して、従来触媒では困難であったアルケンやアルキンの新しい官能基化反応の創出と反応位置選択性制御、C-H官能基化のサイト選択性制御に取り組む。,挑戦的研究(開拓),中区分33:有機化学およびその関連分野,位置選択性,サイト選択性,分散力,遷移金属触媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
