awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20368,京都大学,中條 善樹,励起駆動型元素ブロックの学理確立と機能性光学材料創出,本研究では、一般的な発光色素とは逆に、励起状態で変形する発光色素が刺激応答性の材料開発に結び付くことを示す。まず、励起駆動型ホウ素錯体を基盤とすることで、従来分子設計が困難であった固体でのみ発光するという凝集誘起型発光性を持つ分子を、ゼロから理論設計が可能となることを示す。そして、実際に有機発光色素の濃度消光問題解決や機械的刺激による発光色変化、高輝度固体発光性高分子材料の創出を行う。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,ホウ素,共役系高分子,発光,刺激応答性,共役系分子,ホウ素錯体,凝集誘起型発光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20563,東京大学,吉田 亮,酸化還元応答性ポリマーとマイクロ電極アレイの複合化によるスマートサーフェスの創成,本研究では、申請者が精力的に研究を続けていた「自励振動ポリマー」を電極材料として用いることで「マイクロメートルの空間解像度」および「秒オーダーの時間解像度」で力学的特性を自在に制御可能なスマートサーフェスを新たに開発する。第一に、自励振動ポリマーをバルク電極上に担持し、電気的な表面特性の制御を達成する。第二に、このシステムを微小電極アレイ上に構築することで、マイクロメートルオーダーで表面特性を制御可能なスマートサーフェスを開発する。最終的にはこのスマートサーフェスを利用した細胞培養を行い、時空間的な力学的刺激が細胞に与える影響を詳細に検討する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,ポリマーブラシ,機能性高分子,材料表面,機能性好悪分子,スマートサーフェス,時空間制御,細胞培養システム,分化制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20562,東京大学,渡邉 峻一郎,高分子超伝導の実現,固体物質の「超伝導」状態では、電子は散乱を受けず伝導するため電気抵抗がゼロとなる。1964年にLittleによって高分子が超伝導状態となることが理論的に予想されたが、半世紀経った今でも高分子超伝導体は実験的に発見されていない。本研究では、申請者が独自に開発した高結晶性高分子とそのドーピング手法を基盤技術として、超伝導状態となり得る高分子の開発を目指し、世界初の高分子超伝導体を実現する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,高分子,化学ドーピング,超伝導,低温物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20449,北九州市立大学,櫻井 和朗,βグルカンによるDNA２重らせんの裂開メカニズムなど：化学的量子状態間の転移挙動,ある特定の構造のみが安定な分子集合体では熱による構造揺らぎが極めて小さくなり、化学的な量子状態と言える。このような状態から他の状態への転移では異常な現象が観測される。例えば、我々が発見したプラトニックミセルでは、会合数が１２と２０しか許されないため、１２から２０への転移は長い誘導期とそれに続くシグモイド変化が観測されている。これは会合数が逐次的かつ指数関数的に増加してく通常のミセルの変化とは対照的である。本研究ではこのような化学的量子状態間の転移に関して、その分子論的なメカニズムを解明し、新しいサイエンスの領域を開拓する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,化学的量状態,多糖核酸複合体,小角X線散乱,プラトニックミセル,化学的量子状態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18210,九州大学,安達 千波矢,電子分極効果を活用した積層薄膜型超伝導体の創製,電子分極誘電層(P)/導電層(C)/電子分極誘電層(P)の3層を基本構造とし、薄膜導電層中の伝導電子と誘電層内の分極性分子との間で電子分極効果に基づく“クーパー対”形成を目指す。電子分極誘電層には、様々なドナー及びアクセプター分子骨格を含有したπ電子系化合物を用いることでCT強度を精密に調整し、電子分極により伝導層内のクーパー電子対形成を目指す。基礎的な材料設計及びデバイス構造設計を確立し、①電子分極強度とクーパー対形成の相関、②超伝導転移温度（Tc）向上の可能性を探る。電子分極構造と導電層の網羅的な材料検討・最適化によるTc向上について研究を進め、室温有機超伝導体の可能性に繋げる。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,有機超伝導体,有機CT,電子分極,ペロブスカイト構造,有機・無機ハイブリッド,Little/Ginzburg,有機超伝導,CT錯体,Ginzburg,Little,二次元ペロブスカイト,F16CuPc,mMTDATA,有機積層薄膜,GSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18209,東北大学,瀧宮 和男,凝集誘起自発ドープ型有機半導体の創製,偶然見出した「凝集誘起自発ドープ」現象（＝ボロン酸エステル基をもつ有機半導体の凝集状態において、イオン化電位が顕著に低下し、大気中で高いキャリア密度を持つ現象）の一般性を種々の有機半導体骨格において確認するとともに、この現象の学理を解明する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,有機半導体,キャリアドープ,分子集合体,キャリア密度,ボロン酸エステル,ESR,UPS,表面ポテンシャル,ボロン酸エステル置換基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18335,早稲田大学,小柳津 研一,ソフト分極構造の多重集積による光・電場機能高分子の革新,透明有機材料の屈折率の限界を追求し，特に，芳香環や硫黄から成るソフトな分極場を多重集積する手法を確立するとともに，無定形状態を維持しつつソフト分極場を高分子に密度高く構築する原理を解明し，従来限界を凌駕する高屈折率・アッベ数や，低誘電損失を示す材料を創出する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,分極,多重集積,透明ポリマー,屈折率,光学・誘電特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18334,北海道大学,山本 拓矢,環状トポロジーに立脚した新奇高分子材料開発,環状高分子は、対応する直鎖状高分子とは『かたち（トポロジー）』の違いから物性が異なること（トポロジー効果）が知られており、学術的関心から近年様々な研究が行われている。しかし、実際のところ、多少のトポロジー効果の発現は古くから知られているものの、これら僅かな違いを材料分野の応用として展開するのは難しいと考えられていた。本研究は、研究代表者の発見に基づき、環状高分子の「かたち（トポロジー）」に立脚した新奇現象を追究し、様々な官能基化された環状高分子の合成、およびそれらを複合化した機能材料の創出を行うものである。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,環状高分子,PEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17367,九州大学,中野谷 一,エネルギーギャップ則を打ち破る近赤外有機発光分子群の開拓と社会実装,近赤外（NIR）光は、センシング用光源として利用されるなど、産業的な価値が大きい。そのため、NIR発光を示す有機EL素子（NIR-OLED）は、OLEDの特徴と組み合わせることで、ディスプレイ応用を超えたOLEDの新たな価値を創造することができると期待される。しかし、一般的なNIR発光色素の発光量子収率は、エネルギーギャップ則に阻まれ極めて低い値に留まっている。そのため、現状のNIR-OLEDにおけるEL効率は実用的な水準に達していない。そこで本研究では、高効率NIR発光分子の創出およびデバイス物理を開拓することで実用的なNIR-OLEDを実現し、OLEDの新たな価値を創造する。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,近赤外有機EL,重水素,Near-Infrared,近赤外有機EL素子,エネルギーギャップ則,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17366,九州大学,菊池 裕嗣,反転対称性の破れた二次元液体の学理構築,研究目的を達成するため以下のことを実施する；１）SmAF相におけるバルクの組織構造の解明、２）バルクの自発分極反転挙動、３）バルクの焦電効果、４）SmAF相の自己支持型超薄膜の基本構造（メニスカス、孔、島、ステップ、節）の観察、５）SmAF相の自己支持型超薄膜の力学（表面張力、線張力、ラプラス則、弾性率、粘性率、膜振動等）、６）SmAF相の自己支持型超薄膜の熱力学（相転移、ゆらぎ等）、７）SmAF相の自己支持型超薄膜の動力学（孤立・交差ステップのダイナミクス、散逸係数等）、８）SmAF相の自己支持型超薄膜の外場応答（電場による変形、光学特性等）、９）SmAF相の自己支持型単分子膜の創製,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,液晶,対称性,強誘電性,スメクチック,自己支持膜,スメクチック相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21248,九州大学,安田 琢麿,量子重ね合わせ状態を利用した光機能分子の新境地開拓,エキシトンはクーロン力により束縛状態にある電子－正孔対であり、それ自体が光機能を支配している。また、エレクトロニクスとフォトニクスを繋ぎ媒介する準粒子と捉えることもできる。ここで、通常の蛍光や燐光の放射過程よりも速い励起三重項／一重項状態間のスピン変換を誘起できれば、本質的に両者を区別できない新しい励起量子状態を実現することができる。その時空間スピンダイナミクスをコントロールできれば、従来概念とは一線を画す新しい発光機能や量子機能を開拓できる。本研究では、このような特異な光分子システムの体系的な材料探索、光物理特性の解明、ならびに新機能の開拓を目指す。,挑戦的研究(開拓),中区分35:高分子、有機材料およびその関連分野,量子重ね合わせ状態,エキシトン,重畳蛍光,光アップコンバージョン,狭帯域発光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
