awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20372,名古屋大学,白武 勝裕,新規質量分析PESI/MS/MSによる簡便・迅速な作物のメタボローム解析法の開発,本研究は，生物の代謝物を，生きたまま，非破壊で，抽出や前処理などの操作一切無しに，１検体わずか数秒で解析できる新しい質量分析装置「探針エレクトロスプレー/タンデム質量分析装置（PESI/MS/MS）」を，植物のメタボローム解析（代謝物の一斉解析）に初めて導入し，植物学研究，農作物研究，農業関連産業において有効な分析装置であることを示し，その実証例を提示することを目的としている．,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,メタボローム解析,農作物,植物,PESI/MS/MS,探針エレクトロスプレー/タンデム質量分析,非破壊・リアルタイム分析,アントシアニン,非破壊・リアルタイム解析,接ぎ木和合・不和合機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20572,岡山大学,能年 義輝,片利共生細菌はなぜ宿主植物の免疫機構を回避して定着できるのか,植物は微生物を感知して自然免疫系を誘導し、それらを排除する精緻な防御システムを持つことが明らかになってきた。一方、植物の内部には根粒菌や菌根菌のような相利共生微生物に加え、エンドファイトと呼ばれる片利共生微生物が常在する。ではこれらの共生微生物はどのように宿主の免疫機構を回避しているのだろうか。本研究では、「植物に共生できる微生物は利益供与の有無に依らず、宿主の防御機構を回避する手段や能力を持つ」と仮定し、その証明からメカニズムの解明に迫る。具体的には、ブドウ根頭がんしゅ病を抑制するバイオコントロール細菌を用い、その宿主定着特性を失う変異体の単離とその解析を実施する。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,ブドウ根頭がんしゅ病,バイオコントロール,微生物農薬,片利共生微生物,共生,寄生,Rhizobium属細菌,植物微生物相互作用,リゾビウム属細菌,片利共生細菌,植物根圏微生物,宿主定着能,植物免疫,エンドファイト,植物生育促進細菌,片利共生,バイオコントロール細菌,植物,定着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20571,東京農工大学,天竺桂 弘子,自己と非自己の認識を撹乱させる寄生蜂による宿主への侵入の仕組みの解明,宿主体内への侵入は、多胚性寄生蜂において寄生成功の必須要件である。この侵入において、多胚性寄生蜂の桑実胚は宿主組織内に損傷を与えることなく侵入し、むしろ宿主は桑実胚を積極的に迎え入れる。このような組織親和的侵入は、一般的に動物界で広く知られる遠縁種間の急性型移植拒絶反応を回避するユニークな現象で、その仕組みとして分子擬態が示唆されてきた。本研究では申請者らがこれまでに多胚性寄生蜂の胚発生期の遺伝子発現解析で得られた情報を基に、組織親和的侵入の仕組みを解明することを目的とする。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,組織親和的侵入,Copidosoma floridanum,多胚生寄生蜂,組織擬態,異物認識,桑実胚,多胚性寄生蜂,分子擬態,組織親和的侵,急性免疫拒絶反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20454,京都大学,田尾 龍太郎,作物科学研究へのパラダイムシフトを誘起するカキ属植物の研究加速化のための基盤形成,世界の全ての大陸に400種以上が存在し，様々な有用植物を含むカキ属植物の用途は広く，さらに系統分類や進化学的にも興味が持たれてきた．本研究は，1）ゲノム情報と発現遺伝子情報の整備，2）機械計測と機械学習による形質評価法の開発，3）遺伝子機能評価系の開発，4）遺伝資源の調査収集の4種類のサブテーマの成果に支えられたカキ属植物の研究加速化のためのコモンプラットフォームを整備し，モデル植物の研究からは期待出来ない新発見や技術革新をもたらすために遂行するものである．これにより研究材料として最も扱いにくい木本性作物を研究対象にする果樹園芸学から基礎植物科学への貢献というパラダイムシフトの実例を示す．,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,果樹,遺伝子情報,機械学習,果実形状,遺伝子機能評価,倍数体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18222,岡山大学,鈴木 信弘,植物・菌・動物の生物界を跨いだウイルス感染：宿主との攻防と適応戦略,現代ウイルス学では、ウイルスには厳然とした宿主範囲が存在しているというのが定説である。本研究では、普段は目立つことのない(不顕性感染性)謎に満ちたパルティティウイルス(2本鎖RNAウイルス)を用いて、3つの界(植物、菌類、昆虫)を跨いだウイルス感染が成立するかを、世界ではじめて検証する。別界の生物への感染が、ウイルスの宿主との攻防、宿主への適応に及ぼす影響を解析する。新宿主でのウイルス挙動の解析は、普段は大人しいウイルスが、全く異なる細胞環境でのように振る舞うか、また異なる宿主がどのように防御機構を発揮するかの理解、引いてはウイルス学の新展開へと繋がる。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,宿主ジャンプ,パルティティウイルス,宿主防御,宿主適応,RNAi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18221,名古屋大学,中園 幹生,根圏マイクロバイオームを活用した持続型農業を実現するイネ遺伝子の探索と育種利用,低投入持続型農業を実現するには、少ない施肥でも収量を維持し安定した作物生産が可能となる品種の開発が有望視されており、そのためには少肥栽培時の作物の成長と収量の維持に寄与する遺伝子の単離とその育種利用が重要である。本研究では、イネを材料に用いて、無施肥条件下での成長・収量関連形質と根圏微生物との関係性を解明し、少肥栽培時の成長を支える根圏微生物との共生に関わるイネ遺伝子を同定することで、これらを遺伝子資源として育種利用することを目指す。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,イネ,根圏マイクロバイオーム,イオノーム,ゲノムワイド関連解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18219,東京農工大学,仲井 まどか,昆虫に訓練免疫はあるか？昆虫ウイルス感染防御に働くワクチンの探索,ウイルス等の病原体が体内に侵入すると、まず「自然免疫」が作動する。自然免疫には、これまで免疫の記憶がないものと思われていた。しかし、近年、BCG等のワクチン（事前の投与により感染を予防する物質）の処理により自然免疫が活性化しウイルス感染が抑えられる訓練免疫（Trained Immunity）がヒトやマウスで報告されている。本研究では、カイコに訓練免疫を引き起こす経口抗ウイルスワクチンを探索する。本研究により、カイコのウイルス感染を防ぐワクチンが見つかれば、養蚕業における健蚕生産に直接的に貢献できる。また、訓練免疫のしくみを解明し昆虫と哺乳類の抗ウイルス機構のしくみを解明することを目的とする。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,抗ウイルスワクチン,自然免疫,ウイルス,養蚕,カイコ,異物認識機構,細菌,訓練免疫,抗ウイルス,経口ワクチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18348,神奈川県立保健福祉大学,成 耆鉉,生きた昆虫の透明化技術の確立とその応用の研究,研究では、第一に、透明アメリカミズアブ、透明ショウジョウバエなど、様々な昆虫を、生きた状態で透明化する技術の確立を目指す。第二の目標として、透明クチクラにおいて機能するクチクラタンパク質の探索と機能解析を行い、新規機能性透明材料の創出の技術基盤を築いていくことを目指す。そして、本研究成果を、生命科学、医学等の分野で、新領域を創出する透明化技術イノベーションと、新材料創出のイノベーションにつなげたい。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,アメリカミズアブ,昆虫生体透明化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18347,神戸大学,藤本 龍,アブラナ科野菜の近交弱勢の遺伝様式の解明,植物、特に他殖性植物では自殖を繰り返すと、個体の繁殖力と生存率が低下する近交弱勢が生じる。近交弱勢は、長年育成してきた系統の喪失を引き起こし、育種現場で問題となっているが、近交弱勢は、その遺伝様式すら明らかとなっていない。そこで、本研究では、他殖性植物のハクサイを用いて近交弱勢を示す個体を単離し、近交弱勢の遺伝様式を解明することを目的とする。本研究では、F5世代以降6年間自殖を進め、各年、収量形質や生殖形質の表現型を調べ、近交弱勢を示す個体を単離し、近交弱勢の遺伝様式を明らかにする。また、遺伝的解析やエピゲノム解析により、近交弱勢の原因遺伝子を同定する。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,近交弱勢,アブラナ科,エピジェネティクス,DNAメチル化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18346,名古屋大学,矢野 勝也,エンドファイト窒素固定能の機能実体特定とその世代間伝達,通常作物の生育は窒素肥料に強く依存するが、高い窒素固定能を有するサツマイモはその例外である。この窒素固定能は植物細胞間隙に生息する細菌(エンドファイト)によると考えられており、ニトロゲナーゼ遺伝子をゲノム上に保有する細菌がサツマイモ体内から多数検出されている。しかし、培養可能な細菌だけ単離・増殖・接種しても、本来の高い窒素固定能を再現できない。この結果は培養困難な細菌が真の機能実体である可能性を示唆する。本研究では、サツマイモ体内で高い窒素固定能を実際に発現した細菌を培養に依存することなく直接可視化して特定し、特定した細菌の挙動を追跡する。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,サツマイモ,エンドファイト,窒素固定,安定同位体,ラマン顕微分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17381,明治大学,新屋 良治,極限環境に棲む線虫で切り拓く動物胎生化の適応的意義と進化プロセス研究,動物の繁殖形態は卵生から卵胎生を経て胎生へと漸次的に進化し、哺乳類以外にも胎生の繁殖形態が異なる系統群から独立に出現している。胎生形質の獲得は、子の保護という点で利点があると考えられる一方で、産仔数の減少や母親のエネルギーコストというトレ ードオフが予想される。また、その棲息環境が胎生形質獲得の進化的な駆動力となることが示唆されているが、現時点でこれらの予測・仮説を実験的に証明し得る実験系が存在していないため、胎生の分子機構やその生態的意義、進化的駆動力の本質的理解には至っていない。本研究では、極限環境湖において発見した胎生線虫種を用い、胎生動物出現に関する普遍的原理を見出すことを目指す。,挑戦的研究(開拓),中区分39:生産環境農学およびその関連分野,線虫,パーティクルガン,胎生,進化,極限環境,適応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
