awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20326,北海道大学,佐々木 亨,ミュージアムの新たな評価手法構築に関する実践研究－社会的価値と事業改善に着目して,博物館学における評価研究でこれまで不十分であった、他の研究領域との連携を進め、従来のミュージアム評価に欠けていた２つの手法を確立する。すなわち、１）評価学との連携により、単に事業の説明責任を目的とする評価手法だけではなく、事業改善を導き出すことを目的とした手法を、２）経済学との連携により、来館者への便益だけではなく、地域におけるミュージアムの社会的価値を顕在化させる手法を、実際にミュージアムで試み、新たな評価手法を構築する。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,評価,ミュージアム,社会的価値,事業改善,実践研究,外部便益測定,参加型評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20504,国立民族学博物館,小野 林太郎,東南アジアへ拡散したオーストロネシア語族の土器・埋葬文化に関する学際的研究,本研究は南中国から台湾を究極的な起源地とし、約4000-3000年前頃の新石器時代に、東南アジア島嶼域を経由して、オセアニア全域への拡散に成功したオーストロネシア語族の初期移住期における土器や埋葬文化の謎に迫る研究である。特に台湾以後、最初に移住を行ったと考えられてきたフィリピン諸島や東インドネシアの島嶼域での遺跡発掘を実施し、新たな考古資料や先史人骨を含む人類学的資料の発見と分析を試みる。また分析においては、土器を中心とする考古学的な研究と先史人骨の形態や同位体分析、さらには遺伝子分析を軸とする人類学的な研究を併せた学際的な研究により、初期のオーストロネシア語族の実態に迫るものである。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,オーストロネシア語族,土器文化の復元,葬墓制,琉球列島,ウォーレシア,国際共同発掘調査,国際学会での成果発表,下田原貝塚遺跡,先島諸島,東南アジア,東インドネシア,フィリピン諸島,埋葬文化の復元,八重山諸島,ミクロネシア,土器研究,先史人骨,同位体分析,新石器時代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20503,国文学研究資料館,渡辺 浩一,社会転換期における地域アーカイブズ全国調査の検証と新たな方法の開拓,本研究の目的は、日本列島各地の地域社会が、それぞれの文化的資源を活用することによって、その歴史的文化的アイデンティティを豊かにし持続していくための基盤構築である。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,近世庶民史料調査委員会,地域,山陰,沖縄,北海道,地域アーカイブズ,庶民史料調査,出所,在地史料,現存,限界集落,無住化,むらおさめ,アーカイブズ,地域社会,現代,調査,保存活用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20502,九州大学,折田 悦郎,医療アーカイブズの構築と利用環境の整備に関する先導的研究―九州大学診療録を材料に,生命や健康など人びとの人生や社会における重大な問題への有益な示唆を与えるはずの医療記録・情報は、わが国では公文書館等へ移管・保存・公開される仕組みが整っていない。九州大学大学文書館はすでに多数の診療録を有するものの、いまだ公開できずにいる。そこで本研究は、九大診療録を材料に、①医療記録・情報の管理に関する法令・制度調査とその研究、②国内外の医療記録、医療情報の管理、利活用に関する調査・分析、③九大診療録の電子化とマスキングに関する検討、④診療録の評価・研究利用に関する検討を行う。かかる成果をもとに、九州大学において医療記録等の公開・利活用についての制度設計を行い、九大文書館での公開を目指す。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,医療アーカイブズ,医療記録,診療録,九州大学,アーカイブズ,医学史,ELSI,アーカイブズ学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20412,大阪大学,佐藤 朗,宇宙線を用いた完全非破壊オンサイト成分分析法の開拓：古代青銅器文化の解明に向けて,貴重な文化財資料の内部組成を、博物館に居ながらにして、資料を全く傷つけずに分析する新しい手法を開発します。そのために、宇宙から地上に絶えず降り注いでいる「宇宙線ミューオン」を活用した、「宇宙線ミューオンX線分析法」の実現を目指します。特に、古代青銅器の分析に注目して、青銅器の元素組成や鉛同位体比を宇宙線ミューオンを用いて分析する技術確立に挑戦します。実際に開発した装置を博物館に設置し、古代青銅器の鋳造技術や産地同定の可能性を検証する計画です。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,ミューオン,宇宙線,非破壊分析,元素分析,考古学,博物館,X線,非破壊検査,文化財,考古資料,青銅器,オンサイト分析,非破壊元素分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20327,独立行政法人国立文化財機構奈良文化財研究所,村田 泰輔,歴史災害の実像解明への考古・歴史・地質学的複合解析による災害履歴検索地図の開発,本研究は、１）災害痕跡情報の収集・整理を奈良県内約1万2千件の遺跡調査記録を中心に蓄積する「災害データベース」の作成、２）考古学、地質学の研究成果に基づいて「古地形図」と「被災分布図」を作成し、３）「被災分布図」をGIS型検索システムに適用し災害ごとの被災分布の蓄積・整理を進め、産業総合研究所や国土地理院等が提供する地盤地質や断層分布等の情報を導入して、災害の現象や発生履歴を様々な要素と空間的・時系列的に対比できるものを目指す。加えて災害履歴地図の開発にあたっては、被災状況の評価、提示方法について認知的側面も含め使用者へのアンケート調査等を行い、制作効果の検討も行っていく。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,防災・減災科学,災害考古学,災害科学,第四紀学,地質学,地理学,情報科学,防災,減災,データベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18119,神奈川大学,関口 博巨,ポルト南蛮屏風の総合的研究による新領域の開拓,ポルトガルのソアレス・ドス・レイス国立博物館が所蔵する「南蛮屏風」は、「海を渡ったタイムカプセル」とでも言うべき資料（史料）である。本研究は、表の屏風絵（狩野派の絵師による17世紀初頭の優品）と裏の下張り文書（京都の菓子屋「菱屋」所蔵の近世中期の古文書約2000枚）をあわせて調査・研究し、日本とポルトガルの交流史・関係史の新たな一面を明らかにする。この試みは、海外に持ち出された南蛮屏風を、表裏一体のものとして資料化する初めての試みであり、新たな研究領域の開拓を期すものである。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,南蛮屏風,下張り文書,ポルト,エヴォラ,常民,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18118,宮崎大学,宇田津 徹朗,「野生イネはいつどのように食糧となったのか？」に挑戦する,本研究では、世界的なインタレストである「野生イネの栽培化」に関する研究の現状と限界を打破するため、野生イネのプラント・オパール（細胞化石）の密度と形態からその生産性と栽培イネへの変化に関するデータを収集する手法を開発する。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,野生イネ,栽培化,生産量推定,プラント・オパール,新石器時代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18252,独立行政法人国立文化財機構奈良文化財研究所,金田 明大,XR技術を活用した発掘・被災文化財保護現場のデジタルトランスフォーメーション,複合現実、仮想現実などと呼ばれるXR技術の実用化が進んでおり、従来では難しかった技術の支援や情報流通の方法が生まれてきています。本研究ではこれらを用いて発掘調査現場や被災文化財保護現場の現場担当者と各分野の専門家を繋ぎ、必要な情報を適切に供給することが可能な技術を確立してより多くの文化財を護り、また適切な情報取得を可能とすることを通じて社会に還元することを目標としています。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,XR,MR,AR,VR,考古学,遠隔連携,調査支援,発掘調査,被災文化財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18251,東京大学,森先 一貴,海と陸からの統合的アプローチによる日本列島旧石器研究の革新,日本列島は完新世の海水準上昇に伴い広範囲が海没したため、人類の主要な生活の舞台であった瀬戸内地方などは、陸域の限られた資料に歴史叙述を頼らざるを得ないという弱点があった。そこで本研究は、水中考古学によりこの海域に直接アプローチし、海底地形データを得るとともに、水中であるが故に良好に保存された海底引き揚げの更新世動物遺存体の化学分析によって当時の生息環境を明らかにし、古環境復元を行う。その上で、陸上遺跡から得られた石器の分析により人類の技術及び資源開発行動を明らかにし、古環境データと統合することによって、これまでの瀬戸内地方、さらには日本列島の旧石器時代研究の弱点を克服することに挑戦する。,挑戦的研究(開拓),中区分3:歴史学、考古学、博物館学およびその関連分野,旧石器時代,瀬戸内西部,水中考古学,資源開発行動,人類生態系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
